順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,ほくろ 除去,144000,100,3.726,-9.07,29,71,6,15,19,26,20,9,5
2,ニンテンドーミュージアム,680000,50,1.43,24.607,38,62,3,14,23,31,16,8,5
3,ほくろ 除去 保険適用,35500,40,4.12,-24.803,30,70,1,6,14,29,29,13,8
4,ほくろ除去,24000,30,4.342,-0.016,25,75,12,36,29,12,6,3,2
5,父の日,371000,20,1.329,142.663,39,61,5,16,25,26,16,6,6
6,mステ,368000,20,1.324,-38.943,22,78,12,19,20,23,16,7,3
7,enfp,341000,20,1.346,-31.847,30,70,18,39,21,12,7,2,1
8,isfp,306000,20,1.452,-6.057,27,73,18,41,20,12,6,2,1
9,サーティワン,306000,20,1.395,21.736,22,78,9,19,26,23,14,6,3
10,画像検索,296000,20,1.386,87.46,57,43,10,25,26,16,12,6,5
11,トラベルコ,281000,20,1.331,-38.584,36,64,1,9,15,26,27,15,7
12,潰瘍性大腸炎,276000,20,1.47,-13.521,35,65,2,11,16,22,24,15,10
13,サーモス 水筒,272000,20,1.336,-33.745,24,76,2,3,16,34,23,13,9
14,ほうれん草 胡麻和え,264000,20,1.513,67.545,18,82,1,7,21,26,21,13,11
15,ピーチジョン,239000,20,1.537,27.431,17,83,5,25,23,23,16,5,3
16,血便,217000,20,1.703,-72.082,40,60,4,14,18,23,21,11,9
17,ポッカキット,183000,20,1.828,24.991,76,24,12,23,24,21,12,5,3
18,ほくろ,21400,20,4.213,-0.004,35,65,6,11,18,25,18,11,11
