順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,ケロイド 治し方,22000,190,5.672,-0.003,28,72,6,15,20,24,20,9,6
2,ケロイド,29600,110,4.829,-0.001,35,65,10,26,26,20,11,4,3
3,湘南美容外科,626000,90,1.597,-54.771,22,78,3,19,20,23,21,9,5
4,ケロイドとは,56000,90,3.964,-0.004,35,65,8,25,23,20,13,7,4
5,ケロイド レーザー治療,3500,70,6.486,-0.008,31,69,2,18,19,25,20,9,7
6,netflix,584000,60,1.313,-10.466,46,54,3,14,20,21,20,12,10
7,マンジャロ,387000,60,1.566,19.736,31,69,2,15,21,26,21,10,5
8,イソトレチノイン,99800,60,2.943,-11.952,28,72,6,32,25,18,13,4,2
9,肥厚性瘢痕,17900,60,4.771,0.002,24,76,5,17,23,22,18,9,6
10,粉瘤,414000,50,1.402,-0.879,37,63,3,10,17,25,23,13,9
11,grl,398000,50,1.555,-42.661,6,94,18,38,20,12,8,2,2
12,セリーヌ,384000,50,1.434,-44.025,24,76,3,19,22,23,18,9,6
13,骨格診断,346000,40,1.321,-20.539,9,91,14,20,21,22,16,5,2
14,地面師,331000,40,1.328,-11.043,49,51,3,14,22,24,20,11,6
15,アットコスメ,330000,40,1.391,-9.891,9,91,3,12,22,27,23,9,4
16,突発性発疹,300000,40,1.525,-30.326,17,83,0,9,44,19,9,14,5
17,ヴァンクリーフアーペル,295000,40,1.452,-24.28,18,82,1,11,21,27,23,12,5
18,niziu,278000,40,1.448,-12.078,43,57,8,16,21,22,17,9,7
19,タリージェ,192000,40,1.957,34.969,35,65,1,5,9,18,25,20,22
20,ポテンツァ,163000,40,2.121,4.979,21,79,3,22,24,25,17,6,3
21,ケナコルト注射,28800,40,3.814,1.844,30,70,1,9,15,20,25,17,13
22,エクラープラスター,21100,40,4.147,0.011,27,73,1,8,18,25,23,14,11
23,isfp,306000,30,1.342,34.797,27,73,18,41,20,12,6,2,1
24,マリークワント,304000,30,1.342,56.447,10,90,9,16,13,22,24,11,5
25,デエビゴ,284000,30,1.333,0.475,34,66,1,9,12,20,24,18,16
26,ビタミンc,271000,30,1.385,2.081,28,72,4,10,14,22,22,14,14
27,胃腸炎,268000,30,1.345,103.613,30,70,5,15,27,26,14,7,6
28,手足口病 登園目安,264000,30,1.353,-91.548,14,86,0,5,40,34,8,8,5
29,ファミリア,263000,30,1.382,25.636,16,84,2,11,29,23,14,13,8
30,性格診断,255000,30,1.38,-24.846,34,66,13,21,20,21,17,5,3
31,ヘルパンギーナ,241000,30,1.483,-109.275,26,74,1,9,33,27,12,11,7
32,ココナラ,238000,30,1.309,0.993,38,62,2,10,23,27,23,10,5
33,バチェロレッテ3,237000,30,1.368,-207.5,24,76,1,12,37,28,14,6,2
34,証明写真,237000,30,1.31,-20.299,40,60,9,16,14,22,22,11,6
35,メジコン,230000,30,1.565,-5.813,32,68,3,12,19,26,20,11,9
36,迷走神経反射,230000,30,1.398,63.023,22,78,4,16,18,24,21,11,6
37,プティマイン,227000,30,1.422,7.345,7,93,0,10,50,22,6,9,3
38,皮膚科,224000,30,1.532,-0.833,32,68,3,9,14,22,19,14,19
39,ご祝儀袋 書き方,216000,30,1.523,-37.818,36,64,0,35,30,11,12,8,4
40,リベルサス,216000,30,1.483,-13.337,30,70,1,12,19,25,24,12,7
41,mbti診断,209000,30,1.62,0.514,32,68,14,27,20,18,14,5,2
42,pdf 編集,204000,30,1.432,76.133,53,47,1,9,13,22,24,16,15
43,中村敬斗,203000,30,1.451,-83.8,49,51,6,15,18,25,19,10,7
44,yahooショッピング,197000,30,1.573,50.253,41,59,7,14,21,22,19,10,7
45,ステロイド 副作用,196000,30,1.677,40.666,33,67,2,10,12,18,21,18,19
46,トコジラミ,186000,30,1.65,4.901,35,65,4,13,21,24,21,10,7
47,つわり いつから,185000,30,1.556,-8.996,17,83,2,27,45,15,5,4,2
48,ジェラピケ パジャマ,183000,30,1.646,-24.475,24,76,9,33,16,15,17,7,3
49,アベイル オンライン,181000,30,1.676,-11.09,14,86,5,19,25,25,19,5,2
50,0800 080 1130,162000,30,1.83,124.521,43,57,6,15,32,25,14,6,2
51,酒さ,138000,30,1.905,-5.894,21,79,2,10,17,24,23,13,11
52,稗粒腫,116000,30,2.062,-2.879,14,86,4,12,21,26,22,10,5
53,エンレスト,88900,30,2.255,-61.709,37,63,0,12,15,23,24,14,12
54,脂肪腫,78800,30,2.384,-6.986,33,67,2,8,15,23,25,16,11
55,はなふさ皮膚科,64400,30,2.726,-22.262,22,78,2,14,18,25,23,11,7
56,形成外科,62800,30,2.748,-0.011,31,69,3,6,21,36,10,5,19
57,シムビコート,49600,30,2.83,-15.651,31,69,1,9,18,26,22,14,10
58,ケロイド体質とは,15900,30,4.042,-0.007,19,81,7,24,20,20,16,8,5
59,ケロイド テープ,4500,30,5.476,0.03,24,76,2,9,19,26,22,14,8
60,ケロイド かゆい,3100,30,5.683,-0.019,23,77,4,12,21,22,21,13,7
61,ケロイド 塗り薬,1800,30,6.25,0.002,31,69,4,12,20,21,22,12,9
62,ケロイド 注射 効果,1700,30,6.292,0,30,70,2,20,19,26,21,7,5
63,ケロイド 皮膚科,1100,30,6.627,0.006,24,76,4,18,22,27,17,6,6
64,ディズニーチケット,226000,20,1.335,30.631,22,78,10,28,23,20,12,5,2
65,dlsite,207000,20,1.381,-42.588,56,44,12,34,27,15,7,3,2
66,フロモックス,205000,20,1.379,30.583,33,67,1,7,14,22,23,17,16
67,副鼻腔炎 症状,205000,20,1.373,53.236,26,74,3,9,17,22,22,16,11
68,ディプティック,204000,20,1.413,-12.76,26,74,4,29,21,20,16,7,3
69,ウォンジョンヨ,199000,20,1.433,22.71,7,93,10,22,23,22,16,5,2
