順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,蜂窩織炎,424000,5200,2.214,0.001,29,71,1,7,13,21,24,19,15
2,乳がん,157000,2700,2.566,-10.823,25,75,2,5,8,19,26,21,19
3,リンパ腫,90000,2700,3.145,0,39,61,1,5,9,17,23,21,24
4,悪性リンパ腫,247000,2500,2.025,0.277,32,68,2,7,11,22,25,18,15
5,足のむくみの原因,236000,2400,2.082,-2.388,38,62,0,2,3,12,22,24,37
6,リンパ腺の腫れ,112000,2300,2.715,0,32,68,3,10,15,25,24,12,11
7,抗がん剤 副作用,92800,2300,2.961,-10.934,29,71,1,6,7,17,24,21,24
8,リンパマッサージ,124000,2200,2.556,0.001,27,73,1,4,11,24,30,17,13
9,下肢静脈瘤,154000,2100,2.31,-0.001,26,74,1,5,10,20,26,20,18
10,リンパ腫 症状 初期,39500,2000,3.671,0,28,72,1,4,8,16,25,23,23
11,放射線治療,86100,1900,2.832,-3.678,36,64,1,4,7,19,26,19,24
12,子宮体癌,117000,1800,2.415,-16.137,16,84,1,4,9,24,31,18,13
13,抗がん剤治療,91300,1800,2.71,-12.034,39,61,1,3,7,17,24,22,26
14,乳がん ステージ,62800,1400,2.826,-32.845,24,76,1,4,9,24,30,19,13
15,放射線治療 副作用,46000,1400,3.176,-0.451,25,75,1,5,7,17,27,22,21
16,pet 検査,119000,1300,2.099,-13.055,37,63,0,3,7,20,28,21,21
17,乳がん 手術後,31900,1300,3.466,-20.036,19,81,1,2,5,21,31,22,18
18,医療用ウィッグ,29700,1300,3.494,-15.012,18,82,1,2,7,19,29,24,18
19,卵巣がん 初期症状 8つ,113000,1200,2.058,-18.106,8,92,1,5,11,26,30,16,11
20,悪性リンパ腫 症状,91100,1200,2.275,0.063,27,73,2,7,11,19,25,19,17
21,リンパ節炎,52400,1200,2.801,0,26,74,3,12,21,27,20,10,7
22,弾性ストッキング,49300,1200,2.942,0.981,27,73,1,8,10,17,22,18,24
23,腫瘍マーカー,102000,1100,2.084,-0.751,47,53,0,5,8,18,26,23,20
24,cvポート,69400,1100,2.455,-1.628,25,75,1,13,13,21,25,17,10
25,抗がん剤治療 期間 平均,48100,1100,2.86,-2.647,29,71,0,2,5,16,26,24,27
26,タモキシフェン,35700,1100,3.149,10.411,21,79,1,7,10,27,34,13,8
27,むくみ 原因,103000,1000,1.998,-0.005,30,70,2,7,12,22,24,15,18
28,ウィッグ,101000,1000,2.089,-12.308,23,77,4,7,8,15,23,21,22
29,リンパ節とは,36600,1000,3.062,0,43,57,3,6,9,17,22,22,21
30,パクリタキセル,25300,990,3.393,5.548,29,71,0,11,9,18,26,20,16
31,深部静脈血栓症,40200,980,2.912,-0.001,28,72,2,22,13,18,20,14,11
32,アルブミン 低いと,84100,970,2.204,12.775,20,80,0,4,6,16,25,23,26
33,抗がん剤 脱毛,19800,970,3.619,-3.541,24,76,1,4,7,20,28,22,18
34,cea 腫瘍マーカー,78400,960,2.252,12.547,36,64,0,5,7,15,24,23,26
35,腹膜播種,78100,930,2.193,10.099,30,70,1,6,9,18,25,24,17
36,センチネルリンパ節生検,15500,930,3.804,-2.071,15,85,0,11,8,23,29,17,12
37,乳がん手術後,19000,910,3.623,-5.791,17,83,0,2,3,15,28,27,25
38,蜂窩織炎 原因,54900,890,2.525,0.003,25,75,1,4,8,17,26,23,21
39,卵巣がん,55100,880,2.483,-12.94,22,78,1,6,11,22,26,17,17
40,リンパ節郭清,11500,880,4.057,0,26,74,1,15,10,20,22,18,14
41,オプジーボ,86800,840,2.015,11.108,42,58,1,5,7,17,22,22,26
42,キイトルーダ,38200,830,2.802,-0.143,39,61,0,9,12,20,23,19,17
43,抗がん剤,38800,800,2.755,7.588,36,64,1,6,8,18,23,20,24
44,足の甲 むくみ,40700,790,2.717,-0.557,29,71,0,3,8,13,24,23,29
45,リンパ郭清,7500,790,4.368,0.003,16,84,1,11,10,21,29,19,9
46,リウマチ性多発筋痛症,81400,770,1.999,3.302,28,72,0,4,6,13,25,24,28
47,トリプルネガティブ乳がん,26400,770,3.092,-11.224,17,83,1,4,8,22,29,22,14
48,リネアストリア,19600,760,3.36,-0.836,11,89,2,9,13,24,29,16,7
49,下肢静脈瘤 初期症状,55900,750,2.321,-0.002,23,77,0,3,7,17,28,24,21
50,dダイマーとは,54600,750,2.335,2.612,26,74,1,16,12,19,22,16,14
51,腫瘍マーカー 数値 目安,45500,750,2.556,26.179,33,67,0,2,4,14,25,26,29
52,乳がん 生存率,33100,750,2.822,-29.934,33,67,3,8,11,23,26,16,13
53,乳がん ホルモン治療,17000,750,3.506,-10.733,16,84,0,1,5,21,35,24,14
54,入院 必要なもの,73300,740,2.014,-18.685,23,77,1,5,12,24,28,17,13
55,抗がん剤治療中の食事,19600,740,3.381,-0.006,18,82,0,1,4,16,29,25,25
56,ベージニオ,14900,740,3.618,18.465,28,72,1,5,11,23,27,20,13
57,リンパとは,32800,720,2.812,0,45,55,2,7,9,18,22,18,24
58,分子標的薬,25700,720,3.073,15.189,31,69,1,6,7,16,25,23,22
59,お見舞いのお返し,58800,700,2.191,6.533,25,75,0,1,6,19,32,25,17
60,抗がん剤 費用,24600,690,3.065,-6.783,35,65,0,2,7,16,28,25,22
61,ca19-9,57800,680,2.18,30.425,37,63,0,6,10,19,25,20,20
62,先進医療とは,68100,670,2.009,-8.363,32,68,1,4,10,17,25,24,19
63,ホルモン補充療法,60700,670,2.064,-0.173,8,92,0,1,4,29,48,10,8
64,浮腫,49100,670,2.309,0,56,44,3,11,14,19,22,15,16
65,ドセタキセル,16100,670,3.457,-0.016,33,67,1,12,11,19,23,18,16
66,足首のむくみ,44500,660,2.447,-0.786,30,70,1,2,5,14,24,23,31
67,癌研有明病院,46500,630,2.349,-13.688,39,61,0,4,8,18,24,22,24
68,アクアドール ウィッグ,13700,630,3.54,5.882,10,90,1,4,8,22,33,22,10
69,医療用帽子,18500,620,3.27,-0.015,18,82,1,3,7,16,26,23,24
70,浮腫とは,43300,610,2.366,0,52,48,2,8,6,12,26,24,22
71,ドレーンとは,37400,610,2.529,-8.322,24,76,2,10,9,17,23,20,19
72,国立がん研究センター中央病院,46900,590,2.274,-15.131,38,62,0,4,7,16,24,23,26
73,レトロゾール,30600,590,2.675,21.03,16,84,0,11,29,17,17,15,11
74,放射線治療 費用 1回,15900,580,3.342,-0.705,31,69,1,1,5,15,26,28,24
75,パクリタキセル 副作用,9300,580,3.865,21.09,20,80,0,8,7,19,28,23,15
76,末梢神経障害,44700,560,2.247,1.026,35,65,1,9,10,18,24,19,19
77,弾性ストッキング 医療用,16700,560,3.256,19.687,24,76,1,4,8,17,25,22,23
78,乳がん ブログ,12800,560,3.475,-33.029,10,90,0,1,5,26,35,22,11
79,アナストロゾール,20400,550,3.025,19.846,23,77,0,8,10,15,26,25,16
80,造影剤 ct,39200,540,2.318,-3.243,32,68,1,7,9,20,28,20,15
81,tc療法,7400,540,4.006,6.999,20,80,0,14,11,20,27,18,10
82,蜂窩織炎とは,44600,530,2.216,0,28,72,1,5,6,13,26,28,21
83,乳がんステージ,25400,530,2.761,-31.406,26,74,1,2,6,18,26,25,22
84,ガンサバイバーとは,22200,520,2.874,1.141,26,74,1,4,6,18,31,25,15
85,強皮症,52700,510,2.001,0.853,25,75,1,8,11,19,25,20,16
86,wbc 血液検査,52100,510,2.025,3.166,27,73,1,12,12,17,19,17,22
87,手術後,50400,510,2.038,-6.295,43,57,0,2,4,14,26,30,24
88,乳がん 痛み,33200,510,2.402,-38.145,9,91,1,5,17,32,26,12,7
89,ca125 腫瘍マーカー,24800,510,2.723,8.506,21,79,0,5,8,23,29,21,14
90,限度額適用認定証 区分,48500,490,2.006,2.026,24,76,0,5,16,24,26,20,9
91,梅宮アンナ ガン,40300,490,2.233,-13.886,22,78,1,3,9,20,29,20,18
92,がんセンター,31800,480,2.434,-0.174,34,66,1,3,7,19,28,22,20
93,左足だけむくむ原因,18100,480,2.989,-0.031,22,78,1,2,7,19,29,22,20
94,胸水,43500,470,2.092,6.052,34,66,1,14,14,19,22,17,13
95,足のむくみ,38000,470,2.247,-0.099,32,68,1,5,11,18,23,16,26
96,腹水 症状 見分け方,33400,470,2.33,0.042,27,73,1,6,13,24,29,14,13
97,化学療法とは,26900,470,2.583,-16.95,26,74,1,10,8,19,25,20,17
98,リンパ,22100,470,2.763,0,37,63,3,9,16,24,22,13,13
99,オンコタイプdx検査,6700,470,3.957,0.173,15,85,0,2,6,27,33,19,13
100,ca19-9 腫瘍マーカー 基準値,38700,460,2.219,3.631,36,64,0,3,6,14,24,24,29
101,デカドロン,36900,460,2.229,10.218,29,71,0,12,17,25,21,14,11
102,リュープリン,25400,460,2.572,38.434,27,73,1,7,13,30,25,11,13
103,蜂窩織炎 何科,20400,460,2.836,0.014,26,74,1,5,12,22,26,18,16
104,うっ滞性皮膚炎,19400,460,2.871,0.636,26,74,1,9,13,21,24,18,14
105,タモキシフェン 副作用 いつから,8100,460,3.713,16.974,12,88,0,1,4,32,41,11,11
106,ペット検査とは,41000,450,2.144,-29.198,29,71,1,2,5,15,25,26,26
107,血管性浮腫,32900,450,2.328,0.012,26,74,2,8,13,21,24,18,14
108,骨シンチ 検査とは,20200,450,2.859,-16.34,36,64,0,4,5,14,22,24,31
109,浮腫の原因 4つ,20200,450,2.823,-0.001,28,72,1,9,7,19,26,19,19
110,子宮体癌 進行スピード,16700,450,2.979,-24.013,13,87,0,3,7,24,38,18,10
111,片足だけむくむ,11800,450,3.351,-0.004,19,81,1,6,11,22,29,17,14
112,乳がん手術,11100,450,3.448,-32.331,20,80,1,2,3,16,28,25,25
113,足の甲 腫れ,42200,440,2.05,-0.065,28,72,2,5,11,20,27,19,16
114,好中球とは,27300,430,2.513,-1.15,28,72,4,7,6,16,23,23,21
115,白血球 増やす,22700,430,2.645,10.053,33,67,1,6,11,20,26,19,17
116,卵巣がん 生存率,21700,430,2.699,-16.782,25,75,1,5,9,20,27,20,18
