順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,梅宮アンナ,559000,930,2.208,-0.374,27,73,1,3,8,22,31,19,16
2,乳がん,157000,880,3.447,-4.841,25,75,2,5,8,19,26,21,19
3,乳がん ステージ,62800,630,4.008,-13.183,24,76,1,4,9,24,30,19,13
4,乳がん 手術後,31900,600,4.652,-0.118,19,81,1,2,5,21,31,22,18
5,乳がん 初期症状,119000,480,3.077,-31.494,12,88,3,11,17,26,23,12,8
6,乳房再建手術,7700,480,5.856,-0.001,21,79,1,3,9,25,30,19,13
7,センチネルリンパ節生検,15500,410,4.99,22.104,15,85,0,11,8,23,29,17,12
8,タモキシフェン,35700,380,4.053,36.154,21,79,1,7,10,27,34,13,8
9,乳がん ホルモン治療,17000,370,4.797,9.01,16,84,0,1,5,21,35,24,14
10,乳がん 生存率,33100,360,4.085,-10.08,33,67,3,8,11,23,26,16,13
11,医療用ウィッグ,29700,320,4.108,-3.897,18,82,1,2,7,19,29,24,18
12,乳がん手術後,19000,320,4.577,18.144,17,83,0,2,3,15,28,27,25
13,放射線治療,86100,280,2.895,8.149,36,64,1,4,7,19,26,19,24
14,リンパ浮腫,72500,280,3.068,21.194,24,76,0,4,8,20,28,21,19
15,乳がん ブログ,12800,270,4.718,-1.743,10,90,0,1,5,26,35,22,11
16,小林麻央,179000,260,2.075,-0.103,28,72,2,8,16,26,23,14,11
17,抗がん剤 副作用,92800,260,2.75,5.459,29,71,1,6,7,17,24,21,24
18,人工乳房,4300,260,5.814,2.523,27,73,2,3,8,20,30,23,14
19,限度額適用認定証,176000,250,2.044,-4.115,30,70,0,6,17,21,25,19,12
20,抗がん剤治療,91300,250,2.707,5.21,39,61,1,3,7,17,24,22,26
21,乳がん 痛み,33200,250,3.706,-8.276,9,91,1,5,17,32,26,12,7
22,トリプルネガティブ乳がん,26400,240,3.932,-0.3,17,83,1,4,8,22,29,22,14
23,乳がんステージ,25400,220,3.883,-7.89,26,74,1,2,6,18,26,25,22
24,乳がん手術,11100,210,4.684,-0.052,20,80,1,2,3,16,28,25,25
25,乳がん 再建手術,5400,210,5.362,-0.022,18,82,1,4,11,35,32,12,5
26,梅宮アンナ ガン,40300,200,3.312,-1.144,22,78,1,3,9,20,29,20,18
27,パクリタキセル,25300,200,3.762,13.573,29,71,0,11,9,18,26,20,16
28,タモキシフェン 副作用 いつから,8100,200,4.849,44.086,12,88,0,1,4,32,41,11,11
29,オンコタイプdx検査,6700,200,5.094,29.887,15,85,0,2,6,27,33,19,13
30,高額医療費制度 限度額 年収,119000,180,2.13,8.55,33,67,0,2,7,15,27,28,21
31,pet 検査,119000,180,2.112,-0.647,37,63,0,3,7,20,28,21,21
32,マンモグラフィー,107000,180,2.213,-21.288,21,79,2,7,13,30,26,14,8
33,乳がんの症状,80100,180,2.529,-40.347,10,90,3,8,13,22,23,16,15
34,放射線治療 副作用,46000,180,3.1,13.926,25,75,1,5,7,17,27,22,21
