順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,口唇口蓋裂,85800,1100,3.493,0,29,71,3,13,23,24,20,11,6
2,口蓋裂,27000,610,4.106,0,29,71,4,13,20,22,20,13,8
3,口唇裂 芸能人,1100,340,6.723,0,27,73,2,7,21,24,25,16,5
4,口唇裂 エコー,1100,300,6.601,0,9,91,0,19,51,11,6,9,4
5,口唇裂 原因,1700,280,6.126,0,18,82,1,14,28,16,19,14,8
6,胎動 いつから,58400,270,2.508,-29.304,8,92,1,20,54,12,5,6,2
7,妊娠高血圧症候群,48900,230,2.531,-2.079,12,88,1,20,44,19,7,7,2
8,口唇炎,44600,200,2.511,0,19,81,3,16,20,24,20,10,7
9,出生届 書き方,36600,200,2.667,51.904,39,61,0,20,59,14,2,3,2
10,陣痛タクシー,34700,180,2.616,3.002,14,86,0,19,56,13,4,6,2
11,nst 妊婦検診,30300,150,2.572,29.435,11,89,0,25,52,11,5,5,2
12,生後1ヶ月 ミルク 量,28100,140,2.561,85.601,10,90,0,22,58,10,4,5,1
13,産褥ショーツ,25800,140,2.658,-0.187,9,91,0,20,52,13,6,6,3
14,前駆陣痛 いつから,20300,140,2.917,41.645,7,93,0,26,56,8,3,5,2
15,悪露 いつまで,26700,130,2.536,80.587,3,97,0,23,62,10,2,2,1
16,子宮頚管長,14300,130,3.169,-0.723,9,91,0,22,53,12,4,6,3
17,妊娠中期,24500,120,2.565,-25.062,11,89,1,22,54,13,4,4,2
18,生後2ヶ月 ミルク量,24100,120,2.548,106.93,10,90,0,22,57,13,3,4,1
19,正期産 いつ,22100,120,2.663,12.749,10,90,1,25,46,14,6,6,2
20,後陣痛 いつまで,20200,120,2.785,45.066,4,96,0,24,61,9,2,3,1
21,授乳中 カフェイン,23800,110,2.515,80.356,5,95,0,20,64,12,1,2,1
22,新生児 うんちの回数,22300,110,2.591,52.311,11,89,0,22,60,9,3,4,2
23,アプガースコア,22000,110,2.608,6.341,25,75,1,32,29,19,11,6,2
24,おしるし,20700,110,2.638,36.681,12,88,1,24,55,11,4,3,2
25,全前脳胞症,11900,110,3.167,0.001,15,85,1,11,25,26,21,12,4
26,逆子体操,21300,100,2.551,0.014,14,86,0,17,55,14,6,6,2
27,母乳育児 軌道にのるまで,21000,100,2.523,76.783,4,96,0,16,59,12,4,7,2
28,切迫早産 兆候,19700,100,2.58,21.327,8,92,0,25,55,9,4,5,2
29,4dエコー,17500,100,2.729,12.515,12,88,0,25,51,11,5,6,2
30,高位破水,17100,100,2.71,42.948,11,89,1,24,51,11,5,6,2
31,胎動 激しい,16300,100,2.739,0.508,12,88,0,19,59,13,3,4,2
32,ダウン症 エコー 特徴,13100,100,3.031,-20.434,12,88,0,24,58,11,2,3,2
33,中国式産み分けカレンダー,19900,90,2.527,-50.578,6,94,1,26,61,8,2,2,0
34,水通し やり方,19900,90,2.513,35.302,9,91,0,19,48,13,9,8,3
35,逆子 いつまで大丈夫,19800,90,2.511,14.404,18,82,0,19,50,11,7,10,3
36,エコー写真 見方,17700,90,2.616,-17.947,7,93,0,30,53,5,2,4,6
37,コンビ肌着,17700,90,2.609,20.73,8,92,0,20,60,11,3,5,1
38,妊婦 うなぎ,16400,90,2.709,-33.916,21,79,0,21,54,13,5,6,1
39,ファーストトイ,16200,90,2.72,21.348,14,86,0,31,51,8,4,5,1
40,みつくちとは,9900,90,3.227,-0.001,39,61,1,5,8,15,27,26,18
41,赤ちゃん 名前診断,17000,80,2.508,-16.063,31,69,1,17,58,16,3,3,2
42,スワドル いつまで,16800,80,2.588,43.323,10,90,0,19,55,11,5,8,2
43,ゼクシィベビー,14700,80,2.681,-25.578,8,92,0,22,63,9,2,3,1
44,常位胎盤早期剥離,14600,80,2.735,-2.21,12,88,1,27,46,15,6,4,1
45,脳性麻痺 赤ちゃん 特徴,14500,80,2.704,18.762,17,83,1,13,43,17,9,12,5
46,妊娠糖尿病 診断基準,12900,80,2.797,1.433,8,92,0,23,50,16,4,4,3
47,胎児ドック,10000,80,2.988,-19.401,12,88,0,15,54,19,4,6,2
48,口唇,8100,80,3.323,0,40,60,7,15,17,20,18,12,11
49,口唇口蓋裂 芸能人,6000,80,3.554,0.011,30,70,2,10,18,27,22,15,6
50,口唇口蓋裂 いつわかる,4100,80,3.904,0,9,91,1,27,47,12,6,5,2
51,ミルトン 使い方,15700,70,2.52,88.216,14,86,0,16,42,13,11,13,5
52,妊娠中 性行為,14600,70,2.568,-58.131,25,75,3,40,47,7,1,1,1
53,妊娠中期 いつから,14000,70,2.593,-18.256,6,94,0,27,53,11,4,3,2
54,妊婦 便秘,14000,70,2.554,-30.827,11,89,0,24,57,11,3,4,1
55,妊娠 体重増加 目安,13900,70,2.612,0.009,7,93,1,27,56,11,2,2,1
56,妊娠13週,13700,70,2.565,-52.395,12,88,1,16,47,16,7,10,3
57,タミータイム,13000,70,2.624,57.028,13,87,0,19,55,12,5,6,3
58,妊婦 生卵,12900,70,2.667,-24.01,16,84,0,24,57,12,3,3,1
59,手足口病 妊娠中,12900,70,2.585,-22.494,12,88,0,11,59,16,5,7,2
60,バースプラン 具体例,12700,70,2.626,35.027,14,86,0,21,60,14,2,2,1
61,妊娠後期 お腹の張り,12500,70,2.628,39.279,10,90,0,24,57,11,3,4,1
62,後期つわり 症状,12000,70,2.752,8.093,8,92,0,26,57,9,3,3,2
