順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,巻き爪 治療,48800,5700,4.194,0,29,71,1,7,10,18,26,21,17
2,陥入爪,52200,4200,3.812,0.002,28,72,6,15,18,22,21,11,7
3,巻き爪 治し方 自分で,35300,3600,4.073,0,28,72,3,6,9,17,27,21,17
4,巻き爪 病院,24200,3000,4.249,0,26,74,1,7,9,18,27,22,16
5,巻きづめを治す方法,38000,2700,3.669,-0.003,25,75,3,8,12,23,27,16,11
6,巻き爪 何科,20000,2100,4.09,0,23,77,2,7,12,22,26,18,13
7,爪水虫,146000,1800,1.931,0,38,62,1,4,9,17,25,22,22
8,巻き爪 切り方,16800,1800,4.124,0,27,73,3,10,14,18,23,18,14
9,巻き爪 テーピング法,13200,1800,4.379,0,21,79,2,6,10,21,28,19,14
10,外反母趾,173000,1600,1.646,-0.001,29,71,3,11,13,19,21,16,17
11,巻き爪の治し方 自分で,11000,1200,4.159,-0.004,29,71,2,5,7,15,28,24,19
12,巻き爪 原因,10700,1200,4.157,0,29,71,3,12,16,19,23,16,11
13,巻き爪 原因 足の親指,8300,1200,4.466,0.001,25,75,1,6,8,17,27,22,19
14,巻き爪 爪切り,6900,1000,4.455,0,35,65,1,5,10,18,26,21,19
15,巻きづめを治す 病院,10400,980,3.98,-0.001,22,78,1,2,4,19,32,25,17
16,巻き爪 痛い,7500,910,4.245,0,23,77,8,16,16,20,19,11,10
17,巻き爪の治し方,10100,870,3.94,-0.001,37,63,4,6,7,12,20,22,29
18,爪,58500,780,2.063,0.095,34,66,4,6,9,15,19,20,27
19,巻き爪テープ,5700,680,4.222,0,19,81,1,5,8,21,29,20,16
20,巻き爪 治し方,5700,620,4.112,0,26,74,5,16,19,18,19,11,12
21,巻き爪治療,4100,590,4.395,0.001,24,76,2,6,10,18,29,20,15
22,巻き爪矯正,2800,580,4.793,0.001,24,76,2,12,13,20,25,16,12
