順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,高額医療費制度,859000,240,1.45,-3.893,38,62,1,4,11,20,26,21,17
2,蜂窩織炎,432000,150,1.654,-34.229,28,72,1,7,12,21,24,19,16
3,敗血症,396000,110,1.441,-2,38,62,1,7,11,18,22,19,22
4,傷病手当金,372000,100,1.402,-13.58,38,62,0,7,15,25,29,18,6
5,デエビゴ,285000,100,1.636,5.669,34,66,1,9,12,20,24,18,16
6,間質性肺炎,384000,90,1.33,-22.977,31,69,1,5,7,14,22,22,29
7,アフラック,333000,90,1.467,-7.031,45,55,0,3,7,18,28,24,20
8,障害者年金,280000,80,1.512,-10.568,40,60,1,3,7,15,28,30,16
9,障害者手帳,276000,80,1.534,1.944,36,64,1,6,11,21,28,19,14
10,アンテベート軟膏,274000,80,1.515,-2.062,31,69,1,5,10,19,23,19,23
11,プロスタンディン軟膏,33000,80,3.569,6.014,27,73,1,7,12,22,23,18,17
12,脈拍数 正常値,286000,70,1.378,39.104,33,67,2,8,9,16,23,21,21
13,亜脱臼,271000,70,1.32,-25.275,52,48,1,4,9,16,21,23,26
14,貧血 症状,264000,70,1.378,-11.424,23,77,5,14,16,25,18,9,13
15,せん妄とは,259000,70,1.386,12.523,30,70,1,6,8,17,28,22,18
16,ゲンタシン軟膏0.1 効能,254000,70,1.496,-15.862,33,67,1,2,9,19,22,21,26
17,くも膜下出血,249000,70,1.45,-11.791,38,62,3,11,14,21,23,15,13
18,悪性リンパ腫,244000,70,1.45,-8.65,32,68,2,7,11,22,25,18,15
19,皮膚科,225000,70,1.537,-0.049,32,68,3,9,14,22,19,14,19
20,交通事故,227000,60,1.359,2.66,48,52,2,5,12,22,26,18,15
21,グループホーム,223000,60,1.389,-32.526,35,65,1,4,6,15,28,27,19
22,アズノール軟膏,195000,60,1.503,-11.845,27,73,1,5,13,19,21,20,21
23,人食いバクテリア,188000,60,1.585,-20.926,39,61,3,8,16,24,23,15,11
24,限度額適用認定証,179000,60,1.669,-12.579,30,70,0,7,17,21,25,19,11
25,ヘパリン類似物質油性クリーム,172000,60,1.626,36.965,24,76,1,7,15,20,21,17,19
26,皮膚ガン 初期症状,95400,60,2.207,-29.775,32,68,3,8,10,17,21,19,22
27,形成外科とは,49300,60,2.87,-6.047,35,65,3,11,5,6,37,28,10
28,ゲーベンクリーム,20300,60,3.8,3.763,45,55,0,9,12,19,21,19,20
29,鼠径ヘルニア,219000,50,1.319,3.699,41,59,2,7,13,19,21,18,20
30,ヘモグロビンa1c,208000,50,1.362,-17.788,35,65,1,6,9,19,26,21,18
31,腸閉塞 症状,201000,50,1.356,25.539,31,69,1,7,14,21,24,17,16
32,ステロイド 副作用,198000,50,1.456,-19.614,33,67,2,10,13,18,21,17,19
33,ct検査,191000,50,1.414,-21.515,41,59,2,7,10,18,21,18,24
34,タリージェ,191000,50,1.363,46.858,35,65,0,5,9,19,25,20,22
35,crp 高い 数値,186000,50,1.536,-13.86,33,67,0,5,9,16,23,23,24
36,リンデロン,177000,50,1.513,26.258,33,67,1,9,16,23,21,15,15
37,ヘアカラー,176000,50,1.378,70.516,17,83,2,8,17,23,22,16,12
38,ゲンタマイシン 効能,165000,50,1.453,12.849,31,69,1,6,12,22,23,18,18
39,脱水症状,163000,50,1.597,20.73,31,69,3,13,16,20,22,15,11
40,傷病手当金支給申請書,161000,50,1.524,-0.989,36,64,0,7,13,21,30,21,8
41,褥瘡,135000,50,1.732,-3.469,31,69,2,11,11,18,25,20,13
42,プレガバリン,135000,50,1.692,-5.294,36,64,0,8,11,20,25,18,18
43,高額医療費支給申請書,127000,50,1.742,13.243,36,64,0,2,8,15,26,26,23
44,メラノーマ,120000,50,1.925,-17.205,32,68,4,10,17,23,23,14,9
45,ワセリン,119000,50,1.956,-9.047,32,68,4,9,13,19,22,17,16
46,フォシーガ,105000,50,1.945,56.832,34,66,0,9,14,23,25,16,13
47,労災 手続き 流れ,93600,50,2.011,-3.429,40,60,1,6,13,24,30,17,9
48,労災 休業補償,81200,50,2.262,-8.019,41,59,0,3,10,23,32,22,10
49,ケロイドとは,56200,50,2.58,1.945,35,65,8,25,23,20,13,7,4
50,イソジンシュガーパスタ軟膏,15800,50,3.945,13.862,29,71,0,10,15,22,22,16,15
51,フィブラストスプレー,14000,50,3.9,-6.734,26,74,1,13,18,25,23,12,8
52,デブリドマンとは,12000,50,4.046,-0.446,29,71,1,21,15,21,22,13,7
53,デブリードマン,7300,50,4.702,0.467,37,63,1,21,18,22,20,12,6
54,植皮術とは,1400,50,6.327,0.001,27,73,1,19,14,19,24,14,9
55,ランソプラゾール,187000,40,1.307,-16.019,32,68,1,10,10,17,23,20,19
56,ステロイド,183000,40,1.333,23.7,50,50,4,11,13,17,18,16,21
57,肺気腫,182000,40,1.31,13.275,42,58,1,6,8,16,22,20,27
58,bmi 女性,181000,40,1.303,-36.139,7,93,6,16,13,18,21,14,12
59,タケキャブ錠10mg,175000,40,1.313,-7.251,36,64,0,2,8,16,23,23,28
60,睡眠導入剤,174000,40,1.389,36.285,40,60,1,5,8,16,24,22,24
61,むくみをとる方法,167000,40,1.326,3.634,19,81,4,10,15,26,24,11,10
62,業務用スーパー,165000,40,1.349,66.159,38,62,1,5,13,24,27,17,13
