順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,巻き爪,96200,4200,3.812,-0.002,29,71,3,8,13,21,24,17,14
2,巻き爪 治療,48800,1600,3.553,-0.036,29,71,1,7,10,18,26,21,17
3,巻き爪 治し方 自分で,35300,840,3.219,-0.012,28,72,3,6,9,17,27,21,17
4,巻きづめを治す方法,38000,820,3.087,-0.031,25,75,3,8,12,23,27,16,11
5,巻き爪 病院,24200,760,3.486,-0.038,26,74,1,7,9,18,27,22,16
6,エンレスト,88900,710,2.084,-0.048,37,63,0,12,15,23,24,14,12
7,巻き爪 何科,20000,680,3.556,-0.672,23,77,2,7,12,22,26,18,13
8,ビソプロロールフマル酸塩,78300,630,2.124,1,32,68,0,11,11,19,23,18,18
9,ナースリー通販,75200,580,2.034,-20.693,9,91,1,11,13,25,31,15,4
10,爪周囲炎,21100,580,3.325,0,24,76,5,15,25,26,15,8,6
11,クロピドグレル,66800,570,2.162,-4.489,33,67,0,16,14,20,22,15,13
12,巻き爪 痛い,7500,570,4.382,-0.003,23,77,8,16,16,20,19,11,10
13,肉芽腫,24500,560,3.132,0.007,33,67,3,15,18,24,21,11,8
14,足の親指 爪の横痛い,10900,530,3.937,-0.005,28,72,10,18,18,21,16,8,9
15,スピロノラクトン,67000,520,2.067,10.587,26,74,0,18,15,22,23,12,10
16,巻き爪 テーピング法,13200,510,3.691,-0.008,21,79,2,6,10,21,28,19,14
17,足の爪 痛い 親指,10200,510,3.962,-0.006,23,77,3,8,13,19,24,17,16
18,ドネペジル,60400,500,2.138,-2.511,28,72,1,10,11,20,28,18,12
19,トラゾドン,66600,470,1.971,-4.82,33,67,1,12,16,24,24,14,9
20,足の親指が痛い原因,50800,450,2.194,-0.014,32,68,3,7,11,21,26,18,14
21,巻き爪 切り方,16800,450,3.331,-0.008,27,73,3,10,14,18,23,18,14
22,爪,58500,440,2.078,0.001,34,66,4,6,9,15,19,20,27
23,リクシアナ,60400,430,2.003,-0.186,39,61,0,13,12,19,21,17,18
24,メマンチン,44800,430,2.28,24.458,29,71,0,10,13,23,27,17,10
25,アゾセミド,40700,430,2.385,6.669,30,70,0,15,14,22,23,15,11
26,アミティーザカプセル,60500,420,1.993,-25.765,27,73,0,9,10,19,23,18,21
27,アルファカルシドール,51300,420,2.156,-5.579,25,75,0,14,13,18,21,17,17
28,バルーンカテーテル,47400,420,2.2,-1.034,27,73,2,10,9,20,28,20,11
29,レベチラセタム,46800,420,2.193,13.644,32,68,1,15,16,24,23,13,8
30,足の親指 爪 痛い,8800,420,3.876,-0.01,30,70,5,10,15,23,24,12,11
31,dダイマーとは,55100,410,2.033,6.946,26,74,1,16,12,19,22,16,14
32,ラメルテオン,53500,410,2.063,4.79,30,70,2,15,17,27,18,11,10
33,エリキュース,51700,410,2.107,6.961,36,64,0,14,14,20,22,16,14
34,jcs 意識レベル,50300,410,2.115,-14.655,35,65,1,29,23,22,16,6,3
35,ひょうそ 治し方,31600,410,2.574,-0.001,29,71,3,9,17,23,23,15,10
36,褥瘡 ステージ,29200,410,2.66,39.913,21,79,1,12,12,22,27,17,9
37,爪白癬,29200,410,2.658,0.001,32,68,2,11,16,24,24,14,9
