順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,蜂窩織炎,432000,150,2.623,-19.418,28,72,1,7,12,21,24,19,16
2,パーキンソン病,849000,100,1.51,-34.876,38,62,2,8,9,16,21,19,25
3,高額医療費制度,859000,90,1.433,-55.988,38,62,1,4,11,20,26,21,17
4,糖尿病,713000,90,1.538,15.774,43,57,2,5,8,17,26,21,21
5,bmi 計算 自動,712000,80,1.516,-9.659,30,70,6,18,17,18,18,13,10
6,認知症,476000,80,1.927,-32.304,36,64,1,3,5,13,28,25,25
7,坐骨神経痛,688000,70,1.414,-5.211,34,66,1,5,10,19,24,20,21
8,アセトアミノフェン,527000,70,1.634,21.048,33,67,2,9,15,24,22,15,13
9,高齢者,409000,70,1.902,-18.891,38,62,1,1,2,8,21,29,38
10,敗血症,396000,70,1.914,-0.016,38,62,1,7,11,18,22,19,22
11,間質性肺炎,384000,70,2.021,-9.849,31,69,1,5,7,14,22,22,29
12,心不全,264000,70,2.316,22.426,34,66,2,7,10,18,24,19,20
13,褥瘡,135000,70,3,-15.741,31,69,2,11,11,18,25,20,13
14,統合失調症,598000,60,1.367,-2.783,33,67,3,11,14,22,24,15,11
15,甲状腺機能低下症,547000,60,1.471,-7.168,23,77,1,6,10,16,21,20,26
16,膠原病,541000,60,1.4,0.005,32,68,1,6,11,19,24,19,20
17,ギランバレー症候群,531000,60,1.497,-5.208,34,66,2,8,11,17,21,19,22
18,血糖値 基準値,373000,60,1.777,13.399,43,57,1,6,6,13,24,24,26
19,骨粗鬆症,301000,60,2.123,17.977,24,76,2,5,5,12,22,25,29
20,アムロジピン,295000,60,2.167,-10.75,40,60,1,7,7,14,24,23,24
21,アンテベート軟膏,274000,60,2.112,-27.176,31,69,1,5,10,19,23,19,23
22,訪問看護,107000,60,2.979,-43.895,29,71,1,5,10,23,29,19,13
23,皮膚潰瘍,7400,60,5.824,-0.004,32,68,2,9,13,23,24,17,12
24,難治性潰瘍,1300,60,7.394,-0.939,28,72,1,11,14,22,26,17,9
25,アンブロキソール,493000,50,1.432,-43.603,29,71,2,7,18,28,21,13,11
26,カロナール 効果,491000,50,1.359,-1.84,41,59,3,10,11,15,21,19,21
27,リンデロンvg軟膏,475000,50,1.355,-12.341,30,70,1,5,12,20,22,19,21
28,フェキソフェナジン60mg,404000,50,1.48,2.16,31,69,0,2,15,26,25,17,15
29,厚生労働省,384000,50,1.558,-24.36,47,53,2,6,9,19,26,22,16
30,脊柱管狭窄症,355000,50,1.674,-7.651,39,61,1,3,5,11,20,24,36
31,セレコキシブ錠100,301000,50,1.878,-32.454,31,69,1,3,6,14,24,24,28
32,シェーグレン症候群,276000,50,1.959,39.15,20,80,1,7,9,17,26,23,17
33,ロコイド軟膏,260000,50,1.933,13.89,25,75,1,7,17,23,20,16,16
34,フレイルとは,256000,50,2.069,-5.202,35,65,1,4,4,11,20,23,37
35,心房細動,248000,50,2.052,-9.891,39,61,1,7,8,14,21,22,27
36,悪性リンパ腫,244000,50,2.029,-14.259,32,68,2,7,11,22,25,18,15
37,グループホーム,223000,50,2.226,18.7,35,65,1,4,6,15,28,27,19
38,変形性膝関節症,219000,50,2.153,0.941,28,72,1,6,6,14,25,25,23
39,ヘモグロビンa1c,208000,50,2.231,9.056,35,65,1,6,9,19,26,21,18
40,ロスバスタチン錠2.5mg,165000,50,2.513,12.011,33,67,0,4,6,12,25,26,27
41,下肢静脈瘤,155000,50,2.583,-6.122,26,74,1,5,10,20,26,20,18
42,プロスタンディン軟膏,33000,50,4.156,-2.619,27,73,1,7,12,22,23,18,17
43,うっ滞性皮膚炎,19300,50,4.615,0.001,26,74,1,9,13,21,24,18,14
44,壊疽性膿皮症,7100,50,5.617,-0.002,34,66,1,12,17,23,23,13,11
45,膀胱炎,432000,40,1.321,-17.961,23,77,2,8,11,20,24,17,18
46,協会けんぽ,411000,40,1.329,-14.225,40,60,0,4,11,22,28,23,12
47,整形外科,403000,40,1.329,-23.276,34,66,2,5,13,25,24,16,15
48,年齢早見表 2025,380000,40,1.317,45.77,50,50,0,3,7,17,25,24,24
49,ミヤbm錠,370000,40,1.417,-21.48,32,68,1,8,13,21,21,17,19
50,マンジャロ,361000,40,1.415,19.607,31,69,2,15,21,26,21,10,5
51,狭心症,360000,40,1.534,22.892,38,62,2,8,11,19,23,18,19
52,エビデンスとは,355000,40,1.346,18.668,49,51,2,4,8,17,24,21,24
53,エマージェンシーコール,342000,40,1.448,105.004,36,64,4,9,14,22,23,18,10
54,パワーポイント,326000,40,1.548,4.69,52,48,4,8,10,25,28,15,10
55,橋本病,317000,40,1.646,-12.998,23,77,2,7,13,22,25,17,14
56,レボフロキサシン,293000,40,1.666,-9.78,31,69,1,10,16,22,22,15,14
57,デエビゴ,285000,40,1.758,32.055,34,66,1,9,12,20,24,18,16
58,口唇ヘルペス,283000,40,1.574,-114.824,25,75,2,8,17,25,24,14,10
59,潰瘍性大腸炎,278000,40,1.597,-22.874,35,65,2,11,16,22,24,15,10
60,尿管結石,270000,40,1.597,35.649,46,54,2,10,16,23,25,14,10
61,大動脈解離,267000,40,1.764,-53.462,40,60,1,7,11,19,25,20,17
62,低血糖症状,266000,40,1.674,-12.478,29,71,2,13,15,20,22,15,13
63,せん妄とは,259000,40,1.819,11.972,30,70,1,6,8,17,28,22,18
64,誤嚥性肺炎,258000,40,1.748,-37.523,35,65,1,6,8,15,26,22,22
65,ゲンタシン軟膏0.1 効能,254000,40,1.718,-21.784,33,67,1,2,9,19,22,21,26
66,迷走神経反射,252000,40,1.767,-44.826,22,78,4,15,17,23,22,12,7
67,酸化マグネシウム,238000,40,1.903,5.69,29,71,2,7,12,17,20,18,24
68,メトホルミン,234000,40,1.759,-78.864,33,67,0,6,11,23,30,18,12
69,腎盂腎炎,228000,40,1.945,33.718,26,74,1,10,15,23,25,15,11
70,皮膚科,225000,40,2.016,-0.609,32,68,3,9,14,22,19,14,19
71,ステロイド 副作用,198000,40,1.957,-59.485,33,67,2,10,13,18,21,17,19
72,ベポタスチン,196000,40,1.989,-64.858,31,69,2,8,15,28,23,13,11
73,アズノール軟膏,195000,40,2.17,-44.955,27,73,1,5,13,19,21,20,21
74,ランソプラゾール,187000,40,2.206,-4.789,32,68,1,10,10,17,23,20,19
75,ヘパリン類似物質油性クリーム,172000,40,2.092,1.114,24,76,1,7,15,20,21,17,19
76,脱水症状,163000,40,2.152,-26.292,31,69,3,13,16,20,22,15,11
77,ペースメーカー,149000,40,2.293,-72.424,37,63,3,7,9,17,24,19,21
78,レビー小体型認知症,133000,40,2.547,6.758,27,73,1,7,9,17,27,21,18
79,ネフローゼ症候群,132000,40,2.469,-0.874,32,68,2,13,13,21,22,15,14
80,多発性硬化症,106000,40,2.616,67.003,27,73,1,9,11,19,24,20,16
81,バイアスピリン,104000,40,2.71,-34.208,36,64,0,13,12,16,20,18,21
82,エンレスト,88900,40,2.877,19.088,37,63,0,12,15,23,24,14,12
83,フェブキソスタット,88500,40,2.728,-17.922,46,54,0,12,13,21,24,17,13
84,copdとは,82500,40,2.964,-28.619,35,65,3,11,9,15,21,20,21
85,cvポート,68600,40,3.015,0.029,25,75,1,13,12,21,25,17,11
86,潰瘍,44600,40,3.602,-1.589,39,61,4,12,15,19,21,15,14
87,フィブラストスプレー,14000,40,4.716,38.444,26,74,1,13,18,25,23,12,8
88,難治性,4900,40,5.655,0,31,69,3,7,12,22,26,17,13
89,膝の痛み,358000,30,1.335,14.582,35,65,1,2,5,15,26,25,26
90,窪塚愛流,323000,30,1.39,11.554,24,76,3,8,12,20,24,20,13
91,ヘバーデン結節,299000,30,1.481,28.514,20,80,0,2,5,14,29,27,23
92,アムウェイ,294000,30,1.328,7.036,36,64,2,11,15,22,22,17,11
93,胃がん 初期症状,290000,30,1.415,-11.825,33,67,1,6,13,20,24,18,18
94,ビラノア錠,289000,30,1.328,29.985,31,69,1,8,14,23,25,16,13
95,カロナール500,288000,30,1.319,27.548,37,63,1,5,10,20,23,18,23
96,手足口病 登園目安,282000,30,1.338,-68.919,14,86,0,5,40,34,8,8,5
97,腎臓病の症状,282000,30,1.325,14.305,40,60,0,2,5,13,22,25,33
98,障害者年金,280000,30,1.443,-20.112,40,60,1,3,7,15,28,30,16
99,那覇空港,278000,30,1.338,-3.181,46,54,1,7,13,23,25,19,12
100,ビタミンd 食べ物,277000,30,1.363,22.432,22,78,1,6,11,19,25,20,18
101,障害者手帳,276000,30,1.31,30.799,36,64,1,6,11,21,28,19,14
102,突発性難聴,274000,30,1.487,-22.026,29,71,4,10,14,20,22,16,14
103,白血球の数値が高い,271000,30,1.575,61.618,30,70,1,9,15,22,24,16,13
104,心筋梗塞,268000,30,1.57,-56.178,42,58,2,7,10,18,24,19,20
105,カンジダ,265000,30,1.364,-3.807,27,73,5,22,22,22,16,7,6
106,甲状腺機能亢進症,259000,30,1.449,-12.346,23,77,2,8,11,23,27,17,12
107,クレアチニンとは,254000,30,1.427,18.186,42,58,1,5,6,13,21,23,31
108,火災保険,254000,30,1.373,42.202,52,48,0,5,13,19,25,22,16
109,介護保険,250000,30,1.659,13.418,39,61,1,3,5,14,28,26,23
110,くも膜下出血,249000,30,1.49,-63.1,38,62,3,11,14,21,23,15,13
111,理学療法士,247000,30,1.369,-54.664,36,64,6,10,11,24,23,13,13
112,クローン病,240000,30,1.472,31.124,31,69,3,12,15,21,22,15,12
113,リウマチ,234000,30,1.564,36.483,36,64,1,7,12,20,24,19,17
114,足のむくみの原因,234000,30,1.544,-4.891,38,62,0,2,3,12,23,24,36
115,リウマチ 初期症状,229000,30,1.468,-51.356,24,76,1,4,10,25,32,17,11
116,徳洲会病院,228000,30,1.609,-7.29,37,63,1,5,9,19,26,20,20
117,済生会病院,226000,30,1.473,1.091,36,64,1,6,10,18,24,21,20
118,てんかん 症状,222000,30,1.597,4.997,37,63,5,14,15,22,22,13,9
119,五苓散,222000,30,1.508,-17.558,26,74,1,8,17,27,24,13,10
120,糖尿病の食事,220000,30,1.645,-7.757,32,68,1,2,4,13,26,26,28
121,鼠径ヘルニア,219000,30,1.821,5.012,41,59,2,7,13,19,21,18,20
122,リベルサス,217000,30,1.709,-44.924,30,70,1,12,19,25,24,12,7
123,膠原病 初期症状,216000,30,1.724,6.976,20,80,1,2,6,16,27,23,25
124,腱鞘炎,212000,30,1.739,19.988,36,64,5,9,15,20,22,15,14
125,梅毒,210000,30,1.674,-36.741,48,52,4,17,23,25,18,8,5
126,ファモチジン,208000,30,1.738,-88.771,29,71,1,10,14,22,24,16,13
127,アセトアミノフェン200mg,207000,30,1.629,-5.552,31,69,1,6,13,23,21,17,19
128,はなさく生命,201000,30,1.727,85.521,36,64,0,4,11,14,21,23,27
129,腸閉塞 症状,201000,30,1.642,-0.014,31,69,1,7,14,21,24,17,16
