順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,動脈硬化 改善,95800,8800,3.909,0,35,65,1,2,5,15,30,25,22
2,狭心症,356000,5100,2.039,-0.046,38,62,2,8,11,18,24,18,19
3,脳梗塞,358000,4700,1.976,-0.656,41,59,2,7,7,14,24,22,24
4,動脈硬化 症状,37000,4200,4.147,0.001,28,72,1,3,6,13,25,24,28
5,心筋梗塞,268000,3900,2.046,-0.51,42,58,2,7,10,18,24,19,20
6,心不全,264000,3500,1.961,-0.003,34,66,2,7,10,18,24,19,20
7,心筋梗塞 前兆,223000,3100,1.995,0.38,37,63,2,5,9,18,26,20,20
8,コレステロール,215000,3100,2.077,-0.002,34,66,1,5,6,16,25,24,23
9,動脈硬化 検査,21500,2900,4.303,0,29,71,0,2,6,15,28,25,24
10,脂質異常症,176000,2700,2.108,0,30,70,1,9,12,20,27,18,13
11,血圧が高い時の症状,195000,2500,1.932,-1.903,31,69,1,2,4,16,29,24,24
12,高血圧,142000,2200,2.112,-0.007,43,57,2,7,9,19,26,19,18
13,動脈硬化 改善 食事,18900,2100,4.128,0.002,31,69,0,2,3,12,26,28,29
14,中性脂肪,156000,1900,1.869,-1.028,38,62,1,7,10,18,23,19,22
15,動脈解離とは,44200,1900,3.173,0,37,63,1,3,6,15,23,24,28
16,血圧 下が高い,132000,1700,1.906,-0.004,34,66,0,2,8,23,35,19,13
17,動脈瘤,64100,1700,2.673,0,36,64,1,4,8,16,23,20,28
18,動脈硬化指数,13900,1700,4.231,0,33,67,0,3,6,13,23,28,27
19,心臓,121000,1500,1.915,-3.574,40,60,4,7,6,12,17,23,31
20,高脂血症,120000,1500,1.962,0.423,32,68,1,5,7,14,24,25,24
21,動脈硬化 原因,10900,1500,4.316,0,39,61,3,12,8,16,25,20,16
22,バイアスピリン,104000,1300,1.932,3.38,36,64,0,13,12,16,20,18,21
23,脳卒中とは,101000,1300,1.894,-0.002,40,60,3,10,12,20,24,17,14
24,悪玉コレステロール,99700,1300,1.912,0.001,34,66,1,6,11,18,27,21,16
25,総コレステロール,90800,1300,1.986,-0.001,28,72,1,5,10,21,30,19,14
26,心筋梗塞 前兆 チェックリスト,92300,1200,1.957,-8.95,30,70,1,4,8,18,26,21,22
27,頚動脈エコー,35700,1200,2.96,0,27,73,0,2,4,14,29,27,24
28,心臓弁膜症,91100,1100,1.947,-2.622,37,63,1,3,5,11,21,27,32
29,尿素窒素とは,87400,1100,1.922,4.425,34,66,1,5,7,14,21,21,31
30,血液サラサラの薬,72500,1100,2.169,0.346,39,61,0,3,4,11,24,27,31
31,血管年齢を下げる方法,54100,1100,2.391,0.008,33,67,0,2,6,15,26,25,26
32,閉塞性動脈硬化症,36300,1100,2.835,0.003,33,67,2,12,10,16,22,19,19
33,動脈硬化 症状 初期,6700,1100,4.556,0.003,25,75,0,2,4,13,28,27,26
34,脳梗塞 原因,78200,1000,1.978,-0.157,36,64,2,7,10,18,24,17,22
35,動脈硬化とは,6300,1000,4.476,0,27,73,5,19,11,15,22,12,16
36,慢性腎臓病,77700,980,1.931,-0.003,37,63,1,7,7,15,24,23,23
37,血液サラサラ食べ物,66600,940,2.015,0.004,36,64,1,3,8,19,31,20,18
38,カテーテル手術,58000,940,2.179,-0.002,40,60,1,5,9,16,24,20,25
39,自由の女神,75600,930,1.901,-11.999,48,52,5,6,10,19,20,19,21
40,冠動脈,37100,920,2.624,0.005,46,54,2,15,10,13,17,18,25
41,脳動脈瘤,58600,880,2.083,0,30,70,1,7,10,20,26,19,17
42,血栓症とは,66300,870,1.954,-0.004,28,72,2,14,15,18,20,14,17
43,狭心症 症状 初期,55300,850,2.137,-0.022,33,67,1,4,7,15,26,23,24
44,下の血圧が高い原因,47800,850,2.239,0.358,28,72,0,3,7,20,32,23,15
45,アトス山,17900,840,3.265,-4.962,45,55,0,1,4,12,29,33,21
46,心臓カテーテル手術,53800,800,2.142,-0.866,36,64,0,2,4,10,21,28,35
47,メルヴェイユ,23000,800,2.935,-14.986,46,54,1,6,10,17,30,23,13
48,生活習慣病とは,55600,790,2.037,-1.108,37,63,11,14,10,18,20,15,12
49,脈拍が早い原因,60600,780,1.972,0.009,33,67,1,3,6,14,22,24,30
50,bnp,60500,750,1.936,1.187,38,62,1,9,8,14,20,20,28
51,徐脈,56500,750,1.96,-0.003,32,68,1,10,13,20,23,17,16
52,頸動脈,33400,740,2.491,0,42,58,6,11,11,15,20,16,21
53,腹部大動脈瘤,50400,730,2.053,-0.562,38,62,1,11,11,16,21,20,20
54,末梢神経障害,44800,720,2.154,-2.12,35,65,1,9,10,18,24,19,19
55,大動脈瘤,40900,720,2.26,-0.27,41,59,1,7,10,16,22,20,24
56,動脈硬化 食べ物,5300,720,4.309,0.001,28,72,1,3,6,15,29,23,23
57,高血圧 原因,57300,700,1.865,0,36,64,3,12,12,20,26,14,13
58,降圧剤,51100,680,1.967,1.863,44,56,0,4,7,16,26,24,23
59,コレステロールを下げる薬,48900,660,2.021,-0.004,25,75,0,1,3,11,30,34,21
60,コレステロール 薬,47800,650,2,0.926,26,74,0,2,5,16,33,27,17
61,カカドゥ国立公園,12200,650,3.4,-34.981,45,55,1,2,5,11,29,31,21
62,心不全 前兆,50600,640,1.919,-0.005,28,72,2,6,10,20,26,18,18
63,ガラパゴス諸島,33300,640,2.383,-39.994,42,58,5,8,9,16,19,19,24
