順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,大動脈解離 前兆,71100,13100,3.619,0,31,69,1,3,8,17,28,23,20
2,大動脈解離 生存率,21200,7500,4.277,0.001,41,59,2,6,9,16,25,21,21
3,大動脈瘤,40900,5700,3.349,0,41,59,1,7,10,16,22,20,24
4,大動脈解離 手術後,9100,4200,4.541,0.079,34,66,1,4,7,16,26,24,22
5,動脈解離とは,44200,3100,2.664,-0.004,37,63,1,3,6,15,23,24,28
6,大動脈解離 芸能人,7200,3100,4.465,0.002,38,62,1,4,9,17,31,21,17
7,腹部大動脈瘤,50400,3000,2.479,0.002,38,62,1,11,11,16,21,20,20
8,心タンポナーデ,61800,2500,2.102,0,38,62,3,19,15,19,21,15,8
9,大動脈弁狭窄症,40400,2400,2.485,0,34,66,1,12,10,15,22,20,20
10,大動脈瘤破裂 前兆,16900,2300,3.32,0.001,39,61,1,4,7,14,24,25,25
11,今枝宗一郎,44900,2200,2.25,-0.004,46,54,2,5,11,26,25,18,13
12,大動脈解離 後遺症,4400,2200,4.625,0.064,34,66,0,3,7,17,29,25,19
13,急性大動脈解離,15600,1800,3.151,0.043,38,62,2,13,14,21,23,15,12
14,大動脈,13400,1800,3.297,0.001,42,58,5,13,12,16,19,17,18
15,大動脈解離 b型,4300,1800,4.439,0.003,33,67,1,14,14,20,23,17,11
16,今枝宗一郎 妻,22900,1700,2.681,-0.002,33,67,1,3,9,25,27,21,14
17,冠動脈,37100,1600,2.196,-0.02,46,54,2,15,10,13,17,18,25
18,大動脈解離とは,9200,1500,3.53,0,38,62,1,10,9,14,23,21,22
19,大動脈解離 原因,5400,1500,3.985,0.001,39,61,2,12,14,23,25,14,10
20,肺塞栓症,38500,1400,2.038,3.795,33,67,1,13,12,17,20,17,20
21,たこつぼ型心筋症,30500,1300,2.127,-2.53,32,68,1,16,16,20,20,15,12
22,アミオダロン,30000,1300,2.18,-2.891,35,65,0,25,18,19,17,11,10
