順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,心筋梗塞,268000,14500,2.406,-0.001,42,58,2,7,10,18,24,19,20
2,心房細動,246000,12800,2.397,0.001,39,61,1,7,8,14,21,22,27
3,心不全とは,73800,9700,3.321,0,36,64,2,10,9,14,23,20,22
4,心不全 前兆,50600,8900,3.597,0,28,72,2,6,10,20,26,18,18
5,うっ血性心不全,99700,7500,2.733,4.892,33,67,1,10,10,18,28,19,14
6,ペースメーカー,148000,7300,2.324,1.18,37,63,3,7,9,17,24,19,21
7,不整脈,154000,7100,2.271,0.001,41,59,3,9,11,17,19,17,24
8,心不全 ステージ分類,19500,5900,4.131,0.019,31,69,1,7,10,18,27,20,17
9,心臓,121000,5700,2.316,0.007,40,60,4,7,6,12,17,23,31
10,心不全 治療,19800,5500,4.054,0.01,34,66,1,9,9,17,25,20,19
11,心不全 肺に水がたまる,17600,5400,4.148,0.009,29,71,1,3,6,15,29,27,19
12,bnp 基準値 高齢者,67400,4900,2.814,0.048,45,55,0,4,4,7,14,23,48
13,心臓弁膜症,91100,4800,2.435,-0.003,37,63,1,3,5,11,21,27,32
14,エンレスト,88800,4700,2.378,1.002,37,63,0,12,15,23,24,14,12
15,肺に水がたまる病気,81200,4600,2.471,-0.002,34,66,1,3,6,15,26,24,25
16,慢性心不全,36600,4300,3.188,1.01,30,70,1,12,9,16,24,21,17
17,ビソプロロールフマル酸塩,78000,4200,2.407,2.05,32,68,0,11,11,19,23,18,18
18,bnp,60500,4100,2.682,0.399,38,62,1,9,8,14,20,20,28
19,腎不全,69700,3900,2.439,0,39,61,1,9,12,20,25,18,15
20,急性心不全,70100,3800,2.403,0,34,66,2,9,13,22,27,14,13
21,フロセミド,62300,3700,2.488,2.104,29,71,1,19,13,19,22,15,11
22,bnp 高い 原因,54000,3600,2.659,0.04,17,83,0,7,7,14,24,22,26
23,スピロノラクトン,66800,3400,2.345,4.808,26,74,0,18,15,22,23,12,10
24,頻脈,67100,3300,2.328,0.029,32,68,2,9,11,18,22,19,19
25,廃用症候群とは,73900,3200,2.206,2.607,27,73,2,13,10,16,25,21,13
26,人工呼吸器,65700,3100,2.25,0.376,28,72,1,14,14,22,24,14,11
27,bnpとは,56200,3100,2.497,1.047,46,54,1,7,5,9,17,22,39
28,心不全 症状,18000,3100,3.552,0.007,27,73,3,26,17,19,17,9,9
29,ワーファリン,68700,3000,2.219,3.035,35,65,0,10,9,17,23,20,21
30,低カリウム血症,57900,3000,2.356,4.696,29,71,1,17,15,21,22,15,9
31,徐脈,56500,3000,2.382,-0.002,32,68,1,10,13,20,23,17,16
32,胸水,44000,3000,2.641,0.002,34,66,1,14,14,19,22,17,13
33,カルベジロール,57700,2900,2.34,2.342,36,64,0,15,13,20,22,16,14
34,リクシアナ,60400,2800,2.261,2.123,39,61,0,13,12,19,21,17,18
35,心臓カテーテル手術,53800,2800,2.427,3.628,36,64,0,2,4,10,21,28,35
36,心臓肥大とは,48000,2800,2.55,-0.002,28,72,1,2,4,12,25,25,31
37,アゾセミド,40400,2800,2.629,0.981,30,70,1,15,14,22,23,14,11
38,心臓の病気,40100,2700,2.695,-0.001,34,66,2,1,2,9,20,26,40
39,心不全 咳が出る理由,8900,2700,4.146,0.031,24,76,0,3,7,18,30,26,16
40,心不全 食事,7700,2700,4.27,0.155,26,74,1,6,6,14,30,22,21
41,エリキュース,51700,2600,2.313,2.1,37,63,0,14,14,21,22,15,14
42,低ナトリウム血症,52700,2500,2.282,-2.01,33,67,1,19,17,21,20,13,9
43,経管栄養,48100,2500,2.345,-2.259,23,77,2,15,13,21,24,16,9
44,肺水腫,46500,2500,2.405,0.095,36,64,2,15,14,19,22,15,13
45,心不全 血液検査データ,9200,2500,4.056,0.002,21,79,0,12,7,14,24,26,17
46,dダイマーとは,55000,2400,2.21,0.147,26,74,1,16,12,19,22,16,14
47,心筋炎 症状,54100,2400,2.204,0.002,26,74,1,6,12,22,24,19,16
48,高血糖症状,46700,2400,2.333,10.992,27,73,1,20,15,20,21,13,10
49,カテーテルアブレーション,44800,2400,2.456,2.641,46,54,0,6,6,11,20,25,32
50,心エコー,40600,2400,2.511,0.148,33,67,1,12,13,20,22,17,15
51,大動脈弁狭窄症,40400,2400,2.532,1.293,34,66,1,12,10,15,22,20,20
52,jcs 意識レベル,50300,2300,2.23,-3.056,35,65,1,29,23,22,16,6,3
53,バルーンカテーテル,47800,2100,2.193,-3.817,27,73,2,10,9,20,28,20,11
54,腎不全 症状,45500,2100,2.243,2.041,32,68,1,8,11,18,26,20,16
