順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,心不全,264000,12800,2.397,-0.001,34,66,2,7,10,18,24,19,20
2,不整脈 症状,224000,11300,2.45,-0.902,36,64,2,7,10,17,22,19,23
3,不整脈,154000,10500,2.763,-0.007,41,59,3,9,11,17,19,17,24
4,心房細動 カテーテル手術,21300,9300,4.666,0.023,46,54,0,1,3,9,20,28,39
5,心房細動 症状,34800,9000,4.142,0.003,36,64,1,5,4,10,20,26,34
6,カテーテルアブレーション,44800,7800,3.725,5.2,46,54,0,6,6,11,20,25,32
7,心室細動,42700,7200,3.641,0,37,63,3,14,12,18,21,17,15
8,期外収縮,69700,6900,3.122,0.161,35,65,1,8,11,19,21,19,21
9,ペースメーカー,148000,6600,2.33,0.394,37,63,3,7,9,17,24,19,21
10,不整脈 治し方,84600,5700,2.751,-0.461,44,56,1,5,8,16,23,21,26
11,ビソプロロールフマル酸塩,78000,5700,2.811,3.469,32,68,0,11,11,19,23,18,18
12,心臓,121000,5400,2.369,0.009,40,60,4,7,6,12,17,23,31
13,心房粗動,23500,5300,3.962,0.001,40,60,1,17,14,16,17,15,20
14,心房細動 治療,12700,5100,4.557,0.011,46,54,0,5,6,12,20,24,33
15,アブレーション手術,35500,4800,3.459,10.099,39,61,0,3,6,13,21,27,30
16,リクシアナ,60400,4700,2.886,4.132,39,61,0,13,12,19,21,17,18
17,バイアスピリン,104000,4600,2.329,-0.003,36,64,0,13,12,16,20,18,21
18,うっ血性心不全,99700,4600,2.343,10.632,33,67,1,10,10,18,28,19,14
19,エンレスト,88800,4500,2.427,2.544,37,63,0,12,15,23,24,14,12
20,アブレーションとは,51400,4500,3.029,1.401,30,70,1,11,10,17,21,18,22
21,頻脈,67100,4400,2.699,0,32,68,2,9,11,18,22,19,19
22,心臓弁膜症,91100,4300,2.418,-0.001,37,63,1,3,5,11,21,27,32
23,bnp 基準値 高齢者,67400,4200,2.759,10.063,45,55,0,4,4,7,14,23,48
24,血液サラサラの薬,72500,3800,2.518,4.904,39,61,0,3,4,11,24,27,31
25,エリキュース,51700,3800,2.8,1.208,37,63,0,14,14,21,22,15,14
26,心房細動とは,17500,3800,3.954,0,33,67,1,10,7,14,21,20,27
27,心電図,70900,3700,2.465,-0.002,33,67,3,19,15,19,17,12,15
28,心室性期外収縮,52400,3700,2.777,0.004,33,67,2,9,11,20,24,19,15
29,徐脈,56500,3600,2.671,0.51,32,68,1,10,13,20,23,17,16
30,心臓カテーテル手術,53800,3600,2.773,0.919,36,64,0,2,4,10,21,28,35
31,ホルター心電図,51300,3600,2.776,1.922,33,67,2,13,12,20,22,15,16
32,ワーファリン,68700,3500,2.475,0.071,35,65,0,10,9,17,23,20,21
33,bnp,60500,3500,2.61,10.579,38,62,1,9,8,14,20,20,28
34,心不全とは,73800,3200,2.309,0.19,36,64,2,10,9,14,23,20,22
35,クロピドグレル,66900,3200,2.376,0.517,33,67,0,16,14,20,22,15,13
36,bnpとは,56200,3200,2.628,7.874,46,54,1,7,5,9,17,22,39
37,bnp 高い 原因,54000,3200,2.65,3.908,17,83,0,7,7,14,24,22,26
38,スピロノラクトン,66800,3100,2.345,4.472,26,74,0,18,15,22,23,12,10
39,低カリウム血症,57900,3100,2.473,-0.018,29,71,1,17,15,21,22,15,9
40,心房細動 心電図,8000,3100,4.489,0.002,40,60,1,21,10,15,18,15,20
41,カルベジロール,57700,3000,2.473,1.056,36,64,0,15,13,20,22,16,14
42,フロセミド,62300,2900,2.37,2.895,29,71,1,19,13,19,22,15,11
43,イグザレルト,42100,2900,2.756,0.331,39,61,0,13,14,21,21,16,15
44,心房細動 原因,8000,2900,4.444,0.008,40,60,1,12,8,13,22,22,22
45,心房細動 薬,6500,2900,4.652,0.011,46,54,0,7,6,13,21,25,28
46,カテーテル手術,58000,2800,2.41,2.331,40,60,1,5,9,16,24,20,25
47,不整脈 原因,51800,2800,2.538,-1.306,36,64,2,8,11,17,22,18,22
48,ワソラン,31600,2800,3.008,0.399,34,66,0,17,14,18,19,15,17
49,dダイマーとは,55000,2700,2.412,-0.008,26,74,1,16,12,19,22,16,14
50,jcs 意識レベル,50300,2700,2.472,-7.727,35,65,1,29,23,22,16,6,3
51,メインテート,39600,2700,2.739,0.937,34,66,0,11,12,20,23,17,17
52,脈が飛ぶ,35600,2600,2.815,-0.112,38,62,1,4,8,16,22,24,25
53,発作性心房細動,16500,2600,3.596,0.296,35,65,0,14,13,17,20,17,19
54,wpw症候群,55100,2500,2.305,0.015,34,66,2,17,17,23,20,13,8
55,低ナトリウム血症,52700,2500,2.384,-2.023,33,67,1,19,17,21,20,13,9
56,心エコー,40600,2500,2.649,2.03,33,67,1,12,13,20,22,17,15
57,心不全 前兆,50600,2400,2.382,-0.001,28,72,2,6,10,20,26,18,18
58,アゾセミド,40400,2400,2.604,1.175,30,70,1,15,14,22,23,14,11
59,慢性心不全,36600,2400,2.696,0,30,70,1,12,9,16,24,21,17
60,ビソプロロール2.5mg,31300,2400,2.887,5.914,41,59,1,6,7,14,21,22,29
61,心電図 読み方,27700,2400,2.981,0.486,34,66,2,16,10,16,19,19,18
62,ラクナ梗塞,49700,2300,2.381,0.012,32,68,1,11,9,16,23,21,19
63,僧帽弁閉鎖不全症,44000,2300,2.472,-0.039,32,68,2,12,11,18,24,18,15
64,アミオダロン,30000,2300,2.845,3.231,35,65,0,25,18,19,17,11,10
65,vt 心電図,29000,2300,2.901,-0.001,22,78,1,31,19,19,18,9,3
66,リクシアナod錠30 効果,23100,2300,3.165,15.012,36,64,0,5,4,13,22,23,33
67,シロスタゾール,43900,2200,2.429,-0.15,33,67,1,16,14,20,22,15,12
68,高カリウム血症,43500,2200,2.443,-0.002,35,65,1,19,15,19,19,14,13
69,深部静脈血栓症,41100,2200,2.507,-0.314,27,73,2,23,13,18,20,14,10
70,大動脈弁狭窄症,40400,2200,2.555,0,34,66,1,12,10,15,22,20,20
71,心臓の病気,40100,2200,2.588,-0.002,34,66,2,1,2,9,20,26,40
72,af,32000,2200,2.734,0,44,56,4,22,16,20,20,11,7
73,カテーテルアブレーション 術後,8900,2200,4.101,29.779,45,55,0,2,3,10,23,27,35
74,高血糖症状,46700,2100,2.322,2.01,27,73,1,20,15,20,21,13,10
75,ビソノテープ,28800,2100,2.786,0.223,29,71,0,19,16,21,21,14,9
76,上室性期外収縮,24800,2100,2.974,0.008,34,66,1,12,12,19,21,19,16
77,発作性上室性頻拍,23200,2100,3.027,0.003,31,69,2,13,14,20,21,17,13
78,期外収縮 自覚症状 強い,18600,2100,3.276,1.164,33,67,1,4,9,18,21,23,24
79,心房細動 不整脈 違い,5500,2100,4.533,0.134,41,59,0,4,6,12,24,25,29
80,胸水,44000,2000,2.351,0.002,34,66,1,14,14,19,22,17,13
