順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,心筋梗塞 前兆,223000,21800,2.988,0,37,63,2,5,9,18,26,20,20
2,狭心症,356000,19200,2.389,0.001,38,62,2,8,11,18,24,18,19
3,心不全,264000,14500,2.406,0.001,34,66,2,7,10,18,24,19,20
4,脳梗塞,358000,12100,1.943,0.001,41,59,2,7,7,14,24,22,24
5,心筋梗塞 前兆 チェックリスト,92300,11300,3.233,0,30,70,1,4,8,18,26,21,22
6,心筋梗塞 後遺症,27100,6900,3.937,0.004,41,59,1,4,9,17,26,21,22
7,心筋梗塞 カテーテル手術,23000,5900,3.971,0.002,36,64,0,3,7,15,24,23,28
8,不整脈,154000,5100,1.92,0.336,41,59,3,9,11,17,19,17,24
9,心臓,121000,4500,2.077,2.178,40,60,4,7,6,12,17,23,31
10,動脈硬化,103000,3900,2.046,0.51,34,66,1,5,8,16,25,21,24
11,急性心筋梗塞,41600,3900,2.924,0.102,36,64,3,11,13,24,24,14,11
12,心筋梗塞 入院期間,14000,3900,4.013,0.003,37,63,1,5,9,20,28,19,18
13,カテーテルとは,109000,3800,1.988,0.412,45,55,3,8,9,13,19,19,29
14,心筋梗塞 再発率,11200,3600,4.18,0.049,46,54,1,4,6,14,28,24,23
15,バイアスピリン,104000,3400,1.916,8.953,36,64,0,13,12,16,20,18,21
16,心不全とは,73800,3400,2.248,0.002,36,64,2,10,9,14,23,20,22
17,心筋炎 症状,54100,3200,2.474,0,26,74,1,6,12,22,24,19,16
18,カテーテル手術,58000,3100,2.409,1.057,40,60,1,5,9,16,24,20,25
19,心臓弁膜症,91100,3000,1.928,1.205,37,63,1,3,5,11,21,27,32
20,心筋梗塞 予防,18100,3000,3.504,0.002,40,60,1,6,11,20,25,18,19
21,心臓カテーテル手術,53800,2800,2.408,0.651,36,64,0,2,4,10,21,28,35
22,急性心不全,70100,2600,1.981,-0.003,34,66,2,9,13,22,27,14,13
23,狭心症 症状 初期,55300,2500,2.239,0.01,33,67,1,4,7,15,26,23,24
24,心電図,70900,2400,1.939,0.311,33,67,3,19,15,19,17,12,15
25,冠動脈,37100,2300,2.57,1.122,46,54,2,15,10,13,17,18,25
26,心筋梗塞 心電図,12100,2300,3.651,0,31,69,1,22,16,22,19,11,9
27,心不全 前兆,50600,2100,2.106,0.846,28,72,2,6,10,20,26,18,18
