順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,心筋梗塞,268000,19200,2.389,-0.001,42,58,2,7,10,18,24,19,20
2,心筋梗塞 前兆,223000,16600,2.431,0,37,63,2,5,9,18,26,20,20
3,心不全,264000,14500,2.128,0.001,34,66,2,7,10,18,24,19,20
4,狭心症 症状 初期,55300,13600,3.649,0.003,33,67,1,4,7,15,26,23,24
5,心房細動,246000,12000,2.04,0.004,39,61,1,7,8,14,21,22,27
6,不整脈 症状,224000,11900,2.104,0,36,64,2,7,10,17,22,19,23
7,心臓が痛い,162000,10900,2.317,-0.007,30,70,6,10,12,21,25,14,12
8,胸の痛み,134000,9000,2.326,-0.004,33,67,2,3,8,19,26,21,21
9,狭心症 症状,40600,9000,3.549,0.002,36,64,3,12,11,15,22,17,20
10,不整脈,154000,8100,2.1,0.001,41,59,3,9,11,17,19,17,24
11,心筋梗塞 前兆 チェックリスト,92300,7200,2.499,-0.32,30,70,1,4,8,18,26,21,22
12,冠攣縮性狭心症,40100,6600,3.239,1.585,34,66,1,10,11,17,24,20,17
13,左胸の痛み,111000,6300,2.151,-0.007,33,67,3,7,11,20,26,18,15
14,心臓,121000,6100,2.094,0.004,40,60,4,7,6,12,17,23,31
15,循環器内科とは,139000,5900,1.874,0.01,33,67,1,4,8,17,26,22,22
16,動悸とは,125000,5800,1.947,0.154,42,58,7,14,14,19,21,14,11
17,ニトロペン舌下錠,34700,5600,3.209,0.166,35,65,0,7,9,16,25,21,22
18,動脈硬化,103000,5100,2.039,0.046,34,66,1,5,8,16,25,21,24
19,心臓弁膜症,91100,5000,2.179,0.001,37,63,1,3,5,11,21,27,32
20,胸が痛い,81100,4900,2.231,-0.004,35,65,6,10,11,18,23,17,15
21,カテーテルとは,109000,4800,1.941,0.909,45,55,3,8,9,13,19,19,29
22,バイアスピリン,104000,4800,1.971,3.021,36,64,0,13,12,16,20,18,21
23,胸が苦しい感じ,60900,4800,2.476,-0.005,28,72,2,5,9,22,29,18,15
24,心臓がバクバクする原因,95200,4700,2.027,-0.004,24,76,3,7,10,20,25,17,18
25,狭心症 カテーテル手術,11200,4700,4.186,0.021,42,58,1,3,5,13,25,24,29
26,動脈硬化 改善,95800,4400,1.951,0.424,35,65,1,2,5,15,30,25,22
27,心臓カテーテル手術,53800,4400,2.595,2.089,36,64,0,2,4,10,21,28,35
28,カテーテル手術,58000,4200,2.424,2.875,40,60,1,5,9,16,24,20,25
29,胸の真ん中が痛い,54600,4200,2.436,-0.003,25,75,4,10,14,21,27,15,9
30,狭心症 薬,10100,4200,4.165,0.003,40,60,1,10,9,17,24,19,20
31,期外収縮,69700,4100,2.209,0.759,35,65,1,8,11,19,21,19,21
32,不整脈 治し方,84600,4000,1.99,-0.007,44,56,1,5,8,16,23,21,26
33,循環器内科,78500,3800,2.006,0.013,31,69,1,7,12,21,24,17,18
34,ニトログリセリン,47500,3800,2.499,0.023,43,57,5,22,14,18,16,12,13
35,心電図 異常,68900,3600,2.068,-0.018,29,71,1,6,11,22,28,18,14
36,ビソプロロールフマル酸塩,78000,3500,1.933,5.544,32,68,0,11,11,19,23,18,18
37,心筋炎 症状,54100,3500,2.287,0.003,26,74,1,6,12,22,24,19,16
38,心不全とは,73800,3400,1.963,0.004,36,64,2,10,9,14,23,20,22
39,頻脈,67100,3400,2.046,0.014,32,68,2,9,11,18,22,19,19
40,冠動脈,37100,3400,2.667,0.491,46,54,2,15,10,13,17,18,25
41,心臓の病気,40100,3300,2.619,0,34,66,2,1,2,9,20,26,40
42,ホルター心電図,51300,3200,2.262,0.881,33,67,2,13,12,20,22,15,16
43,血液サラサラの薬,72500,3100,1.924,4.33,39,61,0,3,4,11,24,27,31
44,右胸の痛み,72400,3100,1.869,0.002,39,61,3,7,13,22,25,18,12
45,狭心症 ストレス,7300,3100,4.179,0.023,32,68,2,7,10,19,30,17,15
46,心電図,70900,3000,1.86,0.009,33,67,3,19,15,19,17,12,15
47,心不全 前兆,50600,3000,2.218,-0.003,28,72,2,6,10,20,26,18,18
48,心筋症,27900,3000,2.813,0,32,68,3,8,12,20,23,17,17
49,徐脈,56500,2800,2.001,1.351,32,68,1,10,13,20,23,17,16
50,狭心症 心筋梗塞 違い,8800,2800,3.894,0.005,39,61,1,10,6,12,24,23,24
51,狭心症 心電図,8200,2800,3.948,0.007,30,70,3,16,13,21,23,12,12
52,bnp 基準値 高齢者,67400,2700,1.916,7.129,45,55,0,4,4,7,14,23,48
53,脈拍が早い原因,60600,2700,1.936,-0.008,33,67,1,3,6,14,22,24,30
54,bnp,60500,2700,1.959,6.972,38,62,1,9,8,14,20,20,28
55,求心 薬 効果,58600,2700,1.955,0.862,39,61,1,4,8,18,25,22,22
56,労作性狭心症,17800,2700,3.185,1.188,38,62,3,18,10,13,18,17,21
57,狭心症 食事,5600,2700,4.304,0.034,32,68,1,2,5,14,28,27,23
58,動機 息苦しい 心臓 ドキドキ,52000,2600,2.024,-0.994,31,69,1,4,10,22,29,19,15
59,心臓の位置,48300,2600,2.125,0.01,34,66,3,6,9,16,23,19,24
60,胸の痛み 真ん中 圧迫感,24900,2600,2.747,-0.002,32,68,1,5,10,20,30,20,14
61,心臓肥大とは,48000,2500,2.129,0.001,28,72,1,2,4,12,25,25,31
62,カテーテルアブレーション,44800,2500,2.205,2.43,46,54,0,6,6,11,20,25,32
63,心臓カテーテル検査,19700,2500,2.988,2.764,32,68,1,11,8,14,23,21,22
64,bnpとは,56200,2400,1.965,7.304,46,54,1,7,5,9,17,22,39
65,胸が痛い原因 女性,45800,2400,2.083,-0.002,4,96,3,7,12,24,28,16,10
66,カテーテル検査,18800,2400,2.983,2.551,39,61,1,4,7,15,25,22,26
67,心室性期外収縮,52400,2300,1.884,-0.389,33,67,2,9,11,20,24,19,15
68,急性心筋梗塞,41600,2300,2.097,0.005,36,64,3,11,13,24,24,14,11
69,心エコー,40600,2300,2.179,2,33,67,1,12,13,20,22,17,15
70,bnp 高い 原因,54000,2200,1.874,6.68,17,83,0,7,7,14,24,22,26
71,不整脈 原因,51800,2200,1.892,-0.272,36,64,2,8,11,17,22,18,22
72,胸痛,21800,2200,2.743,0.001,28,72,3,11,14,21,24,16,11
73,不安定狭心症,13300,2200,3.221,1.896,39,61,2,17,14,16,20,15,16
74,狭心症とは,10100,2200,3.526,0,39,61,5,21,14,16,19,11,14
75,動脈硬化 症状,37000,2100,2.211,0.007,28,72,1,3,6,13,25,24,28
76,慢性心不全,36600,2100,2.192,0.007,30,70,1,12,9,16,24,21,17
77,脈が飛ぶ,35600,2100,2.231,0.001,38,62,1,4,8,16,22,24,25
78,ステントとは,47300,2000,1.919,3.264,40,60,1,4,5,12,21,24,33
79,心室細動,42700,2000,1.982,0.261,37,63,3,14,12,18,21,17,15
80,狭心症 治療,5100,2000,4.032,0.011,37,63,2,12,17,27,25,12,5
81,狭心症 何科を受診,4500,2000,4.193,0.004,31,69,1,8,14,27,29,13,8
82,大動脈弁狭窄症,40400,1900,1.995,0.052,34,66,1,12,10,15,22,20,20
83,ニコランジル錠5mg,18500,1900,2.754,5.05,36,64,1,5,5,19,25,22,23
84,胸が痛い 真ん中 圧迫感,18300,1900,2.775,-0.004,38,62,4,9,12,21,27,15,12
85,心臓神経症,15000,1900,2.953,2.125,32,68,5,11,13,21,21,15,14
86,呼吸が苦しい,42000,1800,1.833,-0.009,34,66,3,8,12,22,25,15,15
87,心臓病,30300,1800,2.229,3.823,35,65,6,7,8,14,21,19,25
88,息苦しい 胸の圧迫感,27300,1800,2.276,-0.004,26,74,4,12,18,25,23,10,8
89,心筋梗塞 後遺症,27100,1800,2.307,0.781,41,59,1,4,9,17,26,21,22
90,微小血管狭心症,16500,1800,2.844,1.087,16,84,1,2,3,16,35,24,19
91,狭心症 治るのか,4400,1800,4.137,0.101,36,64,4,14,16,20,21,12,13
92,メインテート,39600,1700,1.877,0.217,34,66,0,11,12,20,23,17,17
93,肺塞栓症,38500,1700,1.895,0.383,33,67,1,13,12,17,20,17,20
94,エフィエント,37000,1700,1.937,14.414,40,60,0,15,15,21,21,14,14
95,動悸がする時の対処法,36200,1700,1.925,1.119,38,62,1,5,9,21,28,19,17
96,心房細動 症状,34800,1700,2.095,1.304,36,64,1,5,4,10,20,26,34
97,心臓弁膜症 症状,25700,1700,2.35,0.954,30,70,0,2,4,11,23,27,33
98,狭心症 原因,4900,1700,3.944,0.002,35,65,5,18,17,22,22,11,5
99,ニフェジピンcr錠20mg,37900,1600,1.893,6.896,40,60,0,5,8,13,22,24,28
100,閉塞性動脈硬化症,36300,1600,1.916,2.088,33,67,2,12,10,16,22,19,19
101,ビソプロロール2.5mg,31300,1600,2.086,6.853,41,59,1,6,7,14,21,22,29
102,弁膜症とは,29300,1600,2.132,0.15,33,67,1,8,10,18,28,20,15
103,カルシウム拮抗薬,28000,1600,2.224,5.227,36,64,1,19,8,13,18,19,22
104,心電図 読み方,27700,1600,2.179,0.134,34,66,2,16,10,16,19,19,18
105,胸が詰まる感じ,23200,1600,2.356,0.01,30,70,2,6,9,21,28,21,13
106,心筋梗塞 カテーテル手術,23000,1600,2.407,0.248,36,64,0,3,7,15,24,23,28
107,ニトロペン舌下錠 どんな時,8400,1600,3.405,4.389,32,68,0,2,3,14,24,25,32
108,食道炎 症状,35700,1500,1.851,0.272,39,61,1,6,11,18,24,19,21
109,慢性閉塞性肺疾患,35500,1500,1.872,0.054,32,68,5,16,12,19,21,15,12
110,左胸の痛み チクチク 女性,34600,1500,1.862,-0.004,6,94,2,9,16,25,26,13,9
111,脈拍数 少ない 原因,34100,1500,1.954,3.69,27,73,0,2,3,11,24,26,34
112,気胸 症状,32700,1500,1.972,0.081,31,69,6,17,15,22,20,11,9
113,ステント手術,25700,1500,2.259,8.2,39,61,0,3,6,13,23,24,31
114,心疾患,23600,1500,2.221,0.514,42,58,3,9,13,19,25,17,14
115,胸が締め付けられるような痛み,14000,1500,2.804,-0.003,35,65,3,7,10,21,28,19,12
116,小林式epa,11300,1500,3.09,0.254,44,56,0,1,3,12,22,26,36
117,ロスバスタチン錠5mg,34600,1400,1.898,14.032,39,61,0,4,5,11,23,27,30
118,息苦しい,29400,1400,1.974,0.943,32,68,4,11,17,23,22,12,11
119,胸がチクチク 胸の痛み,26900,1400,2.012,1.952,23,77,2,8,14,27,26,13,10
120,ベニジピン塩酸塩錠4mg,17400,1400,2.54,11.484,36,64,1,4,5,15,24,23,28
121,狭心症 検査,4200,1400,3.903,0.01,33,67,2,10,16,26,28,12,6
122,脈拍,32800,1300,1.833,-0.001,39,61,2,8,9,14,19,18,30
123,ワソラン,31600,1300,1.864,2.244,34,66,0,17,14,18,19,15,17
124,pci 医療用語,27100,1300,1.961,7.216,30,70,1,25,16,21,19,11,7
125,左胸の痛み ズキズキ,22900,1300,2.113,0.074,37,63,4,13,19,27,21,9,7
126,放散痛,19300,1300,2.281,0.042,32,68,1,13,18,21,22,15,10
127,ニコランジル,19000,1300,2.338,7.718,36,64,0,29,21,16,15,9,10
128,胸が苦しい,16800,1300,2.42,-0.003,31,69,5,10,15,23,25,12,10
129,冠動脈バイパス術,13100,1300,2.782,4.357,40,60,2,13,8,12,18,23,24
130,たこつぼ型心筋症,30500,1200,1.832,2.527,32,68,1,16,16,20,20,15,12
131,クロピドグレル錠75mg,29100,1200,1.872,15.52,39,61,1,6,6,12,20,23,32
132,頻脈とは,26100,1200,1.975,1.799,33,67,2,8,8,15,24,21,22
133,左肩の痛み 心筋梗塞,22300,1200,2.054,0.241,35,65,0,3,8,21,33,21,14
134,期外収縮 自覚症状 強い,18600,1200,2.314,1.831,33,67,1,4,9,18,21,23,24
135,ニトロ,15900,1200,2.406,0.001,37,63,5,10,15,24,23,14,9
136,異型狭心症,7700,1200,3.187,1.157,37,63,2,13,11,18,23,18,15
137,心房粗動,23500,1100,2.02,1.295,40,60,1,17,14,16,17,15,20
138,発作性上室性頻拍,23200,1100,2.003,0.122,31,69,2,13,14,20,21,17,13
139,心不全 治療,19800,1100,2.132,0.002,34,66,1,9,9,17,25,20,19
140,心不全 ステージ分類,19500,1100,2.133,0.775,31,69,1,7,10,18,27,20,17
141,心筋梗塞 予防,18100,1100,2.263,0.001,40,60,1,6,11,20,25,18,19
142,むねが苦しい感じ,13900,1100,2.441,-2.42,28,72,2,6,9,21,29,19,14
143,ジルチアゼム塩酸塩100mg,11600,1100,2.678,10.586,34,66,0,5,6,12,27,24,26
144,狭心症 種類,2800,1100,4.099,0.001,35,65,2,14,14,20,25,16,9
145,息切れ 原因,22400,1000,1.975,0.001,39,61,2,5,9,17,24,21,22
146,ビソプロロールフマル,22100,1000,1.918,2.597,27,73,0,10,13,23,26,14,14
147,洞不全症候群,21300,1000,2.011,1.884,33,67,1,19,17,18,19,13,13
148,ジルチアゼム,19400,1000,2.089,5.177,37,63,0,20,17,22,16,12,13
149,心不全 症状,18000,1000,2.148,1.191,27,73,3,26,17,19,17,9,9
150,フランドルテープ,16900,1000,2.216,2.24,29,71,0,18,17,19,19,15,12
151,心筋梗塞 入院期間,14000,1000,2.397,0.016,37,63,1,5,9,20,28,19,18
152,エフィエント錠3.75mg,12800,1000,2.51,14.927,48,52,0,6,7,13,20,22,32
153,心筋梗塞 心電図,12100,1000,2.537,0.01,31,69,1,22,16,22,19,11,9
154,安静時狭心症,4700,1000,3.49,0.515,32,68,2,8,11,17,25,20,17
155,アテローム血栓性脳梗塞,23700,990,1.866,0.01,30,70,1,19,10,16,22,17,15
156,徐脈とは,23600,990,1.888,3.793,33,67,1,10,7,14,23,21,24
157,動脈硬化 検査,21500,990,1.977,2.721,29,71,0,2,6,15,28,25,24
158,発作性心房細動,16500,990,2.224,0.012,35,65,0,14,13,17,20,17,19
159,ビソプロロール,24400,980,1.838,8.496,42,58,1,15,11,15,19,19,20
160,ベニジピン,17200,980,2.168,16.839,36,64,0,14,15,16,21,17,17
