順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,拡張型心筋症,38600,1200,4.59,0,30,70,2,14,17,19,20,16,12
2,肥大型心筋症 猫,3300,560,6.303,0,20,80,2,15,18,24,26,10,5
3,心筋症,27900,520,4.101,-0.002,32,68,3,8,12,20,23,17,17
4,心エコー,40600,490,3.671,-1.091,33,67,1,12,13,20,22,17,15
5,たこつぼ型心筋症,30500,480,3.938,-0.303,32,68,1,16,16,20,20,15,12
6,心電図検定,38300,470,3.697,-24.904,30,70,3,33,20,18,13,5,8
7,大動脈弁狭窄症,40400,430,3.549,-0.007,34,66,1,12,10,15,22,20,20
8,アミオダロン,30000,400,3.754,-0.808,35,65,0,25,18,19,17,11,10
9,僧帽弁閉鎖不全症,44000,380,3.327,-0.007,32,68,2,12,11,18,24,18,15
10,ファロー四徴症,34000,340,3.474,-0.04,28,72,2,29,21,20,15,9,4
11,sglt2阻害薬,39600,330,3.304,4.96,46,54,0,12,12,19,22,19,16
12,内科学会,13200,320,4.295,-4.705,67,33,0,4,18,31,24,15,8
13,心房粗動,23500,310,3.768,0.003,40,60,1,17,14,16,17,15,20
14,アミロイドーシス,33700,290,3.333,-0.003,37,63,1,9,11,18,23,19,19
15,ブルガダ症候群,19300,290,3.846,-0.01,44,56,1,16,19,24,20,12,8
16,原発性アルドステロン症,28700,280,3.425,0.006,33,67,1,15,12,19,25,17,11
17,心アミロイドーシス,11300,280,4.373,-0.166,43,57,0,15,14,18,21,16,16
18,日本循環器学会,9500,280,4.514,-8.302,62,38,0,8,18,26,23,15,10
19,co2ナルコーシス,29700,270,3.372,-3.435,30,70,1,32,18,21,16,8,4
20,トルバプタン,29500,270,3.39,11.266,32,68,1,20,16,22,20,14,7
21,心室中隔欠損症,29000,260,3.363,-2.094,27,73,3,19,26,22,15,10,5
22,qt延長,23400,260,3.579,-3.403,36,64,1,18,19,25,18,11,8
23,日本内科学会,12900,260,4.163,-13.847,67,33,1,4,14,22,24,20,15
24,右脚ブロック,25600,250,3.427,-15.721,39,61,1,16,17,20,20,14,12
25,洞不全症候群,21300,250,3.649,-0.002,33,67,1,19,17,18,19,13,13
26,nyha分類,9800,240,4.387,-1.122,44,56,1,39,18,17,13,8,4
27,褐色細胞腫,27500,230,3.3,-4.063,32,68,1,19,12,20,22,16,10
28,感染性心内膜炎,24400,230,3.399,-0.056,30,70,1,16,18,22,20,13,10
29,セロトニン症候群,19800,230,3.615,0.16,36,64,2,19,17,21,20,13,8
30,好酸球性食道炎,10200,230,4.247,0.47,44,56,1,7,16,26,25,16,9
31,gcs 意識レベル,21400,220,3.464,-12.91,44,56,1,31,24,22,14,6,2
32,代謝性アシドーシス,20600,220,3.549,0.025,27,73,2,34,18,19,15,8,4
33,心房中隔欠損,18800,220,3.631,-0.028,28,72,3,17,22,24,17,11,6
34,心室頻拍,14400,220,3.902,-0.04,35,65,2,29,17,18,16,11,7
35,ヒドロキシクロロキン,12200,220,4.072,0.023,38,62,0,8,12,19,26,22,13
36,甲状腺クリーゼ,22300,210,3.425,-0.036,23,77,2,27,25,20,15,7,4
37,大動脈弁閉鎖不全症,16100,210,3.771,-0.056,36,64,2,12,11,15,19,19,22
38,ドブタミン,14200,210,3.88,-0.311,30,70,1,40,19,18,13,6,3
39,内科学会 2025,8500,210,4.353,157.143,65,35,0,3,10,30,28,20,9
40,悪性症候群,23600,200,3.301,-0.844,35,65,1,23,20,23,18,10,5
41,クレアチニンクリアランス,22200,200,3.373,-8.794,45,55,1,24,19,19,15,11,11
42,ファブリー病,20100,200,3.449,-0.003,33,67,1,9,16,20,21,20,13
43,バレー徴候,17000,200,3.645,-20.419,37,63,1,41,21,18,12,4,3
44,左脚ブロック,13000,200,3.915,-0.108,38,62,1,21,19,18,17,12,12
45,日本循環器学会2025,5700,200,4.681,10.239,65,35,0,4,16,28,24,17,11
46,エリスロポエチン,21200,190,3.396,-7.536,32,68,4,31,12,16,17,11,9
47,ベラパミル,20300,190,3.419,0.003,36,64,0,21,15,19,19,13,13
48,バソプレシン,19600,190,3.467,-11.267,34,66,16,36,12,15,11,6,4
49,ジルチアゼム,19400,190,3.469,1.154,37,63,0,20,17,22,16,12,13
50,psvt,15600,190,3.699,-20.126,33,67,1,31,28,20,12,5,3
51,paf 医療,15200,190,3.717,-25.358,26,74,0,33,22,21,15,6,3
52,完全房室ブロック,14300,190,3.754,-0.538,33,67,1,23,18,20,18,11,9
53,psvt 心電図,12400,190,3.9,-15.83,33,67,0,30,27,23,13,5,2
54,サラセミア,8800,190,4.232,0.013,40,60,1,15,17,24,20,15,8
55,リフィーディング症候群,19200,180,3.388,-6.746,34,66,1,30,24,22,14,6,3
56,ニコランジル,19000,180,3.411,-30.083,36,64,0,29,21,16,15,9,10
57,リバーロキサバン,20200,170,3.288,33.014,43,57,0,13,15,21,20,16,15
58,食道静脈瘤,18300,170,3.378,-1.067,38,62,1,18,13,18,21,16,13
59,抗リン脂質抗体症候群,17800,170,3.384,4.255,30,70,0,14,23,22,18,14,9
60,房室ブロック,17500,170,3.481,4.028,34,66,2,22,16,18,18,12,12
61,上室性頻拍,16200,170,3.502,-0.426,32,68,1,14,16,21,20,15,13
62,evt 医療,15500,170,3.577,-3.5,30,70,0,29,21,22,17,7,4
63,crt 医療,15200,170,3.592,-5.157,38,62,0,29,19,19,16,9,8
64,高ナトリウム血症,14200,170,3.635,0.565,34,66,1,24,20,22,17,10,6
65,ベータ遮断薬,12600,170,3.76,14.404,37,63,1,26,13,18,17,13,12
66,たこつぼ心筋症,11900,170,3.844,0.023,30,70,1,14,14,17,20,19,15
67,tavi,11500,170,3.868,-5.962,42,58,1,23,18,20,19,12,7
68,ピモベンダン,10500,170,3.948,-8.737,37,63,0,21,18,20,21,13,7
69,スワンガンツカテーテル,9000,170,4.085,-0.028,32,68,1,40,21,19,12,5,2
70,sglt2阻害薬 副作用,3600,170,5.026,-0.072,58,42,0,9,11,18,22,21,19
71,亜急性連合性脊髄変性症,3400,170,5.063,0.013,56,44,1,15,15,21,21,17,10
