順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,静脈瘤,95700,930,3.795,0,27,73,1,6,13,19,23,17,21
2,下肢静脈瘤,155000,660,2.947,0.001,26,74,1,5,10,20,26,20,18
3,深部静脈血栓症,41100,580,4.146,0,27,73,2,23,13,18,20,14,10
4,静脈瘤 足 治し方,37900,410,3.915,0,23,77,0,2,6,17,28,23,24
5,dダイマーとは,55000,320,3.254,0.004,26,74,1,16,12,19,22,16,14
6,血栓症とは,66300,290,2.975,0,28,72,2,14,15,18,20,14,17
7,リンパ浮腫,72600,280,2.874,-0.015,24,76,0,4,8,19,29,21,19
8,リクシアナ,60400,270,2.991,-0.002,39,61,0,13,12,19,21,17,18
9,下肢静脈瘤 初期症状,56700,270,3.093,0.001,23,77,0,3,7,17,28,24,21
10,エリキュース,51700,250,3.053,-0.012,37,63,0,14,14,21,22,15,14
11,閉塞性動脈硬化症,36300,230,3.368,-0.002,33,67,2,12,10,16,22,19,19
12,ワーファリン,68700,210,2.652,0.497,35,65,0,10,9,17,23,20,21
13,血液サラサラの薬,72500,200,2.577,5.205,39,61,0,3,4,11,24,27,31
14,肺塞栓症,38500,200,3.138,0.001,33,67,1,13,12,17,20,17,20
15,慢性硬膜下血腫,66400,190,2.568,-3.056,32,68,1,12,13,18,23,17,16
16,弾性ストッキング,50600,180,2.788,7.661,27,73,1,8,10,17,22,19,23
17,イグザレルト,42100,180,2.952,-0.002,39,61,0,13,14,21,21,16,15
18,血栓性静脈炎,7600,180,4.677,0.001,32,68,1,9,14,20,23,17,16
19,低カリウム血症,57900,170,2.592,7.051,29,71,1,17,15,21,22,15,9
20,下肢静脈瘤 放置すると,36900,170,3.034,0.003,27,73,1,3,6,16,26,25,23
21,血栓症 初期症状 足,22100,170,3.544,-0.022,14,86,2,14,16,16,20,16,16
22,下肢静脈血栓症,7900,170,4.58,0,30,70,1,13,14,20,20,16,16
23,静脈血栓塞栓症,3300,170,5.485,0,29,71,3,17,12,17,19,17,15
