順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,血圧を下げる方法,466000,12500,2.302,-0.681,41,59,1,2,7,19,31,22,18
2,高血圧 症状,190000,11400,3.118,-0.002,35,65,2,7,9,21,27,17,17
3,高血圧 基準 2024,137000,7300,3.018,-0.001,48,52,1,5,7,14,24,26,23
4,高血圧 対策,87800,6000,3.243,0,41,59,1,4,6,19,30,21,19
5,血圧が高い時の症状,195000,5900,2.464,-0.284,31,69,1,2,4,16,29,24,24
6,アムロジピン,296000,5500,1.971,0.959,40,60,0,8,7,14,24,23,24
7,血圧,159000,5200,2.521,-0.001,42,58,2,9,13,20,22,15,19
8,高血圧 食事,74800,5000,3.227,0,27,73,1,4,8,20,31,20,16
9,高血圧 薬,47600,4800,3.635,0,45,55,0,3,5,16,30,26,20
10,血圧計,190000,4600,2.254,0.009,47,53,1,3,5,12,23,25,31
11,高血圧 原因,57300,3700,3.188,0,36,64,3,12,12,20,26,14,13
12,血圧 下が高い,132000,3500,2.268,2.14,34,66,0,2,8,23,35,19,13
13,血圧を下げる食べ物 一覧,131000,3300,2.254,-0.009,34,66,1,2,6,18,32,23,18
14,アムロジピンod錠5mg,108000,2300,2.159,3.217,42,58,0,4,4,10,21,25,36
15,動脈硬化,103000,2200,2.112,0.007,34,66,1,5,8,16,25,21,24
16,降圧剤,51100,1900,2.67,1.027,44,56,0,4,7,16,26,24,23
17,高血圧 何科を受診,16500,1800,3.686,0,41,59,0,2,7,23,35,20,13
18,低血圧,66600,1700,2.293,0.001,27,73,5,19,19,19,16,10,12
19,高血圧 数値,21000,1700,3.401,0,32,68,2,12,11,20,25,15,15
20,高血圧 頭痛,17400,1700,3.553,0,33,67,1,6,14,27,32,12,8
21,血圧計 ランキング,87000,1600,1.954,0.02,39,61,0,1,3,14,28,25,29
22,血圧の薬,47100,1600,2.579,5.034,38,62,0,1,3,14,32,27,23
23,胡麻麦茶,49000,1200,2.245,1.006,40,60,0,3,8,19,28,23,19
24,下の血圧が高い原因,47800,1200,2.202,5.291,28,72,0,3,7,20,32,23,15
25,アムロジピンod錠2.5mg,51600,1100,2.199,2.458,36,64,0,3,3,9,20,25,40
26,血圧計 手首と上腕の違い,47100,1100,2.227,0.759,38,62,0,2,5,14,28,24,27
27,血圧下げる食べ物,42500,1000,2.163,0.016,35,65,1,8,15,26,30,13,7
28,血圧 下げる方法,32400,930,2.348,-0.159,47,53,1,8,16,26,27,13,9
29,アジルサルタン,44900,880,2.011,0.392,39,61,0,11,11,19,23,18,18
30,高血圧の薬,12500,870,3.305,0,34,66,0,2,4,14,30,26,24
31,血圧を下げる薬,27600,840,2.428,0.609,47,53,1,3,5,16,31,25,19
32,高血圧とは,7100,800,3.752,0,35,65,7,19,13,18,18,13,12
33,アジルサルタン20mg,35600,790,2.15,7.511,39,61,0,3,4,13,26,26,28
34,血圧 下が高い理由,32000,750,2.153,4.756,36,64,0,4,11,24,33,17,11
35,降圧剤 副作用,17300,750,2.817,8.759,45,55,0,3,4,14,27,27,25
36,脈拍,32800,740,2.181,0.003,39,61,2,8,9,14,19,18,30
37,血圧下が高い理由,31500,740,2.153,0.821,30,70,1,2,5,19,37,24,12
38,最低血圧が高い,24600,740,2.415,3.435,38,62,0,4,9,21,29,21,16
39,ニフェジピンcr錠20mg,37900,730,2.018,2.492,40,60,0,5,8,13,22,24,28
40,カルシウム拮抗薬,28000,730,2.324,5.034,36,64,1,19,8,13,18,19,22
41,アルドステロン,27800,670,2.21,8.75,31,69,3,25,10,17,20,14,11
42,降圧剤 強さ 比較 一覧表,19700,650,2.56,6.136,43,57,0,2,3,12,27,28,28
43,血圧下げる薬,19200,640,2.493,0.743,43,57,1,5,9,23,34,19,9
44,高血圧症,8400,640,3.352,0,61,39,3,13,10,17,22,18,17
45,血圧高い,12100,600,2.902,-0.014,30,70,2,9,13,26,29,13,8
46,高血圧 サプリ,4700,590,3.808,0.001,44,56,0,3,11,30,36,14,6
47,原発性アルドステロン症,28700,580,2.026,0.666,33,67,1,15,12,19,25,17,11
48,血圧高い時の症状,23000,570,2.211,-0.028,25,75,1,6,10,24,36,15,8
49,アムロジピン 副作用,22200,570,2.326,12.816,44,56,1,5,4,11,22,24,33
50,高血圧 基準,5700,570,3.633,0,47,53,4,21,17,19,19,12,8
51,高血圧 コーヒー,4900,570,3.756,0.002,42,58,0,3,9,23,33,20,12
52,血圧を下げる飲み物,18300,550,2.41,0.221,40,60,1,2,7,20,33,22,15
53,アルブミン 基準値,26700,530,2.063,-0.008,25,75,2,30,9,14,15,13,17
54,血圧が高い時の過ごし方,19300,530,2.39,-0.042,23,77,0,1,3,12,28,27,29
55,血圧手帳,28200,510,1.972,6.334,42,58,0,2,4,12,24,27,31
56,血圧高い原因,21700,510,2.141,-0.608,29,71,3,13,16,27,25,10,6
57,血圧が高い 原因,21200,510,2.21,-0.42,33,67,1,5,8,20,28,19,19
58,血圧測定 いつ測る,14200,510,2.638,0.03,51,49,0,2,3,10,22,29,34
59,高血圧 薬 一覧,5300,510,3.568,0,45,55,0,7,9,23,32,17,12
60,高血圧 運動,3900,510,3.873,0,44,56,1,10,11,26,31,13,8
61,高血圧 治療,3400,500,3.966,0.002,48,52,2,13,13,28,28,11,5
62,血圧下げる,10400,490,2.828,0.04,41,59,1,7,15,30,30,11,6
63,血圧測る時間はいつ,17500,480,2.381,0.807,31,69,1,1,4,13,28,26,27
64,血圧測定,11900,480,2.747,1.612,43,57,3,11,8,17,22,17,22
65,オルメサルタン錠20mg,23800,470,2.065,3.289,39,61,1,4,5,10,21,28,31
66,ブリストルスケール,24300,460,1.958,7.031,23,77,3,29,19,21,16,8,4
67,収縮期血圧とは,21200,460,2.114,0.81,30,70,3,23,14,20,20,11,9
68,胡麻麦茶 効果 口コミ,15800,460,2.399,1.68,29,71,0,1,6,20,32,22,19
69,血圧が高い,9400,460,2.927,-0.007,35,65,1,4,8,19,27,19,22
70,血圧下げる 飲み物,16500,450,2.285,0.379,33,67,0,4,14,28,34,13,7
71,コーヒー 血圧,14400,440,2.4,0.969,56,44,0,5,15,24,29,18,9
