順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,循環器内科とは,140000,8900,3.92,0,33,67,1,4,8,17,26,22,22
2,狭心症,357000,3300,1.985,-0.027,38,62,2,8,11,18,24,18,19
3,呼吸器内科,232000,3200,2.351,0,32,68,1,5,14,25,24,17,14
4,消化器内科,170000,2400,2.401,0,32,68,1,8,15,24,25,15,12
5,不整脈 症状,225000,2200,2.061,-0.487,36,64,2,7,10,17,22,19,23
6,心房細動,244000,1800,1.794,-6.169,39,61,1,7,8,14,21,22,27
7,心臓が痛い,165000,1700,2.075,-0.121,30,70,6,10,12,21,25,14,12
8,心筋梗塞 前兆,194000,1600,1.863,-0.002,37,63,2,5,9,18,26,20,20
9,不整脈,155000,1500,2.018,-0.015,41,59,3,9,11,17,19,17,24
10,胸の痛み,136000,1000,1.759,-0.448,34,66,2,3,8,19,26,21,21
11,内科,120000,1000,1.876,-0.001,36,64,2,12,19,26,21,11,9
12,心臓がバクバクする原因,96000,1000,2.141,-1.292,24,76,3,7,10,20,25,17,18
13,不整脈 治し方,85300,1000,2.232,-0.007,44,56,1,5,8,16,23,21,26
14,動悸とは,118000,990,1.876,-0.002,42,58,7,15,14,19,21,13,11
15,心臓,121000,970,1.886,-0.026,40,60,3,7,6,12,18,23,31
16,動悸がする 原因 女性,101000,960,1.992,-0.009,8,92,1,6,12,25,30,16,10
17,心電図 異常,69400,900,2.301,-0.071,29,71,1,6,11,22,28,18,14
18,心筋梗塞 前兆 チェックリスト,108000,890,1.891,-8.015,30,70,1,4,8,18,26,21,22
19,循環器,25600,850,3.285,0,39,61,1,7,8,14,21,20,29
20,左胸の痛み,110000,810,1.748,-4.361,34,66,3,7,11,20,27,18,14
21,心臓弁膜症,97200,770,1.876,-4.084,38,62,1,4,5,11,21,27,31
22,脳神経外科,93000,750,1.835,-7.731,34,66,2,5,13,22,24,16,18
