順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,ct検査,191000,590,2.432,0,41,59,2,7,10,18,21,18,24
2,肺癌 初期症状は,228000,360,1.739,-0.001,35,65,1,4,9,18,24,22,22
3,バリウム検査,136000,260,1.868,0,37,63,1,5,21,31,25,12,5
4,胸部x線,30800,250,3.35,0,31,69,5,17,16,24,25,4,9
5,レントゲン,45900,210,2.785,0,39,61,3,8,12,20,22,17,18
6,内視鏡検査,87800,190,2.028,0,40,60,2,7,13,22,24,17,15
7,x線検査 服装,2200,190,5.829,0,8,92,19,36,12,12,12,3,6
8,マンモグラフィー,107000,180,1.759,0,21,79,2,7,13,30,26,14,8
9,心電図,70800,180,2.24,-0.001,33,67,3,19,15,19,17,12,15
10,超音波検査,47700,180,2.657,0.004,29,71,2,9,10,17,19,17,26
11,x線,6000,180,4.675,0,55,45,8,18,15,18,18,12,11
12,mri検査とは,78000,150,1.982,-0.002,55,45,2,4,4,11,20,25,34
13,肺がん,72300,150,2.059,0.002,39,61,2,6,8,15,21,20,28
14,ctとmriの違い,79800,130,1.796,-0.001,37,63,1,7,9,19,23,19,22
15,肺がん 症状,74500,130,1.834,-0.001,35,65,3,9,12,16,20,18,22
16,copd,78700,120,1.734,-0.63,38,62,3,17,14,20,20,14,12
17,廃用症候群とは,73900,120,1.738,-23.803,27,73,2,13,10,16,25,21,13
18,クッシング症候群,70700,120,1.765,1.643,25,75,2,21,14,20,23,13,7
19,エコー検査,48900,120,2.221,0.007,42,58,2,5,7,14,22,21,29
20,x線検査装置,1500,120,5.554,0,88,12,0,3,11,20,30,22,14
21,副腎皮質ホルモン,63200,100,1.748,-11.157,30,70,3,12,8,14,20,20,23
22,尿検査,62400,100,1.763,0.624,38,62,6,7,9,18,21,17,22
23,フロセミド,62400,100,1.727,-7.333,29,71,1,19,13,20,21,15,11
24,ct検査 費用,41100,100,2.124,0.182,40,60,1,8,15,23,23,15,15
25,ct検査 わかること,31200,100,2.478,0.003,26,74,1,5,8,17,24,20,25
26,アルブミン 基準値,26900,100,2.625,-18.11,25,75,2,30,8,14,15,14,17
27,胸部x線 わかること,16500,100,3.117,0,27,73,3,13,15,22,23,15,9
28,放射線技師,59600,90,1.711,0.001,39,61,11,13,14,28,21,7,6
29,ct,46900,90,1.922,0.279,46,54,4,12,15,21,19,13,16
30,深部静脈血栓症,41100,90,2.112,23.35,27,73,2,23,13,18,20,14,10
31,骨密度検査,50000,80,1.818,0,18,82,0,3,5,14,27,25,26
32,腹部エコーでわかること,49500,80,1.793,-0.001,24,76,1,3,9,25,29,19,14
33,経管栄養,48000,80,1.817,23.774,23,77,2,15,13,21,24,16,9
34,心エコー,40300,80,1.944,1.035,32,68,1,12,13,20,22,17,15
35,三叉神経,33800,80,2.091,39.082,33,67,4,16,13,19,20,14,14
36,看護ルー,27400,80,2.405,-31.111,20,80,7,28,16,20,18,7,4
37,x線とは,2200,80,4.932,0,50,50,11,26,14,16,15,8,10
38,ニトログリセリン,47600,70,1.697,-16.989,43,57,5,22,14,18,16,12,13
39,十二指腸,45300,70,1.703,-30.216,39,61,3,10,12,19,21,18,17
40,合計特殊出生率,45100,70,1.732,-15.973,50,50,12,23,13,16,15,11,10
41,プロスタグランジン,44300,70,1.756,-13.986,25,75,3,22,21,22,15,9,8
42,参考文献 書き方,44200,70,1.74,-3.921,36,64,19,54,6,10,7,2,2
43,ターナー症候群,42100,70,1.797,-3.914,22,78,2,19,23,22,17,11,6
44,ツベルクリン反応,41500,70,1.849,-6.809,32,68,6,19,18,21,17,12,7
45,ダンピング症候群,41000,70,1.77,13.173,22,78,1,21,14,20,21,14,9
46,血友病とは,39300,70,1.8,-5.977,28,72,3,15,15,22,21,13,11
47,造影剤 ct,38700,70,1.805,0.001,32,68,1,6,9,20,28,20,16
48,mri ct 違い,35700,70,1.941,20.191,43,57,2,9,15,22,20,14,18
49,シャントとは,34800,70,2.056,43.196,36,64,1,14,10,16,23,19,17
50,ファロー四徴症,34300,70,2.041,-3.375,28,72,2,29,21,20,15,9,4
51,アジソン病,32000,70,2.106,-3.879,28,72,2,21,12,18,22,15,10
52,地域包括ケアシステム,30700,70,2.049,-7.558,33,67,8,23,9,19,21,12,8
53,co2ナルコーシス,29700,70,2.137,-6.178,30,70,1,32,18,21,16,8,4
54,アルドステロン,28100,70,2.252,-37.514,31,69,3,24,10,18,21,13,11
55,褐色細胞腫,27500,70,2.238,-6.685,32,68,1,19,12,20,22,16,10
56,エリスロポエチン,21200,70,2.552,-4.281,32,68,4,31,12,16,17,11,9
57,胃部x線検査とは,17200,70,2.685,0.001,28,72,0,4,22,32,25,13,4
58,x線 レントゲン,3100,70,4.4,0,35,65,4,16,17,19,19,14,11
59,腰椎,42200,60,1.713,2.33,39,61,2,8,9,15,21,20,25
60,アルブミン,40300,60,1.786,-15.724,35,65,2,12,10,16,21,17,22
61,コンパートメント症候群,37200,60,1.71,-2.952,34,66,2,28,18,20,18,9,5
62,閉塞性動脈硬化症,36500,60,1.77,-9.974,33,67,2,12,10,16,22,19,19
63,間欠性跛行,35800,60,1.854,-23.364,42,58,1,16,9,13,17,18,26
64,慢性閉塞性肺疾患,35300,60,1.841,0.045,32,68,5,16,12,19,21,14,13
65,hba1cとは,35000,60,1.947,-0.779,45,55,1,7,6,11,22,23,30
66,ロコモティブシンドローム,34900,60,1.892,-2.589,37,63,8,18,9,14,19,16,16
67,プロゲステロン,33500,60,1.915,-14.302,15,85,3,19,26,27,16,5,4
68,中心静脈栄養,31300,60,1.907,-39.95,26,74,1,11,10,16,25,24,13
69,採血,29600,60,1.981,0.293,33,67,5,13,11,17,20,15,19
70,肺に影がある病気,29200,60,1.964,1.686,26,74,1,4,8,20,27,21,19
71,アトロピン,28900,60,1.963,-0.808,30,70,1,31,18,21,15,9,5
72,ローレル指数,26800,60,2.01,-42.042,19,81,7,19,20,35,11,4,4
73,mrsa,26500,60,2.124,-6.014,29,71,2,22,18,22,18,12,6
74,ブリストルスケール,24300,60,2.253,12.922,23,77,3,29,19,21,16,8,4
75,スタンダードプリコーション,23900,60,2.218,-60.246,25,75,6,23,14,21,21,11,4
76,mmse 評価,22800,60,2.161,-8.502,32,68,1,21,13,19,21,16,9
77,バビンスキー反射,21400,60,2.305,19.986,37,63,3,34,23,16,13,8,3
78,エリクソン 発達段階,21100,60,2.365,-50.472,22,78,7,38,11,17,15,8,4
79,赤血球 基準値,21000,60,2.278,-4.097,28,72,2,25,13,16,18,13,13
80,代謝性アシドーシス,20600,60,2.316,-24.097,27,73,2,35,18,19,15,7,4
81,バソプレシン,19600,60,2.432,4.975,34,66,16,37,12,14,11,6,4
82,肺がん 検査,17700,60,2.473,-0.139,38,62,0,3,7,16,22,24,28
83,胸部レントゲン,16500,60,2.639,0.026,32,68,3,11,13,20,17,30,6
84,プロトロンビン時間,12900,60,2.885,-1.331,26,74,1,31,10,17,17,12,12
85,頭蓋内圧亢進症状,11700,60,2.905,-4.475,23,77,2,43,17,18,12,5,3
86,胸部ct,11500,60,2.849,3.498,38,62,1,8,10,25,26,17,13
87,カテコールアミンとは,9800,60,3.149,0.974,26,74,4,44,10,13,14,9,6
88,エックス線作業主任者,6800,60,3.343,0,82,18,1,16,20,25,22,10,6
89,リドカイン,33900,50,1.753,4.783,38,62,1,19,15,20,20,14,11
90,ノルアドレナリン,33400,50,1.705,-37.073,35,65,4,25,17,21,17,9,7
91,メタボリックシンドローム,33100,50,1.794,28.244,36,64,14,17,9,16,16,12,16
92,脈拍,32900,50,1.739,-10.087,39,61,2,8,9,15,19,18,29
93,mri 時間,31800,50,1.709,-0.16,25,75,5,10,17,26,21,11,10
94,肺がん ステージ,30400,50,1.741,12.292,38,62,1,4,8,16,23,22,26
95,mrsaとは,30000,50,1.707,3.043,27,73,2,20,13,18,21,16,10
96,胸腔ドレーン,29700,50,1.81,-6.848,23,77,3,37,19,19,13,5,4
97,肺がん 治療,29400,50,1.841,0.131,36,64,1,3,5,12,21,24,34
98,copd 症状,29200,50,1.921,9.028,37,63,2,11,11,17,21,19,19
99,脈拍 正常値,29200,50,1.873,-55.19,35,65,3,15,10,13,17,16,26
100,mmt 評価,27800,50,1.812,10.554,30,70,1,34,21,21,14,5,4
101,心電図 読み方,27700,50,1.946,2.807,34,66,2,16,10,16,19,19,18
102,呼吸数 正常値,27100,50,1.902,11.399,29,71,3,23,11,16,18,15,14
103,裏mbti診断,26900,50,1.886,-119.853,14,86,52,30,7,6,3,1,1
104,血色素量とは,26900,50,1.821,-38.955,28,72,1,13,11,23,24,15,13
105,シックハウス症候群,26700,50,1.859,-0.838,36,64,7,21,24,19,14,9,6
106,アシドーシスとは,26400,50,1.888,28.766,31,69,3,20,12,18,20,16,11
107,腹部超音波検査,26200,50,1.86,1.302,32,68,1,5,11,26,27,17,13
108,皮下注射,26100,50,1.911,-32.134,21,79,2,23,18,21,18,10,8
109,プロラクチン,25800,50,2.002,-11.838,30,70,3,23,23,22,16,8,5
110,rbc 血液検査,25500,50,1.916,3.419,31,69,1,11,8,13,19,20,28
111,plt 血液検査,25400,50,2.053,1.937,31,69,1,17,10,15,18,17,22
112,亢進とは,24400,50,2.017,-12.951,35,65,4,17,10,19,24,14,12
113,縦隔腫瘍,24200,50,2.047,0.97,31,69,1,10,11,18,25,19,16
114,溶血性貧血,23800,50,1.964,-6.212,29,71,2,18,13,21,21,14,11
115,病理検査とは,23400,50,1.983,26.635,37,63,1,5,11,21,28,20,14
