順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,子育て,501000,520,2.316,3.373,22,78,1,2,14,26,23,17,17
2,理由,340000,440,2.55,4.732,41,59,1,3,10,22,25,19,20
3,ヘルスケア,251000,400,2.785,1.682,30,70,1,3,7,19,26,21,23
4,ファッション,366000,390,2.344,1.044,35,65,2,3,9,23,26,19,18
5,自動車,436000,360,2.064,10.192,58,42,1,3,10,20,25,21,20
6,ロサンゼルスドジャース,396000,360,2.203,-2.602,64,36,1,4,9,16,21,22,27
7,放射線治療,86400,350,3.708,-9.576,35,65,1,4,7,19,26,19,24
8,フジテレビジョン,216000,280,2.522,0.048,40,60,1,3,9,22,27,19,19
9,アナウンサーキャスター,226000,270,2.461,5.994,39,61,1,3,10,22,26,19,19
10,話題,209000,260,2.481,3.976,40,60,3,4,11,23,25,17,17
11,た。,312000,250,2.111,-84.158,35,65,1,2,5,14,24,24,30
12,乳がん,159000,240,2.709,-21.044,25,75,2,5,8,19,26,21,19
13,メジャーリーグベースボール,245000,220,2.196,2.485,61,39,1,4,10,16,21,21,27
14,お笑い,191000,220,2.4,6.133,45,55,1,3,11,25,27,17,16
15,tbsテレビ,153000,210,2.604,-0.247,38,62,1,3,8,19,25,21,23
16,アメリカ合衆国,157000,200,2.554,5.276,55,45,2,2,7,16,20,22,31
17,万博(国際博覧会),118000,190,2.748,18.73,44,56,1,4,10,20,24,20,21
18,離婚,203000,180,2.137,1.271,34,66,1,4,14,26,24,16,15
19,意外,116000,180,2.749,-0.284,31,69,1,3,8,19,25,21,23
20,イケメン,151000,150,2.275,3.275,35,65,10,9,14,22,18,12,15
21,性犯罪,124000,150,2.44,6.153,41,59,1,4,11,24,26,17,17
22,フジテレビ系ドラマ,93900,150,2.73,16.53,26,74,1,2,7,21,30,23,16
23,肺がん,72300,150,3.08,-7.943,39,61,2,6,8,15,21,20,28
24,抗がん剤,38100,150,3.712,6.369,36,64,1,6,8,18,23,20,24
25,抗がん剤 副作用,93800,140,2.709,-70.837,29,71,1,6,7,17,24,21,24
26,放射線治療 副作用,46500,140,3.395,-45.668,25,75,1,5,7,18,26,22,21
27,レシピ,177000,130,2.044,4.599,26,74,1,5,10,20,21,17,26
28,年収,144000,130,2.154,-5.71,46,54,1,5,12,24,25,18,15
29,介護,137000,130,2.257,14.184,34,66,1,3,7,15,26,23,25
