順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,栄養情報連携料,3100,180,7.794,0.021,13,87,0,11,18,28,30,11,2
2,在宅患者訪問栄養食事指導料,1800,180,8.374,0.012,10,90,0,12,11,28,34,13,2
3,排痰補助装置加算,1900,170,8.261,0.033,11,89,0,6,12,29,36,15,2
4,無菌治療室管理加算,1900,170,8.228,0.023,11,89,0,6,12,28,36,15,3
5,ポジトロン断層撮影,1700,170,8.404,0.011,17,83,1,10,9,24,29,18,9
6,放射線治療,86400,160,4.396,-2.799,35,65,1,4,7,19,26,19,24
7,肝炎治療特別促進事業,2100,160,8.091,0.049,11,89,1,7,12,25,32,18,5
8,難病医療費助成制度,52700,140,4.768,179.052,26,74,0,4,8,21,31,20,16
9,小児抗菌薬適正使用支援加算,2300,130,7.82,0.015,18,82,0,7,14,27,33,15,4
10,ニチイ学館,59000,120,4.458,0.926,32,68,1,6,9,21,31,21,11
11,生活習慣病管理料2,21500,120,5.521,-0.007,26,74,0,4,10,25,33,18,10
12,観血的肺動脈圧測定,1100,120,8.507,0.026,10,90,0,9,12,27,37,13,2
13,高額医療費制度,859000,110,1.761,-15.057,38,62,0,4,12,20,26,21,17
14,生活習慣病管理料,52700,100,4.453,-0.03,30,70,1,3,9,22,31,21,13
15,在宅療養指導管理料,3400,100,7.079,0.005,19,81,0,4,14,33,33,12,4
16,熱傷処置,3300,100,7.119,173.445,21,79,0,7,15,28,30,15,5
17,精神保健福祉法,9000,90,6.061,165.776,39,61,2,20,13,22,24,13,6
18,発熱患者等対応加算,7700,90,6.208,-0.007,26,74,1,4,11,26,32,17,9
19,骨折観血的手術,7300,90,6.284,91.833,28,72,1,15,11,20,25,18,10
20,定位放射線治療,5500,90,6.598,0.004,33,67,1,6,6,14,25,21,27
21,密封小線源治療,1400,90,8,0.977,45,55,1,27,10,11,18,17,16
22,心理支援加算,1100,90,8.144,0.013,23,77,0,6,14,32,32,11,5
23,共済組合 法別番号,1100,90,8.122,0.03,9,91,0,9,15,29,34,10,3
24,医療的ケア児入院前支援加算,1000,90,8.244,0.008,8,92,0,8,12,26,37,15,2
25,特定疾患療養管理料,35400,80,4.569,-197.015,25,75,1,4,11,25,30,18,11
26,爪甲除去,3100,80,7.019,27.269,18,82,1,7,15,28,29,13,7
27,絆創膏固定術,2000,80,7.39,-55.909,23,77,0,9,20,30,28,9,4
28,自己血貯血,1700,80,7.605,11.09,16,84,1,14,24,25,19,11,6
29,特定感染症患者療養環境特別加算,1000,80,8.18,-101.488,26,74,0,9,15,30,30,12,4
30,調剤料 外泊期間中,1000,80,8.057,179.034,10,90,0,9,12,30,34,12,3
31,パーキンソン病,844000,70,1.302,53.302,38,62,2,8,10,15,21,19,25
32,甲状腺機能低下症,543000,70,1.825,19.971,23,77,1,6,10,16,21,20,26
33,前立腺がん 症状,229000,70,2.694,-15.241,60,40,1,3,6,13,21,24,32
34,医療的ケア児,22000,70,4.893,-0.01,25,75,2,11,17,27,23,12,8
35,特定疾患処方管理加算,14000,70,5.346,-118.954,20,80,0,6,12,27,31,15,9
36,imrt 放射線治療,4200,70,6.621,-5.383,52,48,1,9,9,14,17,19,31
37,皮膚欠損用創傷被覆材,2300,70,7.114,118.487,17,83,0,8,16,28,28,14,6
38,リハビリテーション総合計画評価料,2200,70,7.198,0.002,38,62,1,10,23,27,22,10,7
39,閉鎖循環式全身麻酔,1400,70,7.673,124.938,22,78,1,12,15,25,27,14,6
40,dpc データ提出加算,1100,70,7.936,0.841,11,89,0,5,12,30,36,12,5
41,感染症法結核の適正医療,1100,70,7.844,0.078,7,93,0,8,13,26,35,15,3
42,bmi 計算 自動,715000,60,1.335,9.969,30,70,6,18,17,18,18,13,10
43,レンコン レシピ 人気,601000,60,1.485,0.945,14,86,1,1,7,22,28,21,20
44,デエビゴ,284000,60,2.229,21.657,34,66,1,9,12,20,24,18,16
45,限度額適用認定証,182000,60,2.694,-13.238,30,70,0,6,18,21,25,19,11
46,サルコイドーシス,83000,60,3.433,-9.981,31,69,1,9,12,20,24,19,15
47,放射線治療 副作用,46500,60,4.15,-0.002,25,75,1,5,7,18,26,22,21
48,重粒子線治療,30500,60,4.449,0.004,42,58,1,4,7,16,22,23,27
49,在宅自己注射指導管理料,12300,60,5.285,-137.78,22,78,0,6,16,29,31,12,6
50,dpc,9400,60,5.645,-6.461,45,55,2,10,14,23,25,16,10
51,悪性腫瘍特異物質治療管理料,5800,60,6.17,-0.01,19,81,0,7,13,27,33,14,6
52,粒子線治療,5200,60,6.358,0.016,42,58,1,4,5,13,21,25,31
53,在宅酸素療法指導管理,3500,60,6.667,-112.005,20,80,1,6,11,26,32,14,10
54,救急医療管理加算,3200,60,6.709,0.012,42,58,1,10,18,28,27,11,5
55,放射性同位元素,3100,60,6.834,5.041,48,52,7,27,9,16,17,13,11
56,在宅患者訪問診療料,2500,60,6.976,0.001,25,75,1,5,13,26,31,17,7
57,ヘッドアップティルト試験,2100,60,7.153,-159.85,34,66,2,22,19,23,20,10,4
58,小児運動器疾患指導管理料,1100,60,7.756,-202.881,36,64,1,5,12,29,33,14,6
59,ガンマナイフ 定位放射線治療,1100,60,7.748,180.319,12,88,0,8,9,30,35,14,4
60,ギランバレー症候群,519000,50,1.457,-14.179,35,65,2,8,11,17,21,19,22
61,間質性肺炎,387000,50,1.838,7.507,31,69,1,5,7,14,22,22,29
62,子宮頸がん,385000,50,1.829,-22.649,24,76,2,10,14,23,24,16,11
63,厚生労働省,383000,50,1.833,-20.716,47,53,2,6,9,19,26,22,16
64,傷病手当金,372000,50,1.795,5.882,38,62,0,7,15,25,29,18,6
65,骨粗鬆症,300000,50,2.096,-0.906,24,76,2,5,5,12,22,25,29
66,シェーグレン症候群,273000,50,2.168,38.555,20,80,1,7,9,17,26,23,17
67,悪性リンパ腫,239000,50,2.253,7.334,33,67,2,7,11,21,25,19,15
68,ネフローゼ症候群,133000,50,2.798,46.011,32,68,2,13,13,21,22,15,14
69,多発性硬化症,105000,50,2.976,-59.514,27,73,1,9,11,19,24,20,16
70,psa 腫瘍マーカー,70000,50,3.479,-39.814,61,39,0,3,4,10,19,27,37
71,骨髄異形成症候群,55500,50,3.754,32.455,32,68,1,7,10,18,22,21,21
72,医療情報取得加算,41500,50,4.005,-43.42,27,73,1,6,13,26,30,16,8
73,中心静脈カテーテル,18600,50,4.865,118,26,74,1,22,12,17,21,16,11
74,小児慢性特定疾患,17300,50,4.792,-60.644,23,77,2,13,21,33,19,7,5
75,tnm分類,11100,50,5.222,13.953,36,64,1,37,14,16,16,10,6
76,トモセラピー,5000,50,6.178,-0.014,34,66,0,5,8,20,27,20,20
77,摂食機能療法,3800,50,6.297,0.944,37,63,1,11,22,32,22,8,4
78,imrt,2400,50,6.923,-0.005,59,41,1,16,13,16,18,16,20
79,自己血輸血,2200,50,6.791,180.556,34,66,2,16,15,27,24,10,6
80,指定自立支援医療機関,1800,50,7.011,-103.591,34,66,1,11,16,25,24,14,9
81,急性期充実体制加算,1400,50,7.237,-179.159,57,43,0,3,12,28,31,19,7
82,早期リハビリテーション加算,1200,50,7.51,0.007,46,54,0,11,28,31,19,7,4
83,救急患者連携搬送料,1200,50,7.504,-160.926,49,51,1,4,16,28,33,15,3
84,てんかん指導料,1200,50,7.378,-179.146,23,77,1,9,12,31,31,10,6
85,8003000955,447000,40,1.396,76.045,44,56,2,10,15,22,26,16,9
86,蜂窩織炎,434000,40,1.452,24.884,28,72,1,7,13,21,24,19,15
87,子宮筋腫,425000,40,1.441,-9.841,19,81,1,7,16,30,25,11,10
88,緑内障,417000,40,1.398,-4.876,37,63,1,5,9,20,24,20,21
89,肋間神経痛,409000,40,1.404,42.039,28,72,2,8,13,21,24,18,14
90,アフラック,334000,40,1.599,-5.919,45,55,0,3,7,18,28,24,20
91,アムロジピン,296000,40,1.719,-9.629,40,60,0,8,7,14,24,23,24
92,大動脈解離,268000,40,1.874,59.693,40,60,1,7,11,19,25,20,17
93,心不全,265000,40,1.858,-48.156,34,66,2,7,10,18,24,19,20
94,くも膜下出血,251000,40,1.825,-5.293,38,62,3,11,14,21,23,15,13
95,心房細動,243000,40,1.997,-10.119,39,61,1,7,8,14,21,22,27
96,高額療養費制度とは,235000,40,2.107,37.15,40,60,1,4,9,15,22,24,25
97,ct検査,191000,40,2.346,-23.937,41,59,2,7,10,18,21,18,24
98,大腸がん,189000,40,2.148,80.551,37,63,1,5,9,18,24,21,22
99,乳がん,159000,40,2.439,-11.358,25,75,2,5,8,19,26,21,19
100,ヒアルロン酸,153000,40,2.481,-28.469,27,73,2,5,9,20,25,17,22
101,順天堂大学病院,141000,40,2.47,-17.616,37,63,1,4,9,15,24,23,24
102,感染症,120000,40,2.652,-11.858,40,60,2,4,7,18,25,22,22
103,多発性骨髄腫,90100,40,3.02,9.409,33,67,1,8,9,16,23,22,21
104,リンパ浮腫,76900,40,3.252,0.014,23,77,0,4,7,19,29,22,19
105,クッシング症候群,70700,40,3.152,30.028,25,75,2,21,14,20,23,13,7
106,前立腺がん 生存率,66300,40,3.444,-13.282,48,52,1,3,6,14,20,24,32
107,国立がん研究センター中央病院,47900,40,3.61,-0.684,38,62,0,4,7,16,24,24,25
108,医療dx推進体制整備加算,46000,40,3.511,61.978,38,62,0,5,12,26,29,18,10
109,共済組合,40800,40,3.801,0.082,40,60,1,9,16,21,24,18,11
110,ファロー四徴症,34300,40,3.821,-1.028,28,72,2,29,21,20,15,9,4
111,障害者総合支援法,31000,40,3.972,17.334,36,64,2,14,10,19,24,18,13
112,エリスロポエチン,21200,40,4.464,30.217,32,68,4,31,12,16,17,11,9
113,骨シンチ 検査とは,20200,40,4.457,-13.018,36,64,0,4,5,13,22,24,32
114,長期収載品の選定療養,17200,40,4.584,0.164,37,63,1,4,11,23,27,20,14
115,シスプラチン,16700,40,4.732,0.068,38,62,1,23,12,16,18,15,15
116,ラジオ波焼灼療法,10400,40,5.259,0.057,33,67,0,5,6,15,24,24,26
117,前立腺癌 放射線治療,7600,40,5.484,-10.26,67,33,0,2,3,7,10,24,54
118,小児慢性特定疾病医療受給者証,7300,40,5.342,-83.71,19,81,1,6,24,40,21,6,2
119,グリソンスコアとは,5400,40,5.751,-3.414,63,37,0,8,5,9,12,24,42
120,地域包括診療加算,4900,40,5.847,-90.966,39,61,1,3,10,24,30,19,13
121,hcv抗体陽性,4800,40,5.824,35.013,27,73,0,12,19,23,23,13,10
122,皮膚皮下腫瘍摘出手術,4500,40,5.894,-21.415,29,71,1,8,17,27,26,13,8
123,小線源治療とは,4200,40,6.064,-0.007,49,51,1,7,6,11,15,24,36
124,急性期リハビリテーション加算,3800,40,6.05,0.031,61,39,0,10,32,32,17,5,4
125,運動器リハビリテーション,3600,40,6.221,-0.002,47,53,1,7,15,28,27,13,9
126,看護補助体制充実加算,3000,40,6.431,-9.021,31,69,0,3,10,30,37,16,4
127,難病外来指導管理料,3000,40,6.312,-84.467,21,79,1,7,15,30,28,13,6
128,内視鏡的大腸ポリープ粘膜切除術,3000,40,6.276,-49.044,32,68,0,4,9,23,31,23,10
129,カウンターショック,2200,40,6.806,-30.715,32,68,3,15,15,19,23,15,10
130,小児科外来診療料,2200,40,6.583,-55.962,29,71,1,5,14,29,31,13,7
131,データ提出加算,2100,40,6.694,0.016,41,59,0,7,15,32,29,13,4
132,自己血液輸血,1900,40,6.722,165.742,18,82,2,9,17,25,25,14,8
133,がん患者指導管理料,1900,40,6.679,-170.06,29,71,0,4,18,35,28,10,5
134,小児かかりつけ診療料,1800,40,6.846,0.007,24,76,1,7,32,27,19,10,4
135,検体検査管理加算,1600,40,6.896,177.913,28,72,0,7,12,27,29,18,7
136,眼瞼内反症手術,1500,40,7.209,-141.947,23,77,3,9,10,17,20,18,23
137,運動器リハビリテーション料,1300,40,7.129,-0.001,49,51,1,8,25,31,22,9,4
138,免疫染色病理組織標本,1100,40,7.302,-166.687,15,85,1,7,16,24,28,16,8
139,在宅ターミナルケア加算,1100,40,7.284,0.001,28,72,1,5,15,26,33,15,5
140,チンゲン菜 レシピ,392000,30,1.392,-3.21,20,80,0,3,10,20,24,20,23
141,えきねっと ログイン マイページ,390000,30,1.409,-55.043,43,57,0,5,9,17,27,25,17
142,血糖値 基準値,376000,30,1.305,-7.006,43,57,1,6,6,13,24,24,26
143,確定申告 医療費控除,369000,30,1.403,108.41,40,60,0,2,8,14,24,24,28
144,血圧 正常値,358000,30,1.491,7.957,39,61,6,26,13,16,17,11,11
145,脳梗塞,354000,30,1.367,-82.096,40,60,2,7,7,14,24,22,24
146,クロネコヤマト 料金,351000,30,1.308,33.201,36,64,1,3,7,15,27,24,23
147,福岡 観光,350000,30,1.301,77.813,38,62,3,16,16,22,23,13,7
148,amazon ログイン,340000,30,1.328,40.519,41,59,1,5,8,11,21,24,30
149,パワーポイント,327000,30,1.446,-28.467,52,48,4,8,10,25,28,15,10
150,大腸内視鏡検査,325000,30,1.399,43.846,34,66,0,2,6,20,28,24,20
