順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,放射線治療 副作用,46500,9800,4.917,0.001,25,75,1,5,7,18,26,22,21
2,抗がん剤治療,92900,6100,3.742,-0.001,39,61,1,3,7,17,24,22,26
3,抗がん剤 副作用,93800,5000,3.543,-0.001,29,71,1,6,7,17,24,21,24
4,放射線治療 費用 1回,14800,4300,5.243,0.001,30,70,0,2,4,15,26,29,24
5,乳がん,159000,4000,2.768,-21.984,25,75,2,5,8,19,26,21,19
6,pet 検査,120000,3100,2.802,-10.588,37,63,0,4,7,20,28,20,21
7,高額療養費制度とは,235000,3000,2.097,2.775,40,60,1,4,9,15,22,24,25
8,抗がん剤治療 期間 平均,48400,2900,3.671,-0.002,29,71,0,2,5,16,26,24,27
9,ct検査,191000,2700,2.21,-4.958,41,59,2,7,10,18,21,18,24
10,限度額適用認定証,182000,2600,2.166,-6.394,30,70,0,6,18,21,25,19,11
11,放射線治療 費用,8000,2600,5.342,0,33,67,0,2,6,18,28,23,23
12,乳がん 手術後,32800,2300,3.795,-18.613,20,80,1,2,5,21,31,22,18
13,先進医療とは,68300,2200,3.004,-0.003,31,69,1,4,10,17,25,24,19
14,乳がん ステージ,64400,2200,3.058,-28.464,24,76,1,4,9,24,30,19,13
15,緩和ケアとは,105000,2100,2.56,9.4,31,69,1,5,8,16,26,21,23
16,オプジーボ,89200,2000,2.656,5.651,42,58,1,5,7,17,22,22,26
17,リンパ浮腫,76900,2000,2.792,0.012,23,77,0,4,7,19,29,22,19
18,腫瘍マーカー,103000,1900,2.458,-0.387,45,55,1,5,8,18,26,23,19
19,放射線治療 効果が出るまで,5000,1900,5.497,0.984,36,64,0,2,5,17,28,26,22
20,腫瘍マーカー検査とは,132000,1800,2.153,0.978,27,73,0,2,8,22,30,21,17
21,高額医療費支給申請書,128000,1800,2.204,-0.136,36,64,0,2,8,15,26,26,23
22,乳がん 初期症状,122000,1800,2.221,-37.197,12,88,3,11,17,26,23,12,8
23,アフラックがん保険,103000,1800,2.446,-1.096,36,64,0,2,5,14,28,28,23
24,抗がん剤,38100,1800,3.433,0.45,36,64,1,6,8,18,23,20,24
25,脳腫瘍,100000,1700,2.347,-8.605,37,63,3,6,9,20,25,19,18
26,肺癌 ステージ4 平均余命,81700,1700,2.574,-6.774,37,63,1,4,8,18,24,21,24
27,化学療法とは,28300,1600,3.558,-0.001,25,75,1,10,8,19,25,20,17
28,抗がん剤 費用,24200,1600,3.739,-1.662,34,66,0,2,7,17,28,24,22
29,乳がん手術後,18200,1600,4.036,-5.147,17,83,0,2,3,15,29,27,24
30,高額医療費制度 限度額 年収,115000,1500,2.152,7.125,33,67,0,2,6,16,27,28,21
31,造影剤,78100,1500,2.464,-10.899,37,63,1,5,11,22,27,18,16
32,肺がん,72300,1500,2.607,-4.388,39,61,2,6,8,15,21,20,28
33,タモキシフェン,35800,1500,3.215,26.42,21,79,1,7,9,27,35,13,8
34,医療用ウィッグ,30100,1500,3.501,-8.889,18,82,1,2,7,19,29,23,19
35,がん治療,29200,1500,3.533,0.002,41,59,1,3,5,15,26,24,26
36,リンパ腫,90500,1400,2.321,-8.38,39,61,1,5,8,17,23,22,24
37,cvポート,68600,1400,2.567,6.879,25,75,1,13,12,21,25,17,11
38,重粒子線治療,30500,1400,3.388,-0.007,42,58,1,4,7,16,22,23,27
39,抗がん剤 脱毛,20200,1400,3.799,0.457,25,75,1,4,7,19,28,22,19
40,食道がん,85700,1300,2.236,-0.376,42,58,2,6,9,19,25,20,19
41,cea 腫瘍マーカー,79100,1300,2.403,0.186,36,64,0,5,7,15,24,23,26
42,前立腺がん 生存率,66300,1300,2.521,-10.206,48,52,1,3,6,14,20,24,32
43,放射線技師,59600,1300,2.585,0,39,61,11,13,14,28,21,7,6
44,国立がん研究センター中央病院,47900,1300,2.841,-7.008,38,62,0,4,7,16,24,24,25
45,キイトルーダ,38500,1300,3.096,8.332,40,60,0,9,12,20,23,19,17
46,抗がん剤治療中の食事,19800,1300,3.774,0.216,19,81,0,1,4,16,29,24,26
47,センチネルリンパ節生検,15300,1300,3.962,-4.928,15,85,1,11,8,23,28,17,12
48,がん保険,82000,1200,2.196,-0.302,45,55,0,4,13,23,28,20,12
49,咽頭癌,81500,1200,2.212,-1.963,40,60,1,5,10,19,25,21,19
50,お見舞いのお返し,59500,1200,2.51,15.181,26,74,0,1,6,19,32,25,17
51,ペット検査とは,41500,1200,2.905,-12.268,29,71,1,2,5,15,25,26,26
52,乳がん 生存率,34100,1200,3.083,-21.524,34,66,3,8,11,23,26,16,13
53,分子標的薬,26100,1200,3.413,3.04,32,68,1,6,6,17,26,23,21
54,パクリタキセル,25300,1200,3.436,3.057,29,71,0,11,9,18,26,20,16
55,乳がん ホルモン治療,16800,1200,3.841,0.901,16,84,0,2,5,21,34,24,14
56,シスプラチン,16700,1200,3.789,6.513,38,62,1,23,12,16,18,15,15
57,肺がん 症状,74500,1100,2.237,-15.364,35,65,3,9,12,16,20,18,22
58,入院 必要なもの,74300,1100,2.248,-15.904,23,77,1,5,12,23,29,17,13
59,腫瘍マーカー 数値 目安,44500,1100,2.761,2.071,33,67,0,2,4,13,26,26,29
60,腹膜播種,78400,1000,2.134,7.876,30,70,1,6,9,18,25,24,17
61,癌に効く食べ物,23900,1000,3.318,-2.598,31,69,1,2,6,19,31,23,18
62,免疫療法,22800,1000,3.357,1.572,36,64,1,3,7,16,23,23,27
63,乳がんの症状,75000,990,2.123,-47.931,10,90,3,8,13,22,23,16,15
64,リンパ節とは,35700,990,2.868,-0.003,42,58,3,6,9,17,23,21,21
65,放射線,16800,990,3.631,0,54,46,8,11,12,20,17,14,18
66,肺がん 治療,29400,970,3.093,-12.858,36,64,1,3,5,12,21,24,34
67,トリプルネガティブ乳がん,26200,970,3.154,-6.757,17,83,1,4,8,22,29,22,14
68,骨シンチ 検査とは,20200,960,3.45,-10.507,36,64,0,4,5,13,22,24,32
69,肺腺癌,64600,950,2.268,-1.727,32,68,0,3,6,16,23,23,29
70,肝臓がん,61300,950,2.29,-3.729,39,61,1,5,8,17,24,21,24
71,上皮内新生物とは,38600,950,2.74,-6.985,39,61,0,3,8,18,27,24,20
72,アフラック 給付金,67100,940,2.272,0.055,40,60,0,1,4,11,21,25,38
73,ドセタキセル,16300,940,3.6,-4.228,33,67,0,12,11,20,23,18,16
74,腫瘍,59400,930,2.302,-6.493,45,55,3,6,8,15,23,21,24
75,がん,57600,930,2.338,-0.001,42,58,5,7,9,18,21,18,22
76,扁平上皮癌,32600,930,2.906,-3.78,31,69,1,9,10,19,24,20,17
77,psa 腫瘍マーカー,70000,910,2.15,-17.069,61,39,0,3,4,10,19,27,37
78,乳がん手術,11700,910,3.929,-27.181,20,80,1,2,3,15,28,26,25
79,癌研有明病院,46800,870,2.49,-0.233,39,61,0,4,8,18,24,22,24
80,がんセンター,32000,870,2.843,-2.528,35,65,1,3,7,19,28,22,20
81,乳がんステージ,24000,870,3.148,-17.123,26,74,1,2,6,18,27,24,22
82,手術後,50800,860,2.386,-4.822,43,57,0,2,4,14,26,30,24
83,ホルモン療法,14000,850,3.655,0.468,23,77,1,4,7,22,32,19,15
84,造影剤 ct,38700,840,2.614,-3.858,32,68,1,6,9,20,28,20,16
85,乳がん 放射線治療 費用,4800,830,4.685,-1.469,16,84,1,1,4,27,37,20,10
86,がん患者,18200,820,3.357,4.945,32,68,1,3,5,16,31,24,20
87,陽子線治療,18500,800,3.355,-0.002,38,62,0,3,7,15,22,23,30
88,悪性リンパ腫 生存率,58000,790,2.168,-1.285,38,62,3,6,9,18,24,20,20
89,癌 末期 症状 死の前兆,26800,790,2.919,8.366,29,71,1,4,9,23,29,19,15
90,癌 ステージ4,37500,780,2.56,-1.205,50,50,3,10,17,23,20,14,13
91,乳がん 痛み,34900,780,2.607,-38.863,9,91,1,6,17,31,26,12,7
92,国立がん研究センター,26700,780,2.926,-0.224,42,58,2,7,9,19,24,18,21
93,前律線がん 症状,59900,770,2.098,-81.924,62,38,1,3,6,13,22,24,31
94,緩和ケア 病院,30500,770,2.821,17.039,24,76,1,2,4,13,28,26,26
95,肺がん ステージ,30400,770,2.799,-7.297,38,62,1,4,8,16,23,22,26
