順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,ivr 医療,14100,610,5.614,0,30,70,0,27,18,18,18,11,8
2,ercp,28800,250,4.017,-5.092,28,72,1,27,18,21,17,9,7
3,アミオダロン,30000,200,3.72,-10.621,36,64,0,25,18,20,17,11,9
4,ivr学会,1300,200,6.823,-0.026,70,30,0,5,22,33,21,14,5
5,pci,15600,190,4.364,-1.965,44,56,1,26,17,18,17,12,9
6,ivr とは,4500,170,5.437,0,56,44,0,13,9,20,24,21,13
7,nppv,19200,140,3.797,-6.674,29,71,1,30,19,22,17,8,3
8,psvt,15600,140,4.064,-15.391,33,67,1,31,28,20,12,5,3
9,evt 医療,15300,140,4.018,-21,30,70,0,29,22,21,17,7,4
10,ivr 電話,1500,140,6.3,0,64,36,1,9,14,22,29,16,9
11,gi療法,15500,130,3.936,10.514,25,75,0,34,26,23,12,4,1
12,cag,11900,130,4.208,-1.96,35,65,2,28,17,20,18,10,5
13,tae 医療,8200,130,4.621,0.001,30,70,0,38,22,18,13,6,3
14,ニコランジル,19000,120,3.661,-5.162,36,64,0,29,21,16,15,9,10
15,crt 医療,15200,120,3.93,-0.385,38,62,0,29,19,19,16,9,8
16,ards,11700,120,4.192,-3.405,39,61,1,26,23,20,15,8,7
17,paf 医療,15100,110,3.803,-5.095,26,74,0,32,23,21,15,6,3
18,ドブタミン,14100,110,3.901,16.462,30,70,1,40,19,18,13,6,3
19,オノアクト,12600,110,3.984,-20.186,33,67,0,37,23,21,12,5,2
20,tavi,11500,110,4.131,0,42,58,1,22,18,20,19,13,7
21,nomi 医療,11200,110,4.078,54.695,36,64,1,27,24,22,17,7,2
22,カルチコール,10700,110,4.146,-27.671,31,69,0,36,23,21,12,5,3
23,picc,10700,110,4.138,-17.021,33,67,1,27,20,21,18,9,4
24,アンギオとは,13600,100,3.802,-0.001,29,71,1,23,13,19,20,14,10
25,pta 医療,11500,100,3.993,19.5,28,72,1,35,18,18,15,8,5
26,mrcp,10500,100,4.082,0.071,35,65,1,24,16,18,17,12,12
27,スワンガンツカテーテル,9000,100,4.25,3.649,32,68,1,40,21,19,12,5,2
28,iabp,7500,100,4.482,-1.026,38,62,2,36,24,19,11,6,2
29,chdf,6100,100,4.688,2.973,39,61,1,37,25,20,11,4,2
30,tace,5700,100,4.735,-0.006,42,58,2,28,23,22,13,7,5
31,ivrとは,1500,100,6.079,0,46,54,2,29,17,19,19,8,6
32,esd,13500,90,3.705,-6.31,44,56,2,21,15,20,19,12,11
33,egd 医療,12800,90,3.786,2.093,29,71,1,32,18,20,16,8,5
34,aaa 医療,12800,90,3.756,29.231,28,72,1,34,22,19,14,6,4
35,siadh,12400,90,3.827,16.869,39,61,0,26,24,22,15,9,4
36,bsc,12100,90,3.784,0.868,42,58,1,17,17,23,22,13,7
37,acs 循環器,11500,90,3.876,-6.483,35,65,0,25,23,24,18,7,3
38,デクスメデトミジン,9700,90,4.102,34.127,37,63,0,33,23,20,14,7,3
39,fio2,9700,90,4.057,9.813,33,67,1,39,24,18,12,4,2
40,icls,9600,90,4.026,3.726,46,54,1,26,25,25,15,6,2
41,pe 医療,9000,90,4.185,-38.064,26,74,0,40,24,20,11,4,1
42,ptgbd,8200,90,4.183,18.953,29,71,1,37,25,20,11,4,2
43,ピトレシン,8100,90,4.277,5.068,38,62,0,38,27,19,10,4,2
44,irae,7400,90,4.291,-11.51,43,57,0,23,24,23,16,10,4
45,冠動脈 番号,7200,90,4.375,38.97,47,53,0,35,25,18,10,4,8
46,dka,6400,90,4.481,-12.515,39,61,0,20,24,23,19,10,4
47,pcps,5600,90,4.674,-8.244,41,59,1,35,25,18,12,6,3
48,icd,13600,80,3.657,21.178,49,51,2,16,16,21,21,15,9
49,ロピオン,13000,80,3.645,1.898,28,72,1,39,21,18,12,6,3
50,acs,12200,80,3.755,12.282,52,48,1,23,18,20,19,12,7
51,インフュージョンリアクション,11600,80,3.742,-12.375,25,75,1,36,20,20,14,6,3
52,as 医療,11300,80,3.836,6.701,21,79,0,35,26,22,12,4,1
53,ハルトマン手術,11000,80,3.806,-33.972,28,72,1,26,22,23,16,8,4
54,rosc 医療,10900,80,3.861,-2.421,35,65,0,24,21,25,19,8,3
55,アルガトロバン,10300,80,3.879,0.438,39,61,1,34,22,19,14,6,4
56,dapt 医療,10200,80,3.909,37.286,30,70,0,32,19,20,17,8,4
57,acls,9600,80,3.976,15.472,40,60,1,27,24,24,14,6,4
58,pd 医療,9400,80,4.043,-13.968,27,73,1,38,23,20,12,4,2
59,cabg 医療,9100,80,4.044,56.978,27,73,1,34,20,20,15,7,3
60,irae 医療,7900,80,4.135,-14.29,37,63,0,24,21,23,19,9,4
61,iabp 医療,7500,80,4.181,24.262,32,68,1,35,21,19,16,6,2
62,evt,5400,80,4.558,0,39,61,1,30,20,19,17,9,4
63,cabg,5000,80,4.675,11.093,35,65,0,39,22,18,11,7,3
64,rosc,4500,80,4.683,21.184,44,56,1,24,24,22,19,8,2
65,tae,4300,80,4.771,0.051,40,60,3,28,17,18,17,10,7
66,ivry,3100,80,5.074,0,71,29,1,6,15,26,29,15,8
67,メイロン,11700,70,3.668,-33.748,29,71,0,36,20,18,13,7,6
68,sah 医療,11600,70,3.68,-4.814,23,77,1,32,21,20,17,6,3
69,chf 医療,11500,70,3.659,34.417,27,73,0,30,23,22,17,6,2
70,tnm分類,11100,70,3.702,-10.324,36,64,1,37,14,16,16,10,6
71,エダラボン,10800,70,3.667,-0.502,35,65,0,36,18,17,15,8,6
72,胸腔穿刺,10600,70,3.729,-16.222,29,71,1,35,19,18,14,8,5
73,pac 心電図,10300,70,3.715,-7.836,24,76,0,42,23,19,10,3,3
74,hcc 医療,9700,70,3.833,13.494,24,76,0,29,21,21,16,8,5
75,cag 医療,9700,70,3.789,0.029,22,78,1,51,22,14,8,2,2
76,ps 医療,9400,70,3.779,8.592,32,68,1,31,26,21,13,5,3
77,omi 医療,9300,70,3.831,36.454,25,75,0,38,23,19,13,4,3
78,aライン 医療,8900,70,3.953,-10.378,26,74,1,38,19,20,14,6,2
79,rass,8800,70,3.931,-30.658,36,64,0,31,28,22,13,4,2
80,ロクロニウム,8700,70,3.931,0.595,36,64,1,30,19,22,15,9,4
81,オクトレオチド,8300,70,3.947,17.675,33,67,0,27,20,22,16,10,5
82,ffp 輸血,8200,70,3.945,0.05,27,73,0,42,23,18,11,4,2
83,pcps 医療,8000,70,4.06,21.903,34,66,0,34,21,19,15,7,4
84,ip 医療,7100,70,4.112,-1.058,25,75,0,36,26,20,12,4,2
85,nihss,6900,70,4.184,-4.094,49,51,1,45,25,16,8,3,2
86,avr 医療,6900,70,4.133,5.444,29,71,0,38,23,19,12,5,3
87,aki 医療,6700,70,4.149,33.645,24,76,0,37,24,21,12,4,2
88,仮性動脈瘤,5200,70,4.387,1.547,31,69,1,25,23,23,16,8,4
89,nsvt,4800,70,4.583,-5.01,33,67,0,39,29,18,8,4,2
90,egd,4000,70,4.701,1.071,36,64,0,33,18,17,18,9,5
91,evl,2400,70,5.161,34.987,31,69,0,38,22,18,13,5,4
92,brto,1900,70,5.514,-1.859,50,50,0,30,25,20,13,7,5
93,日本医学放射線学会,1900,70,5.412,11.167,68,32,0,5,11,20,27,24,13
94,放射線学会,1300,70,5.792,-19.426,61,39,0,10,19,23,22,16,10
95,doac,10300,60,3.67,-0.746,42,58,1,24,18,21,17,11,8
96,crt,9500,60,3.654,0.01,49,51,1,18,16,20,19,14,12
97,プレセデックス,9400,60,3.658,30.31,39,61,0,28,25,24,15,6,2
98,ef 心臓,9200,60,3.705,35.913,22,78,0,38,23,21,11,4,3
99,dka 医療,9000,60,3.779,33.172,29,71,0,28,25,23,16,6,2
100,pci 心臓,8900,60,3.732,-8.765,33,67,0,24,16,18,19,13,10
101,ボーラス投与 とは,8000,60,3.827,-24.048,28,72,0,31,20,22,18,6,3
102,pad 医療,7900,60,3.851,20.255,34,66,1,23,22,22,16,9,7
103,stemi 医療用語,7700,60,3.945,-25.4,35,65,0,27,20,23,19,8,3
104,ssi 医療,7700,60,3.827,-8.109,30,70,1,31,21,21,17,6,3
105,emr,7400,60,3.949,3.014,34,66,1,23,16,20,20,12,8
106,edチューブ,7300,60,3.89,8.937,26,74,0,33,22,22,15,6,2
107,ie 医療,7200,60,4.01,9.616,25,75,0,42,25,20,9,3,1
108,フィルグラスチム,7200,60,3.968,22.834,33,67,0,34,21,18,12,8,7
109,hhs 医療,7000,60,3.921,-11.726,34,66,1,27,25,23,14,7,3
110,act 医療,6900,60,4.041,-0.014,32,68,1,33,20,18,14,8,6
111,ネオシネジン,6900,60,4.013,-1.123,32,68,0,35,21,20,13,6,5
112,アニオンギャップ,6800,60,3.96,18.841,50,50,0,34,25,19,12,6,4
113,ivc 医療略語,6700,60,4.078,-15.247,27,73,1,37,21,19,14,6,2
114,chdf 医療,6600,60,4.045,4.171,33,67,0,38,21,18,13,7,3
115,fn 医療,6000,60,4.201,-17.392,24,76,0,38,27,18,13,3,1
116,tace 医療用語,5700,60,4.138,0.027,26,74,0,31,21,21,15,7,5
117,カルディオバージョン,5500,60,4.294,-29.403,36,64,0,34,25,20,12,5,4
118,p/f比とは,5200,60,4.379,-21.041,45,55,0,37,23,17,12,7,4
119,dapt,5000,60,4.383,-6.498,40,60,1,34,20,19,14,8,4
120,nomi,4700,60,4.417,28.671,54,46,3,20,21,19,18,12,7
121,ffp,4600,60,4.362,0.036,41,59,2,32,24,19,12,7,4
122,eus,4500,60,4.514,2.468,36,64,1,23,17,19,19,11,10
123,プロタミン,3500,60,4.612,9.127,37,63,0,40,23,17,11,5,4
124,ニトロール,8700,50,3.663,0.042,34,66,1,20,16,18,18,13,14
125,bppv,8300,50,3.663,-18.92,41,59,0,20,24,22,17,10,7
126,マーフィー徴候,7800,50,3.676,14.488,51,49,0,42,22,19,11,4,2
127,硫酸アトロピン,7700,50,3.67,-10.78,26,74,1,20,17,23,21,12,6
128,グリセオール,7500,50,3.647,-14.035,29,71,1,30,19,22,16,8,4
129,jptec,7200,50,3.78,-55.03,69,31,1,22,27,26,16,6,2
130,医書jp,7200,50,3.75,1.36,55,45,3,29,28,20,12,5,3
131,無気肺,7100,50,3.799,35.064,27,73,1,35,20,18,14,7,5
132,アルプロスタジル,7100,50,3.796,48.994,35,65,0,30,20,18,16,9,7
133,フレイルチェスト,6900,50,3.863,0.188,49,51,1,33,24,20,13,6,3
134,dc 医療,6900,50,3.813,31.183,26,74,1,44,25,17,9,3,1
135,paf,6500,50,3.986,-42.839,37,63,0,31,22,19,15,8,5
136,2型呼吸不全,6500,50,3.862,36.035,40,60,0,28,22,22,16,8,4
137,gerd,6400,50,3.929,42.928,34,66,1,22,20,22,18,11,6
138,ine,6400,50,3.909,0,47,53,1,8,12,25,26,15,13
139,dlbcl,6300,50,3.846,33.672,40,60,0,28,24,22,13,9,4
140,cart,6000,50,3.888,6.678,45,55,4,17,15,20,18,15,11
141,vsd 心臓,6000,50,3.861,-14.005,20,80,1,24,26,22,16,8,3
142,sbp 医療,5900,50,3.933,-45.975,36,64,0,35,24,19,13,6,3
143,child pugh分類,5800,50,4.014,-43.975,60,40,0,28,21,21,15,10,5
144,6r,5800,50,3.984,-2.122,28,72,5,41,14,19,13,5,3
145,バスキュラーアクセス,5800,50,3.926,7.77,32,68,1,28,16,21,17,10,7
146,tte 医療,5600,50,4.038,-8.138,32,68,0,41,21,18,14,4,2
147,icg検査,5600,50,3.981,23.233,32,68,0,23,16,20,17,12,12
148,vsa 心臓,5500,50,4.018,38.553,33,67,0,28,26,24,14,6,2
149,turbt,5500,50,3.986,-52.327,31,69,1,36,18,16,13,8,8
150,ナファモスタット,5300,50,4.079,-7.913,37,63,0,35,22,18,14,7,4
