順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,放射線治療,86800,210,3.403,-0.001,35,65,1,4,7,19,26,19,24
2,放射線技師,54800,180,3.664,-0.004,38,62,12,14,14,29,20,6,5
3,共通テスト 日程 2025,335000,110,1.421,53.433,39,61,15,10,4,21,35,8,7
4,ct検査,191000,110,1.966,-0.008,41,59,2,7,10,18,21,18,24
5,mri,183000,110,2.024,-2.394,38,62,4,8,12,21,21,15,19
6,共通テスト,300000,100,1.364,94.508,46,54,19,8,5,22,33,7,6
7,放射線,17200,100,4.223,0,54,46,8,11,12,19,18,15,17
8,放射線科医,4300,100,5.659,0,35,65,6,12,12,20,21,18,11
9,放射線科 大学,1300,100,6.838,0,29,71,24,5,2,26,33,5,5
10,理学療法士,251000,90,1.508,-7.226,35,65,7,10,11,23,23,13,13
11,血液検査,251000,90,1.49,-28.624,35,65,1,3,3,18,26,23,26
12,悪性リンパ腫,239000,90,1.494,3.006,33,67,2,7,11,21,25,18,16
13,臨床検査技師,115000,90,2.271,-0.02,30,70,10,15,12,25,24,8,6
14,マンモグラフィー,107000,90,2.258,-27.923,21,79,2,8,13,30,25,14,8
15,放射線治療 副作用,47100,90,3.152,0.259,25,75,1,5,7,17,26,23,21
16,せん妄とは,258000,80,1.319,-29.253,30,70,1,7,8,17,27,22,18
17,心房細動,244000,80,1.407,-31.015,39,61,1,7,8,14,21,22,27
18,大学無償化 最新情報,223000,80,1.328,-45.674,32,68,3,2,7,47,34,3,4
19,大阪公立大学,216000,80,1.519,0.563,43,57,14,7,5,20,28,11,15
20,順天堂大学,179000,80,1.667,-19.952,44,56,11,6,5,23,29,12,14
21,ペースメーカー,150000,80,1.863,1.652,37,63,2,8,9,17,24,19,21
22,ラジエーションハウス,106000,80,2.235,0,41,59,5,9,14,22,22,17,11
23,放射線技師 大学,14500,80,4.247,-0.015,26,74,20,5,4,33,30,4,4
24,呼吸器内科,232000,70,1.353,0.001,32,68,1,5,14,25,24,17,14
25,済生会病院,228000,70,1.361,-3.471,36,64,1,6,10,18,24,21,20
26,肺癌 初期症状は,226000,70,1.34,-1.721,35,65,1,4,9,18,24,22,22
27,河合塾,203000,70,1.397,47.931,42,58,21,4,3,24,35,7,6
28,心療内科,193000,70,1.406,-32.346,36,64,2,9,12,22,27,15,13
29,大腸がん,188000,70,1.486,-0.209,37,63,2,5,9,18,24,21,21
30,タリージェ,185000,70,1.471,1.315,35,65,0,5,10,18,25,20,22
31,駒澤大学,174000,70,1.58,-2.738,42,58,13,7,6,21,29,12,12
32,乳がん,156000,70,1.649,-46.817,25,75,2,5,8,19,26,21,19
33,藤田医科大学病院,153000,70,1.734,-1.125,37,63,1,6,8,16,23,21,25
34,北里大学,151000,70,1.74,-6.858,39,61,10,8,7,22,29,12,12
35,国際医療福祉大学,123000,70,2,-42.672,41,59,9,7,7,21,28,13,15
36,臨床工学技士,61100,70,2.641,0.004,36,64,7,16,15,24,23,9,6
37,pubmed,53500,70,2.72,-83.024,68,32,1,19,22,27,17,9,5
38,放射線技師 年収,26100,70,3.497,0,36,64,16,16,13,26,20,5,4
39,ツムラ漢方薬一覧,210000,60,1.345,-27.049,32,68,1,4,5,10,19,22,39
40,前立腺がん 症状,197000,60,1.368,3.358,60,40,1,3,6,13,21,24,32
41,高血圧 症状,190000,60,1.379,-37.616,35,65,1,8,9,21,27,17,17
42,限度額適用認定証,190000,60,1.349,-20.151,30,70,0,6,18,21,25,19,11
43,東京科学大学,186000,60,1.417,55.236,52,48,8,8,7,17,26,16,18
44,crp 高い 数値,186000,60,1.41,-3.323,33,67,0,5,9,16,23,23,24
45,ランソプラゾール,186000,60,1.381,-7.725,32,68,1,10,10,17,23,20,19
46,泌尿器科,182000,60,1.34,0.005,45,55,2,9,12,20,22,16,19
47,肺気腫,181000,60,1.429,-0.076,42,58,1,6,8,16,22,20,27
48,便秘,177000,60,1.495,13.564,35,65,3,7,12,16,19,17,26
49,タケキャブ錠10mg,173000,60,1.45,10.421,36,64,0,2,8,16,23,23,28
50,帝京大学,173000,60,1.425,-22.94,44,56,12,7,6,21,30,12,12
51,消化器内科,170000,60,1.364,-3.253,32,68,1,8,15,24,25,15,12
52,エチゾラム,142000,60,1.554,15.499,33,67,1,8,11,20,25,18,17
53,循環器内科とは,140000,60,1.596,-9.725,33,67,1,4,8,17,26,22,22
54,看護師,113000,60,1.823,0.037,41,59,5,10,12,19,21,17,16
55,抗がん剤 副作用,93800,60,1.995,-4.409,29,71,1,6,7,17,24,21,24
56,抗がん剤治療,93200,60,2.011,-2.751,39,61,1,3,7,17,24,22,26
57,特別養護老人ホーム,179000,50,1.32,-51.14,37,63,1,5,6,13,28,27,20
58,食道癌 初期症状,160000,50,1.406,-1.708,38,62,1,4,8,17,27,24,19
59,下肢静脈瘤,154000,50,1.417,-19.946,26,74,1,5,10,20,26,20,18
60,alt 高い 原因,151000,50,1.31,-7.1,38,62,0,8,12,17,26,20,17
61,egfr,150000,50,1.457,-82.896,37,63,0,6,8,16,25,23,22
62,ケアマネージャー,146000,50,1.508,-12.055,37,63,1,6,9,18,29,21,16
63,甲状腺機能亢進症,142000,50,1.381,4.551,23,77,2,11,13,19,24,17,14
64,機能性ディスペプシア,140000,50,1.42,5.863,27,73,2,11,16,21,22,16,12
65,褥瘡,138000,50,1.442,21.132,31,69,2,11,11,18,25,20,13
66,気管支喘息,138000,50,1.38,37.217,29,71,3,12,19,23,17,14,12
67,九州大学,135000,50,1.523,-6.452,45,55,12,7,5,19,28,13,16
68,プレガバリン,132000,50,1.591,4.283,36,64,0,8,11,20,25,18,18
69,サワシリン錠250,131000,50,1.436,13.859,32,68,1,6,13,22,23,18,17
70,東北大学,129000,50,1.604,-0.46,44,56,11,7,5,19,29,13,16
71,高額医療費支給申請書,129000,50,1.576,-10.724,36,64,0,2,8,15,26,26,23
72,作業療法士,129000,50,1.477,-1.982,32,68,7,11,13,25,23,12,9
73,順天堂大学病院,128000,50,1.568,60.094,37,63,1,4,8,15,24,23,25
74,セカンドオピニオンとは,127000,50,1.557,23.192,42,58,4,9,11,16,21,18,21
75,pet 検査,121000,50,1.564,30.038,37,63,0,4,7,20,28,20,21
76,もやもや病,120000,50,1.505,-29.96,33,67,2,11,15,23,22,16,11
77,子宮体癌,115000,50,1.673,-53.752,16,84,1,5,9,24,31,17,13
78,ヘモグロビン,114000,50,1.729,-35.979,35,65,3,8,10,19,22,18,20
79,脳腫瘍,104000,50,1.683,-21.6,37,63,3,6,10,20,24,19,18
80,緩和ケアとは,104000,50,1.682,9.578,31,69,2,5,8,16,25,21,23
81,言語聴覚士,103000,50,1.732,-21.55,25,75,6,10,15,26,22,12,9
82,東京都立大学,103000,50,1.704,11.626,42,58,21,9,5,20,28,8,9
83,エンレスト,88300,50,1.881,32.842,37,63,0,12,15,23,24,14,12
84,ctとmriの違い,78700,50,2.059,3.474,36,64,1,6,9,19,24,19,22
85,造影剤,78000,50,2.008,-18.029,37,63,1,6,10,22,27,18,16
86,杏林大学,73200,50,2.1,-4.459,41,59,14,10,7,19,29,10,11
87,cvポート,68000,50,2.125,0.077,25,75,1,13,13,21,25,17,10
88,藤田医科大学,57800,50,2.409,-0.052,43,57,12,8,7,18,24,13,18
89,レントゲン,46100,50,2.495,0.001,39,61,3,8,12,20,22,17,18
90,タモキシフェン,35800,50,2.726,66.729,20,80,1,8,9,27,34,13,8
91,放射線治療 費用 1回,13800,50,3.762,0.849,31,69,1,1,4,15,27,28,24
92,放射線技師 国家試験,10400,50,4.008,-0.569,38,62,4,26,8,18,29,9,6
93,放射線学会,1300,50,6.079,-6.984,61,39,0,12,20,24,20,15,9
94,アルツハイマー型認知症,144000,40,1.318,15.527,33,67,2,8,7,15,26,20,22
95,医療保険,142000,40,1.315,-72.225,41,59,1,6,11,19,24,21,18
96,地域包括支援 センター,138000,40,1.332,-65.842,31,69,1,6,6,17,29,22,19
97,病院,136000,40,1.306,-2.15,46,54,3,9,11,17,20,19,21
98,八味地黄丸,132000,40,1.395,18.282,49,51,0,2,5,10,18,25,40
99,メチコバール,132000,40,1.335,-35.314,32,68,1,8,13,20,21,16,21
100,肋骨,130000,40,1.398,-2.37,37,63,4,10,14,17,21,17,17
101,パルスオキシメーター,128000,40,1.381,94.029,36,64,1,7,10,17,22,20,23
102,肺炎球菌ワクチン,127000,40,1.438,-19.578,33,67,0,2,4,7,12,40,35
103,b型肝炎,126000,40,1.318,38.962,41,59,1,9,14,22,24,15,15
104,膵臓,125000,40,1.41,-7.317,46,54,2,6,10,17,23,20,22
105,剥離骨折とは,125000,40,1.344,-12.112,28,72,4,5,10,24,21,16,20
106,胃カメラ,124000,40,1.43,-48.667,38,62,2,6,13,22,23,18,16
107,感染症,124000,40,1.338,-89.907,40,60,2,4,7,18,25,22,22
108,永代供養,122000,40,1.401,-27.869,39,61,1,2,6,15,28,25,23
109,心臓,121000,40,1.413,11.011,40,60,3,7,6,12,18,23,31
110,ベタヒスチンメシル酸塩錠6mg 効果,119000,40,1.439,46.507,24,76,0,3,8,17,24,23,25
111,大阪大学,119000,40,1.431,0.419,45,55,14,7,6,20,28,12,13
112,卵巣がん 初期症状 8つ,119000,40,1.334,0.069,8,92,1,5,11,26,30,16,11
113,横紋筋融解症,116000,40,1.443,15.647,32,68,1,10,11,16,21,21,20
114,デパス,113000,40,1.558,-28.951,36,64,2,9,13,20,22,16,18
115,ソーシャルワーカーとは,113000,40,1.503,-31.74,32,68,3,8,9,19,26,19,16
116,頚椎症,110000,40,1.555,-34.633,36,64,1,5,9,19,25,19,22
117,大腿骨,110000,40,1.474,-16.806,35,65,2,6,8,15,21,22,26
118,日赤病院,109000,40,1.559,-31.849,35,65,1,6,10,18,24,21,20
