順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,アキレス腱断裂 完治期間,17800,4200,5.556,0.001,48,52,3,8,12,23,23,16,15
2,アキレス腱 痛い,90000,2500,3.406,0,44,56,4,7,14,24,24,15,12
3,半月板損傷,151000,1000,2.008,-0.006,35,65,4,6,10,19,23,20,18
4,肉離れ 症状,126000,1000,2.207,-0.002,35,65,7,9,13,26,22,13,10
5,肉離れ 早く治す方法,117000,1000,2.256,-0.104,46,54,3,5,11,30,28,13,10
6,アキレス腱,20300,920,3.917,0.001,44,56,6,13,18,21,17,13,12
7,アキレス腱炎,21500,880,3.796,0,46,54,5,9,17,26,22,12,9
8,ふくらはぎ 肉離れ,45600,850,2.989,0,56,44,5,6,11,27,27,15,9
9,アキレス腱周囲炎,15800,790,4.007,0.002,43,57,3,6,12,25,24,16,14
10,前十字靭帯断裂,46900,720,2.825,-0.002,47,53,10,14,15,26,22,8,5
11,肉離れ,65200,590,2.28,0.002,45,55,7,9,17,29,20,10,8
12,腱板断裂,70800,520,2.133,-2.647,42,58,1,6,8,15,23,22,25
13,スポーツ保険,55800,470,2.19,2.371,42,58,1,4,15,38,22,10,10
14,アキレス腱付着部炎,11600,460,3.773,0.004,50,50,3,7,15,24,24,16,11
15,鵞足炎,60200,450,2.113,-13.502,43,57,3,9,13,22,22,17,14
16,シンスプリントとは,61500,440,2.069,3.648,47,53,14,14,13,29,20,6,4
17,肉離れ 全治,28800,420,2.759,0.382,48,52,8,9,13,31,24,9,6
18,腰椎分離症,66500,410,1.908,-2.601,44,56,9,10,13,32,21,7,8
19,大腿骨頚部骨折,65600,400,1.942,-4.427,29,71,1,9,7,13,23,23,24
20,アキレス腱 ストレッチ,10000,400,3.798,0.11,45,55,3,5,12,23,22,16,19
21,靱帯損傷 治療期間,43300,390,2.305,-0.002,28,72,4,4,7,26,26,17,16
22,シーバー病,52100,360,1.978,5.255,33,67,3,4,21,49,14,5,4
23,tfcc損傷,43400,360,2.204,-0.203,44,56,5,12,18,24,23,12,6
24,靭帯損傷,38000,350,2.312,0,36,64,10,10,13,24,21,12,10
25,橈骨遠位端骨折,28700,330,2.552,-10.27,35,65,2,13,13,21,20,18,13
26,ヨネックス バドミントン,46300,310,1.962,-18.004,50,50,6,7,10,29,26,13,9
27,足首 サポーター,41000,310,2.131,6.34,40,60,2,4,9,23,25,19,18
28,腓腹筋,24200,310,2.652,3.254,43,57,6,18,15,21,18,12,10
29,松葉杖,27800,290,2.426,1.71,44,56,4,7,13,23,23,15,15
30,足首 テーピング,35700,280,2.128,-0.525,45,55,9,8,14,33,19,9,8
31,骨挫傷,40300,270,1.972,0.068,42,58,6,8,14,27,22,13,10
32,コンパートメント症候群,37700,270,2.07,6.076,33,67,2,27,18,20,18,10,5
33,ザムスト,33900,270,2.14,9.415,57,43,3,4,11,33,28,13,8
34,シーネ固定,32500,270,2.194,2.566,28,72,2,10,14,26,22,16,10
35,デルマトーム,26700,270,2.406,-5.507,51,49,1,27,23,20,14,8,7
36,バレーボールシューズ,36600,260,2.027,-12.048,40,60,6,5,11,38,26,9,5
37,アキレス腱 テーピング,5300,250,3.944,0.825,58,42,7,8,16,30,20,10,9
38,鎖骨骨折,36800,240,1.987,-0.962,39,61,3,5,9,20,23,21,19
39,アシックス バッシュ,33500,240,2.016,-46.057,53,47,10,6,17,47,14,3,3
40,茨城ロボッツ,30000,240,2.163,-101.036,54,46,4,10,19,28,23,11,5
41,中足骨,29300,240,2.191,-5.327,52,48,3,11,18,26,22,13,7
42,肩腱板断裂,35000,230,2.03,-1.009,37,63,1,4,5,12,22,29,27
43,ギプス,22700,230,2.398,1.237,34,66,6,9,15,25,20,12,13
44,前十字靭帯,18500,230,2.608,-6.965,52,48,9,18,15,23,17,10,8
45,松葉杖 使い方,12000,230,3.049,1.694,33,67,2,6,9,20,26,22,15
46,天皇杯 バスケ 2024,31600,220,2.04,-88.2,53,47,5,11,19,29,23,10,3
47,mmt 評価,27800,220,2.16,23.878,30,70,1,34,21,21,14,5,4
48,足首 捻挫,26000,220,2.214,-0.878,37,63,4,7,13,25,23,14,14
49,腓骨神経麻痺,21900,220,2.417,5.874,31,69,2,23,15,20,19,11,10
50,肉離れ 治療方法,19800,220,2.484,0.005,43,57,4,6,10,29,27,14,10
51,エゴザル,30500,210,1.987,-10.723,47,53,9,6,17,44,17,4,3
52,橈骨神経麻痺,27600,210,2.134,-7.631,38,62,1,11,15,21,23,16,13
53,ジャンパー膝,23700,210,2.272,-3.39,42,58,11,11,16,35,17,6,4
54,アキレス,22800,210,2.344,0,59,41,1,4,8,17,21,22,27
55,前十字靭帯再建手術,11100,210,3.023,-5.636,34,66,6,13,14,29,26,8,4
56,日本整形外科学会,10700,210,3.044,-20.055,73,27,1,5,12,21,25,21,15
57,鹿島アントラーズ掲示板,32400,200,1.887,-167.771,77,23,6,15,19,23,18,11,8
58,肘部管症候群,30400,200,1.979,0.007,38,62,2,12,16,22,24,14,10
59,ジュニアウィンターカップ2025,27800,200,2.033,49.252,61,39,8,5,15,45,19,5,3
60,膝蓋骨,22000,200,2.315,0.008,40,60,6,12,12,20,21,15,14
61,肉離れ 原因,27700,190,2.007,0.369,35,65,4,7,12,28,26,13,10
62,イベニティ皮下注射,27500,190,2.061,38.611,27,73,0,6,10,19,23,20,22
63,キネシオテープ,25400,190,2.105,-0.039,41,59,4,5,11,28,23,15,14
64,人工骨頭置換術,18600,190,2.412,-6.43,28,72,1,21,16,20,19,13,10
65,大腿骨転子部骨折,15900,190,2.574,-5.861,33,67,1,20,13,16,19,19,12
66,大腿筋膜張筋,15600,190,2.593,-17.173,49,51,3,22,20,22,17,9,7
67,ザムスト 足首サポーター,12800,190,2.721,11.798,45,55,4,4,13,40,24,9,6
68,クラブユース選手権u15,25700,180,1.967,-153.98,68,32,14,5,10,45,20,3,3
69,ペルテス病,24500,180,2.09,-13.197,28,72,2,13,20,28,17,13,7
70,ザムスト 膝サポーター,21900,180,2.148,-8.054,50,50,3,3,10,31,27,16,10
71,gcs 意識レベル,21600,180,2.206,-18.73,44,56,1,31,24,22,14,6,2
72,リスフラン関節,14600,180,2.588,9.14,55,45,4,22,19,21,18,10,6
73,アキレス腱炎 治し方,5200,180,3.626,0.004,54,46,6,9,16,25,22,13,9
74,くるぶしの下が痛い,28400,170,1.892,0.014,37,63,5,8,14,27,26,12,8
75,ベーカー嚢腫,25800,170,2.005,29.138,28,72,1,6,11,18,26,22,16
76,gcs,23200,170,2.09,-14.714,46,54,2,39,25,18,10,4,2
77,インカレ バスケ 2024,23200,170,2.049,34.745,70,30,6,13,16,27,24,9,5
78,足根管症候群,21500,170,2.202,0.001,36,64,1,10,12,18,21,18,20
79,下腿三頭筋,10900,170,2.862,11.641,47,53,6,28,16,18,15,9,8
80,レオセアラ,26600,160,1.888,-105.238,83,17,7,17,25,27,13,7,4
81,船橋整形外科,24200,160,2.035,0.023,36,64,2,4,8,21,25,16,24
82,秋田ノーザンハピネッツ,24000,160,1.98,-68.558,53,47,5,12,17,27,22,11,6
83,jba ログイン,23800,160,1.955,-13.089,56,44,11,8,15,34,19,8,5
84,半月板損傷 症状 チェック,22800,160,2.084,-7.744,33,67,4,5,7,17,24,21,22
85,化膿性脊椎炎,22100,160,2.063,2.925,39,61,1,15,14,18,21,16,15
86,bリーグ 自由交渉選手リスト,19000,160,2.232,-111.421,58,42,6,9,17,29,23,11,5
87,ボーラホリック,18500,160,2.247,-83.191,58,42,11,11,20,43,12,2,1
88,バーセルインデックス,18300,160,2.287,-25.076,41,59,2,34,21,22,13,5,3
89,腓骨骨折,18300,160,2.269,0.27,40,60,3,6,9,19,24,22,17
90,カーフレイズ,17600,160,2.306,15.208,54,46,7,19,20,22,16,9,7
91,腸脛靭帯,17000,160,2.338,-41.255,49,51,3,16,18,24,20,12,7
92,バレー徴候,17000,160,2.33,-6.623,37,63,1,42,21,18,12,4,2
93,ヒラメ筋肉,16600,160,2.36,6.898,50,50,5,13,13,22,19,14,14
94,膝蓋骨骨折,10400,160,2.836,-1.434,36,64,2,11,11,17,23,19,17
95,上腕骨近位端骨折,10000,160,2.906,-13.243,34,66,0,17,14,18,22,18,11
96,手根骨,9800,160,2.869,-27.314,50,50,6,28,17,20,15,8,6
97,肩鎖関節脱臼,9300,160,2.932,-15.066,60,40,2,14,19,25,22,12,6
98,jfa キックオフ,24500,150,1.893,-11.633,81,19,12,9,14,34,19,7,5
99,全日本剣道連盟,22600,150,1.941,-33.655,73,27,2,4,10,20,24,20,20
100,腸脛靭帯炎,20900,150,2.071,40.018,53,47,5,12,17,26,22,11,7
101,腱板損傷,18100,150,2.199,-0.358,50,50,2,11,15,22,23,15,12
102,ギプスシーネ,14900,150,2.41,8.422,28,72,1,4,12,31,26,15,11
103,腕神経叢,10100,150,2.817,1.275,49,51,3,38,18,18,13,6,4
104,前距腓靭帯,8700,150,2.954,-0.003,47,53,9,22,19,25,16,6,3
105,踵骨骨折,8000,150,3.058,18.779,44,56,2,10,12,20,24,19,13
106,松葉杖 階段の上り下り,4600,150,3.614,1.877,33,67,5,11,11,24,28,14,7
107,ヨネックス テニス,22700,140,1.917,-22.909,57,43,3,4,7,18,28,24,16
108,開放骨折とは,22000,140,1.916,-24.599,47,53,5,15,17,22,21,13,7
109,全中 バスケ,20600,140,1.937,-52.815,64,36,6,5,15,41,22,8,3
110,ギブス ギプス 違い,16400,140,2.262,3.797,29,71,4,5,15,29,20,15,12
111,シンスプリント,15400,140,2.288,27.597,48,52,17,14,16,28,16,6,3
