順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,リウマチ 初期症状,229000,18900,2.91,-0.002,24,76,1,4,10,25,32,17,11
2,膠原病,533000,16100,1.933,0.002,32,68,1,6,11,19,24,19,20
3,関節リウマチ,122000,9400,2.881,0.004,30,70,2,11,11,16,24,19,17
4,リウマチ性多発筋痛症,79300,8800,3.28,0,28,72,0,4,6,13,25,24,28
5,リウマチ 原因,58700,7500,3.352,0,30,70,1,5,11,23,29,16,15
6,ヘバーデン結節,300000,7200,1.748,-0.001,21,79,0,2,4,14,29,27,24
7,リウマチ 治る,33600,6800,3.819,0.002,29,71,1,5,11,22,29,19,13
8,シェーグレン症候群,265000,6700,1.769,5.63,21,79,1,7,9,17,26,23,17
9,膠原病 初期症状,213000,6700,2.005,0.003,20,80,0,2,6,16,27,24,25
10,リウマチ 血液検査,35100,5800,3.635,0,23,77,0,3,7,19,32,22,17
11,リウマチの初期症状,86300,5300,2.699,-0.008,30,70,1,1,2,10,25,27,34
12,リウマチ 難病指定,21500,5000,3.966,0.002,19,81,1,3,8,22,31,22,13
13,メトトレキサート,58700,4900,2.948,7.871,29,71,1,14,12,19,23,17,14
14,リウマチ 薬,22700,4800,3.889,0.003,28,72,0,4,7,18,29,23,19
15,指の関節が痛い,144000,4600,2.008,-0.929,28,72,1,2,5,16,28,25,23
16,関節リウマチ 初期症状,75000,4100,2.529,-0.312,22,78,1,5,9,17,28,21,19
17,線維筋痛症,154000,4000,1.792,0.012,26,74,2,8,13,19,26,18,14
18,リウマチ 何科受診,18300,3300,3.683,0.001,22,78,0,3,10,25,35,17,10
19,神経痛とは,138000,3200,1.706,-0.001,32,68,1,4,6,13,23,24,29
20,リウマチ 治療,16900,3200,3.786,0.003,36,64,1,3,9,20,27,20,20
21,全身性エリテマトーデス,121000,3100,1.766,1.617,20,80,2,16,16,22,23,13,8
22,自己免疫疾患,79400,2500,1.971,0.347,23,77,3,8,13,23,24,16,13
23,リュウマチの初期症状,28200,2300,2.965,-0.717,31,69,0,1,2,9,26,28,34
24,メトトレキサート 副作用,16500,2200,3.433,15.057,26,74,1,11,8,15,24,21,20
25,リウマチとは,22200,2100,3.044,0,40,60,5,19,20,20,17,9,10
26,ブシャール結節,49600,1900,2.196,0.001,21,79,1,3,7,16,28,25,20
27,リウマチとはどんな病気,31300,1900,2.7,-0.001,44,56,1,1,3,10,22,25,38
28,強皮症,52900,1700,2.019,5.46,25,75,1,8,11,19,25,20,16
29,関節が痛い,43600,1700,2.169,-0.003,31,69,3,6,8,19,27,20,17
30,リウマチ 遺伝,11000,1700,3.54,0,19,81,2,8,16,26,26,14,8
31,膠原病とは,56900,1500,1.837,0.172,35,65,1,8,9,14,23,21,24
32,膠原病 寿命,43400,1500,2.095,0.206,29,71,1,4,8,15,24,23,25
33,リウマチに効く食べ物,10000,1500,3.601,0.021,29,71,0,1,3,10,26,28,32
34,ばね指,49300,1400,1.859,0.006,33,67,2,11,13,17,24,17,16
35,リウマチ 症状,10400,1400,3.385,0.002,28,72,1,12,19,26,23,11,8
36,レイノー現象,51100,1300,1.788,8.007,25,75,2,16,14,22,23,13,10
37,エリテマトーデス,48000,1300,1.786,1.563,23,77,1,9,14,22,24,17,13
38,関節痛,38000,1300,2.041,0.007,34,66,5,11,11,18,23,17,15
39,リウマトレックス,14800,1300,3.009,0.315,28,72,0,9,10,19,25,21,16
40,rf定量とは,13700,1300,3.144,3.084,22,78,1,2,5,13,27,26,26
41,リュウマチ,12800,1300,3.198,0,41,59,1,2,4,11,22,22,38
42,アクテムラ,22900,1200,2.464,16.118,31,69,1,11,13,20,23,17,15
43,抗ccp抗体とは,11400,1200,3.174,4.565,28,72,0,8,7,16,26,22,21
44,リウマチの薬,6800,1200,3.743,0.708,29,71,0,1,2,9,23,28,37
45,ステロイド 飲み薬,42700,1100,1.782,7.611,32,68,1,5,8,18,23,22,23
46,タクロリムス,35400,1100,1.924,11.351,32,68,1,15,15,21,21,15,12
47,多発性筋炎,29200,1100,2.137,0.609,25,75,2,11,11,18,24,19,15
48,フォリアミン,27200,1100,2.206,13.744,29,71,1,14,16,21,23,14,11
49,抗核抗体とは,26400,1100,2.279,4.02,22,78,1,7,10,20,27,19,16
50,リウマチ 注射,5300,1100,3.836,0.002,21,79,0,5,11,21,29,21,13
51,皮膚筋炎,35000,1000,1.887,5.225,26,74,1,8,10,19,26,20,16
52,mmp-3,11800,1000,3.03,17.866,29,71,0,7,9,16,23,20,25
53,関節リウマチ 難病指定,8700,1000,3.296,2.853,21,79,2,6,10,17,28,22,15
54,偽痛風,37900,990,1.779,0,70,30,1,8,13,19,23,19,17
