順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,半月板損傷 自然治癒,39500,13000,4.823,0.028,35,65,2,3,5,15,24,26,25
2,膝の痛み,363000,11100,2.436,-1.848,35,65,1,2,5,15,26,25,26
3,変形性膝関節症,219000,9700,2.825,-0.026,28,72,1,6,6,14,25,25,23
4,半月板損傷 症状 チェック,22800,7600,4.842,0.006,33,67,4,5,7,17,24,21,22
5,膝の痛み 曲げると痛い,177000,7400,2.737,-6.042,34,66,1,3,6,16,27,24,23
6,膝の内側が痛い,130000,6000,2.849,-5.1,34,66,2,3,5,13,26,26,25
7,半月板損傷 手術後,15100,6000,4.978,0.458,32,68,3,4,7,19,27,23,17
8,膝に水が溜まる 初期症状,109000,5300,2.905,-2.188,27,73,1,2,5,15,28,23,26
9,半月板,32100,5300,4.12,0.001,43,57,5,10,11,18,18,18,20
10,膝の裏が痛い,146000,5200,2.584,-4.762,26,74,2,4,7,18,27,22,20
11,膝サポーター,129000,4100,2.503,0.147,44,56,1,2,4,13,23,27,30
12,半月板損傷 治療,9400,4000,5.042,0.012,35,65,2,5,7,17,25,24,20
13,膝,130000,3800,2.41,0.017,43,57,2,3,5,11,21,24,34
14,半月板損傷 サポーター,7900,3800,5.165,0.347,37,63,3,3,7,21,29,22,15
15,半月板損傷 リハビリ,7800,3700,5.159,0.845,38,62,2,7,7,18,25,22,19
16,前十字靭帯断裂,46900,3600,3.316,0.001,47,53,10,14,15,26,22,8,5
17,鵞足炎,60200,3400,3.027,-0.654,43,57,3,9,13,22,22,17,14
18,半月板損傷 手術費用,6800,3300,5.159,0.26,38,62,2,4,7,21,29,21,16
19,膝関節症クリニック,78800,3000,2.715,-0.001,37,63,0,1,2,7,21,32,37
20,膝に水が溜まる,50500,2800,3.009,-2.038,37,63,2,5,7,16,28,23,19
21,膝裏が痛い 原因,75100,2700,2.539,-4.116,28,72,3,5,12,25,29,16,10
22,膝関節変形症,47400,2200,2.94,1.527,23,77,0,2,3,8,22,29,36
23,変形性膝関節症 治療,45000,2100,2.918,-0.002,27,73,1,2,3,9,24,28,33
24,半月板損傷 手術,4600,2000,5.067,0.011,35,65,4,9,14,22,24,18,9
25,大腿四頭筋,62600,1700,2.309,4.939,49,51,5,15,15,20,18,13,14
26,半月板損傷 症状,4500,1700,4.967,0.004,36,64,7,9,9,18,22,18,17
27,膝が痛い,61000,1600,2.247,-4.542,31,69,4,7,12,21,27,16,13
28,靱帯損傷 治療期間,43300,1600,2.6,-0.001,28,72,4,4,7,26,26,17,16
29,半月板断裂,6900,1600,4.44,0.265,36,64,4,6,11,20,23,20,16
30,膝の痛み ストレッチ,49400,1500,2.444,-0.282,33,67,1,1,3,10,22,28,35
31,靭帯損傷,38000,1500,2.674,0.002,36,64,10,10,13,24,21,12,10
32,ロコアテープ,71300,1400,1.96,4.046,35,65,0,4,9,18,25,21,23
33,腱板断裂,70800,1400,2.021,-0.363,42,58,1,6,8,15,23,22,25
34,ヒアルロン酸注射 効果 期間,51500,1400,2.379,4.045,25,75,0,2,5,14,25,26,28
35,前十字靭帯,18500,1400,3.317,0.002,52,48,9,18,15,23,17,10,8
36,腰椎分離症,66500,1300,1.902,0.006,44,56,9,10,13,32,21,7,8
37,シンスプリントとは,61500,1300,2.009,10.121,47,53,14,14,13,29,20,6,4
38,骨挫傷,40300,1300,2.464,5.139,42,58,6,8,14,27,22,13,10
39,膝 水がたまる,22800,1300,2.982,-0.024,39,61,3,8,17,28,25,13,6
40,prp療法,40400,1200,2.43,6.153,31,69,1,4,9,19,25,21,21
41,ベーカー嚢腫,25800,1200,2.81,-1.667,28,72,1,6,11,18,26,22,16
42,膝がポキポキ鳴る,25300,1200,2.884,-0.005,36,64,3,6,7,18,25,22,19
43,アルツディスポ関節注25mg,22600,1200,3.071,6.993,32,68,0,2,3,9,21,27,38
44,ザムスト 膝サポーター,21900,1200,2.963,2.536,50,50,3,3,10,31,27,16,10
45,前十字靭帯再建手術,11100,1200,3.655,4.314,34,66,6,13,14,29,26,8,4
46,バンテリン 膝サポーター,40000,1100,2.351,1.043,43,57,1,1,4,12,24,29,29
47,膝が痛い 曲げると痛い,28700,1100,2.642,-4.968,27,73,3,6,10,21,30,16,14
48,ジャンパー膝,23700,1100,2.832,0.001,42,58,11,11,16,35,17,6,4
49,膝 ヒアルロン酸注射 効果,13700,1100,3.374,2.927,30,70,1,1,5,15,32,29,17
50,アキレス腱断裂,47300,1000,2.008,0.006,47,53,3,9,16,25,22,14,11
51,膝痛,27100,1000,2.64,-1.431,36,64,2,4,6,14,23,23,28
52,半月板手術,3400,990,4.682,11.081,34,66,3,4,8,20,24,21,20
53,膝の外側が痛い,20600,980,2.853,-0.078,34,66,3,6,10,21,27,19,14
54,膝に水がたまる理由,20300,970,2.851,-0.333,26,74,2,6,10,22,26,18,16
55,前十字靭帯損傷 軽度,6200,970,4.004,0.01,42,58,8,10,12,30,26,9,5
56,膝半月板損傷,5900,960,4.143,-0.049,31,69,4,6,4,11,22,26,27
57,腸脛靭帯炎,20900,950,2.781,0.942,53,47,5,12,17,26,22,11,7
