順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,ヘバーデン結節,300000,6800,2.098,-0.002,21,79,0,2,4,14,29,27,24
2,手のしびれの原因,123000,6500,2.894,-0.583,33,67,1,5,10,19,27,19,19
3,バネ指とは 症状,204000,5600,2.268,0.001,30,70,1,4,8,16,27,23,21
4,手根管症候群 自分で治す,11300,5600,5.184,0.008,29,71,1,3,6,13,29,22,26
5,腱鞘炎,214000,5400,2.166,-0.002,36,64,5,9,15,20,22,15,14
6,リウマチ 初期症状,229000,5000,2.004,-0.489,24,76,1,4,10,25,32,17,11
7,タリージェ,188000,4300,2.078,3.04,35,65,0,5,9,19,25,20,22
8,指先のしびれ,86600,4300,2.851,-1.527,37,63,2,5,9,19,27,20,18
9,手根管症候群 手術後,7200,4300,5.376,4.967,26,74,0,3,6,12,29,25,25
10,親指の付け根が痛い,160000,3900,2.128,0,28,72,3,6,11,20,28,19,13
11,胸郭出口症候群,70600,3500,2.817,0.006,35,65,2,11,16,25,24,13,9
12,手首の痛み,112000,3200,2.259,-0.002,34,66,3,6,12,22,27,17,13
13,肘部管症候群,30400,3000,3.51,0.004,38,62,2,12,16,22,24,14,10
14,手根管症候群 サポーター,4900,3000,5.328,0.505,22,78,0,3,10,23,35,17,12
15,メチコバール錠500 効果,129000,2900,2.098,1.835,32,68,0,2,5,13,26,25,29
16,関節リウマチ,122000,2900,2.111,0,30,70,2,11,11,16,24,19,17
17,頚椎症,108000,2900,2.248,-0.002,37,63,1,5,9,19,25,19,22
18,メコバラミン錠500,131000,2800,2.035,5.327,32,68,0,3,8,17,24,22,26
19,手根管症候群 原因,6700,2700,4.949,0.005,29,71,1,6,9,18,27,18,21
20,バネ指 治し方,108000,2600,2.163,0.848,39,61,1,2,5,11,27,27,27
21,リウマチ性多発筋痛症,79300,2200,2.308,0.044,28,72,0,4,6,13,25,24,28
22,ドケルバン病,38900,2100,2.919,0.009,29,71,3,10,16,19,24,16,12
23,母指cm関節症,37900,2000,2.933,0.143,24,76,1,4,7,14,28,25,21
24,関節リウマチ 初期症状,75000,1900,2.176,-0.057,22,78,1,5,9,17,28,21,19
25,頚椎症性神経根症,50000,1800,2.52,2.232,38,62,1,3,7,18,27,23,21
26,タリージェod5mg 効果,72100,1700,2.145,24.336,39,61,0,2,3,10,21,27,37
27,腱板断裂,70800,1700,2.137,-1.411,42,58,1,6,8,15,23,22,25
28,ブシャール結節,49600,1700,2.481,0,21,79,1,3,7,16,28,25,20
29,tfcc損傷,43400,1700,2.609,0.066,44,56,5,12,18,24,23,12,6
30,メコバラミン,75100,1600,1.996,6.067,34,66,1,11,12,19,23,17,17
31,手がしびれる原因,46400,1600,2.472,-3.336,28,72,4,9,11,19,26,17,14
32,末梢神経障害,44900,1600,2.518,0.011,35,65,1,9,10,17,24,19,20
33,手のひら 痛い,40500,1600,2.633,-0.003,27,73,2,6,11,21,28,19,13
34,cm関節症,35400,1600,2.815,1.916,25,75,1,4,6,11,25,30,23
35,腱鞘炎 治し方,69600,1500,1.978,-0.25,34,66,3,9,16,19,23,16,14
36,ばね指,49300,1500,2.373,0.004,33,67,2,11,13,17,24,17,16
37,腰部脊柱管狭窄症,62600,1400,2.095,0.105,37,63,1,10,8,13,22,21,25
38,鵞足炎,60200,1400,2.116,1.005,43,57,3,9,13,22,22,17,14
39,仙腸関節,57800,1400,2.119,0.235,32,68,1,8,13,20,23,18,17
40,強皮症,52900,1400,2.2,1.243,25,75,1,8,11,19,25,20,16
41,後縦靭帯骨化症,46000,1400,2.363,1.934,38,62,1,9,11,19,25,20,15
42,右手がしびれる原因 女性,31200,1400,2.729,-4.835,5,95,0,3,7,25,37,17,11
43,橈骨神経麻痺,27600,1400,2.853,0.004,38,62,1,11,15,21,23,16,13
44,メトトレキサート,58700,1300,2.013,5.007,29,71,1,14,12,19,23,17,14
45,左手がしびれる原因 女性,41500,1300,2.393,-0.742,4,96,1,5,10,25,31,17,11
46,デルマトーム,26700,1300,2.797,-6.117,51,49,1,27,23,20,14,8,7
47,指のしびれ,16500,1300,3.288,-0.517,38,62,1,4,9,19,27,20,20
48,手の痺れ 何科受診,14900,1300,3.413,-0.807,27,73,1,6,14,25,28,14,12
49,頚椎ヘルニア,54300,1200,2.035,9.285,38,62,0,4,10,22,28,19,17
50,偽痛風とは,52200,1200,2.059,-0.087,7,93,0,9,10,17,25,23,16
51,レイノー現象,51100,1200,2.109,1.987,25,75,2,16,14,22,23,13,10
52,神経障害性疼痛,48700,1200,2.193,0.036,30,70,2,9,12,18,22,20,17
53,頸椎椎間板ヘルニア,43500,1200,2.21,0.617,40,60,1,6,10,21,28,20,14
54,橈骨遠位端骨折,28700,1200,2.648,-2.775,35,65,2,13,13,21,20,18,13
