順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,捻挫 早く治す,93300,2600,3.881,-0.003,31,69,5,7,13,28,23,13,11
2,捻挫 骨折 見分け方,31100,1300,4.264,-0.001,27,73,5,9,14,27,23,13,9
3,捻挫とは,37600,1000,3.879,0,31,69,7,9,12,26,20,13,13
4,捻挫 全治,19500,880,4.361,0.001,35,65,6,11,16,28,20,11,8
5,打撲,37200,700,3.507,0,33,67,5,10,14,22,19,15,15
6,剥離骨折とは,137000,580,2.02,0.644,28,72,4,5,10,24,21,16,20
7,捻挫 腫れが引かない,11600,540,4.409,0.163,24,76,3,5,11,26,29,16,10
8,捻挫 テーピング,12400,530,4.314,0.001,32,68,9,9,14,32,20,9,7
9,足首 捻挫,26000,520,3.564,-0.047,37,63,4,7,13,25,23,14,14
10,捻挫 湿布,12400,520,4.294,0,33,67,5,12,17,26,19,11,10
11,靭帯損傷,38000,390,2.891,0.036,36,64,10,10,13,24,21,12,10
12,骨折,53700,380,2.552,0.003,37,63,3,5,9,16,22,22,23
13,肉離れ,65200,360,2.258,-0.01,45,55,7,9,17,29,20,10,8
14,捻挫 内出血,7300,360,4.443,0.185,32,68,4,12,16,26,25,11,6
15,捻挫 治らない,7300,350,4.419,6.037,29,71,3,7,13,27,26,15,9
16,足首 サポーター,41000,320,2.61,0.051,40,60,2,4,9,23,25,19,18
17,捻挫 何科,9000,310,4.068,0,27,73,3,13,25,32,17,5,5
18,靱帯損傷 治療期間,43300,300,2.517,0.6,28,72,4,4,7,26,26,17,16
19,足首捻挫,7400,300,4.239,0,35,65,9,9,12,26,23,12,9
20,足首 テーピング,35700,290,2.639,0.11,45,55,9,8,14,33,19,9,8
21,骨折 早く治す,50000,220,2.049,2.858,34,66,3,4,10,25,26,17,15
22,捻挫 腫れ,4100,220,4.51,0,27,73,5,16,24,32,14,5,4
23,打撲 痛み いつまで,37400,200,2.232,0,29,71,4,7,11,23,24,16,15
24,松葉杖,27800,200,2.543,0.001,44,56,4,7,13,23,23,15,15
25,剥離骨折,23300,200,2.722,0.608,34,66,8,8,16,24,17,11,16
26,突き指,21500,200,2.755,0,30,70,12,9,19,34,15,6,5
27,骨挫傷,40300,190,2.108,6.489,42,58,6,8,14,27,22,13,10
28,シーネ固定,32500,190,2.328,2.168,28,72,2,10,14,26,22,16,10
29,テーピング,28700,190,2.438,1.574,40,60,12,9,13,28,21,8,9
30,打撲とは,15300,160,2.903,0,30,70,10,14,17,27,18,7,7
31,捻挫 病院に行く目安,3500,160,4.398,0.002,12,88,5,17,25,34,14,3,2
32,捻挫 サポーター 足首,3000,160,4.535,0.348,31,69,4,13,21,36,18,5,3
33,捻挫 足首,1800,160,5.009,0,35,65,7,12,20,34,17,6,4
34,挫傷とは,24700,150,2.32,-0.001,40,60,2,9,15,24,24,15,11
35,靭帯損傷 早く治す方法,16800,150,2.726,0.603,36,64,4,5,9,26,28,16,12
36,靭帯,13500,150,2.969,0.566,42,58,11,12,13,19,18,12,15
37,くるぶし,33800,140,1.958,-0.002,40,60,6,12,14,24,18,14,12
38,骨折 痛み いつまで,26700,140,2.271,1.62,29,71,2,4,8,18,26,23,19
39,エゴザル,30500,130,1.972,-19.147,47,53,9,6,17,44,17,4,3
40,突き指 テーピング,24000,130,2.236,-7.129,28,72,11,5,17,47,15,3,2
41,ジャンパー膝,23700,130,2.235,-3.299,42,58,11,11,16,35,17,6,4
42,ギプス,22700,130,2.305,1.076,34,66,6,9,15,25,20,12,13
43,足首捻挫 早く治す,8900,130,3.259,-0.169,36,64,7,5,9,24,26,18,11
44,靭帯損傷 足首,7200,130,3.479,0.804,26,74,12,9,12,28,22,9,8
45,足首 靭帯損傷,6300,130,3.554,1.453,40,60,10,10,17,32,21,7,3
46,ねんざ,3000,130,4.326,-0.039,32,68,5,9,17,30,16,10,13
47,捻挫 重症度 チェック,1400,130,5.103,0,37,63,23,20,20,21,12,3,1
48,くるぶしの下が痛い,28400,120,1.956,-0.09,37,63,5,8,14,27,26,12,8
49,整形外科 日曜日,27500,120,1.979,-0.089,27,73,3,6,17,36,24,9,5
50,疲労骨折,14200,120,2.704,0.537,35,65,11,13,16,27,17,8,8
51,ザムスト 足首サポーター,12800,120,2.723,4.057,45,55,4,4,13,40,24,9,6
52,前距腓靭帯,8700,120,3.172,1.538,47,53,9,22,19,25,16,6,3
53,捻挫 何日で治る,2500,120,4.422,0.001,26,74,17,20,22,25,11,4,1
54,捻挫 腫れ 期間,2000,120,4.6,0.004,26,74,3,8,22,35,22,7,3
55,捻挫 サポーター,1700,120,4.815,0.519,29,71,5,9,22,32,22,8,2
56,突き指と骨折の見分け方,21200,110,2.183,0.002,29,71,11,5,13,37,22,8,4
57,オスグッド,19300,110,2.294,0.001,36,64,10,10,18,42,14,3,3
58,足の甲 骨折,15400,110,2.501,0.719,25,75,5,8,16,25,25,13,8
59,テーピング 足首,10700,110,2.833,0.256,44,56,9,8,13,32,21,9,8
60,挫傷,6100,110,3.416,0,49,51,3,14,21,26,20,10,6
61,足首 捻挫 早く治す,5300,110,3.546,-0.038,46,54,7,8,16,32,22,9,6
62,足首捻挫 完治まで,4900,110,3.687,3.039,35,65,6,9,8,24,24,18,11
63,捻挫 お風呂,2700,110,4.303,0,27,73,4,12,23,33,18,6,4
64,内出血,22000,100,2.117,-0.152,31,69,7,14,16,20,20,13,10
65,アキレス腱炎,21500,100,2.088,-0.94,46,54,5,9,17,26,22,12,9
66,脱臼,20100,100,2.165,0,60,40,7,12,17,21,16,14,13
67,打ち身,15000,100,2.455,-0.001,29,71,3,7,13,24,20,14,19
68,ギプスシーネ,14900,100,2.429,1.621,28,72,1,4,12,31,26,15,11
