順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,坐骨神経痛,686000,26900,2.243,-1.557,34,66,1,5,11,18,24,20,21
2,脊柱管狭窄症,357000,13500,2.258,0,39,61,1,3,5,11,20,24,36
3,ヘルニア 症状,190000,12500,2.754,-0.006,35,65,3,11,13,19,21,15,18
4,椎間板ヘルニア 治し方,34000,11000,4.35,0.003,40,60,1,6,10,18,26,21,18
5,椎間板ヘルニア 症状,47800,9500,3.889,0,33,67,2,7,9,15,22,22,23
6,腰椎椎間板ヘルニア,67600,9400,3.502,0.619,37,63,3,10,11,19,24,17,16
7,腰痛,239000,8400,2.135,-0.431,41,59,1,4,9,17,23,22,24
8,タリージェ,188000,7200,2.227,4.121,35,65,0,5,9,19,25,20,22
9,ブロック注射,115000,7200,2.712,0.365,40,60,1,5,11,19,25,19,20
10,ヘルニア,72100,6200,3.018,0,40,60,7,13,19,21,17,10,13
11,ヘルニアとは,101000,5800,2.677,-0.001,37,63,12,12,5,13,18,18,22
12,椎間板ヘルニア手術,13700,5800,4.617,0.003,44,56,1,2,5,15,28,28,21
13,坐骨神経痛の症状 ストレッチ,152000,5700,2.223,-1.304,35,65,0,2,6,15,23,25,29
14,椎間板ヘルニア 自然治癒,13200,5400,4.565,0.147,40,60,1,5,10,18,28,21,17
15,ヘルニア 治るのか,49700,5200,3.197,0.069,38,62,4,9,15,24,24,13,11
16,ぎっくり腰,162000,5100,2,-0.597,38,62,2,11,19,24,22,13,9
17,腰痛 がん 症状,137000,4700,2.062,-2.84,31,69,1,3,11,25,30,17,13
18,脊柱管狭窄症 症状,104000,4600,2.456,0.001,34,66,0,2,2,7,17,27,45
19,椎間板ヘルニア ストレッチ,9800,4400,4.67,0.022,41,59,1,4,10,19,28,23,15
20,すべり症,123000,4200,2.156,0.015,25,75,1,4,6,14,23,23,29
21,プレガバリン,133000,4100,1.989,2.569,36,64,0,8,10,20,25,18,19
22,腰痛 原因,114000,3900,2.079,-1.178,40,60,2,7,11,19,23,20,18
23,脊椎管狭窄症,97100,3600,2.262,0.002,38,62,0,2,3,9,18,26,42
24,坐骨神経痛 ストレッチ 即効,85200,3500,2.321,-3.8,33,67,1,2,7,16,26,23,25
25,腰部脊柱管狭窄症,62600,3400,2.599,0.014,37,63,1,10,8,13,22,21,25
26,タリージェod5mg 効果,72100,3200,2.432,8.846,39,61,0,2,3,10,21,27,37
27,椎間板,23100,3200,3.504,0,42,58,4,11,12,17,20,16,20
28,椎間板ヘルニア 原因,9700,3200,4.366,0.001,31,69,3,10,15,22,25,12,13
29,mri 料金,104000,3100,1.957,-0.074,36,64,2,9,15,24,22,14,14
30,頸椎椎間板ヘルニア,43500,3100,2.813,0.082,40,60,1,6,10,21,28,20,14
31,ヘルニア 足のしびれ,20700,3000,3.52,0.146,38,62,2,6,13,26,28,14,11
32,坐骨神経痛に効く薬,59400,2900,2.51,-1.794,41,59,0,1,3,10,23,29,34
33,ヘルニア手術,28800,2900,3.189,0.493,40,60,2,3,7,20,27,21,20
34,トアラセット配合錠,85800,2800,2.069,3.213,36,64,0,6,8,15,24,22,25
35,坐骨神経痛 症状,68700,2700,2.274,-0.838,28,72,1,5,9,15,23,23,24
36,頚椎ヘルニア,54300,2700,2.444,1.047,38,62,0,4,10,22,28,19,17
37,狭窄症,78300,2600,2.081,0.801,39,61,1,4,8,15,24,22,26
38,ヘルニア 治療法,24000,2600,3.239,-0.001,41,59,2,8,15,25,25,13,12
39,リリカ 効果,66800,2500,2.215,2.568,32,68,1,3,6,15,25,24,26
40,腰の痛み,74700,2400,2.022,-0.255,37,63,2,5,9,20,26,18,20
41,ぎっくり腰何日で治る,67700,2300,2.046,-0.129,35,65,2,6,12,23,29,17,11
42,腰椎分離症,66500,2300,2.069,0,44,56,9,10,13,32,21,7,8
43,坐骨神経痛 治し方ためしてガッテン,45300,2300,2.537,-2.801,26,74,0,1,3,13,25,30,28
44,坐骨神経痛 何科,43800,2300,2.547,-3.135,34,66,1,4,9,16,23,21,26
45,椎間板ヘルニア しびれ,4800,2300,4.728,0.112,35,65,1,3,8,21,29,23,15
46,梨状筋症候群,45100,2200,2.464,-0.003,35,65,1,9,13,21,24,18,14
