順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,手根管症候群,158000,3000,3.51,-0.004,27,73,1,6,11,19,26,20,17
2,胸郭出口症候群,70600,1500,3.62,-0.466,35,65,2,11,16,25,24,13,9
3,タリージェ,188000,1200,2.38,2.799,35,65,0,5,9,19,25,20,22
4,肘の痛み,76800,1200,3.301,0,41,59,1,2,6,21,34,21,15
5,テニス肘,112000,1100,2.828,-0.001,38,62,2,3,8,29,35,15,8
6,小指のしびれ,24200,980,4.229,-0.052,38,62,2,7,14,24,26,16,11
7,尺骨神経,12500,900,4.817,0,41,59,3,14,15,21,21,14,12
8,手のしびれの原因,123000,890,2.533,-1.735,33,67,1,5,10,19,27,19,19
9,頚椎症,108000,760,2.516,-0.002,37,63,1,5,9,19,25,19,22
10,tfcc損傷,43400,690,3.305,-0.043,44,56,5,12,18,24,23,12,6
11,ギヨン管症候群,6400,680,5.209,0,44,56,2,22,18,21,20,10,7
12,多発性硬化症,105000,670,2.412,-0.932,27,73,1,9,11,19,24,20,16
13,腱板断裂,70800,660,2.809,-28.016,42,58,1,6,8,15,23,22,25
14,デルマトーム,26700,660,3.759,-20.513,51,49,1,27,23,20,14,8,7
15,モートン病,86300,610,2.532,-2.789,30,70,1,6,10,18,25,21,19
16,頚椎症性神経根症,50000,590,3.033,-0.003,38,62,1,3,7,18,27,23,21
17,橈骨神経麻痺,27600,580,3.59,-0.003,38,62,1,11,15,21,23,16,13
18,肘の内側が痛い,29900,570,3.463,-0.002,39,61,3,5,8,22,34,20,8
19,鵞足炎,60200,550,2.768,-13.758,43,57,3,9,13,22,22,17,14
20,ノイロトロピン,97200,540,2.289,1.787,33,67,0,6,10,19,24,19,22
21,重症筋無力症,75800,530,2.503,-15.41,32,68,2,17,15,21,21,14,10
22,足根管症候群,21500,500,3.725,-5.975,36,64,1,10,12,18,21,18,20
23,リウマチ性多発筋痛症,79300,490,2.419,-13.055,28,72,0,4,6,13,25,24,28
24,ドケルバン病,38900,480,3.065,-0.401,29,71,3,10,16,19,24,16,12
25,上腕二頭筋,75200,460,2.368,-0.008,52,48,5,14,14,21,21,14,11
26,腰部脊柱管狭窄症,62600,460,2.587,0.022,37,63,1,10,8,13,22,21,25
27,後縦靭帯骨化症,46000,460,2.846,-0.005,38,62,1,9,11,19,25,20,15
28,肩関節周囲炎,44600,460,2.888,8.402,35,65,1,5,8,18,28,21,19
29,インピンジメント症候群,76300,450,2.351,26.405,53,47,3,10,12,16,20,19,20
30,仙腸関節,57800,440,2.587,-31.982,32,68,1,8,13,20,23,18,17
31,梨状筋症候群,45100,440,2.834,-1.056,35,65,1,9,13,21,24,18,14
32,末梢神経障害,44900,440,2.844,-0.021,35,65,1,9,10,17,24,19,20
33,コンパートメント症候群,37700,430,2.997,-0.056,33,67,2,27,18,20,18,10,5
34,メコバラミン,75100,420,2.281,2.114,34,66,1,11,12,19,23,17,17
35,腰椎椎間板ヘルニア,67600,420,2.375,-1.256,37,63,3,10,11,19,24,17,16
36,大腿四頭筋,62600,420,2.475,-30.973,49,51,5,15,15,20,18,13,14
37,ブシャール結節,49600,420,2.713,-1.846,21,79,1,3,7,16,28,25,20
38,橈骨遠位端骨折,28700,420,3.255,-10.145,35,65,2,13,13,21,20,18,13
39,cm関節症,35400,400,3.04,-0.004,25,75,1,4,6,11,25,30,23
40,タリージェod5mg 効果,72100,380,2.271,18.862,39,61,0,2,3,10,21,27,37
41,頸椎椎間板ヘルニア,43500,380,2.699,-0.228,40,60,1,6,10,21,28,20,14
42,腕神経叢,10100,380,4.18,-0.013,49,51,3,38,18,18,13,6,4
43,神経障害性疼痛,48700,360,2.58,-0.002,30,70,2,9,12,18,22,20,17
44,母指cm関節症,37900,360,2.858,0.872,24,76,1,4,7,14,28,25,21
45,レイノー現象,51100,350,2.466,-6.56,25,75,2,16,14,22,23,13,10
46,jcs 意識レベル,50200,350,2.483,0.028,34,66,1,29,23,22,16,6,3
47,ベーカー嚢腫,25800,350,3.183,-17.945,28,72,1,6,11,18,26,22,16
48,腓骨神経麻痺,21900,350,3.318,0.001,31,69,2,23,15,20,19,11,10
49,ブルンストロームステージ,15300,350,3.692,-31.402,46,54,0,42,27,18,8,3,2
50,強皮症,52900,340,2.439,-7.923,25,75,1,8,11,19,25,20,16
51,ばね指,49300,340,2.511,0.959,33,67,2,11,13,17,24,17,16
52,サインバルタ,53300,330,2.366,0.231,37,63,1,7,12,21,26,18,15
53,頚椎症性脊髄症,23800,330,3.207,-0.031,37,63,1,10,9,15,23,21,21
54,シーバー病,52100,320,2.294,-0.216,33,67,3,4,21,49,14,5,4
55,ウェルニッケ脳症,40800,320,2.612,-6.926,34,66,1,21,18,21,19,13,7
56,リスフラン関節,14600,320,3.651,-15.181,55,45,4,22,19,21,18,10,6
57,pubmed,53200,310,2.288,-62.611,68,32,1,19,22,27,17,9,5
58,深部静脈血栓症,41500,310,2.576,-14.026,27,73,2,23,13,18,20,14,10
59,間欠性跛行,36100,310,2.768,-19.907,42,58,1,16,10,13,17,17,26
60,梨状筋,35100,310,2.721,8.482,40,60,2,10,14,21,22,17,14
61,ペルテス病,24500,310,3.072,-0.021,28,72,2,13,20,28,17,13,7
62,上腕骨外側上顆炎,11600,310,3.804,0.046,41,59,2,8,9,26,31,16,8
63,偽痛風とは,52200,300,2.315,-12.621,7,93,0,9,10,17,25,23,16
64,jcs,48300,300,2.397,-1.945,40,60,2,32,23,19,14,6,4
65,頸肩腕症候群,19500,300,3.291,0.003,32,68,2,10,13,23,25,16,11
66,mmt 評価,27800,290,2.903,-22.759,30,70,1,34,21,21,14,5,4
67,長谷川式簡易知能評価スケール,46100,280,2.338,-7.083,26,74,1,16,13,22,26,12,10
68,日常生活自立度,43900,280,2.387,-32.384,35,65,1,20,20,25,20,9,5
69,閉塞性動脈硬化症,36900,280,2.592,9.514,33,67,1,13,10,16,22,19,19
70,イベニティ皮下注射,27500,280,2.883,-11.759,27,73,0,6,10,19,23,20,22
71,日本整形外科学会,10700,280,3.791,-70.305,73,27,1,5,12,21,25,21,15
72,進行性核上性麻痺,48000,270,2.287,-5.762,33,67,1,9,12,20,23,17,18
73,腰椎すべり症,45600,270,2.379,12.203,33,67,1,5,8,14,22,25,25
74,多系統萎縮症,39900,270,2.455,-5.877,32,68,1,12,14,21,22,17,13
75,大腿筋膜張筋,15600,270,3.402,-27.154,49,51,3,22,20,22,17,9,7
76,手根骨,9800,270,3.879,-0.025,50,50,6,28,17,20,15,8,6
77,トリガーポイント注射,36600,260,2.527,-7.652,31,69,0,5,10,18,25,22,20
78,大腿骨頭壊死,35900,260,2.537,2.147,31,69,1,6,9,18,25,22,19
79,多発性筋炎,29200,260,2.744,-13.329,25,75,2,11,11,18,24,19,15
80,肘内障,23300,260,2.939,-0.001,26,74,1,12,37,24,11,10,5
81,バーセルインデックス,18300,260,3.186,-20.047,41,59,2,34,21,22,13,5,3
82,シロスタゾール,43900,250,2.288,-12.994,33,67,1,16,14,20,22,15,12
83,ミオクローヌス,33200,250,2.577,-4.138,29,71,2,20,20,22,19,11,6
84,肘サポーター,16500,250,3.232,0,55,45,2,2,7,22,32,22,13
85,野球肘,14500,250,3.343,-0.191,50,50,8,10,17,39,18,5,3
86,肘が痛い 外側,14300,250,3.358,0,41,59,1,4,8,33,23,21,10
87,キーンベック病,8800,250,3.883,0.005,39,61,2,17,18,23,20,12,8
88,肘が痛い,22900,240,2.877,0,35,65,4,7,11,31,24,14,9
89,腸脛靭帯,17000,240,3.174,-43.257,49,51,3,16,18,24,20,12,7
90,上腕骨顆上骨折,8100,240,3.937,-0.94,37,63,1,30,19,24,12,9,5
91,アジソン病,32200,230,2.504,-13.756,28,72,2,21,12,18,22,15,10
92,指のしびれ,16500,230,3.166,-0.404,38,62,1,4,9,19,27,20,20
93,肘が痛い 外側 50代,16300,230,3.124,0,33,67,0,1,1,9,73,12,4
94,上腕骨近位端骨折,10000,230,3.697,-8.996,34,66,0,17,14,18,22,18,11
95,肩鎖関節脱臼,9300,230,3.731,-2.933,60,40,2,14,19,25,22,12,6
96,バージャー病,20400,220,2.939,-1.934,33,67,1,14,13,18,22,19,13
97,棘上筋,15000,220,3.252,-7.105,50,50,3,18,17,20,18,13,11
98,ゴルフ肘,15000,220,3.167,0.002,60,40,1,6,13,26,32,15,7
99,肘の痛みが治らない,11800,220,3.421,0.001,46,54,1,1,5,26,38,20,9
100,手根管症候群 自分で治す,11300,220,3.58,-0.504,29,71,1,3,6,13,29,22,26
101,デュピュイトラン拘縮,8200,220,3.876,3.812,44,56,0,12,10,15,19,22,22
102,エフィエント,36700,210,2.309,-3.783,40,60,0,15,15,21,20,15,14
