順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,亜脱臼,273000,1200,2.447,0.002,52,48,1,4,9,16,21,23,26
2,フリーマン,292000,730,1.895,-2.365,63,37,3,8,15,19,19,18,18
3,脱臼とは,39300,590,3.679,0,34,66,4,8,11,18,22,17,20
4,脱臼 全治,13500,470,4.489,0,64,36,5,10,15,25,22,13,10
5,テオスカーヘルナンデス,134000,350,1.92,-9.489,70,30,3,9,14,18,21,19,16
6,脱臼 治し方,13100,320,4.175,0,47,53,4,9,14,21,20,16,16
7,亜脱臼とは,118000,280,1.896,0.001,47,53,2,4,6,12,20,24,32
8,エドマン,65500,250,2.315,-1.096,65,35,3,9,17,19,19,17,16
9,山本,76500,240,2.108,-21.056,64,36,4,10,22,23,17,11,13
10,脱却とは,16000,240,3.678,0,33,67,7,11,12,21,24,16,9
11,ワイルドカード,87400,230,1.926,-30.85,74,26,2,6,11,15,19,22,25
12,トラウト,86700,230,1.914,2.302,75,25,4,9,17,20,19,15,16
13,メッツ,84700,230,2.021,-14.633,61,39,4,7,10,12,16,21,30
14,脱臼と亜脱臼の違い,7300,220,4.404,0,42,58,2,5,5,16,25,25,22
15,ヘルナンデス,79400,210,1.967,-50.006,69,31,8,12,18,18,17,13,14
16,戸郷,68300,190,1.959,28.376,67,33,6,14,24,23,18,9,6
17,骨折,53700,190,2.242,0,37,63,3,5,9,16,22,22,23
18,ソト,69700,180,1.911,-9.676,75,25,6,10,14,18,19,16,17
19,アラエス,41600,180,2.435,-28.765,86,14,3,12,26,22,14,12,11
20,脱臼 痛み どのくらい,4700,180,4.622,0,45,55,8,12,16,20,20,13,11
21,マチャド,57300,170,2.059,-18.687,75,25,4,12,20,20,20,13,11
22,アクーニャjr,58500,160,1.976,-37.024,85,15,4,15,21,20,17,12,11
23,清宮,55100,160,1.997,-20.824,72,28,4,13,24,25,19,9,6
24,審判,44800,160,2.255,-85.43,65,35,7,12,23,23,16,9,10
25,脱臼 英語,3100,160,4.954,0,58,42,1,9,9,15,21,21,24
26,mvp,58700,150,1.894,-15.124,61,39,4,9,15,19,19,15,19
27,千賀,56800,150,1.932,-13.27,58,42,4,11,23,23,19,12,8
28,ロハス,52400,140,1.948,-18.217,50,50,2,7,15,19,20,19,18
29,才木,48700,140,2.035,-21.258,61,39,5,12,21,22,20,10,10
30,スタントン,47000,140,2.044,-1.038,88,12,4,14,22,21,16,11,12
31,ホームラン,33500,140,2.395,-12.241,63,37,7,13,21,23,15,10,11
32,立浪,47100,130,1.993,-46.606,73,27,8,17,22,21,17,8,7
33,牧,40200,130,2.102,-5.588,67,33,7,13,25,23,17,8,7
34,スネル,24300,130,2.654,31.852,82,18,5,14,18,18,18,15,12
