順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,腰痛 治し方,251000,20700,2.939,0,39,61,1,5,10,20,26,19,19
2,坐骨神経痛,685000,19100,1.867,0.001,34,66,1,5,11,18,24,20,21
3,腰痛 がん 症状,140000,13600,3.075,-0.001,31,69,1,3,11,25,30,17,13
4,腰痛 原因,114000,11000,3.095,0,40,60,2,7,11,19,23,20,18
5,腰痛体操 ストレッチ,109000,8600,2.896,0,36,64,1,2,6,19,28,25,19
6,腰が痛い,165000,8500,2.481,-0.25,32,68,4,8,10,19,24,16,19
7,椎間板ヘルニア,229000,8300,2.129,0.397,38,62,2,8,12,19,23,18,18
8,ヘルニア 症状,191000,6700,2.09,0.004,35,65,3,11,13,19,21,15,18
9,ぎっくり腰,165000,5800,2.062,-0.001,38,62,2,11,19,24,22,13,9
10,腰痛 コルセット,54200,5700,3.182,0,39,61,1,3,8,19,27,21,21
11,腰痛 寝方,48300,5100,3.169,0,32,68,1,7,17,26,24,13,12
12,坐骨神経痛の症状 ストレッチ,148000,4300,1.937,6.794,35,65,0,2,6,15,23,25,29
13,腰の痛み,75600,4200,2.533,-0.083,38,62,2,4,10,20,26,18,20
14,腰痛 ストレッチ,64300,4200,2.69,0,37,63,2,7,20,27,21,11,12
15,腰痛 病院,32900,3700,3.234,0.001,39,61,1,13,21,24,22,9,10
16,ブロック注射,114000,3500,1.945,2.346,40,60,1,5,11,19,25,19,20
17,すべり症,123000,3400,1.908,1.195,25,75,1,4,6,14,23,23,29
18,腰痛に効く薬,26000,3300,3.432,0,56,44,0,2,3,8,20,35,32
19,腰痛 マットレス,38700,3200,2.921,0,35,65,0,3,11,24,31,19,12
20,脊柱管狭窄症 症状,102000,3100,2.042,2.188,34,66,0,2,3,7,17,26,45
21,腰が痛いときの対処法,82400,3100,2.148,-0.031,30,70,3,8,13,22,23,14,17
22,腰椎椎間板ヘルニア,67600,3100,2.366,1.094,37,63,3,10,11,19,24,17,16
23,右腰後ろの痛み,93500,2700,1.868,-0.001,33,67,1,4,9,23,32,19,12
24,腰痛 ロキソニン,22800,2600,3.258,0,41,59,0,5,13,24,27,14,17
25,ヘルニア,71800,2300,2.005,0.615,40,60,7,13,19,21,17,10,13
26,ぎっくり腰何日で治る,64900,2200,2.034,0.626,35,65,2,6,11,23,29,17,12
27,腰部脊柱管狭窄症,62100,2200,2.114,1.357,37,63,1,10,8,13,22,21,25
28,腰痛ベルト,32600,2100,2.766,0,45,55,0,2,5,13,22,26,32
29,腹痛,70400,2000,1.853,0.013,33,67,5,11,16,22,21,13,12
30,コルセット,59600,2000,2.023,1.089,43,57,6,12,15,20,21,13,13
31,坐骨神経痛に効く薬,58400,2000,2.125,8.89,41,59,0,1,3,10,22,29,35
32,ぎっくり腰 何日,55600,1900,2.017,-0.128,37,63,2,11,19,26,23,12,7
33,椎間板ヘルニア 症状,47700,1900,2.237,1.265,33,67,2,7,9,15,22,22,23
34,肩こり,61000,1800,1.914,-0.004,33,67,2,9,16,22,21,14,16
35,おしりの筋肉が痛い,59200,1800,1.959,6.549,29,71,1,3,6,20,29,23,18
36,仙腸関節,57900,1800,1.99,0.951,32,68,1,8,12,20,24,18,17
37,ぎっくり腰 症状,43800,1800,2.251,-0.002,32,68,3,11,18,23,22,13,10
38,バンテリン 腰サポーター,48900,1600,2.014,0.79,47,53,0,1,5,14,26,27,27
39,腰椎すべり症,45700,1600,2.149,2.576,33,67,1,5,8,14,22,25,25
40,腰椎,42500,1600,2.218,0.01,39,61,2,8,9,15,21,20,25
41,腰痛 湿布,15400,1600,3.133,0.001,40,60,1,9,18,26,22,11,13
42,ヘルニア 治るのか,49900,1500,1.951,5.21,38,62,4,9,15,24,24,13,11
43,腰痛 足のしびれ,15700,1500,3.062,0,38,62,1,7,17,26,21,13,15
44,腰が痛い病気,40200,1400,2.065,-0.021,27,73,2,4,7,20,29,20,18
45,骨盤 痛い,32000,1300,2.221,0.118,20,80,2,5,11,24,29,17,12
46,腰痛 薬,10400,1300,3.369,0.001,48,52,1,8,15,25,24,14,13
47,脊柱管狭窄症手術,44300,1200,1.905,7.075,40,60,0,1,2,6,16,27,48
48,腰椎圧迫骨折,41500,1200,1.929,1.628,33,67,1,8,7,12,21,22,29
49,椎間板ヘルニア 治し方,33900,1200,2.11,3.962,40,60,1,6,10,19,26,21,17
50,コルセット 腰痛,30100,1200,2.186,0.476,41,59,2,7,13,23,25,15,15
51,変形性腰椎症,23700,1200,2.454,1.933,34,66,1,5,6,14,23,24,27
52,腰痛体操,15400,1200,2.963,0,47,53,0,3,6,12,19,19,41
53,坐骨神経痛に効くツボ,39600,1100,1.913,8.161,32,68,0,1,6,15,25,25,28
54,脊柱管狭窄症 運動療法,35100,1100,2.098,3.924,38,62,0,2,2,6,15,24,51
55,坐骨神経痛 薬,30300,1100,2.124,8.829,39,61,0,2,7,16,27,25,23
56,腰痛 椅子,11400,1100,3.048,0.001,43,57,1,3,9,22,30,19,16
57,梨状筋,35000,1000,1.911,2.539,40,60,2,10,14,21,22,17,14
58,ギックリ腰,26100,1000,2.164,0.003,38,62,1,7,18,27,27,13,7
59,腰,19200,1000,2.491,0,44,56,5,8,12,18,21,16,20
60,座ると腰が痛い,15900,1000,2.633,0.26,32,68,2,10,16,25,25,14,8
61,脊柱管狭窄症 ストレッチ,28900,950,2.133,3.075,49,51,0,1,2,5,15,27,50
62,圧迫骨折 痛み いつまで,27200,940,2.195,5.957,21,79,0,1,2,7,19,27,44
63,坐骨神経痛 寝る姿勢,33700,930,1.87,2.207,27,73,1,5,9,17,26,20,22
64,野中腰痛クリニック,30900,910,1.968,1.485,43,57,0,1,3,10,22,28,36
65,椎間板,23000,910,2.224,0.661,43,57,4,11,12,17,20,17,19
66,背骨,29800,900,1.976,2.293,37,63,3,6,10,16,20,18,27
67,ぎっくり腰 寝方,29300,900,1.919,0.017,30,70,1,7,18,29,24,13,8
68,腰痛 左側だけ,7300,880,3.269,0,38,62,1,6,18,31,27,12,5
69,背骨が曲がっている,32900,860,1.836,0.487,27,73,2,5,7,17,21,22,26
70,腰痛 右側だけ痛い,7700,860,3.194,0,30,70,2,7,18,30,28,11,4
71,寝起き 腰痛,18000,840,2.325,-0.001,35,65,1,6,22,31,21,11,8
72,腰痛 筋トレ,12400,840,2.692,0.001,65,35,1,11,26,35,18,5,4
73,おしりが痛い,28700,830,1.902,26.777,24,76,3,5,8,17,29,22,16
74,ヘルニア手術,28800,810,1.868,7.624,40,60,2,3,7,20,27,21,20
75,臀部の痛み,23700,810,2.083,0.005,40,60,0,2,4,14,27,27,26
76,ヘルニア 治療法,23300,810,2.056,5.212,41,59,2,8,16,25,25,13,11
77,腰椎脊柱管狭窄症,17300,810,2.434,0.319,32,68,1,3,4,9,23,27,33
78,腰痛ストレッチ,11200,810,2.785,0.004,45,55,3,7,12,24,28,14,12
79,腰椎椎間板症,17500,790,2.324,2.069,36,64,3,9,14,24,22,14,14
80,ヘルニア 足のしびれ,20700,760,2.094,5.619,38,62,2,6,13,26,28,14,11
81,朝起きると腰が痛い,18900,750,2.201,-0.308,36,64,1,4,12,21,24,21,17
82,コルセットの正しい付け方,17100,750,2.278,1.579,48,52,1,7,14,25,24,14,15
83,腰痛 何科を受診,8900,740,2.896,0.001,34,66,2,13,28,30,18,6,3
