順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,変形性膝関節症,219000,1400,3.674,-0.004,28,72,1,6,6,14,25,25,23
2,膝関節症クリニック,78800,1100,4.53,0,37,63,0,1,2,7,21,32,37
3,膝の痛み,363000,850,2.654,-1.019,35,65,1,2,5,15,26,25,26
4,膝関節変形症,47400,610,4.426,-0.001,23,77,0,2,3,8,22,29,36
5,膝関節症 治療,9100,450,5.803,0,32,68,0,1,2,6,16,30,45
6,脊柱管狭窄症,357000,440,2.053,-0.157,39,61,1,3,5,11,20,24,36
7,膝の痛み 曲げると痛い,177000,430,2.665,-5.509,34,66,1,3,6,16,27,24,23
8,半月板損傷,151000,420,2.803,0.004,35,65,4,6,10,19,23,20,18
9,変形性膝関節症 治療,45000,380,3.99,0.005,27,73,1,2,3,9,24,28,33
10,セレコキシブ錠100,301000,370,2.02,-2.68,31,69,1,3,6,14,24,24,28
11,膝の内側が痛い,130000,360,2.814,-7.066,34,66,2,3,5,13,26,26,25
12,膝に水が溜まる 初期症状,109000,340,2.927,-3.307,27,73,1,2,5,15,28,23,26
13,膝,130000,320,2.74,-0.001,43,57,2,3,5,11,21,24,34
14,膝の裏が痛い,146000,310,2.522,-7.659,26,74,2,4,7,18,27,22,20
15,膝サポーター,129000,300,2.665,-9.451,44,56,1,2,4,13,23,27,30
16,手根管症候群,158000,200,2.005,21.873,27,73,1,6,11,19,26,20,17
17,膝に水が溜まる,50500,190,3.117,-1.752,37,63,2,5,7,16,28,23,19
18,膝関節の痛み,15000,190,4.336,0,43,57,2,4,6,12,20,22,34
19,膝関節症クリニック 評判,14800,190,4.44,-0.004,32,68,0,1,1,4,18,33,43
20,関節リウマチ,122000,180,2.178,-0.053,30,70,2,11,11,16,24,19,17
21,膝関節変形症手術,14800,180,4.449,-1.686,24,76,0,1,1,4,14,28,52
22,褥瘡,137000,170,2,-27.609,31,69,2,11,11,18,25,20,13
23,変形性股関節症,80200,170,2.563,-5.702,24,76,1,6,7,16,25,25,20
24,圧迫骨折とは,122000,160,2.101,12.772,27,73,1,3,4,10,21,24,37
25,鵞足炎,60200,160,2.76,-4.388,43,57,3,9,13,22,22,17,14
26,膝の痛み ストレッチ,49400,160,2.998,-1.972,33,67,1,1,3,10,22,28,35
27,膝関節,15700,160,4.094,0.001,51,49,3,8,8,13,20,22,26
28,セレコキシブ,94900,150,2.273,11.523,37,63,1,10,10,16,22,19,22
29,廃用症候群とは,74300,150,2.494,0.604,27,73,2,13,10,16,25,21,13
30,膝が痛い,61000,150,2.634,-1.211,31,69,4,7,12,21,27,16,13
31,すべり症,123000,140,1.978,0.05,25,75,1,4,6,14,23,23,29
32,脊柱管狭窄症 症状,104000,140,2.169,38.654,34,66,0,2,2,7,17,27,45
33,copdとは,83900,140,2.3,-4.505,35,65,3,11,9,15,21,20,21
34,ロコアテープ,71300,140,2.446,0.518,35,65,0,4,9,18,25,21,23
35,半月板損傷 自然治癒,39500,140,3.098,0.77,35,65,2,3,5,15,24,26,25
36,大腿骨,109000,130,1.965,-0.416,35,65,3,6,8,14,21,22,26
37,有料老人ホーム,108000,130,1.992,2.086,34,66,1,4,8,16,26,25,20
38,心臓弁膜症,95900,120,2.005,-39.679,38,62,1,3,5,11,21,27,32
39,脊髄小脳変性症,90800,120,2.071,0.388,26,74,2,12,19,22,21,14,10
40,サルコペニアとは,87000,120,2.117,10.869,32,68,2,9,7,14,22,21,25
41,杖,85700,120,2.131,2.625,38,62,1,2,3,10,24,25,35
42,構音障害,74900,120,2.243,6.914,23,77,2,12,15,24,22,16,9
43,大腿骨頚部骨折,65600,120,2.438,-11.869,29,71,1,9,7,13,23,23,24
44,大腿四頭筋,62600,120,2.45,1.434,49,51,5,15,15,20,18,13,14
45,大腿骨骨折,100000,110,1.937,2.577,28,72,1,4,6,13,23,25,28
46,リマプロストアルファデクス錠5μg,89900,110,2.03,47.812,35,65,0,5,7,13,19,21,35
47,モートン病,86300,110,2.012,-6.097,30,70,1,6,10,18,25,21,19
48,イレウスとは,85800,110,1.976,-11.545,26,74,1,11,10,19,25,20,14
49,copd,79700,110,2.116,-32.889,38,62,3,17,14,20,20,14,12
50,リウマチ性多発筋痛症,79300,110,2.139,0.507,28,72,0,4,6,13,25,24,28
51,膝裏が痛い 原因,75100,110,2.148,-6.06,28,72,3,5,12,25,29,16,10
52,エルデカルシトール,57300,110,2.443,-39.471,24,76,0,9,9,15,21,20,26
53,ヒアルロン酸注射 効果 期間,51500,110,2.631,-1.542,25,75,0,2,5,14,25,26,28
54,アルツディスポ関節注25mg,22600,110,3.435,7.572,32,68,0,2,3,9,21,27,38
55,狭窄症,78300,100,2.001,4.61,39,61,1,4,8,15,24,22,26
56,クロピドグレル,66900,100,2.125,-18.952,33,67,0,16,14,20,22,15,13
57,ロコモア,63300,100,2.336,2.365,47,53,0,2,4,10,20,27,37
58,腰部脊柱管狭窄症,62600,100,2.295,4.83,37,63,1,10,8,13,22,21,25
59,ドネペジル,59800,100,2.222,-4.592,28,72,1,10,11,20,28,18,12
60,人工股関節置換術,51800,100,2.492,0.003,26,74,0,4,3,7,21,37,28
61,ラクナ梗塞,49500,100,2.489,-22.775,32,68,1,11,9,16,23,21,19
62,プロテオグリカン,45000,100,2.621,5.898,32,68,1,4,4,10,19,26,36
63,パーキンソン病 症状,75800,90,1.952,-60.287,33,67,1,8,7,13,21,20,30
64,脳梗塞 後遺症,72900,90,2.02,-18.515,32,68,1,5,8,18,27,21,20
65,腱板断裂,70800,90,2.013,-7.294,42,58,1,6,8,15,23,22,25
66,チラージン,68600,90,1.988,6.163,26,74,0,11,14,20,23,17,15
