順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,足底筋膜炎,159000,11500,3.791,0.001,34,66,3,7,15,28,21,10,16
2,足の裏が痛い,343000,9100,2.781,-0.39,34,66,2,4,10,21,29,18,16
3,足底腱膜炎 治し方,44200,8100,4.73,0.001,35,65,1,4,11,21,29,18,16
4,かかとが痛い 原因 片方だけ,167000,6400,3.155,-1.935,36,64,1,4,10,22,29,20,14
5,かかとが痛い,80200,4100,3.439,-8.2,31,69,1,5,13,24,29,16,12
6,足底筋膜炎 治し方,36000,3800,4.19,0.342,35,65,3,5,10,20,27,18,17
7,足裏 痛み,73900,2700,3.091,-0.012,35,65,1,4,10,21,30,18,16
8,足底腱膜炎 インソール,8400,2700,5.299,0.004,29,71,1,2,7,19,36,22,13
9,足の甲が痛い,213000,2300,1.885,0.001,31,69,3,6,11,21,27,18,14
10,足底腱膜炎 治療,8900,2300,5.082,0.031,34,66,2,3,9,18,27,21,20
11,モートン病,86300,2000,2.674,0.183,30,70,1,6,10,18,25,21,19
12,土踏まずが痛い,64400,1900,2.887,-0.018,34,66,3,10,16,25,26,13,7
13,足底腱膜炎 サポーター,5100,1900,5.449,0.004,33,67,1,3,8,17,36,22,13
14,足首が痛い,124000,1400,1.969,0.008,32,68,4,6,12,21,24,17,16
15,足底筋膜炎 インソール,11500,1400,4.29,6.058,31,69,1,4,11,24,30,18,12
16,足底腱膜炎 原因,5600,1400,5.054,0.001,29,71,3,5,10,16,29,20,17
17,足のかかとが痛い,24800,1300,3.461,-2.714,33,67,1,3,7,17,29,20,23
18,足底筋膜炎 サポーター,9800,1300,4.369,2.413,35,65,2,4,12,26,25,16,15
19,足底筋膜炎 テーピング,8600,1300,4.505,0.179,40,60,7,9,15,26,24,10,9
20,かかとが痛い 原因 内臓,31600,1200,3.112,-0.732,31,69,0,2,8,21,34,20,15
21,踵が痛い,24900,1200,3.387,-0.056,37,63,1,5,13,23,27,18,13
22,土踏まずが痛い 原因 片方だけ,33700,1100,2.957,-0.043,35,65,2,7,15,25,28,14,9
23,足底筋膜炎 原因,12000,1100,4.081,0.002,28,72,3,6,10,17,28,18,18
24,測定腱膜炎 治療,5000,1100,4.896,-0.005,36,64,0,3,10,22,27,21,17
25,アキレス腱 痛い,90000,1000,1.948,1.581,44,56,4,7,14,24,24,15,12
26,足底筋膜炎 治らない,5400,970,4.699,21.621,37,63,2,4,12,24,28,15,15
27,測定腱膜炎 治し方,4900,950,4.798,0.058,31,69,1,3,10,20,31,19,16
28,鵞足炎,60200,920,2.254,15.879,43,57,3,9,13,22,22,17,14
29,インソール,76600,910,1.994,4.506,42,58,3,8,12,22,24,16,15
30,かかとの痛みの原因,19000,900,3.374,-0.688,35,65,1,2,9,22,28,21,17
31,扁平足,50700,860,2.347,0.123,35,65,7,17,21,26,15,7,7
32,扁平足 治し方,49100,860,2.372,0.997,30,70,4,8,15,28,23,11,11
33,モートン病 初期症状,27400,740,2.869,0.907,23,77,1,3,6,14,27,25,24
34,足根管症候群,21500,730,3.062,0.025,36,64,1,10,12,18,21,18,20
35,かかと 痛い,17800,720,3.188,-0.298,32,68,3,11,26,31,19,7,3
36,胸郭出口症候群,70600,710,1.81,15.67,35,65,2,11,16,25,24,13,9
37,シーバー病,52100,700,2.046,0.02,33,67,3,4,21,49,14,5,4
38,踵骨棘,8000,700,3.991,0.457,32,68,1,4,9,21,29,20,16
39,シンスプリントとは,61500,660,1.879,15.588,47,53,14,14,13,29,20,6,4
40,足の裏が痛い 原因,20700,660,2.996,-0.047,34,66,1,3,6,15,29,25,21
41,中足骨骨頭痛,19100,650,3.049,0.008,32,68,3,7,13,21,27,18,11
42,内反小趾,57600,640,1.924,7.169,22,78,3,11,18,24,23,13,8
43,体外衝撃波,11100,620,3.533,15.313,42,58,2,6,12,24,28,15,13
44,梨状筋症候群,45100,590,2.089,14.815,35,65,1,9,13,21,24,18,14
45,足底筋膜炎 靴,3800,590,4.535,12.958,18,82,1,2,8,25,34,19,11
46,仙腸関節,57800,580,1.842,30.095,32,68,1,8,13,20,23,18,17
47,下肢静脈瘤 初期症状,56800,550,1.802,0.63,23,77,0,3,7,17,28,24,21
48,tfcc損傷,43400,550,2.046,8.688,44,56,5,12,18,24,23,12,6
49,アキレス腱炎,21500,540,2.73,0.005,46,54,5,9,17,26,22,12,9
50,足底筋膜炎 治療,4200,520,4.327,1.854,36,64,2,5,15,24,24,17,13
51,足の裏 痛い,19800,510,2.74,-0.192,28,72,3,12,25,26,21,8,5
52,足の指の付け根 痛み,32000,470,2.197,0.719,29,71,2,5,10,21,28,20,14
53,ブシャール結節,49600,460,1.784,18.255,21,79,1,3,7,16,28,25,20
54,神経障害性疼痛,48700,460,1.786,20.34,30,70,2,9,12,18,22,20,17
55,足底板,12500,460,3.166,0.005,29,71,1,8,10,17,22,20,22
56,末梢神経障害,44900,450,1.826,4.879,35,65,1,9,10,17,24,19,20
57,足首 サポーター,41000,450,1.921,6.879,40,60,2,4,9,23,25,19,18
58,ドケルバン病,38900,450,1.978,13.624,29,71,3,10,16,19,24,16,12
59,筋膜炎,34300,450,2.11,0,37,63,3,6,10,21,22,19,19
60,くるぶしの下が痛い,28400,450,2.26,1.233,37,63,5,8,14,27,26,12,8
61,足裏が痛い,13600,440,3.016,-0.003,34,66,2,4,8,19,30,17,20
