順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,関節痛 サプリ,1600,230,5.314,0,38,62,1,1,8,21,38,21,10
2,関節痛とは,1700,220,5.234,0,24,76,14,32,17,16,12,6,3
3,関節痛 薬,1900,250,5.204,0,37,63,2,17,20,24,21,9,7
4,関節痛 原因,3500,360,5.004,0,31,69,7,18,17,17,18,13,10
5,関節痛 漢方,2100,210,4.959,0,21,79,1,2,8,23,40,17,9
6,関節痛 コロナ,2300,210,4.881,0,26,74,7,24,21,25,15,5,3
7,関節痛 ロキソニン,1200,110,4.831,0,38,62,1,12,23,23,20,14,7
8,関節痛に効く薬,9900,830,4.824,0,48,52,1,2,3,12,26,35,21
9,関節痛 インフルエンザ,2200,190,4.821,0,28,72,8,27,23,24,12,4,2
10,関節痛 風邪,4200,340,4.77,0,29,71,9,24,29,21,10,5,2
11,関節痛 治し方,6300,500,4.758,0.001,34,66,8,19,16,17,17,13,10
12,関節痛 微熱,1800,140,4.716,0,13,87,4,27,29,27,8,3,2
13,関節痛 更年期,9300,710,4.637,0,9,91,0,1,2,26,61,7,3
14,関節痛 熱,12600,730,4.421,0,25,75,9,23,23,23,13,5,4
15,関節痛 カロナール,1300,60,4.16,0,15,85,1,13,25,34,16,7,4
16,全身関節痛原因,1300,60,4.143,0,31,69,1,8,11,25,27,15,13
17,関節痛 熱なし,21500,900,4.092,0,20,80,5,22,27,26,12,4,4
18,膠原病 関節痛,1100,50,4.015,5.475,18,82,0,7,15,29,31,12,6
19,関節が痛い,43700,1500,3.905,-0.007,31,69,3,6,8,19,27,20,17
20,更年期障害 関節痛,1300,50,3.876,0.266,13,87,2,3,3,27,58,5,2
21,更年期関節痛 いつまで,1100,40,3.79,-11.651,10,90,4,1,0,10,76,8,1
22,更年期 関節痛 漢方,1100,40,3.771,0.001,7,93,1,1,1,26,66,4,1
23,全身の関節が痛い,3600,110,3.743,0.009,30,70,3,9,11,19,30,17,11
24,リウマチに似た病気,1600,40,3.684,0,20,80,1,2,9,15,31,23,19
25,膝関節痛,1200,30,3.659,2.865,50,50,2,6,8,11,19,23,31
26,更年期関節痛,3600,110,3.655,-2.877,10,90,1,1,1,19,69,7,2
27,関節 痛い,1900,50,3.654,-0.011,30,70,4,13,21,27,21,7,7
28,関節炎 指,1100,30,3.619,-1.087,21,79,1,4,11,22,25,19,18
29,更年期 関節痛 いつまで,1600,40,3.588,15.628,8,92,1,1,1,15,76,4,2
30,更年期 関節痛 全身,1400,40,3.586,0.043,9,91,0,1,1,25,65,4,4
31,関節炎,6700,170,3.572,0,31,69,2,10,17,22,21,14,14
32,頭痛 関節痛,1100,30,3.569,0.165,22,78,4,21,25,30,15,4,1
33,関節炎とは,17300,420,3.559,0,29,71,2,6,10,19,22,20,21
34,体中の関節が痛い,1200,30,3.551,-1.429,31,69,1,2,6,14,34,26,17
35,関節炎 治し方,2700,60,3.532,0,39,61,3,4,10,21,23,20,19
36,関節の痛み 原因,1600,40,3.513,-0.249,39,61,2,7,11,18,25,22,15
37,関節に良い食べ物,1600,40,3.498,0.001,38,62,1,2,7,20,30,24,16
38,関節の痛みに効く薬,1800,40,3.461,11.289,38,62,2,1,4,14,30,28,21
39,関節炎 原因,2200,50,3.445,11.309,26,74,2,8,12,22,21,18,17
40,関節が痛い 指,1600,30,3.442,-7.178,22,78,1,4,9,20,27,23,16
41,体の関節があちこち痛い,1400,30,3.437,-5.891,32,68,4,11,12,21,29,16,7
42,更年期 関節痛,10300,240,3.433,-1.755,9,91,1,1,2,31,60,4,1
43,関節が痛い だるい,1600,30,3.431,-0.006,26,74,6,20,18,17,20,9,10
44,関節の痛み,5000,110,3.429,0,31,69,2,6,11,20,26,20,15
45,関節炎 膝,1600,30,3.422,0.008,31,69,0,7,11,21,21,19,21
46,リウマチ血液検査 項目 一覧,1400,30,3.404,-7.779,16,84,1,1,2,14,39,27,16
47,関節が痛い 更年期,3700,80,3.403,-3.626,14,86,1,1,2,27,54,11,4
48,寝起き 関節が痛い,1300,30,3.4,1.574,27,73,5,9,21,30,29,5,1
49,関節リウマチ 初期症状,74600,1500,3.388,-0.002,22,78,1,5,9,17,28,21,19
50,多発性関節炎,1800,40,3.382,0.836,28,72,1,7,11,19,27,19,16
51,更年期障害症状 関節痛,2600,60,3.366,0.004,9,91,1,1,1,20,70,6,1
52,リウマチ血液検査,1100,20,3.365,-0.089,25,75,0,2,4,11,27,27,29
53,足 関節 痛い,1600,30,3.362,22.956,38,62,9,18,18,25,19,6,5
54,身体中の関節が痛い病気,1300,30,3.36,5.948,25,75,0,3,6,14,32,29,16
55,更年期 関節痛 リウマチ 違い,1000,20,3.36,-19.308,10,90,1,1,1,26,62,7,2
56,コロナ後遺症 関節痛,1200,20,3.35,-0.007,28,72,2,6,14,24,32,14,8
57,コロナ関節の痛み,1800,40,3.347,-9.261,31,69,6,14,10,22,29,14,5
58,コロナ 後遺症 関節痛,1200,20,3.344,-6.009,35,65,3,7,15,25,26,16,8
59,節々が痛い 更年期,1300,30,3.337,0.96,12,88,1,1,2,31,48,11,6
60,関節の痛み 更年期,3200,70,3.335,2.037,8,92,0,1,1,28,55,10,5
61,薏苡仁湯,1500,30,3.333,5.553,34,66,0,5,10,18,29,21,17
62,リウマチ 筋肉痛,1100,20,3.325,21.434,25,75,1,5,14,31,31,13,5
63,関節の痛み 熱なし,1100,20,3.322,-0.304,19,81,1,13,28,33,12,8,5
64,股関節痛 薬,1000,20,3.321,-0.007,37,63,0,3,5,13,28,29,22
65,関節炎 指 治し方,3600,70,3.315,0,26,74,1,2,8,21,23,21,24
66,関節症とは,1900,30,3.282,0,30,70,6,4,7,12,23,26,22
67,全身痛い,1200,20,3.271,-1.55,19,81,6,18,20,24,19,10,3
68,糖尿病 関節痛,1200,20,3.269,8.71,47,53,3,8,15,24,32,15,3
69,リウマチ 初期症状 チェック,3300,60,3.264,-0.026,20,80,1,4,8,22,33,17,15
70,関節リウマチ 血液検査,3900,70,3.263,1.395,23,77,1,6,9,18,28,20,18
71,関節が腫れる病気,1900,30,3.256,-1.994,21,79,0,3,5,19,29,27,17
72,手首足首の痛み,1300,20,3.243,-0.168,20,80,2,8,12,24,29,15,10
73,両手首が痛い病気,1500,30,3.233,0.409,31,69,1,4,12,24,27,17,15
74,リウマチ 漢方薬,1900,30,3.23,1.728,25,75,0,1,5,22,38,23,11
75,肘関節の痛み,4800,80,3.209,0.001,42,58,3,6,7,20,31,21,12
76,手のこわばり リウマチ以外,2700,50,3.208,-3.535,16,84,1,2,7,16,36,24,14
77,膝注射ヒアルロン酸,1700,30,3.208,21.142,33,67,0,1,2,5,26,34,32
78,ユービケア 効果 口コミ,1300,20,3.207,2.623,28,72,0,1,4,14,37,28,16
79,関節とは,1900,30,3.206,0.002,33,67,10,17,17,23,17,9,7
80,ユービケア,3400,60,3.194,5.06,32,68,0,3,7,14,35,24,17
81,手のこわばりをとる方法,3000,50,3.189,-50.441,17,83,1,0,2,11,40,25,21
82,変形性関節症 手指,3300,50,3.171,2.328,25,75,1,3,4,13,28,28,23
83,りんご病 関節痛,1200,20,3.165,0.968,15,85,0,4,39,47,7,1,2
84,リウマチ 肘の痛み,1100,20,3.163,2.455,20,80,0,4,10,29,36,15,6
85,関節リウマチ 薬,3200,50,3.157,5.783,31,69,0,11,8,13,27,23,18
86,リウマチ科 病院,1700,30,3.141,-4.49,21,79,0,5,7,13,32,32,11
87,リウマチ検査,3500,60,3.134,0.942,21,79,1,3,6,20,34,20,16
88,リウマチ初期症状,1700,30,3.124,-0.988,16,84,0,2,6,20,34,21,17
89,リウマチ専門医,3300,50,3.109,0.528,30,70,1,1,6,13,25,25,29
90,リウマチ 痛み,1800,30,3.106,0.018,23,77,2,6,15,29,30,13,5
91,風邪 関節痛,5400,80,3.104,0,33,67,7,24,31,22,10,4,2
92,リウマチ 痛み止め,1700,30,3.081,6.944,24,76,1,5,11,26,32,17,8
93,リウマチ薬,2900,40,3.078,25.272,24,76,0,3,5,17,33,24,18
94,関節リウマチ 症状,9600,140,3.074,-0.001,21,79,3,19,12,14,24,16,12
95,風邪関節痛,1600,30,3.072,0,40,60,9,12,10,24,23,15,7
96,関節リウマチ 何科,3700,60,3.071,-0.541,25,75,1,6,11,21,32,16,13
97,寒気 関節痛 熱なし,1300,20,3.07,-0.242,17,83,1,18,33,30,13,4,1
98,リウマチの痛み 特徴,1400,20,3.066,-6.501,13,87,0,1,6,16,34,24,19
99,整理中 関節痛,1300,20,3.063,0,2,98,5,21,35,31,6,1,1
100,関節,11100,160,3.057,0,41,59,3,8,10,17,19,18,25
101,関節のこわばり,1400,20,3.056,0.126,24,76,1,5,8,17,34,20,15
102,反応性関節炎,2200,30,3.042,11.251,41,59,1,12,20,24,20,13,10
103,関節がポキポキなる原因,4500,60,3.039,6.939,29,71,3,5,8,18,27,22,17
104,間接,1600,20,3.012,0,49,51,7,11,14,24,19,10,15
105,関節 ポキポキ 原因,2800,40,3.007,0,39,61,4,12,18,29,21,11,5
106,関節リウマチ 治療,8400,110,3.001,0.204,35,65,2,9,10,14,25,20,20
107,全身の痛み,2100,30,3,0.235,29,71,1,7,13,22,29,13,15
108,手関節の痛み,2100,30,2.993,-6.536,24,76,1,3,4,15,28,27,22
109,抗ccp抗体 基準値,1800,20,2.991,22,31,69,1,5,9,15,26,20,24
