順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,骨折 早く治す,50000,2800,4.039,-0.001,34,66,3,4,10,25,26,17,15
2,骨折 痛み いつまで,26700,2000,4.367,0,29,71,2,4,8,18,26,23,19
3,骨折 完治,18000,1300,4.35,0.001,35,65,4,7,10,20,24,19,16
4,剥離骨折とは,137000,1200,2.209,0,28,72,4,5,10,24,21,16,20
5,骨折 手術する場合,13700,920,4.244,0,23,77,2,5,11,22,25,18,17
6,大腿骨骨折,100000,870,2.243,0.011,28,72,1,4,6,13,23,25,28
7,労災 休業補償,82000,810,2.277,-2.074,41,59,0,3,10,23,32,22,10
8,手首 骨折,21200,730,3.61,-0.046,27,73,3,3,8,17,21,24,24
9,骨折に効く食べ物,14700,640,3.789,0,29,71,1,3,8,25,29,20,14
10,大腿骨頚部骨折,65600,580,2.251,-3.905,29,71,1,9,7,13,23,23,24
11,骨折の種類,9000,580,4.294,0,29,71,1,2,3,11,20,25,38
12,シーネ固定,32500,570,2.874,0.697,28,72,2,10,14,26,22,16,10
13,骨折 英語,9900,570,4.09,0,37,63,6,9,12,23,20,16,14
14,ギプス,22700,520,3.152,0.001,34,66,6,9,15,25,20,12,13
15,手術後,51000,500,2.32,0.019,43,57,0,2,4,14,26,30,24
16,打撲,37200,490,2.601,-0.001,33,67,5,10,14,22,19,15,15
17,肋骨骨折,40900,470,2.479,0.002,32,68,2,7,12,18,25,18,18
18,鎖骨骨折,36800,470,2.577,-2.443,39,61,3,5,9,20,23,21,19
19,松葉杖,27800,460,2.818,0.002,44,56,4,7,13,23,23,15,15
20,転倒,24000,450,2.986,-0.001,42,58,1,3,6,11,23,27,29
21,リハビリ,47600,440,2.278,3.899,41,59,2,5,9,17,20,19,28
22,手首骨折 完治 期間,14600,440,3.478,0,27,73,3,4,6,16,23,27,21
23,捻挫 骨折 見分け方,31100,430,2.648,-0.324,27,73,5,9,14,27,23,13,9
24,橈骨遠位端骨折,28700,430,2.748,-0.002,35,65,2,13,13,21,20,18,13
25,骨折 超音波治療,5500,410,4.319,0,35,65,2,5,11,30,26,18,8
26,打撲 痛み いつまで,37400,400,2.382,-0.028,29,71,4,7,11,23,24,16,15
27,骨折 何科,9700,390,3.702,0,39,61,3,15,26,28,17,6,5
