順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,整形外科 近く,95600,18200,3.237,0,35,65,2,5,9,19,24,20,21
2,皮膚科 近く 現在地,223000,10200,1.815,-4.091,32,68,2,5,9,21,24,19,20
3,皮膚科,225000,10100,1.787,0,32,68,3,9,14,22,19,14,19
4,耳鼻科 近く 現在地,142000,6400,1.78,4.679,32,68,2,5,10,23,25,18,17
5,内科,120000,6000,1.859,3.355,36,64,2,12,19,26,21,11,9
6,整形外科 日曜日,27700,6000,3.31,0,27,73,3,6,17,36,24,9,5
7,眼科 近く 現在地,119000,5700,1.848,-2.435,33,67,2,4,10,23,24,19,18
8,耳鼻科,125000,5600,1.744,5.692,30,70,3,11,23,28,17,8,10
9,整形外科 名医,30400,5600,3.279,0,28,72,0,1,3,8,24,28,36
10,形成外科,60800,5200,2.4,0,31,69,2,6,21,37,11,5,18
11,眼科,114000,5100,1.784,-0.012,33,67,3,7,15,23,18,14,20
12,脳神経外科,93000,4400,1.817,0,34,66,2,5,13,22,24,16,18
13,整骨院,58100,4400,2.291,0,40,60,3,10,17,24,21,12,13
14,整形外科とは,13300,3600,3.582,0,48,52,11,20,20,20,12,7,10
15,脳神経内科,78100,3300,1.735,0.014,31,69,1,5,8,21,26,19,20
16,形成外科とは,51000,3300,2.148,0,36,64,3,12,6,6,35,26,12
17,内科 現在地周辺,53300,3000,1.99,17.083,32,68,2,9,16,27,26,12,8
18,接骨院,35500,2900,2.346,0,41,59,4,10,16,25,20,13,12
19,整形外科 形成外科の違い,19100,2900,2.985,0,38,62,2,9,19,26,20,12,12
20,小児科,49300,2500,1.842,0.04,26,74,3,9,31,32,10,8,7
21,整形外科 整骨院 違い,14900,2500,3.077,0,33,67,4,11,21,27,19,9,9
22,婦人科,53700,2400,1.756,0.046,15,85,3,14,15,25,21,10,12
23,整骨院 保険適用,42700,2000,1.803,0.007,33,67,2,8,17,27,23,12,11
24,接骨院と整骨院の違い,42500,2000,1.822,0.001,33,67,3,11,18,25,21,12,10
25,外科,23400,2000,2.42,0,39,61,3,8,13,20,19,18,19
26,腰痛 病院,32900,1900,1.981,-0.003,39,61,1,13,21,24,22,9,10
27,形成外科 整形外科 違い,31500,1900,2.052,0,37,63,2,8,19,26,18,12,15
28,坐骨神経痛 何科,42400,1800,1.754,-0.001,33,67,1,4,10,16,23,21,25
29,整形外科 リハビリ,9800,1800,3.216,0,23,77,1,4,7,18,28,20,22
30,整骨院 整形外科 違い,19600,1500,2.301,0.001,30,70,2,8,17,26,23,13,11
31,近くの整形外科,16100,1400,2.457,0,40,60,4,7,9,17,24,20,19
32,整形,23700,1200,1.893,0,30,70,7,11,17,24,21,11,9
33,整形外科 英語,7700,1200,3.04,0,38,62,1,9,12,22,21,17,18
34,皮膚科 日曜日診療,23100,1100,1.809,-0.06,23,77,2,8,16,33,26,9,6
35,田中整形外科,20600,1100,1.893,0.005,34,66,2,5,10,24,25,18,16
36,接骨院 保険適用,21500,1000,1.838,0.007,35,65,2,9,17,28,22,12,10
37,中村整形外科,21100,1000,1.819,0.008,36,64,2,5,12,23,25,18,15
38,整形外科と形成外科の違い,6000,950,3.059,0,38,62,1,6,8,16,23,21,25
39,婦人科 女医,21200,930,1.748,-4.232,9,91,1,7,6,22,35,14,15
40,接骨院と整形外科の違い,12200,930,2.285,0,30,70,2,7,15,26,25,14,11
41,整形外科 土曜日午後,4000,920,3.358,0,19,81,4,5,15,47,23,4,2
42,山田整形外科,20000,910,1.774,0.005,32,68,2,5,11,27,25,17,13
43,外科とは,18400,910,1.859,0,32,68,6,21,22,22,17,4,8
44,整形外科医,5200,880,3.207,0,31,69,4,5,5,10,12,23,41
45,スポーツ整形外科,10100,870,2.39,0.02,36,64,4,5,9,36,27,11,8
46,突き指 病院に行く目安,16700,840,1.834,-0.001,15,85,6,4,17,47,17,5,4
47,山本整形外科,17800,810,1.77,0.028,35,65,2,5,11,25,26,18,13
48,耳鼻科 日曜日,17400,800,1.758,0.079,26,74,2,10,19,33,22,9,5
49,さとう整形外科,16100,800,1.846,0.027,32,68,2,5,12,27,27,17,10
50,いとう整形外科,16700,790,1.817,0.005,31,69,2,4,11,24,27,19,13
51,森整形外科クリニック,16200,780,1.834,0.004,31,69,2,5,11,27,27,15,13
52,神経内科,16900,760,1.775,0.005,34,66,1,7,13,23,25,16,15
53,さくら整形外科,17100,740,1.722,0.018,34,66,1,4,11,24,26,17,17
54,整形外科 電気治療 効果,5000,740,2.983,0,25,75,1,4,10,22,27,18,18
55,整形外科 初診料,5200,730,2.926,0,38,62,4,33,28,22,7,2,4
56,山口整形外科,14800,690,1.797,0.012,32,68,2,5,10,24,26,18,15
57,日本整形外科学会,10800,690,2.103,-23.021,73,27,1,5,12,21,25,21,15
58,骨折 何科,9700,690,2.212,0,39,61,3,15,26,28,17,6,5
59,整形外科 mriある病院,3400,690,3.258,0,25,75,1,3,7,19,38,22,10
60,形成外科 皮膚科 違い,14900,670,1.776,0,23,77,1,6,14,26,22,15,16
61,肉離れ 病院 何科,10900,670,2.045,0,41,59,4,8,14,33,27,8,6
62,膝の痛み 何科,10100,670,2.158,-0.001,37,63,1,7,15,22,26,16,13
63,太田整形外科クリニック,15000,650,1.736,0.003,32,68,3,5,11,25,26,16,14
64,切り傷 何科,12000,630,1.9,0,33,67,1,8,21,30,22,11,7
65,小児科 近く,9200,620,2.139,7.57,19,81,1,7,32,38,8,7,7
66,捻挫 何科,9100,620,2.164,0,26,74,3,13,23,33,17,6,5
67,なかむら整形外科クリニック,12200,550,1.769,0.003,27,73,2,4,11,29,26,16,12
68,すずき整形外科クリニック,11700,550,1.795,0.091,24,76,2,4,12,28,27,15,12
69,安藤整形外科,11100,540,1.836,0.004,32,68,1,5,10,24,28,17,15
70,整形外科 休日診療,2300,540,3.391,0,25,75,1,3,13,37,31,11,4
71,整形外科 近く 現在地 評判,2200,540,3.595,0.001,32,68,0,2,2,9,20,27,40
72,整形外科 大阪,2000,540,3.526,0,35,65,1,9,16,27,27,13,7
73,眼科 日曜日,11700,530,1.757,0.044,30,70,3,8,18,29,25,11,6
74,整体院,12000,520,1.785,2.857,47,53,2,6,9,13,19,23,28
75,加藤整形外科,10200,520,1.917,0.023,35,65,2,3,8,21,24,21,21
76,整形外科 札幌,1900,520,3.517,0,33,67,1,9,20,29,27,10,4
77,井上整形外科,10300,510,1.873,0.007,36,64,1,4,10,21,26,20,18
78,しみず整形外科,9100,510,1.964,0.004,29,71,2,4,11,25,28,18,12
79,美容整形外科,8200,510,2.139,0,28,72,4,9,12,20,20,16,19
80,佐々木整形外科,11100,500,1.761,0.116,32,68,3,5,12,26,25,16,13
81,鈴木整形外科,8700,500,2.005,0.012,45,55,2,4,10,22,26,20,16
82,西川整形外科,10800,480,1.746,0.008,34,66,2,5,11,24,26,16,16
83,はしもと整形外科,9800,470,1.812,0.062,31,69,2,5,11,25,27,17,13
84,腰痛 何科を受診,9000,470,1.867,-0.001,34,66,2,13,28,30,18,6,3
85,日本整形外科学会 2024,6500,470,2.199,-84.788,77,23,0,4,15,25,26,20,10
86,整形外科と外科違い,2200,460,3.287,0,30,70,2,8,12,21,26,16,15
87,整形外科 救急,1900,460,3.398,0,27,73,2,7,20,38,21,8,4
88,オスグッド サポーター,9400,450,1.755,6.465,35,65,5,2,13,57,18,2,3
89,林整形外科,9200,450,1.846,0.005,36,64,2,4,12,25,26,18,13
90,いのうえ整形外科,9200,440,1.815,0.025,30,70,2,5,13,27,26,15,12
91,整形外科 mri,3100,440,2.891,0,35,65,2,10,22,35,17,8,6
92,小林整形外科,8600,430,1.88,0.115,38,62,2,5,10,22,25,19,17
93,整形外科学会 2024,3000,430,2.948,0,48,52,0,9,13,23,21,19,15
94,岡田整形外科,9200,420,1.756,0.113,36,64,2,5,11,26,26,17,13
95,外科 整形外科 違い,6400,420,2.111,0,38,62,1,8,19,28,23,13,8
96,整形外科 さいたま市,1500,420,3.571,0,31,69,0,5,14,33,27,13,8
97,まえだ整形外科,9100,410,1.777,0.038,29,71,3,5,12,24,26,17,13
98,整形外科 腰痛,1900,400,3.316,0,35,65,1,17,30,26,16,5,5
99,あおき整形外科,8100,390,1.821,0.019,32,68,2,6,15,27,24,15,11
100,中島整形外科,7500,390,1.927,0.025,35,65,2,4,10,23,26,19,16
101,腱鞘炎 何科,7500,390,1.884,-0.001,24,76,1,17,29,26,14,7,6
102,腰が痛い 病院,6600,390,2.037,-0.001,36,64,3,23,23,23,17,6,5
103,肩が痛い 何科,5700,390,2.151,-0.001,39,61,2,11,17,28,23,11,8
104,整形外科 夜間診療,1600,390,3.435,0,28,72,2,9,19,34,24,8,4
105,足のしびれ 何科,9200,380,1.732,-0.005,31,69,1,6,12,16,22,17,26
106,中野整形外科,7600,380,1.873,0.005,32,68,3,6,12,24,25,17,13
107,整形外科と接骨院の違い,2700,380,2.899,0,31,69,4,8,12,23,25,16,12
108,整形外科と整骨院の併用,2600,380,2.961,0,22,78,2,4,7,22,29,20,16
109,整形外科 祝日診療,1600,380,3.355,0,26,74,4,8,19,39,22,7,1
110,首の痛み 何科,7600,370,1.821,-0.001,32,68,1,14,29,28,14,7,7
111,日曜日 整形外科,3900,370,2.464,0.048,31,69,2,7,23,41,20,5,2
112,整形外科 仙台,1800,370,3.265,0,27,73,3,9,22,33,24,7,2
113,整形外科 名古屋,1500,370,3.444,0,37,63,2,15,19,29,23,7,5
114,高田整形外科,7800,360,1.788,0.017,35,65,1,4,11,24,28,18,14
115,田辺整形外科,7600,360,1.818,0.003,32,68,1,3,9,24,27,20,16
116,木村整形外科,6600,360,1.957,0.098,33,67,1,6,11,24,27,18,13
117,整形外科 レントゲン 料金,3300,360,2.639,0,30,70,3,21,30,27,14,4,1
118,整形外科 八王子,1500,360,3.431,0,30,70,2,5,15,29,30,11,8
119,佐藤整形外科クリニック,8200,350,1.734,0.523,35,65,1,4,8,18,26,23,20
120,ふくしま整形外科,7500,350,1.78,0.08,31,69,2,6,12,27,25,16,12
121,岩田整形外科クリニック,7300,350,1.829,0.038,33,67,3,4,8,25,27,19,14
122,中山整形外科,7100,350,1.856,0.014,32,68,2,5,11,23,26,18,15
123,渡辺整形外科クリニック,8000,340,1.734,0.057,36,64,1,4,7,17,26,24,21
124,なかじま整形外科,7100,340,1.832,0.017,25,75,2,4,10,31,25,14,14
125,坂本整形外科,7100,340,1.819,0.012,34,66,3,5,13,24,25,18,12
126,にしむら整形外科クリニック,6800,340,1.894,0.004,31,69,2,5,12,23,26,18,14
127,眼科 近く,6800,340,1.878,-1.643,28,72,3,7,19,24,18,14,15
128,たけうち整形外科,6700,340,1.895,0.123,25,75,2,4,11,26,26,14,17
129,小児科 日曜診察,6200,340,1.922,-1.371,24,76,0,5,35,41,8,6,5
130,肩の痛み 何科,5000,340,2.17,-0.001,40,60,2,11,20,24,22,11,10
131,日本整形外科学会 2025,4500,340,2.239,35.114,79,21,0,2,12,25,29,21,11
132,整形外科 リハビリ 料金,3000,340,2.688,0,28,72,1,8,16,29,28,12,6
133,整形外科 外科 違い,2500,340,2.868,0,37,63,2,12,24,27,20,9,6
134,腰痛 整形外科 整骨院 どっち,7300,330,1.76,-0.001,38,62,1,12,28,30,19,6,4
135,手外科,7000,330,1.839,11.457,29,71,1,3,6,17,28,24,21
136,かわかみ整形外科クリニック,6800,330,1.826,0.002,34,66,2,5,13,26,25,16,13
137,腰痛 病院 何科,6000,330,1.934,-0.001,43,57,1,17,29,27,16,7,3
138,さかもと整形外科,5900,330,1.962,0.035,31,69,1,4,12,27,29,15,12
139,打撲 何科,4900,330,2.151,0,31,69,2,12,19,30,19,10,8
140,小児整形外科,4700,330,2.181,0.002,26,74,0,5,39,34,10,7,5
141,整形外科 土曜日,1400,330,3.408,0,35,65,5,17,26,34,13,2,3
142,整形外科 祝日,1300,330,3.469,0,29,71,2,12,26,38,18,2,2
143,整形外科 京都,1300,330,3.454,0,30,70,1,10,17,29,25,13,5
144,こばやし整形外科,7200,320,1.746,0.014,25,75,2,5,13,28,26,14,12
145,整骨院 電気治療 効果,6100,320,1.927,0.794,25,75,2,5,14,26,25,13,15
146,整形外科学会,2300,320,2.888,0,60,40,0,8,18,25,23,15,11
147,藤田整形外科,7000,310,1.755,0.016,34,66,2,5,11,23,24,18,17
148,原整形外科,6800,310,1.785,0.01,34,66,2,4,9,24,27,18,16
149,うすい整形外科,6300,310,1.851,0.162,33,67,2,6,11,26,25,18,12
150,首が痛い 何科,6300,310,1.841,-0.002,30,70,2,12,20,26,20,10,10
151,やまもと整形外科,6300,310,1.831,0.063,29,71,1,4,13,27,25,17,13
152,近くの整形外科 現在地,5000,310,2.151,0,40,60,1,2,4,13,26,28,26
153,外科と整形外科の違い 知恵袋,4800,310,2.137,0.001,33,67,1,3,8,20,27,21,20
154,うえの整形外科,6000,300,1.865,0.006,32,68,2,3,12,27,28,16,12
155,サッカースクール,5400,300,1.875,-7.164,39,61,2,4,24,51,12,4,3
156,整形外科 姫路,1300,300,3.364,0,33,67,1,6,20,36,26,8,3
157,整形外科 子供,1300,300,3.361,0,16,84,0,5,45,43,5,1,1
158,胃腸科,6400,290,1.793,27.506,33,67,2,8,13,24,25,15,13
159,森田整形外科,6300,290,1.76,0.008,35,65,2,4,13,27,24,16,14
160,清水整形外科,5900,290,1.859,0.137,36,64,3,5,10,22,26,19,15
161,増田整形外科,5900,290,1.854,0.018,36,64,2,5,11,24,27,19,12
162,あらい整形外科,5300,290,1.971,0.004,34,66,2,5,12,25,25,18,13
163,腰痛 整形外科,4600,290,2.059,0,41,59,1,14,28,28,17,8,4
164,整形外科 整骨院 併用,2200,290,2.811,0,32,68,2,6,19,37,24,8,4
165,たなか整形外科,6100,280,1.759,0.002,28,72,2,4,11,27,26,18,12
166,かねこ整形外科クリニック,5800,280,1.825,0.017,31,69,2,4,10,26,27,17,14
167,整形外科 宇都宮,1200,280,3.357,0,33,67,1,6,19,34,27,10,3
168,座骨神経痛何科へ,6500,270,1.741,-6.862,34,66,0,1,5,14,23,23,34
169,膝手術,6100,270,1.818,10.176,29,71,1,2,3,11,26,26,31
170,泉整形外科病院,6100,270,1.742,0.004,40,60,1,4,10,25,26,18,16
171,接骨院 料金,6000,270,1.79,2.649,40,60,4,12,14,24,20,12,14
172,リウマチ科,5700,270,1.822,0.024,26,74,2,8,12,23,31,14,10
173,膝が痛い 何科,4900,270,1.976,-0.002,33,67,2,11,17,22,25,14,9
174,小野整形外科,4900,270,1.934,0.241,31,69,2,5,12,26,24,18,13
175,よしむら整形外科,4500,270,2.026,0,29,71,3,5,12,29,24,16,11
176,神経外科,3900,270,2.198,0.001,44,56,3,10,13,22,21,15,16
177,整形外科学会 2025,1600,270,3.081,0,51,49,0,6,12,25,24,19,14
178,高橋整形外科,5200,260,1.886,0.044,37,63,2,5,11,21,25,19,17
179,石川整形外科,4600,260,1.986,0,26,74,2,3,9,23,28,19,16
180,岡本整形外科,5700,250,1.751,0.045,30,70,3,5,12,23,25,15,17
181,和田整形外科クリニック,5600,250,1.761,0.248,34,66,2,5,11,24,27,18,13
182,骨折 痛み,5200,250,1.837,0.006,33,67,11,13,15,23,19,10,9
183,石田整形外科,5200,250,1.826,0.025,33,67,2,4,11,23,27,17,16
184,かわむら整形外科,5200,250,1.8,0.013,33,67,2,6,11,27,27,16,11
185,とみた整形外科,5100,250,1.854,0.016,31,69,2,5,11,23,27,16,16
186,ロクト整形外科,5000,250,1.842,0.005,36,64,2,6,12,28,26,16,10
187,スポーツ整体,4200,250,2.023,-0.002,38,62,3,6,13,36,27,9,6
188,整形外科 肩こり,2200,250,2.682,0,21,79,3,18,33,27,13,4,2
189,もりもと整形外科,5500,240,1.734,0.396,28,72,2,5,12,27,25,16,13
190,こうの整形外科,5400,240,1.722,0.003,30,70,3,5,12,27,24,16,13
191,あおぞら整形外科,5300,240,1.735,0.151,34,66,1,6,13,27,27,16,10
192,米田整形外科クリニック,4900,240,1.835,0.059,31,69,2,3,6,22,31,22,14
193,八王子整形外科,4800,240,1.872,0.011,38,62,1,3,9,21,25,20,21
194,しびれ 何科,4200,240,2.026,0,22,78,0,3,11,22,23,15,26
195,運動器リハビリテーション,3700,240,2.085,6.263,49,51,1,7,15,27,27,14,9
196,にほん整形外科学会,3200,240,2.264,28.965,73,27,0,6,12,19,22,25,16
197,宮本整形外科,5400,230,1.727,0.005,31,69,4,4,11,24,26,17,14
198,仙台整形外科病院,5300,230,1.761,0.001,43,57,1,5,8,19,25,21,21
199,仙骨ブロック注射,5300,230,1.751,20.59,38,62,0,3,7,17,25,25,23
200,太田整形外科,5300,230,1.726,0.012,37,63,1,5,10,21,25,19,19
201,伊藤整形外科,5200,230,1.776,0.015,39,61,2,4,8,17,23,23,23
202,ふじわら整形外科,5200,230,1.753,0.018,29,71,2,5,13,27,25,15,13
203,まつだ整形外科,5200,230,1.729,0.011,33,67,3,6,13,27,25,13,13
204,骨粗鬆症学会,5000,230,1.793,6.897,48,52,0,5,16,28,24,13,14
205,腰の痛み 何科,4700,230,1.843,-0.001,34,66,1,17,22,26,19,8,7
206,清泉クリニック整形外科,4500,230,1.93,0.02,33,67,1,5,9,21,27,20,17
207,たかの整形外科,4500,230,1.879,0.026,31,69,2,5,11,24,27,18,13
208,ひろ整形外科,4300,230,1.944,0.003,33,67,2,5,12,28,25,16,12
209,いしい整形外科,4100,230,2.008,0.251,19,81,2,5,12,31,27,11,12
210,足が痛い 何科,3500,230,2.141,-0.001,32,68,1,15,20,26,18,11,9
211,整形外科 日曜日 東京,1300,230,3.079,0,28,72,2,10,15,32,30,10,1
212,中西整形外科,5000,220,1.733,0.008,32,68,2,4,11,26,28,16,13
213,後藤整形外科,4700,220,1.824,0.028,38,62,2,5,10,23,25,20,15
214,えのもと整形外科,4700,220,1.781,0.076,33,67,2,5,11,25,27,15,15
215,白石整形外科,4600,220,1.841,2.258,33,67,2,4,11,24,26,19,14
216,大谷整形外科,4500,220,1.854,0.254,38,62,1,4,11,25,25,19,15
217,武田整形外科,4400,220,1.848,0.682,36,64,2,5,10,23,27,17,16
