順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,インプラント 費用,194000,8200,3.309,-0.001,45,55,1,5,10,18,27,23,16
2,インプラント治療 流れ,52600,3700,3.838,0,32,68,0,3,7,14,26,28,22
3,インプラント 費用 一本,72800,2900,3.264,-0.121,39,61,1,5,12,19,27,20,16
4,インプラント 保険,51700,2700,3.511,-0.001,49,51,0,4,11,20,29,21,15
5,入れ歯,60400,1600,2.848,0.002,43,57,1,4,7,12,22,25,29
6,インプラント 費用 医療控除,26100,1600,3.697,-0.009,45,55,0,1,5,16,31,27,20
7,入れ歯の種類と値段,68800,1500,2.699,0.004,41,59,0,1,3,10,25,30,31
8,インプラントとは,26900,1500,3.585,0,33,67,3,20,16,17,19,13,12
9,インプラント 費用補助,21100,1500,3.815,0,45,55,0,1,6,17,31,27,18
10,差し歯,55600,1400,2.775,0,42,58,1,6,14,20,23,18,18
11,部分入れ歯,43000,1200,2.928,0.009,35,65,0,3,7,17,28,25,20
12,ブリッジ 歯科,34900,1200,3.077,0.003,32,68,1,6,12,25,30,16,10
13,インプラント 医療費控除,21800,1200,3.535,0.017,41,59,0,3,11,22,29,22,13
14,インプラント 専門医,12100,1200,4.214,0,36,64,0,1,3,11,26,30,29
15,インプラント 種類,9200,960,4.249,0,42,58,0,3,7,13,23,26,28
16,インプラント 費用一本,20900,910,3.345,0,36,64,2,7,14,22,26,14,15
17,根管治療,53000,900,2.381,0.006,32,68,2,9,17,26,23,14,9
18,オールオン4,12800,730,3.59,0.006,41,59,0,4,9,19,31,25,12
19,ノンクラスプデンチャー,20400,710,3.136,0.894,29,71,0,3,8,18,29,25,17
20,インプラント デメリット,9200,710,3.884,0,33,67,1,6,16,24,27,17,9
21,ブリッジ,35800,700,2.532,0.002,38,62,4,9,16,23,22,14,12
22,部分入れ歯の種類と値段,28900,670,2.75,0.003,31,69,0,1,4,13,29,31,22
23,歯 ブリッジ,24900,670,2.817,-0.001,41,59,1,6,16,26,27,15,9
24,インプラント治療 後悔,10700,660,3.742,2.112,32,68,0,1,3,11,26,35,24
25,抜歯後 痛み いつまで,37000,650,2.413,1.463,31,69,2,11,17,23,24,14,9
26,インプラント 値段 名医 odc,6300,650,4.255,0,35,65,1,1,1,8,28,36,25
27,インプラント mri,14400,630,3.336,0.002,29,71,1,4,10,21,31,22,11
28,デンタルローン,19000,620,3.027,0.394,31,69,1,14,24,31,21,6,3
29,抜歯,24700,610,2.756,-0.002,42,58,4,12,18,22,20,13,11
30,あんしんインプラント,13300,610,3.428,2.943,51,49,0,1,3,10,26,34,26
31,入れ歯 何歳から 平均,23400,600,2.824,0.002,24,76,1,2,5,15,32,27,18
32,セラミック 歯,28600,580,2.566,0.001,28,72,2,14,19,24,22,12,7
33,義歯,25700,530,2.623,0.001,39,61,1,5,7,14,22,23,28
34,差し歯とは,22600,520,2.71,0.001,36,64,1,6,11,18,25,20,19
35,抜歯後,17600,520,2.942,0,32,68,1,11,15,20,23,17,13
36,奥歯 抜歯 その後,23200,500,2.623,-0.011,35,65,1,2,7,19,34,24,13
37,インプラント 費用 医療控除 確定申告,9200,500,3.591,12.004,40,60,0,1,3,13,28,32,23
38,インプラント ブリッジ,5200,490,4.069,0.002,42,58,1,5,15,28,30,16,5
39,ブリッジ 費用,17900,480,2.842,0.002,34,66,1,7,15,24,28,15,10
40,120418460,8700,460,3.591,3.56,46,54,0,1,3,9,27,37,23
41,インプラント 芸能人,4000,430,4.205,0.002,35,65,2,9,24,28,23,10,4
42,インプラント 痛み,4600,400,4.002,0.003,35,65,1,5,17,30,28,14,5
43,インプラント 痛い,4900,380,3.874,0.001,44,56,1,9,20,29,24,11,6
44,インプラント 保険 アフラック,3400,380,4.298,0,32,68,0,1,6,20,36,24,13
45,抜歯 穴 いつ塞がる,16500,340,2.584,0.97,39,61,2,11,16,21,23,14,13
46,スマイルデンチャー,10400,340,3.072,4.104,26,74,0,2,7,18,29,25,19
47,インプラント 寿命,5200,340,3.741,0.004,38,62,0,6,17,23,27,19,8
48,歯根嚢胞,20800,330,2.318,0,31,69,1,8,13,22,27,18,11
49,インプラント治療,2200,330,4.585,0.068,48,52,1,7,11,13,22,21,25
50,前歯 ブリッジ,12600,320,2.773,-0.021,36,64,1,2,9,25,34,19,10
51,奥歯 入れ歯,11100,320,2.93,0.003,36,64,0,2,7,19,30,26,16
52,アルバ歯科,16400,310,2.5,0.006,33,67,0,4,10,21,29,21,15
53,前歯がぬけたらどう治療法,13200,310,2.7,-0.423,39,61,0,1,2,18,37,27,15
54,歯根破折,10300,310,2.953,0.97,33,67,1,7,16,23,26,17,10
55,インプラント費用,5800,300,3.538,0,47,53,0,3,4,13,29,27,24
56,歯 セラミック,15400,290,2.485,0,35,65,1,10,22,29,22,10,6
57,入れ歯 ブリッジ どっち,10300,290,2.951,0.026,39,61,0,2,5,14,26,24,29
58,サイナスリフト,4700,280,3.637,0.042,34,66,1,9,15,20,25,19,11
59,インプラント 失敗,2900,280,4.126,0.06,32,68,0,3,9,25,31,23,9
60,総入れ歯,13200,270,2.624,0.002,42,58,0,3,6,12,25,26,28
61,インプラント 高額医療,4200,270,3.698,0.038,40,60,0,3,13,29,31,16,8
62,インプラント学会,3800,270,3.774,-0.03,55,45,1,7,19,28,23,15,7
63,ダイレクトボンディング,13700,260,2.485,3.532,26,74,3,15,22,27,20,9,4
64,インプラント 入れ歯,3000,260,4.028,0.002,37,63,0,4,12,23,31,20,10
65,銀歯,15900,250,2.316,0,42,58,4,17,25,24,17,8,5
66,ブリッジ やり方,15100,250,2.395,0.002,26,74,2,5,15,26,21,16,15
67,奥歯がないとどうなる,10400,250,2.738,-0.002,26,74,0,1,4,19,37,26,13
68,インプラント メンテナンス,3900,250,3.724,0.003,41,59,1,3,15,24,29,20,8
69,インプラント 前歯,3000,250,3.967,0.001,39,61,1,7,15,28,27,16,6
70,インプラント 期間,2900,250,3.993,0.005,45,55,0,7,18,26,28,14,7
71,奥歯 インプラント 費用,8800,240,2.844,-0.306,43,57,0,5,16,25,30,16,8
72,インプラント 安い,2600,240,4.05,0.002,52,48,0,7,18,26,31,13,5
73,ジルコニア セラミック 違い,12000,230,2.493,9.826,34,66,0,7,15,23,24,18,13
74,ブリッジ 保険適用 白,8800,230,2.803,0.005,24,76,1,4,14,27,30,15,9
75,オールオン4 費用,4600,230,3.478,7.001,41,59,0,3,7,15,33,28,14
