順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,スポーツナビ,152000,5200,2.853,0,66,34,6,4,7,15,18,19,31
2,スポーツ保険,55800,1000,2.175,0,41,59,1,3,16,38,22,10,10
3,スポーツ報知,49800,920,2.204,0,55,45,4,6,8,19,26,19,18
4,スポーツジム,37800,800,2.339,0,46,54,1,4,7,20,28,21,19
5,スポーツ用品店,38100,720,2.199,0,43,57,4,5,11,33,23,12,12
6,スポーツブル,49300,660,1.88,0,66,34,14,12,12,23,24,8,7
7,スポーツエントリー,27500,610,2.323,-7.045,72,28,1,3,9,26,34,19,8
8,スポーツ 種類,3700,610,4.428,0,41,59,20,27,18,18,9,4,4
9,スポーツウェア,34300,570,2.125,0,38,62,5,10,12,20,17,17,19
10,スポーツドリンク,25600,510,2.295,0,45,55,3,5,11,21,21,18,21
11,スポーツ 英語,7200,500,3.498,0,36,64,11,8,12,33,18,10,8
12,スポーツニュース,7800,480,3.466,0,51,49,20,9,6,14,14,11,26
13,スポーツくじ,27800,470,2.122,0,61,39,2,14,15,16,21,18,14
14,スポーツ新聞,18400,470,2.522,0,60,40,3,4,8,17,25,21,22
15,スポーツウェア レディース,36400,450,1.886,0,5,95,1,6,9,16,20,24,24
16,スポーツクライミング 森,3300,440,4.181,0,44,56,2,2,6,17,28,27,18
17,アスリート,32300,430,1.873,-0.015,59,41,4,5,8,18,23,19,23
18,日本スポーツ協会,19900,420,2.302,-11.402,69,31,2,6,12,25,23,18,14
19,スポーツショップ,21500,390,2.129,0,55,45,4,7,16,32,24,12,5
20,スポーツ安全保険,14000,390,2.575,0,52,48,1,4,15,35,21,11,13
21,スポーツナビ プロ野球,10700,380,2.894,0,56,44,3,4,6,14,18,20,35
22,スポーツ選手,14700,360,2.491,0,49,51,8,8,9,22,23,15,15
23,スポーツとは,5100,360,3.557,0,45,55,14,15,11,21,19,10,10
24,スポーツメーカー,14900,340,2.43,0,44,56,6,7,7,18,23,20,19
25,スポーツクラブ,15000,330,2.391,0,37,63,1,4,5,15,32,24,19
26,スポーツサングラス,18100,310,2.088,0,69,31,5,7,12,23,25,16,12
27,スポーツ少年団,15600,310,2.172,0,48,52,1,3,17,49,17,7,6
28,スポーツブランド,17300,290,2.079,0,28,72,7,11,15,25,22,12,8
29,スポーツ種類,1500,280,4.567,0,42,58,19,18,9,19,14,9,12
30,スポーツ庁,12000,250,2.327,0,63,37,5,12,13,23,21,14,12
31,スポーツ観戦,10300,250,2.477,0,49,51,4,13,15,25,24,13,6
32,スポーツ店,7000,250,2.849,0,50,50,5,5,11,23,25,17,14
33,スポーツやろうよ,9000,230,2.551,-7.935,63,37,1,30,29,19,13,5,3
34,スポーツ エロ,6800,230,2.723,0,95,5,8,11,26,31,16,5,3
35,試合,17100,220,1.87,0,54,46,3,4,8,17,19,17,32
36,スポーツ 一覧,1800,210,4.094,0,51,49,19,40,17,14,5,3,2
37,今日のスポーツ,8000,200,2.498,0,75,25,0,2,4,14,24,24,32
38,スポーツ一覧,2000,200,3.937,0,51,49,26,32,13,15,7,3,4
39,スポーツセンター,12100,180,1.99,0,29,71,7,7,14,34,18,9,11
40,スポーツ安全保険 2025,10600,180,2.115,30.471,46,54,1,2,9,29,21,16,22
41,スポーツシューズ,8700,180,2.363,0,52,48,3,6,7,15,18,20,31
42,スポーツトレーナー,8700,180,2.353,0,43,57,23,10,9,24,19,8,7
43,スポーツウェア メンズ,13100,170,1.886,0,87,13,3,7,13,20,18,19,20
44,最終更新,11700,170,2.043,-9.027,38,62,0,0,2,9,16,18,55
45,スポーツニッポン,10400,170,2.115,0,58,42,1,5,7,14,25,23,25
46,スポーツバック,6000,170,2.61,0,42,58,3,4,11,26,25,16,15
47,スポーツ保険 ログイン,4900,170,2.843,0,55,45,0,2,7,22,25,22,22
48,jspo,7400,160,2.306,-13.407,72,28,2,8,15,31,23,13,8
49,スポーツ安全保険 2024,7200,160,2.382,-28.075,47,53,0,2,8,36,25,15,14
50,スポーツ用品,4600,160,2.871,0,41,59,2,6,15,29,19,12,17
51,スポーツ英語,2600,160,3.398,0,33,67,19,5,4,23,18,15,16
52,スポーツネックレス,10200,150,1.928,0,67,33,14,15,15,22,20,11,3
53,スポーツメガネ,10000,150,1.902,0,62,38,3,5,16,40,24,8,4
54,スポーツtシャツ,8100,150,2.225,0,27,73,7,6,8,25,25,16,13
55,スポーツエントリー ログイン,7600,150,2.213,-7.825,67,33,0,2,6,23,34,25,10
56,スポーツ少年団 登録,5800,150,2.43,-3.979,57,43,0,1,13,42,22,12,10
57,スポーツナビ mlb,3100,150,3.261,0,68,32,1,2,5,9,16,25,42
58,スポーツ整形外科,10100,140,1.91,0,36,64,5,5,9,35,27,11,8
59,スポーツ保険 団体,10000,140,1.864,6.29,40,60,0,3,13,34,26,14,10
60,スポーツスター,8300,140,2.053,0,90,10,2,8,14,33,29,10,4
61,スポーツ協会,4600,140,2.636,0,54,46,2,6,16,31,24,13,8
62,スポーツ イラスト,1900,140,3.632,0,37,63,8,12,16,23,17,13,11
63,です」,10500,130,1.876,-7.528,30,70,1,1,4,11,22,24,37
64,スポーツベットアイオー,9400,130,1.958,-38.744,90,10,5,34,28,19,9,3,2
65,リンドスポーツ,9400,130,1.865,-0.156,77,23,6,9,19,32,21,8,5
66,スポアンネット,8700,130,1.972,-0.003,41,59,0,3,14,43,19,9,12
67,スポーツ安全保険 ログイン,4600,130,2.704,0,60,40,1,2,6,19,19,21,32
68,スポーツくじbig結果,9300,120,1.863,0,51,49,0,7,10,14,23,20,26
69,た。 この記事のフォト,8300,120,2.014,-49.093,33,67,0,1,3,10,18,21,47
70,スポーツウェア ブランド,8000,120,2.084,0,33,67,1,6,8,11,16,26,32
71,指導者マイページ,6200,120,2.22,-0.07,69,31,1,10,16,27,21,13,12
72,ヤフースポーツ,2600,120,3.09,0,75,25,5,6,17,19,15,16,22
73,スポーツウォッチ,8000,110,1.919,0,59,41,2,5,10,24,22,17,20
74,体育,7500,110,1.953,0,47,53,9,7,12,24,20,15,13
75,sport,7200,110,2.001,0,56,44,8,9,11,21,20,16,15
76,スポ安ねっと,6900,110,1.992,-32.013,51,49,1,3,13,38,22,12,11
77,スポーツブル 高校野球,5200,110,2.341,-0.022,60,40,9,7,6,23,33,11,11
78,スポーツ ネックレス,5000,110,2.309,0,62,38,7,10,24,30,20,6,3
79,スポ,4300,110,2.562,0,40,60,6,7,9,19,21,17,21
80,スポーツ女子,2600,110,2.998,0,82,18,20,13,12,19,17,11,8
81,ニュースポーツ,7100,100,1.978,0,47,53,14,13,16,24,16,9,8
82,スポーツバー,7100,100,1.883,0,60,40,3,20,17,21,23,11,5
83,日本スポーツ協会 指導者マイページ,5600,100,2.117,-24.052,70,30,2,8,11,19,23,21,16
84,スポーツ用品メーカー,4900,100,2.393,0,56,44,2,3,3,6,12,22,52
85,スポーツイベント,3000,100,2.742,0,65,35,6,15,12,25,28,10,4
86,スポーツ基本法,2600,100,3.018,-0.537,62,38,16,25,10,15,15,10,9
87,スポーツとは 定義,1300,100,3.654,0,56,44,6,10,5,18,21,15,25
88,スポーツジュエン,7300,90,1.857,0,48,52,3,6,11,25,22,15,18
89,スポーツソックス,7100,90,1.887,0,45,55,2,3,7,22,21,24,21
90,になった,6600,90,1.931,16.017,39,61,1,0,3,11,20,24,41
91,スポーツフィールド,6400,90,1.944,0,63,37,1,23,20,22,20,10,4
92,shimbun.,6100,90,1.993,23.003,33,67,0,1,3,12,23,24,37
93,スポーツ飲料,5300,90,2.147,0,44,56,3,3,8,21,23,19,23
94,sports,5200,90,2.136,0.001,55,45,8,9,11,20,19,14,19
95,スポーツナビ アプリ,3700,90,2.602,0.001,57,43,0,1,2,9,17,25,46
96,スポーツナビ 競馬,1800,90,3.157,-3.56,79,21,1,3,7,14,21,22,32
97,スポーツナヒ ゙,1600,90,3.247,-0.126,58,42,9,4,7,21,26,19,14
98,でしょう。,5900,80,1.918,23.51,29,71,1,2,4,12,21,26,34
99,部活動,5900,80,1.884,3.044,50,50,9,8,13,29,25,10,6
100,スポーツテスト,5600,80,1.959,0,50,50,16,10,18,29,17,7,3
101,報知新聞社,5400,80,2.063,9.028,50,50,1,5,6,11,22,22,33
102,スポーツインストラクター,5400,80,2.052,0,43,57,19,18,12,21,18,7,5
103,スポーツ心臓,5200,80,2.006,0,44,56,6,15,19,25,19,10,6
104,スポーツマリオ,5200,80,1.972,0,60,40,3,7,18,34,23,10,5
