順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,摂食嚥下リハビリテーション学会,4500,270,7.232,-4.867,35,65,0,9,19,33,24,11,4
2,パーキンソン病,850000,200,1.745,2.062,38,62,2,8,9,15,21,19,26
3,認知症,472000,140,2.015,-22.424,35,65,1,3,5,13,28,25,25
4,摂食嚥下障害,3900,140,6.743,0,28,72,4,20,13,19,22,13,9
5,高次脳機能障害,117000,130,3.257,-1.765,30,70,2,10,13,21,24,17,13
6,統合失調症,590000,120,1.581,-0.111,33,67,3,11,14,22,24,15,11
7,厚生労働省,385000,120,2.001,-8.975,47,53,2,6,9,19,26,22,16
8,言語聴覚士,101000,120,3.348,-7.581,25,75,6,10,15,26,22,12,9
9,嚥下,67900,120,3.737,0,35,65,3,7,8,16,25,22,19
10,摂食嚥下学会,1400,120,7.618,2.842,29,71,0,17,24,32,18,6,3
11,bmi 計算 自動,704000,110,1.374,-1.824,30,70,7,18,17,18,18,12,10
12,bmi,578000,110,1.561,1.463,31,69,10,21,18,17,15,10,9
13,誤嚥性肺炎,251000,100,2.273,-0.025,35,65,1,6,8,15,26,23,21
14,パワーポイント,324000,90,1.924,-18.601,52,48,4,8,10,25,28,15,10
15,骨粗鬆症,302000,90,1.982,1.667,24,76,2,5,5,12,22,25,29
16,デエビゴ,284000,90,2.03,60.359,34,66,1,9,12,20,24,18,16
17,褥瘡,134000,90,2.813,0.008,31,69,2,11,11,18,25,20,13
18,サルコペニアとは,91600,90,3.247,0.025,32,68,2,8,6,14,21,21,28
19,歯科衛生士,87800,90,3.154,-2.04,37,63,5,11,14,24,23,12,11
20,ギランバレー症候群,535000,80,1.365,-0.024,34,66,2,9,11,17,20,19,22
21,ギガファイル便,520000,80,1.363,-16.084,55,45,5,17,19,22,19,11,7
22,zoom,492000,80,1.395,-2.077,53,47,2,6,13,25,26,16,12
23,シェーグレン症候群,278000,80,1.915,26.151,20,80,1,7,9,17,26,23,17
24,せん妄とは,257000,80,2.057,-2.714,31,69,1,7,8,17,27,22,18
25,ランソプラゾール,187000,80,2.321,-11.213,32,68,1,10,10,17,23,20,19
26,アルツハイマー型認知症,157000,80,2.476,26.409,33,67,2,7,7,15,26,20,23
27,レビー小体型認知症,132000,80,2.641,3.709,28,72,1,7,9,17,27,21,18
28,摂食障害,95300,80,3.02,0,26,74,7,13,14,23,23,11,9
29,地域包括ケアシステム,30200,80,4.12,-3.261,32,68,8,23,9,19,21,12,8
30,高齢者,409000,70,1.457,8.923,38,62,1,1,2,8,21,29,38
31,間質性肺炎,383000,70,1.572,-5.491,31,69,1,5,7,14,22,22,29
