順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,根管治療後 痛みが続く,7500,1500,5.281,0.869,27,73,2,8,17,28,24,13,8
2,根管治療 回数,5400,1400,5.55,0.003,30,70,2,11,20,25,22,13,7
3,歯の神経を取る,38700,1200,3.421,-2.895,34,66,2,10,18,26,22,12,10
4,根管治療 費用,4000,1200,5.661,0.001,33,67,2,14,18,24,23,12,7
5,根管治療 痛み,4400,1100,5.469,0.005,30,70,4,18,25,27,14,8,4
6,歯根嚢胞,20800,1000,3.868,0,31,69,1,8,13,22,27,18,11
7,歯髄炎,20700,1000,3.865,-0.632,28,72,3,12,20,26,21,11,7
8,根管治療 痛みが取れない,4000,1000,5.491,0.004,25,75,2,5,20,30,28,10,5
9,根管治療後 押すと痛い,4100,990,5.455,3.959,29,71,1,7,18,29,27,12,6
10,根尖性歯周炎,14500,900,4.095,0.002,30,70,1,13,19,26,21,12,8
11,歯根膜炎,19200,880,3.796,-1.029,27,73,2,9,18,26,23,14,8
12,歯茎 膿,29600,840,3.3,-0.664,33,67,1,8,20,29,23,10,9
13,フィステル,20000,780,3.623,-0.006,26,74,2,13,21,27,20,10,7
14,根管治療専門医,3400,780,5.432,0.001,22,78,1,1,7,20,32,24,15
15,ブリッジ 歯科,34900,760,3.046,0.011,32,68,1,6,12,25,30,16,10
16,歯の神経を取った後 痛い,19000,740,3.614,-1.728,27,73,2,9,18,29,25,11,6
17,根管治療 膿,2800,740,5.53,0.135,27,73,1,11,24,31,19,10,4
18,根管治療 歯茎の腫れ,2500,700,5.586,0.008,25,75,3,10,20,30,25,8,4
19,歯根端切除,8900,670,4.297,4.906,28,72,0,8,15,24,26,18,9
20,歯根治療,6300,640,4.604,-0.004,33,67,0,2,8,23,30,21,16
21,歯の根っこに膿,9500,620,4.143,-0.701,21,79,1,4,14,26,31,15,9
22,根管治療 流れ,2200,620,5.625,0.006,19,81,2,32,26,21,10,3,6
23,虫歯治療後 痛い,23900,610,3.215,-2.916,27,73,6,21,27,24,13,5,4
24,歯の根の治療,9600,610,4.104,-0.886,27,73,0,3,10,24,33,20,10
25,根管治療 保険適用,2000,610,5.68,0.003,34,66,1,9,18,25,30,11,6
26,根管治療 失敗,2400,600,5.492,0.018,29,71,1,12,19,25,25,12,6
27,歯根破折,10300,580,4.01,0.078,33,67,1,7,16,23,26,17,10
28,宮崎歯科医院,10900,570,3.901,2.116,47,53,1,7,14,26,30,15,7
29,歯 神経 取る,17600,560,3.425,-3.043,42,58,3,13,25,28,18,8,5
30,歯 根管治療,6100,560,4.486,-1.695,31,69,1,6,17,28,28,13,7
