順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,歯石取り,55200,330,3.94,-0.002,41,59,1,10,19,25,25,13,7
2,歯周病,345000,280,1.984,-7.044,34,66,2,8,13,22,25,17,13
3,歯石,43000,200,3.724,-0.001,47,53,5,18,25,24,15,7,6
4,歯石 自分で取る,59100,180,3.276,-0.073,45,55,4,14,20,25,22,9,6
5,ホワイトニング,170000,120,1.841,-5.205,32,68,4,19,18,21,20,11,7
6,歯石除去 頻度,4800,120,5.354,0,48,52,1,11,15,25,25,14,9
7,歯医者,149000,100,1.8,-5.383,42,58,3,10,15,23,22,14,13
8,親知らず 抜歯,135000,100,1.901,-0.072,42,58,2,17,20,23,22,10,6
9,歯間ブラシ,125000,100,1.952,0.171,40,60,1,7,14,20,22,18,18
10,電動歯ブラシ,166000,90,1.594,-0.003,43,57,1,7,14,21,22,17,18
11,歯肉炎,93200,90,2.118,-1.169,32,68,4,12,16,22,20,14,12
12,歯石除去 料金,3000,90,5.61,0,57,43,2,37,29,16,10,4,2
13,歯科衛生士,89700,80,2.093,-6.781,37,63,5,11,14,24,23,12,11
14,虫歯,71700,80,2.317,-0.305,39,61,7,18,27,22,11,7,8
15,マウスウォッシュ,114000,70,1.665,-18.129,36,64,3,12,18,22,22,13,10
16,知覚過敏 治し方,113000,70,1.704,-0.218,33,67,4,11,17,22,22,14,10
17,歯周病 治療,50800,70,2.487,-0.054,34,66,2,8,14,22,26,17,11
18,歯石除去 痛い,1200,70,6.278,0,47,53,3,26,31,19,10,6,5
19,臭い玉,133000,60,1.384,3.54,36,64,6,17,23,24,18,7,5
20,死にたい,129000,60,1.343,-19.676,34,66,10,18,23,25,17,5,2
21,親知らず 抜歯後,115000,60,1.553,-4.114,35,65,4,27,26,21,14,5,3
22,親知らず,90000,60,1.82,-2.015,45,55,10,24,19,18,14,8,7
23,デンタルフロス,52000,60,2.37,-0.001,40,60,2,13,17,19,20,15,14
24,歯石とり 料金,18200,60,3.408,-0.009,45,55,2,20,22,21,19,9,7
25,ゲンタシン軟膏,122000,50,1.322,-21.396,31,69,2,10,12,18,20,17,21
26,クーアンドリク,114000,50,1.338,-69.529,35,65,2,8,16,29,28,12,5
27,妊娠しやすい時期,102000,50,1.436,-65.394,32,68,6,29,34,19,7,3,2
28,根管治療,53000,50,2.046,-11.927,32,68,2,9,17,26,23,14,9
29,耳掃除,33000,50,2.625,10.091,43,57,2,8,20,28,23,12,7
30,ツイッター 動画保存ランキング,122000,40,1.303,-37.861,86,14,41,38,10,5,3,1,2
31,ワクワクメール,88200,40,1.442,-96.424,82,18,2,17,23,25,20,8,5
32,歯が痛いときの対処法,86000,40,1.356,14.995,38,62,4,12,16,25,24,11,8
33,インプラント,82600,40,1.468,-4.596,41,59,2,10,15,20,24,16,13
34,生理,79700,40,1.37,-52.107,32,68,12,18,21,24,12,6,7
35,wear,75000,40,1.466,-6.056,29,71,7,17,22,27,16,6,5
36,セラミック 歯 値段,73100,40,1.487,-9.017,28,72,2,14,20,23,22,12,7
37,シベリアンハスキー,72400,40,1.499,-65.745,47,53,6,18,20,22,18,10,6
38,ニフェジピン,70000,40,1.521,-41.339,35,65,0,14,13,19,22,16,16
39,筋肉痛,57400,40,1.789,-3.855,42,58,5,10,16,21,17,14,17
40,角栓,51500,40,1.788,-44.785,41,59,4,9,20,28,21,11,7
41,フロス,50100,40,1.884,36.279,40,60,3,15,19,21,18,12,12
42,ホワイトニング 値段,41700,40,2.113,-0.005,41,59,11,29,18,16,14,8,4
43,抜歯後の食事,36600,40,2.226,0.99,32,68,2,12,16,20,25,16,9
44,歯周ポケット,28700,40,2.593,-0.062,33,67,1,8,15,23,25,17,11
45,歯医者 クリーニング,21800,40,2.741,-0.001,36,64,2,20,24,23,17,8,6
46,犬 歯石除去,18100,40,2.947,-0.001,23,77,1,7,15,29,34,11,3
47,歯のクリーニング,16200,40,3.128,0.001,26,74,2,12,19,24,22,12,9
48,歯石取り 頻度,15700,40,3.034,4.648,36,64,1,11,19,24,24,13,8
49,歯石とり 痛い,10400,40,3.47,-0.122,32,68,4,16,23,25,18,10,4
50,歯石取り 料金,9200,40,3.744,-0.005,45,55,2,19,22,22,19,9,7
51,歯石 黒い,5100,40,4.337,-0.001,35,65,2,18,31,27,14,4,4
52,歯垢除去,2300,40,5.126,-0.001,52,48,1,12,15,21,22,18,11
53,ジェットウォッシャー,75400,30,1.305,14.161,38,62,1,4,9,16,24,23,23
54,ダンベル,73400,30,1.382,-28.881,65,35,8,12,17,23,20,10,10
55,心電図,71700,30,1.399,12.022,33,67,3,19,15,19,18,12,14
56,kitte大阪,71400,30,1.419,-32.727,33,67,2,16,18,19,23,14,8
57,資格,71200,30,1.384,42.108,36,64,3,15,19,24,21,10,8
58,親知らず 抜歯後 痛み,68800,30,1.435,39.976,35,65,3,24,26,22,16,6,3
59,原神 最強キャラ,67900,30,1.309,-49.537,69,31,24,33,21,13,6,2,1
60,ついった保存ランキング,66600,30,1.435,-129.507,89,11,41,40,10,5,2,1,1
61,お金の増やし方,66600,30,1.399,7.279,39,61,2,9,21,29,25,9,5
62,コーイケルホンディエ,66400,30,1.383,44.565,34,66,2,8,14,20,25,18,13
63,官報,66100,30,1.351,80.52,64,36,2,8,18,25,24,14,9
64,スクワット 効果,65600,30,1.472,-40.723,50,50,4,10,17,25,20,11,13
65,レジーナクリニック,65500,30,1.512,-17.66,16,84,5,41,22,16,12,3,1
66,リステリン,65300,30,1.436,7.098,44,56,2,9,15,20,23,18,13
67,ベンチプレス,64900,30,1.309,-47.615,69,31,9,16,19,25,18,8,5
68,セックスレス,64000,30,1.318,-7.951,43,57,2,14,32,30,14,5,3
69,x ログイン,63400,30,1.327,45.505,38,62,5,25,25,18,13,7,7
70,バルプロ酸ナトリウム,63400,30,1.321,-13.244,28,72,1,13,16,25,24,14,7
71,脳破裂,62600,30,1.446,-86.458,40,60,2,10,26,33,19,7,3
72,タカギ,61600,30,1.357,34.693,58,42,1,2,8,20,27,22,20
73,トラネキサム,61300,30,1.346,-14.117,41,59,2,8,19,30,18,11,12
74,肩こり,61000,30,1.459,-42.179,33,67,2,9,16,22,21,14,16
75,50,60900,30,1.35,25.121,56,44,3,13,17,16,19,15,17
76,無線lanルーター,60900,30,1.314,35.096,70,30,1,4,8,18,24,20,25
77,入れ歯,60400,30,1.555,-9.993,43,57,1,4,7,12,22,25,29
78,魔法少女にあこがれて,59200,30,1.392,-109.333,75,25,15,24,26,18,11,4,2
79,パブロン鼻炎カプセル,59200,30,1.323,62.869,36,64,1,9,17,23,24,15,11
80,勃起,59100,30,1.482,1.309,66,34,11,14,17,20,17,11,10
81,家計簿,58900,30,1.472,8.901,29,71,2,11,17,22,18,13,17
82,王道家,57200,30,1.346,7.712,89,11,1,9,22,35,24,6,3
83,差し歯,55600,30,1.487,13.168,42,58,1,6,14,20,23,18,18
84,フリーレントとは,55200,30,1.548,7.63,40,60,2,19,16,19,25,12,7
85,オキシ漬け,55100,30,1.417,8.118,34,66,1,9,24,29,24,9,4
86,ワキガ,55000,30,1.439,-45.83,35,65,9,21,22,23,16,6,3
87,まどマギ,54800,30,1.445,-61.45,60,40,11,24,28,21,11,3,2
88,はなの舞,54200,30,1.419,-19.788,62,38,2,8,10,18,24,22,16
89,+800,54000,30,1.415,-29.027,51,49,3,14,23,22,19,11,8
90,ノミ 刺された跡,53000,30,1.456,-123.839,25,75,2,7,15,22,26,17,11
91,インプラント治療 流れ,52600,30,1.539,8.401,32,68,0,3,7,14,26,28,22
92,クレンジングオイル,52100,30,1.721,-17.134,31,69,7,18,17,20,18,12,8
93,脱毛クリーム,50900,30,1.606,-21.231,54,46,9,12,13,25,23,11,7
94,pixivコミック,50900,30,1.501,-15.869,15,85,21,20,21,20,11,4,3
95,眼精疲労,50000,30,1.731,-14.402,38,62,6,18,22,20,17,10,7
96,口臭チェッカー,48900,30,1.514,9.227,34,66,2,6,12,24,29,16,11
97,歯科衛生士 給料 平均,48300,30,1.829,1.179,34,66,10,17,16,24,19,8,6
98,東京駅 喫煙所,47100,30,1.6,-78.512,71,29,1,15,22,29,23,8,2
99,カワサキ,43600,30,1.587,-46.339,90,10,2,7,14,23,32,16,6
100,耳かき,43200,30,1.917,0.879,44,56,2,8,17,27,23,13,10
101,部分入れ歯,43000,30,1.695,-3.558,35,65,0,3,7,17,28,25,20
102,ひろゆきメーカー,42800,30,1.719,-65.852,36,64,22,26,20,18,10,2,2
103,膿栓,42000,30,1.706,4.753,33,67,3,14,28,28,16,7,4
104,知覚過敏,41200,30,1.973,1.209,38,62,6,15,21,22,16,11,9
105,肩こり マッサージ器,40700,30,1.689,5.388,34,66,1,8,15,24,27,15,10
106,内臓脂肪,40400,30,1.758,-46.889,46,54,1,7,13,19,23,18,19
107,ホワイトエッセンス,39900,30,1.726,-12.739,27,73,1,19,22,23,20,10,5
108,歯槽膿瘍,39000,30,2.003,-3.484,38,62,2,9,16,21,25,16,11
109,歯が痛い,38600,30,1.837,-17.06,33,67,7,14,18,24,21,9,7
110,抜歯後 痛み いつまで,37000,30,1.803,13.461,31,69,2,11,17,23,24,14,9
111,ドライソケット,36900,30,2.08,-6.127,29,71,3,26,28,20,14,6,3
112,耳垢,36400,30,2.08,-13.933,43,57,3,8,21,27,20,11,10
113,口腔洗浄器,36000,30,2.157,5.564,41,59,0,3,9,17,25,23,23
114,ブリッジ 歯科,34900,30,1.9,5.775,32,68,1,6,12,25,30,16,10
115,歯科医院,33900,30,2.026,-2.792,42,58,1,3,5,12,21,27,31
116,歯周病 治し方,31200,30,2.194,-11.803,35,65,3,11,14,19,25,16,12
117,虫歯 初期,28000,30,2.204,-4.779,29,71,20,36,22,11,5,3,3
118,歯科,25300,30,2.27,15.306,40,60,2,7,13,22,23,16,17
119,歯の治療,24700,30,2.321,-0.002,38,62,1,2,6,14,25,24,28
120,知覚過敏 歯磨き粉,22900,30,2.273,40.108,30,70,1,11,20,26,22,12,8
121,虫歯治療 費用,22300,30,2.646,0.001,46,54,6,45,22,12,7,4,4
122,歯医者 麻酔 切れる時間,22300,30,2.33,-3.97,26,74,5,24,29,25,11,4,2
123,歯周病 治る,20900,30,2.54,1.632,33,67,5,13,16,21,23,13,9
124,歯茎 腫れ,16400,30,2.723,-1.645,36,64,3,16,28,28,15,6,4
125,虫歯治療,15200,30,2.921,-0.959,43,57,6,16,17,18,18,14,11
126,耳垢ごっそりyoutube,13600,30,2.783,-12.54,28,72,1,1,6,25,32,22,13
127,歯石 原因,13000,30,2.934,0.001,44,56,3,8,18,26,25,12,8
128,角栓除去 動画,10800,30,3.309,-0.992,23,77,2,2,11,28,30,18,9
129,歯石とは,7700,30,3.536,0,43,57,11,31,25,17,8,5,3
130,歯 クリーニング,7300,30,3.441,-0.002,41,59,2,15,27,27,17,8,4
131,スケーラー,6200,30,3.758,0.001,42,58,3,12,17,24,24,12,8
132,超音波スケーラー,4100,30,4.284,-0.055,36,64,2,17,15,23,23,13,7
133,esfj 特徴,61500,20,1.317,-12.79,26,74,15,44,16,12,10,2,1
134,街コン,59400,20,1.324,-24.07,45,55,1,38,33,13,8,4,3
135,クリーンデンタル,59200,20,1.304,-10.79,34,66,2,8,12,18,24,19,17
136,フジツボ,57800,20,1.318,-28.88,59,41,4,12,17,23,23,13,8
137,親知らず 抜かなくていい,56300,20,1.374,-6.242,40,60,8,25,17,18,18,9,5
138,ニキビ,56100,20,1.335,-41.841,30,70,11,17,19,27,17,5,4
139,ゴールデンドゥードル,55400,20,1.371,-53.571,28,72,2,9,19,26,25,13,6
140,唇 できもの,55000,20,1.33,-25.821,29,71,4,12,18,24,21,13,8
141,婦人科,53600,20,1.316,39.538,15,85,3,14,15,25,21,10,12
142,東京グール,53400,20,1.333,13.127,70,30,5,20,33,25,12,3,2
143,水下痢 原因,53200,20,1.408,42.034,27,73,3,17,29,26,16,6,3
144,フィラリア予防薬,52700,20,1.425,-8.826,24,76,0,5,12,26,31,17,9
145,動悸,52500,20,1.398,17.751,37,63,6,15,19,23,19,10,8
146,室蘭,52500,20,1.338,-104.411,51,49,3,9,12,17,21,19,19
147,ntr,51800,20,1.374,-19.4,71,29,9,13,18,22,20,11,7
148,コンクール,51600,20,1.426,-0.07,23,77,2,9,15,25,24,12,13
149,蓮実クレア,51600,20,1.35,1.518,90,10,3,17,23,22,16,11,8
150,池袋パルコ,51500,20,1.35,-29.517,21,79,4,18,18,23,22,10,5
151,今年何年,51500,20,1.317,-64.963,39,61,10,24,20,16,15,7,8
152,痰 黄色,51200,20,1.406,16.899,33,67,4,17,27,25,14,7,6
153,ゴルフ練習場,51200,20,1.392,-1.293,78,22,0,2,6,18,33,25,16
154,ダウンライト,50600,20,1.378,-39.624,55,45,1,8,20,22,22,16,11
155,抗うつ薬,50400,20,1.42,84.015,35,65,3,13,15,23,24,13,9
156,バスマット,50300,20,1.446,153.057,28,72,1,6,15,23,24,18,13
157,二日酔い,50300,20,1.424,10.398,42,58,3,26,24,22,15,6,4
158,歯茎から血が出る,50200,20,1.368,-16.801,32,68,3,11,14,21,25,15,11
159,兵庫県知事選,50100,20,1.37,-31.898,65,35,1,4,9,17,23,22,24
160,氷河期世代,50000,20,1.339,42.424,59,41,2,6,13,38,24,8,9
161,ハンドルカバー,49800,20,1.367,1.832,62,38,1,8,11,19,30,20,11
162,おでこ ニキビ,49700,20,1.301,17.524,19,81,13,38,28,13,6,1,1
163,tpo,49500,20,1.335,42.867,60,40,8,13,17,26,20,9,7
164,ヨーグルト 効果,49100,20,1.345,-58.033,41,59,3,9,12,17,21,17,21
165,ハッテン場とは,48600,20,1.46,13.095,50,50,7,16,16,23,22,11,5
166,瞑想,48400,20,1.41,-18.084,36,64,4,8,13,21,24,15,15
167,sp500 チャート,48400,20,1.372,65.754,74,26,1,6,16,25,26,17,9
168,ソープ,48400,20,1.338,-62.299,78,22,6,27,23,18,12,8,6
169,etcマイレージ,48300,20,1.391,37.048,64,36,0,9,17,26,26,14,8
170,歯ブラシ,48100,20,1.375,0.11,33,67,2,8,13,19,20,19,19
171,幻想水滸伝,48100,20,1.339,19.063,61,39,1,5,30,45,11,3,5
172,にんにく注射,48000,20,1.355,30.755,43,57,2,11,19,26,23,11,8
173,足つぼ,47900,20,1.366,33.224,33,67,5,16,24,27,17,6,5
174,酸化マグネシウム 効果,47700,20,1.483,-18.62,24,76,2,13,15,17,19,15,19
175,美容液,47500,20,1.375,60.085,17,83,5,17,20,20,18,11,9
176,ティモンディ 高岸,47400,20,1.498,-20.909,41,59,5,13,18,22,21,12,9
177,ライチ光クラブ,47400,20,1.447,9.206,21,79,18,31,22,15,9,3,2
178,介護認定,47400,20,1.327,-53.988,34,66,0,3,6,17,35,24,15
179,ルネスタ,47200,20,1.462,-65.554,34,66,1,9,12,19,23,18,18
180,ドフラミンゴ,47100,20,1.429,56.311,54,46,9,23,30,23,11,3,1
