順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,ヘルスケア,251000,2100,1.903,7.64,30,70,1,3,7,19,26,21,23
2,睡眠導入剤,175000,1900,2.158,-0.002,40,60,1,5,9,16,24,21,24
3,睡眠の質を上げる方法,92700,1900,2.767,0,43,57,7,11,14,19,21,14,14
4,レム睡眠とは,162000,1400,1.968,0,40,60,4,8,8,14,20,20,26
5,睡眠障害,102000,1300,2.307,-0.001,35,65,4,11,12,19,24,16,14
6,睡眠薬,98900,1200,2.237,0,48,52,4,12,13,18,21,14,18
7,睡眠 音楽,24500,1000,3.495,-0.001,35,65,2,2,5,17,27,25,22
8,睡眠時間 ベスト,81400,990,2.266,0,43,57,9,18,18,21,15,9,10
9,掃除,76800,830,2.171,-2.862,24,76,1,2,6,17,25,23,26
10,睡眠不足,29500,580,2.721,0,42,58,6,11,15,23,21,12,12
11,寝る,27900,580,2.822,0,47,53,3,5,7,14,19,21,31
12,生活習慣病,59100,540,1.976,5.065,31,69,7,7,9,18,23,18,18
13,年金問題,52700,470,2.002,1.955,34,66,1,1,2,7,20,41,28
14,医師,52900,460,1.934,-8.193,34,66,2,5,11,20,20,18,24
15,腕,46800,460,2.096,-12.95,39,61,4,5,7,13,19,22,30
16,休憩,39900,430,2.13,-0.001,42,58,1,3,4,14,29,26,23
17,瞑想,49400,410,1.881,-5.664,36,64,4,8,13,21,24,15,15
18,治療,42000,410,2.052,-0.817,42,58,1,2,5,13,24,23,32
19,影響,34000,410,2.269,-1.405,42,58,3,2,5,15,24,21,30
20,睡眠アプリ,22800,410,2.657,0,31,69,2,4,9,17,29,25,14
21,健康,44700,400,1.976,-2.046,43,57,3,5,8,16,21,20,27
22,高齢化社会,39200,400,2.119,0.28,30,70,1,3,5,13,21,26,31
23,睡眠の質,11900,400,3.275,0,39,61,3,11,15,19,21,18,13
