順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,歯周病,345000,2800,1.799,0.001,34,66,2,8,13,22,25,17,13
2,虫歯 放置,26800,1900,3.938,0,46,54,7,23,23,22,13,7,5
3,虫歯 初期,28000,1700,3.869,0,29,71,20,36,22,11,5,3,3
4,歯医者,149000,1400,1.903,0.001,42,58,3,10,15,23,22,14,13
5,親知らず 抜歯,135000,1300,1.971,0.397,42,58,2,17,20,23,22,10,6
6,鬼,101000,1300,2.205,-0.003,40,60,2,9,32,23,11,11,12
7,親知らず,90000,1300,2.364,0.004,45,55,10,24,19,18,14,8,7
8,虫歯 進行速度,21000,1200,3.769,0.001,30,70,8,24,25,22,13,4,4
9,虫歯 神経までいくと,22700,1100,3.6,0,37,63,9,26,24,21,12,4,4
10,親知らず 抜歯後,115000,1000,1.856,6.889,35,65,4,27,26,21,14,5,3
11,歯が痛いときの対処法,86000,1000,2.139,-0.026,38,62,4,12,16,25,24,11,8
12,虫歯治療,15200,990,3.874,0.001,43,57,6,16,17,18,18,14,11
13,歯肉炎,93200,910,1.978,0.001,32,68,4,12,16,22,20,14,12
14,虫歯治療 費用,22300,900,3.446,0.001,46,54,6,45,22,12,7,4,4
15,歯が痛い,38600,830,2.751,-0.005,33,67,7,14,18,24,21,9,7
16,歯石,43000,770,2.578,1.027,47,53,5,18,25,24,15,7,6
17,手裏剣 折り紙,95700,740,1.722,31.206,23,77,2,7,37,32,8,9,5
18,虫歯治療後 痛い,23900,740,3.121,0.598,27,73,6,21,27,24,13,5,4
19,根管治療,53000,710,2.276,3.987,32,68,2,9,17,26,23,14,9
20,スタジオアリス 七五三,83200,690,1.772,-9.5,13,87,0,5,46,34,5,6,4
21,親知らず 抜歯後 痛み,68800,660,1.953,3.413,35,65,3,24,26,22,16,6,3
22,歯,44200,590,2.293,0.005,33,67,6,11,16,23,19,13,12
23,歯石取り,55200,580,2.016,1.997,41,59,1,10,19,25,25,13,7
24,歯の神経を取る,38700,530,2.296,0.304,34,66,2,10,18,26,22,12,10
25,親知らず 抜かなくていい,56300,490,1.885,2.156,40,60,8,25,17,18,18,9,5
26,知覚過敏,41200,490,2.166,0.78,38,62,6,15,21,22,16,11,9
27,虫歯 神経を取る,9300,480,3.629,0,34,66,5,22,29,24,13,4,3
28,親知らず 痛い,39400,470,2.202,0.398,36,64,9,32,21,17,13,5,3
29,鬼から電話,38200,450,2.106,-29.132,24,76,2,3,32,39,10,9,5
30,虫歯 治療,5600,440,4.086,0.005,43,57,7,30,30,18,8,4,3
31,ニキビ,56100,430,1.724,-2.085,30,70,11,17,19,27,17,5,4
32,虫歯じゃないのに歯が痛い,17900,430,2.862,0,25,75,6,10,14,24,27,14,5
33,親知らず 虫歯,15400,430,3.027,0.578,39,61,2,26,31,22,11,5,3
34,差し歯,55600,420,1.719,0.108,42,58,1,6,14,20,23,18,18
35,ハート 折り紙,46200,420,1.861,9.888,10,90,2,11,45,32,4,3,3
36,出っ歯,30700,420,2.299,-0.955,31,69,9,12,32,30,10,4,3
37,虫歯 英語,7500,420,3.741,0,41,59,6,12,16,24,17,12,13
38,虫,26700,410,2.448,0,41,59,6,8,16,21,15,14,20
39,親知らず 歯茎 腫れ,45300,380,1.825,1.937,27,73,4,27,23,22,16,5,3
40,怖い画像,41000,370,1.893,-28.007,55,45,26,15,23,21,8,3,4
41,ドライソケット,36900,370,2,11.77,29,71,3,26,28,20,14,6,3
42,歯が痛い 虫歯じゃない,41700,360,1.831,0.004,24,76,4,12,17,26,25,11,5
43,生卵 何歳から,33600,360,2.034,15.563,16,84,0,9,57,26,3,3,2
44,銀歯,15900,360,2.803,0.93,42,58,4,17,25,24,17,8,5
45,抜歯,24700,350,2.34,0.266,42,58,4,12,18,22,20,13,11
46,歯痛み,40500,340,1.799,-0.001,43,57,2,4,9,25,30,18,12
47,七五三 着物レンタル,39600,340,1.822,-12.313,11,89,0,5,42,29,5,11,8
48,歯医者 選び方,36400,330,1.922,0.002,30,70,2,9,13,20,26,16,14
49,おばけ,21600,330,2.394,8.092,35,65,5,11,34,28,9,7,6
50,抜歯後 痛み いつまで,37000,320,1.841,4.886,31,69,2,11,17,23,24,14,9
51,ゾンビ,38900,310,1.777,0.151,50,50,4,8,18,24,16,13,17
52,耳垢,36400,310,1.79,9.957,43,57,3,8,21,27,20,11,10
53,歯髄炎,20700,310,2.394,2.936,28,72,3,12,20,26,21,11,7
54,ペリカン,36000,290,1.775,-0.001,39,61,5,10,19,24,17,12,13
55,歯の治療,24700,290,2.215,0.287,38,62,1,2,6,14,25,24,28
56,歯周ポケット,28700,280,1.961,3.95,33,67,1,8,15,23,25,17,11
57,歯がしみる原因,25200,280,2.105,-0.005,33,67,4,12,17,24,22,12,9
58,歯医者 初診料,18800,280,2.447,0.004,37,63,4,40,22,17,9,4,4
59,3歳児検診,29500,270,1.898,-1.893,15,85,0,8,41,28,7,10,6
60,トノサマバッタ,28800,270,1.912,27.928,44,56,3,7,21,29,16,13,11
61,虫歯になりやすい人,8400,270,3.151,0,20,80,6,22,27,24,14,4,3
62,歯茎の腫れ,33400,260,1.744,-9.119,33,67,2,8,15,23,25,15,12
63,歯科,25300,260,2.017,0,40,60,2,7,13,22,23,16,17
64,歯が欠ける 原因,23800,260,2.049,0.002,32,68,2,11,19,29,24,9,6
65,歯 神経 取る,17600,260,2.35,1.842,42,58,3,13,25,28,18,8,5
66,パウパト,29500,250,1.832,7.445,26,74,2,14,41,22,9,8,4
