順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,ed治療薬,143000,5300,4.637,-0.001,76,24,1,5,7,15,23,24,25
2,ed,94600,1700,3.901,0,55,45,8,12,11,16,20,16,17
3,バイアグラ,140000,1500,3.352,-0.011,79,21,5,14,16,18,20,14,13
4,タダラフィル,112000,1100,3.302,10.273,82,18,0,5,9,19,26,24,17
5,シアリス,77200,830,3.355,0.314,85,15,1,7,14,22,25,18,13
6,イースト駅前クリニック,53800,830,3.692,0.213,91,9,1,7,13,23,28,18,10
7,レビトラ,47200,660,3.599,2.041,90,10,0,6,13,23,26,19,13
8,精力剤,67700,640,3.267,-3.735,82,18,6,19,17,17,17,12,12
9,ed治療 病院,3500,580,6.104,0,87,13,1,6,7,15,29,26,16
10,aga治療,163000,560,2.215,0.001,70,30,1,8,15,26,27,14,9
11,バルデナフィル,33200,530,3.729,8.942,84,16,0,7,15,25,26,17,10
12,ed治療とは,3800,520,6.092,0,26,74,1,2,2,6,12,26,51
13,テストステロン,146000,490,2.215,9.367,68,32,4,13,15,21,21,14,12
14,シルデナフィル,40600,490,3.46,11.165,78,22,0,10,15,24,24,16,11
15,バイアグラ 効果,42300,460,3.4,3.345,77,23,4,16,18,19,18,13,12
16,シアリス 効き目,35200,460,3.535,5.163,90,10,0,4,11,23,26,20,16
17,勃起不全 治し方,22400,460,4.01,-4.403,86,14,3,8,12,18,25,20,14
18,タダラフィル 効果,37300,420,3.404,18.312,86,14,0,3,8,18,27,25,19
19,レビトラ ジェネリック,25100,410,3.752,5.569,94,6,0,3,9,22,30,22,14
20,マカ,54600,370,2.926,-1.725,68,32,2,5,10,18,24,21,20
21,アトムクリニック,87200,360,2.351,-0.483,94,6,2,8,18,28,27,12,5
22,勃起薬,25900,350,3.556,-0.209,92,8,1,9,16,24,26,14,10
23,シアリス ジェネリック,23900,350,3.655,0.191,94,6,0,3,8,20,30,23,16
24,バイアグラ 購入方法,27400,340,3.504,-0.086,91,9,1,13,16,20,20,16,14
25,ed 治し方,13900,340,4.23,0.001,73,27,7,30,22,20,13,5,3
26,ed治療薬 通販 ランキング,5500,340,5.1,0.001,95,5,0,2,4,15,29,27,23
27,勃起不全,14600,330,4.129,-1.057,75,25,6,12,14,17,21,16,14
28,凄十 効果,60600,310,2.664,-5.294,81,19,7,26,23,20,14,6,4
29,勃起,58200,310,2.68,-0.037,66,34,11,14,17,20,17,11,10
30,プロキオン,30500,300,3.281,-0.011,83,17,1,4,6,15,23,23,28
31,テストステロン 増やす,44800,290,2.85,0.017,85,15,3,11,15,23,23,14,11
32,ユナイテッドクリニック,13900,270,3.92,0.817,91,9,0,5,10,21,29,21,14
33,ed薬,9400,270,4.342,0.01,83,17,1,7,12,21,27,18,14
34,バイアグラ ジェネリック,16900,260,3.687,0.002,89,11,1,4,12,27,27,17,12
35,お薬ナビ,77300,250,2.158,-0.025,68,32,1,9,16,24,25,15,10
36,男性ホルモン,37300,250,2.897,2.557,68,32,3,7,8,17,23,20,22
37,ぼっき 持続させる方法,24600,250,3.286,-2.597,90,10,4,15,20,25,18,9,9
38,バイアグラ 副作用,20100,250,3.486,0.212,81,19,1,8,14,23,24,17,13
39,アダルトグッズ,78700,240,2.107,-4.328,67,33,3,13,18,21,20,13,12
40,大人noおもちゃ 通販,67300,240,2.301,23.912,62,38,1,5,10,19,22,19,24
41,大人のおもちゃ 通販,72700,230,2.149,-35.209,60,40,1,5,9,19,23,19,24
42,睾丸マッサージ,42500,230,2.67,0.045,84,16,2,13,22,23,21,12,7
43,edとは,34600,230,2.963,0,42,58,31,25,10,10,10,6,8
44,バイアグラ 通販 つるかめ薬局,63300,220,2.235,-0.005,69,31,6,10,15,22,24,14,9
45,シトルリンの効果,36100,220,2.798,4.03,71,29,1,6,12,19,23,20,19
46,カマグラゴールド,29900,220,2.957,0.104,92,8,0,7,17,27,26,14,9
47,シルデナフィル錠 50mg 効果,16300,220,3.59,1.717,84,16,0,4,11,19,25,23,18
48,ed治療薬 市販,3700,220,5.07,0,89,11,2,13,10,18,25,16,16
49,dmmオンラインクリニック aga 口コミ,25200,210,3.079,1.817,74,26,1,8,16,30,31,9,5
50,赤ひげ薬局,21200,210,3.243,-0.01,83,17,1,5,14,22,28,18,12
51,勃起薬 市販,15000,210,3.584,-2.743,91,9,1,7,13,23,25,16,15
52,ed治療 保険適用,1100,210,6.264,0.001,84,16,0,9,17,23,28,14,9
53,獣王,24900,200,3.041,-2.689,90,10,1,4,9,18,28,24,16
54,ソープランド,61600,190,2.141,-6.665,84,16,4,17,14,17,21,16,11
55,タダラフィル 5mg,20700,190,3.273,14.472,85,15,0,1,4,10,20,28,37
56,バイアグラ 飲み方,10400,190,3.855,13.735,92,8,0,4,9,19,28,24,16
57,ed治療薬 効かない,2100,190,5.512,0.009,90,10,1,2,4,12,26,30,25
58,シトルリン,27000,180,2.907,6.723,72,28,1,7,14,19,22,19,18
59,dmmオンラインクリニック,18900,180,3.255,7.835,66,34,1,13,21,28,23,10,4
60,タダラフィル 20mg,12000,180,3.679,27.351,90,10,0,2,8,19,26,24,21
61,凄十,38300,170,2.518,-10.108,70,30,7,18,22,22,18,8,5
62,シリアス 効き目,10100,170,3.771,1.291,94,6,0,3,9,17,26,23,22
63,ed治療 オンライン診療最新窓,5400,170,4.623,0.001,99,1,0,76,8,5,7,2,2
64,ed治療薬 副作用,2800,170,5.112,0.002,79,21,1,5,9,20,26,21,18
65,らぶホテル 検索,45900,160,2.267,4.678,68,32,5,15,13,22,22,13,10
66,テストステロン サプリ,19300,160,3.091,9.327,90,10,1,6,11,21,26,19,16
67,中折れした時の対応,17000,160,3.23,-2.049,60,40,2,14,20,28,22,9,5
68,ライデン サプリ口コミ,16500,160,3.276,8.491,92,8,0,1,5,18,29,27,20
69,レビトラ 販売中止 理由,9100,160,3.829,0.005,94,6,0,2,4,15,29,30,20
70,長径手術,36600,150,2.372,-6.977,85,15,1,7,17,29,29,12,5
71,やずや にんにく卵黄wild,20400,150,3.004,-0.005,87,13,0,1,5,15,26,28,25
72,バルデナフィル20mg,8800,150,3.784,51.925,88,12,0,3,10,22,26,23,16
73,ed治療薬 通販格安ウィザード,2700,150,5.059,0,85,15,1,4,9,11,19,24,32
74,早ろうを治す,43300,140,2.212,-6.423,88,12,14,25,20,21,13,4,3
75,カマグラ,23500,140,2.746,-0.001,81,19,1,10,20,27,23,11,8
76,養宝珠,18600,140,2.992,-50.635,86,14,1,3,8,17,25,23,23
77,dmmクリニック,14900,140,3.197,6.208,68,32,1,9,17,28,24,14,7
78,dmm オンラインクリニック 支払い,13500,140,3.324,43.288,71,29,1,7,17,33,27,10,5
79,勃起力,11400,140,3.485,-0.016,93,7,2,14,27,25,18,9,5
80,勃起力 強化 トレーニング,10800,140,3.541,-3.366,96,4,3,16,23,22,18,10,8
81,ステンドラ,8400,140,3.788,18.298,96,4,0,2,5,17,30,28,18
82,ed治療薬 比較,3600,140,4.665,4.389,98,2,0,4,5,17,28,28,18
83,ed 治療,2600,140,5.001,-0.098,75,25,2,20,23,21,19,9,6
84,ed治療薬 ジェネリック,2500,140,5.002,0.001,94,6,0,2,5,16,26,25,26
85,マカ 効果,29500,130,2.477,0.087,75,25,2,16,26,27,16,7,6
86,ユナイテッドクリニック 口コミ 評判,3900,130,4.501,0.167,94,6,1,4,7,19,31,25,13
87,dmmオンラインクリニック ed口コミ,3300,130,4.635,0.373,89,11,2,13,18,25,25,12,5
88,コンドームおすすめ,38200,120,2.195,4.779,75,25,14,26,18,20,12,5,5
89,潤滑ゼリー,33800,120,2.308,1.093,51,49,3,12,11,14,25,18,17
90,バリフ,17500,120,2.884,5.152,92,8,1,12,17,24,24,13,9
91,シリアス,16500,120,3.033,1.02,68,32,5,8,13,17,20,16,21
92,プロキオン 効果,9600,120,3.514,-13.363,91,9,0,2,3,12,22,27,34
93,バルデナフィル20mg サワイ,7100,120,3.796,12.649,89,11,0,2,7,17,28,26,20
94,ペプチア,6300,120,3.931,2.666,90,10,0,2,6,15,22,26,29
95,ボっき不全 治し方,5700,120,4.072,-77.801,84,16,3,6,11,19,21,23,17
96,勃起しない,5600,120,4.079,-7.012,83,17,4,11,13,20,23,15,14
97,バイアグラ 通販のつるかめ薬局,33900,110,2.156,-0.031,78,22,6,14,19,22,20,11,8
98,中折れとは,29400,110,2.387,-0.001,52,48,17,26,16,18,13,5,5
99,包茎手術,27700,110,2.352,-2.3,79,21,6,19,22,22,17,8,6
100,シアリス 通販のつるかめ薬局,27500,110,2.377,-0.001,76,24,5,12,17,23,22,12,9
101,男性ホルモン 増やす 食べ物,16100,110,2.934,-5.473,72,28,3,5,10,18,25,20,19
102,スタリオン,14300,110,3.025,-2.907,90,10,2,6,11,20,34,19,8
103,獣王beast サプリ 口コミ,13600,110,3.059,5.881,95,5,0,3,9,22,31,23,12
104,dmm オンラインクリニック,11300,110,3.237,23.685,71,29,0,10,19,34,23,10,4
105,ブラビオンs,9900,110,3.384,-15.208,94,6,2,6,13,22,26,19,12
106,シアリス 副作用,8400,110,3.522,7.044,91,9,0,5,11,21,26,20,17
107,シアリス 通販,8100,110,3.542,-1.958,93,7,0,6,10,19,27,22,16
108,タダラフィル シアリス 違い,7400,110,3.693,11.883,91,9,0,3,6,15,26,31,19
109,ed 薬,7000,110,3.698,0.014,76,24,0,11,17,23,27,14,8
110,レビトラ 効果時間,6900,110,3.759,16.275,96,4,0,6,13,27,27,17,10
111,タダラフィル 2.5mg 効果,6700,110,3.801,9.877,92,8,0,1,3,13,25,31,27
112,シルデナフィル 25mg,6300,110,3.872,10.049,87,13,0,7,16,25,24,16,12
113,アバナフィル,6000,110,3.902,5.074,94,6,0,2,8,18,29,23,20
114,ローション,35500,100,2.071,-13.836,61,39,11,17,16,19,18,10,9
115,早漏,34400,100,2.078,0.069,59,41,12,25,23,18,13,5,4
116,ペニス,30300,100,2.219,-1.446,66,34,10,10,12,18,17,15,18
117,ジャップカサイ,22200,100,2.498,-3.207,89,11,0,10,24,29,23,10,4
118,インポとは,19600,100,2.683,-0.003,50,50,27,27,13,11,11,6,5
119,精力,13700,100,2.974,-16.068,71,29,4,9,16,26,23,12,10
120,マカライズプラス 口コミ,13100,100,3.003,-12.391,90,10,2,2,6,17,28,27,18
121,バいあぐら 効果,10300,100,3.236,-30.248,76,24,4,15,18,19,19,13,12
122,タダラフィル 副作用,8900,100,3.391,55.341,88,12,0,3,6,15,24,27,25
123,低用量タダラフィル,3900,100,4.22,17.298,98,2,0,1,4,17,31,34,13
124,バルデナフィル10mg,3600,100,4.328,12.929,89,11,0,3,10,24,24,21,18
125,ed薬 比較 硬さ,3300,100,4.381,6.171,94,6,0,4,8,21,30,23,14
126,鶯谷 立ちんぼ 爆サイ,27700,90,2.124,-43.853,95,5,1,5,12,23,28,19,12
127,アトムクリニック 評判,19200,90,2.457,-61.336,96,4,1,8,16,26,29,16,4
128,前立腺マッサージ,17800,90,2.601,-0.024,86,14,2,14,22,22,19,11,10
129,ピルカッター,17600,90,2.604,16.395,60,40,0,5,13,23,28,18,13
130,凄十 飲むタイミング,16500,90,2.691,-17.372,89,11,3,27,26,20,15,6,3
131,edとは 男性,12200,90,3.062,0,45,55,15,20,10,12,15,13,15
132,獣王ビースト,12200,90,2.958,-5.689,91,9,2,10,16,21,24,16,11
133,金蛇精,11400,90,3.017,0.335,86,14,0,4,12,19,25,22,18
134,つるかめ薬局,10800,90,3.123,2.086,86,14,0,6,15,26,26,15,12
135,バイアグラ 通販,7600,90,3.495,-0.001,90,10,1,11,20,23,21,13,11
136,勃起力 強化 サプリ,7400,90,3.47,-0.042,93,7,1,11,19,25,23,11,10
137,シアリス 通販正規web窓口,7200,90,3.567,0.001,86,14,0,5,10,13,17,24,31
138,バいあぐら 購入方法,7200,90,3.532,-4.155,90,10,1,11,15,19,21,17,16
139,ed 原因,7000,90,3.638,0,56,44,8,30,26,18,11,5,2
140,yorumo 口コミ,6700,90,3.586,-0.743,94,6,0,2,7,18,30,27,16
141,ステンドラ ジェネリック,4100,90,4.038,7.025,96,4,0,2,5,13,25,30,25
142,ed薬 通販 ランキング,3700,90,4.119,-0.011,89,11,1,2,8,19,33,20,17
143,イースト駅前クリニック 評判,3300,90,4.28,0.113,86,14,1,11,18,23,24,16,7
144,レノーヴァ,1900,90,4.851,0.256,86,14,0,4,14,28,26,18,10
145,ed治療薬 通販,1700,90,4.996,0.001,94,6,1,4,9,14,26,22,24
146,コンドーム サイズ,30400,80,2.05,1.698,73,27,17,30,18,16,10,5,4
147,ベストケンコー,25000,80,2.117,0.123,59,41,2,8,12,20,26,18,14
148,ケーゲル体操,13000,80,2.782,0.001,48,52,2,11,18,22,21,14,12
149,浜松町第一クリニック,13000,80,2.734,0.961,95,5,0,2,7,18,32,25,16
150,養宝珠 口コミ,12300,80,2.858,-31.349,85,15,1,3,8,20,28,22,18
151,獣王ビースト サプリ 口コミ,10700,80,2.978,-61.876,94,6,0,3,8,21,34,25,9
152,闘王,10200,80,3,-10.429,94,6,1,1,5,18,30,26,19
153,闘王 口コミ,9500,80,3.087,33.93,94,6,0,1,5,18,33,27,16
154,バイアクアラ 購入,7400,80,3.279,-26.839,92,8,4,9,15,23,27,15,7
155,たたないとき 対処法,7100,80,3.364,-18.932,68,32,5,18,21,23,18,9,6
156,バイアグラ 購入,5700,80,3.65,-1.105,91,9,1,11,16,21,26,15,10
157,勃起 サプリ,5700,80,3.53,0.071,94,6,0,9,23,29,22,10,7
158,グローミン 効果,5300,80,3.657,14.889,86,14,0,5,13,23,26,18,15
159,ペプチア 効果なし,4300,80,4.011,-18.018,93,7,0,1,4,12,20,30,33
160,バルデナフィル 効果,3600,80,4.094,1.968,89,11,1,7,13,23,24,20,12
161,ギガクリニック,2600,80,4.372,1.185,90,10,1,4,9,20,31,19,16
162,勃起障害,2500,80,4.436,0.001,66,34,4,11,12,18,21,17,17
163,ed サプリ,2200,80,4.489,0.016,81,19,1,8,20,28,25,12,6
164,ed オンライン診療,1900,80,4.722,1.822,87,13,0,8,16,28,27,14,7
165,ed原因,1700,80,4.881,-0.002,67,33,10,19,12,24,20,10,5
166,ed治療薬 シアリス,1600,80,4.946,0.007,95,5,0,3,5,12,19,26,35
167,コンドーム 付け方,23600,70,2.197,17.899,76,24,26,36,14,9,6,4,5
168,既婚者クラブ 評判,20900,70,2.137,13.002,92,8,0,3,18,33,29,14,3
169,コックリングとは,18900,70,2.334,0.61,71,29,7,16,20,22,17,10,8
