順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,前立腺肥大 症状,155000,1600,3.482,-0.003,65,35,1,3,5,12,21,25,33
2,前立腺がん 症状,224000,1400,2.941,-0.002,60,40,1,3,6,13,21,24,32
3,前立腺肥大,59700,1000,3.992,-0.001,62,38,1,5,6,11,20,24,33
4,前立腺,103000,940,3.337,-0.001,63,37,4,9,10,13,17,20,27
5,前立腺肥大 治療法,50500,700,3.787,0.026,66,34,0,2,3,8,18,27,42
6,頻尿,164000,650,2.504,-0.004,49,51,2,5,8,15,20,21,29
7,psa 腫瘍マーカー,69900,500,3.112,-0.011,62,38,0,3,4,10,19,27,37
8,前立腺がん,46500,490,3.488,-0.002,52,48,2,7,9,16,20,20,26
9,タダラフィル,112000,480,2.52,0.003,82,18,0,5,9,19,26,24,17
10,頻尿の原因,106000,480,2.624,-0.003,44,56,1,6,9,17,22,19,26
11,前律線肥大 症状,40300,450,3.525,-2.705,64,36,1,3,5,12,21,24,34
12,前立腺炎,25500,450,3.951,0.018,68,32,1,10,15,18,21,19,16
13,タムスロシン塩酸塩0.2mg,47800,430,3.355,0.333,63,37,0,3,3,6,18,26,44
14,前律線がん 症状,64900,390,2.9,-7.337,62,38,1,3,6,13,22,24,31
15,タムスロシン,38700,380,3.419,0.495,51,49,0,12,12,18,15,17,26
16,前立腺がん 生存率,65000,370,2.87,3.921,48,52,1,3,6,14,19,25,32
17,前立腺癌,23800,370,3.913,0.003,54,46,1,4,5,9,15,24,42
18,膀胱癌 初期症状,76500,330,2.603,-0.003,38,62,1,3,6,14,25,24,27
19,psa 基準値,37900,320,3.291,-0.001,71,29,0,3,4,7,15,27,44
20,頻尿 治し方,68300,290,2.582,-0.004,57,43,2,5,7,13,18,21,34
21,過活動膀胱炎,67100,290,2.599,0.001,27,73,1,7,10,18,23,21,20
22,psa,49300,290,2.91,0.001,70,30,2,9,15,16,16,18,24
23,シロドシン錠4mg,41000,290,3.076,5.255,51,49,0,1,4,16,21,20,38
24,psa検査とは,44000,280,2.986,0.06,73,27,0,2,3,8,21,27,39
25,前立腺癌 psa数値,31400,280,3.378,0.216,59,41,0,1,2,5,15,28,49
26,過活動膀胱,23100,280,3.626,0,33,67,2,10,13,20,21,17,17
27,前立腺がん 検査,40600,270,3.021,-0.002,64,36,0,1,4,9,20,28,38
28,前立腺炎 症状,27400,260,3.365,0.025,66,34,1,7,12,17,20,21,22
29,セルニルトン錠,25200,260,3.411,2.21,68,32,0,6,11,18,21,21,23
30,シロドシンod錠 4mg,16800,260,3.914,0.315,63,37,0,5,5,7,12,21,50
31,夜間頻尿 原因,65500,250,2.478,-1.013,44,56,0,2,5,13,21,25,34
32,前立腺肥大症 症状,3500,240,5.343,0,60,40,1,13,6,13,22,21,24
33,前立腺肥大 原因,21800,230,3.492,-0.003,64,36,1,5,6,13,22,24,29
34,前律線肥大 治療法,12600,230,4.049,-6.997,69,31,0,1,2,8,18,28,43
35,シロドシン,21700,220,3.474,5.63,47,53,0,22,19,13,13,12,21
36,前立腺肥大症 治療,1700,220,5.999,0.004,70,30,2,6,9,12,22,24,25
37,psa値を下げる方法,11300,190,3.981,-0.002,86,14,0,0,1,2,12,35,50
38,前立腺肥大 薬,10700,190,3.959,2.379,76,24,1,5,6,12,21,29,26
39,前立腺肥大症 薬,1200,190,6.155,0.002,71,29,0,8,7,14,26,24,21
40,デュタステリド錠0.5mg,23800,180,3.106,0.007,67,33,0,4,10,19,22,19,26
41,タダラフィル 5mg,20700,180,3.309,0.271,85,15,0,1,4,10,20,28,37
42,尿路感染症,31800,170,2.75,0.508,34,66,1,13,14,17,23,18,14
43,尿が出にくい,21300,170,3.225,-0.002,44,56,1,2,3,10,21,26,37
44,慢性前立腺炎,7900,170,4.153,2.341,82,18,3,11,19,21,19,15,12
45,前立腺肥大症 手術,1200,170,6.135,0.005,65,35,1,5,6,11,18,27,32
46,深部静脈血栓症,41500,160,2.463,-19.396,27,73,2,22,13,18,20,14,11
47,抗コリン薬,34300,160,2.668,0.047,32,68,1,18,12,18,21,15,15
48,psa 基準値 年齢別,12900,160,3.734,-0.007,78,22,1,1,1,3,11,28,55
