順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,アトムクリニック,87200,510,4.382,-4.827,94,6,2,8,18,28,27,12,5
2,包茎手術,27700,430,5.413,-0.043,79,21,6,19,22,22,17,8,6
3,包茎,65900,330,4.319,-0.001,56,44,16,21,19,19,13,7,5
4,abcクリニック,15300,220,5.292,-0.005,78,22,3,10,17,26,25,14,5
5,マッチングアプリ,484000,180,1.684,-10.398,55,45,2,18,20,22,21,10,7
6,長径手術,36600,170,4.158,-0.718,85,15,1,7,17,29,29,12,5
7,missaiv,464000,160,1.64,-7.101,93,7,13,27,23,18,11,5,3
8,ファンザ,445000,160,1.664,-80.229,74,26,8,18,24,27,15,5,3
9,モンキーターン スマスロ,329000,150,1.824,-58.219,90,10,1,14,30,32,17,4,2
10,北斗の拳 スマスロ,340000,130,1.649,-53.58,90,10,1,12,26,34,20,5,2
11,アトムクリニック 口コミ,14800,130,4.806,0.123,97,3,1,7,16,28,30,15,3
12,アトムクリニック 評判,19200,120,4.482,-29.092,96,4,1,8,16,26,29,16,4
13,上野クリニック,11900,120,4.95,0.006,63,37,2,10,21,27,22,11,7
14,ふぁんざ,301000,110,1.7,-113.949,77,23,12,21,24,22,13,5,3
15,からくりサーカス スロット,270000,110,1.746,-49.922,89,11,1,16,32,31,15,3,2
16,ファンティア,226000,110,2,-25.955,79,21,14,27,24,18,11,4,2
17,デリヘル,145000,110,2.408,-2.24,84,16,5,23,18,19,17,10,8
18,メンズエステ,141000,110,2.421,-21.524,83,17,2,20,26,24,17,7,4
19,バイアグラ,140000,110,2.401,0.002,79,21,5,14,16,18,20,14,13
20,包茎手術 費用,9900,110,5.053,-18.503,84,16,5,22,23,22,15,8,5
21,亀頭増大,7300,110,5.34,0.011,93,7,1,9,19,26,29,11,5
22,競艇,244000,100,1.754,-5.547,81,19,1,10,17,23,22,13,14
23,ゴッドイーター スマスロ,244000,100,1.747,-59.667,91,9,0,17,35,30,13,3,2
24,シティーへ ブン,177000,100,2.075,-25.703,92,8,1,13,21,27,22,10,6
25,松本いちか,235000,90,1.718,-25.311,85,15,10,20,23,22,15,6,4
