順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,マイコプラズマ肺炎 子供,415000,2300,1.997,-14.651,18,82,1,3,28,40,9,9,10
2,手足口病 登園目安,295000,1600,1.992,-71.818,14,86,0,5,40,33,8,9,5
3,夜尿症 原因,11800,1100,4.811,0.001,29,71,1,4,20,30,17,14,14
4,夜尿症 子供 病院,8700,1100,5.126,0,14,86,0,2,36,42,7,7,6
5,チャレンジタッチ,128000,820,2.108,7.126,19,81,2,1,26,57,10,2,2
6,土屋鞄ランドセル,139000,800,2.053,19.097,19,81,1,2,35,33,8,12,9
7,120925527,116000,780,2.164,47.371,17,83,0,2,37,51,6,2,2
8,男の子 髪型,119000,740,2.081,-5.98,17,83,2,3,36,46,7,3,3
9,中耳炎 子供,123000,680,1.985,-15.18,23,77,0,5,41,35,6,8,5
10,溶連菌 出席停止,116000,640,1.979,-17.74,16,84,3,6,27,41,14,6,3
11,リンゴ病 症状 子供,101000,620,2.104,114.455,16,84,0,4,41,37,5,6,7
12,夜驚症,96500,590,2.11,-0.001,21,79,1,8,36,29,12,9,5
13,夜間頻尿 原因,65500,590,2.566,0.001,44,56,0,2,5,13,21,25,34
14,ミニリンメルト,15600,570,3.901,0.238,35,65,0,11,20,29,18,11,11
15,おねしょ 治す方法,12500,540,4.052,-0.002,40,60,1,2,26,38,13,10,10
16,こどもちゃれんじ,102000,530,1.936,-12.485,19,81,0,4,41,37,7,7,4
17,卒園式 服装 ママ,62500,520,2.382,91.044,7,93,0,4,44,40,5,4,3
18,水いぼ,89500,470,1.951,-34.021,23,77,1,6,34,34,12,8,5
19,池田屋 ランドセル,55700,470,2.417,6.348,17,83,0,1,43,40,5,6,5
20,スタジオアリス 七五三,82800,450,1.974,-17.314,14,86,0,5,46,34,5,6,4
21,おたふく 予防接種,72400,440,2.083,17.637,10,90,1,6,38,37,12,4,2
22,adhd 子供,70200,430,2.115,4.053,14,86,1,3,29,38,12,9,8
23,子供 咳 止まらない,80200,420,1.923,-12.662,28,72,1,3,41,44,6,2,3
24,マックアドベンチャー,62800,400,2.113,-19.881,14,86,1,3,43,44,5,2,2
25,みてねみまもりgps,58600,400,2.173,63.849,22,78,0,2,40,44,7,4,3
26,アイロンビーズ,69000,380,1.99,-6.299,21,79,3,6,26,38,12,9,6
27,予防接種 スケジュール,64700,370,2.035,-0.166,6,94,0,9,48,30,6,3,4
28,gps 子供,58600,370,2.09,60.942,18,82,0,2,33,50,8,3,4
29,おねしょ いつまで 平均,9100,370,3.984,-0.004,24,76,1,3,32,42,8,8,6
30,鍵盤ハーモニカ,70200,360,1.935,39.729,25,75,2,5,27,35,11,9,11
31,グリローズ ランドセル,48900,350,2.256,51.578,11,89,0,3,51,33,4,6,3
32,フィットちゃん,37100,350,2.518,45.372,16,84,1,3,45,40,4,4,3
33,アクアビーズ,63600,340,1.973,-1.309,21,79,2,5,37,34,8,9,5
34,思春期早発症,63500,330,1.939,-7.949,19,81,2,4,19,42,18,8,7
35,夜間頻尿,26700,320,2.855,0.001,45,55,1,4,9,15,19,20,32
36,最強王図鑑,55800,310,1.978,-45.063,34,66,1,3,34,43,8,6,5
37,パウパトロール 映画,55000,310,2.013,-66.515,29,71,0,4,47,34,5,6,4
38,百日咳 子供 症状,51600,310,2.067,177.515,5,95,1,5,41,44,3,2,4
39,クラリスロマイシン 小児,39200,310,2.346,-19.271,14,86,0,4,37,45,7,4,3
40,0120 925 527,39800,300,2.283,3.55,15,85,0,3,54,38,3,1,1
41,溶連菌 潜伏期間,51500,290,2.02,-0.265,16,84,2,7,34,37,10,6,4
42,デビロック,50500,290,2.015,23.126,13,87,1,2,33,52,7,2,3
43,セイバン ランドセル,46000,290,2.117,9.39,22,78,0,2,37,38,7,9,7
44,botトーク,37600,290,2.319,89.325,20,80,0,2,41,46,6,2,3
45,ふわりぃ ランドセル,36500,290,2.355,31.834,15,85,0,2,44,41,5,5,3
46,防水シーツ,51800,280,2.014,-0.367,19,81,0,7,25,24,22,14,8
47,流行性角結膜炎,49900,280,2.029,1.881,22,78,2,10,33,29,13,9,4
48,フルミスト,42100,270,2.136,-30.606,26,74,1,3,22,42,18,9,5
49,夜中にトイレ 原因,39600,270,2.264,0.001,30,70,1,5,11,20,24,22,17
50,溶連菌 発疹,31900,270,2.395,-30.583,13,87,0,5,46,39,6,2,2
51,絵の具 服 落とし方,48200,260,1.965,-40.186,12,88,1,2,32,48,11,3,3
52,成長痛,47900,260,1.978,-9.587,29,71,7,4,20,43,13,6,7
53,手足口病 発疹,47400,260,1.994,-93.39,11,89,0,6,53,31,4,4,2
54,ツーブロック 子供,40500,260,2.088,26.71,18,82,1,1,30,57,7,2,2
55,インチュニブ,39300,250,2.147,11.491,31,69,2,10,18,31,23,11,5
56,手足口病 熱なし,35200,250,2.236,-66.516,9,91,1,7,57,30,2,2,1
57,イオン ランドセル,32100,250,2.342,14.58,23,77,0,3,44,35,6,8,4
58,アタマジラミ,46500,240,1.948,-15.974,28,72,3,9,32,33,11,7,5
59,ハート 折り紙,46000,240,1.95,9.659,9,91,2,11,45,32,4,3,3
60,小学2年生,45300,240,1.963,4.328,32,68,1,2,20,42,10,12,13
61,尿崩症,42700,230,2.025,0,28,72,1,18,18,22,21,12,8
62,モンテルカストチュアブル,39800,230,2.008,0.018,17,83,2,2,21,54,15,3,3
63,マイコプラズマ 子供,37400,230,2.071,-8.552,19,81,1,3,38,45,6,4,3
64,なぞなぞ 幼稚園,35400,230,2.151,-3.702,31,69,2,6,36,34,6,10,6
65,おねしょ 布団 どうする,18200,230,2.805,-0.285,19,81,2,5,35,36,11,7,4
66,おねしょ ズボン,9600,230,3.466,0.003,8,92,0,2,45,39,5,6,3
67,アデノウイルス 出席停止,41800,220,1.922,-22.634,15,85,1,8,36,35,12,5,3
68,学研教室,41600,220,1.965,31.991,15,85,1,2,24,44,13,9,7
69,進研ゼミ 小学講座,40500,220,1.956,11.01,17,83,1,1,25,58,9,3,3
70,オゼックス,40500,220,1.956,3.298,27,73,1,6,21,38,18,9,7
71,七五三 着物レンタル,39300,220,2.014,-17.724,11,89,0,5,42,29,5,11,8
72,天使の羽 ランドセル,35400,220,2.106,32.658,19,81,1,5,39,36,6,8,5
73,5種混合ワクチン,35100,220,2.117,14.315,17,83,0,14,41,20,11,10,4
74,スマイルゼミ 料金,40300,210,1.921,14.157,17,83,1,2,33,46,9,5,4
75,メプチン,39000,210,1.994,-24.373,24,76,1,11,26,32,15,9,6
76,水疱瘡 出席停止,38000,210,2.006,27.997,16,84,1,3,25,46,13,6,6
77,asd 子供,35900,210,2.055,12.989,11,89,1,4,30,39,12,8,6
78,手足口病 プール,33900,210,2.106,-116.145,14,86,1,4,46,37,5,4,3
79,縄跳び 長さ 合わせ方,33200,210,2.106,22.438,34,66,1,2,32,46,10,4,5
80,りんご病 出席停止,32700,210,2.13,69.063,13,87,1,3,33,45,9,6,3
81,水イボ,29600,210,2.22,-30.26,19,81,1,8,41,31,10,6,3
82,くもん,38100,200,1.958,-4.335,18,82,3,6,34,41,9,4,3
83,鬼から電話,37900,200,1.944,-40.931,25,75,2,3,32,39,10,9,5
84,伝染性紅斑,24800,200,2.365,54.978,27,73,1,8,23,31,17,12,8
85,公文 月謝,34800,190,2.003,-9.963,23,77,1,3,27,43,12,7,7
86,120907485,33800,190,1.963,-1.706,20,80,1,0,25,62,9,1,2
87,4種混合ワクチン,32300,190,2.054,28.034,19,81,1,12,32,32,12,7,4
88,サバイバル アニメ,32300,190,2.051,70.899,26,74,2,2,29,53,8,3,3
89,スマイルゼミ 退会,30800,190,2.085,31.01,18,82,1,1,22,57,14,2,3
90,子供 咳 長引く,25500,190,2.268,-15.017,15,85,0,3,44,43,6,2,2
91,おねしょシーツ,22200,190,2.484,-1.877,22,78,0,5,22,22,21,19,11
92,わんだふるぷりきゅあ 映画,35800,180,1.928,-35.287,23,77,5,11,42,31,6,3,2
93,スキビティトイレ,33100,180,1.997,-21.664,35,65,5,8,30,37,10,5,5
94,スライム 服 落とし方,33200,170,1.952,-8.122,18,82,0,4,43,35,5,8,5
95,ドッチボール,33000,170,1.924,1.381,37,63,6,6,17,39,16,8,8
96,メザスタ,32400,170,1.947,-65.102,48,52,2,4,40,41,7,3,3
97,スケーター 水筒,32300,170,1.968,-0.733,13,87,0,3,39,40,8,6,4
98,小学校1年生,31700,170,1.996,-3.132,32,68,1,2,25,32,10,15,15
99,算数検定,31500,170,1.964,16.626,22,78,1,1,18,52,15,5,8
100,成長曲線 男子,31400,170,1.942,-5.628,20,80,1,5,38,38,9,5,4
101,トリプタノール,31200,170,1.993,-0.141,28,72,1,8,15,24,25,15,12
102,水ぼうそう,29600,170,2.006,23.566,20,80,1,5,31,37,13,8,5
103,シャトルラン 平均 小学,27300,170,2.102,25.633,25,75,1,1,33,54,6,2,3
104,絵の具セット,27300,170,2.078,22.992,15,85,2,4,34,43,8,5,4
105,水筒 子供,27100,170,2.089,6.396,9,91,0,3,42,45,4,3,3
106,蕁麻疹 子供,26400,170,2.151,-13.56,11,89,0,3,44,43,4,3,3
107,手足口病 登校目安,25400,170,2.144,-69.124,11,89,1,4,44,41,6,2,2
108,乳歯 抜ける順番,21100,170,2.342,46.174,15,85,0,2,34,46,6,6,6
109,ぷにるんず おもちゃ,30700,160,1.918,-5.375,26,74,1,5,37,37,7,8,5
110,麻婆豆腐 子供,30500,160,1.941,-19.27,10,90,0,3,43,40,6,4,4
111,31アイスケーキ,29700,160,1.95,-11.113,18,82,2,15,40,32,7,3,1
112,体操教室,29600,160,1.974,11.505,18,82,1,3,31,41,8,6,10
113,シダキュア,28900,160,1.978,-8.804,29,71,1,7,20,38,20,9,5
114,りんご病 症状,28700,160,2.003,42.491,14,86,2,8,41,34,7,5,3
115,七五三 初穂料,26800,160,2.07,40.271,24,76,0,3,46,35,4,6,6
116,カルボシステイン 子供,26700,160,2.042,-34.011,13,87,0,4,34,48,7,4,3
117,モンベル ランドセル,26200,160,2.089,1.068,24,76,0,2,33,40,10,9,6
118,リベルタサッカースクール,26200,160,2.038,-1.608,32,68,2,3,30,50,9,3,3
119,ワイドシリン細粒200小児,25700,160,2.097,-19.569,17,83,0,6,41,36,7,6,4
120,ブリンバンバンボン 楽譜,25000,160,2.117,-79.096,20,80,4,5,30,38,10,7,6
121,120996085,24600,160,2.146,-73.583,11,89,0,7,57,30,2,2,2
122,発達検査,24400,160,2.163,-1.59,16,84,1,6,23,38,16,9,7
123,チック 子供,24200,160,2.152,9.732,12,88,0,2,31,42,8,10,7
124,ウィスク検査,23700,160,2.198,-3.578,16,84,1,5,24,46,16,5,3
