順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,尿失禁 種類,4900,300,6.128,0,22,78,3,24,9,15,18,14,17
2,尿もれ 原因,81100,290,3.327,-0.014,28,72,1,4,7,17,23,20,28
3,失禁,29400,250,4.155,-0.001,41,59,7,13,12,15,20,17,16
4,廃用症候群とは,74100,190,2.952,-20.193,27,73,2,13,10,16,25,21,13
5,過活動膀胱炎,67100,170,2.919,-0.001,27,73,1,7,10,18,23,21,20
6,エリクソン 発達段階,20900,160,4.044,-3.418,21,79,7,38,11,17,15,8,4
7,切迫性尿疾禁,12400,160,4.585,0.001,25,75,2,16,11,19,20,17,15
8,adl,43500,150,3.263,-0.002,38,62,3,17,12,19,22,16,11
9,前立腺肥大,59700,140,2.899,-2.989,62,38,1,5,6,11,20,24,33
10,日常生活自立度,43900,130,3.038,10.095,35,65,1,20,20,25,20,9,5
11,尿失禁とは,1600,130,6.438,0,24,76,8,31,8,13,18,12,10
12,長谷川式簡易知能評価スケール,45400,120,2.954,-12.016,26,74,1,16,13,22,26,12,10
13,深部静脈血栓症,41500,120,3.047,-10.068,27,73,2,22,13,18,20,14,11
14,仰臥位,32500,120,3.318,-17.651,33,67,5,20,13,18,21,14,9
15,ブリストルスケール,24400,120,3.621,-0.216,24,76,2,30,19,21,16,8,4
16,スタンダードプリコーション,23900,120,3.595,-4.908,25,75,6,23,14,21,21,11,4
17,過活動膀胱,23100,120,3.693,0.002,33,67,2,10,13,20,21,17,17
18,尿漏れ,12900,120,4.249,0.003,33,67,2,6,12,18,19,15,28
19,便失禁,10900,120,4.432,-0.004,29,71,2,7,11,14,22,20,24
20,ノーマライゼーションとは,44900,110,2.89,-24.489,32,68,10,20,9,19,22,13,7
21,尿もれ トレーニング,44600,110,2.915,-0.035,17,83,0,2,8,25,26,17,22
22,高カリウム血症,43900,110,2.894,-11.269,36,64,1,20,15,19,19,14,12
