順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,尿管結石,269000,16100,3.12,0,46,54,2,10,16,23,25,14,10
2,膀胱炎,436000,6100,1.706,-0.252,23,77,2,8,11,20,24,17,18
3,腎盂腎炎,230000,4300,1.972,-0.001,26,74,1,10,15,23,25,15,11
4,血尿,210000,4100,2.024,-0.989,35,65,2,6,10,20,26,18,18
5,尿路結石 石を早く出す方法,11600,3800,4.836,0.002,43,57,1,6,11,18,29,20,15
6,尿路結石 原因,22100,3400,4.123,0,42,58,6,25,19,17,16,9,8
7,左下腹部の痛み,223000,3200,1.692,-0.185,28,72,2,9,15,26,24,14,10
8,尿管結石 石が出る前兆,43500,2900,3.222,0.006,49,51,1,7,14,23,28,17,10
9,尿路結石 初期症状,15800,2900,4.291,0.001,44,56,4,14,14,18,23,16,11
10,膀胱炎 症状,199000,2800,1.741,-0.026,20,80,4,15,13,17,21,16,14
11,膀胱癌,171000,2800,1.87,-0.009,39,61,1,3,6,14,22,23,31
12,泌尿器科,176000,2600,1.763,-0.001,45,55,2,9,12,20,22,16,19
13,腎臓結石,72400,2600,2.654,-0.002,42,58,1,2,6,14,26,26,25
14,胆石,154000,2500,1.845,-0.001,37,63,1,6,12,20,24,19,18
15,尿路結石 痛み,6400,2100,4.84,0.002,48,52,6,17,20,20,19,11,7
16,右下腹部の痛み,141000,2000,1.701,-0.102,28,72,2,9,15,25,25,14,10
17,尿路感染,61000,2000,2.524,0,27,73,1,10,15,20,24,18,12
18,シュウ酸の多い食品,44600,2000,2.855,0.343,34,66,2,7,10,18,25,21,17
19,尿管結石 痛み 場所,36600,1900,2.989,-0.008,50,50,2,7,14,23,27,17,10
20,尿路結石 食事,5300,1600,4.799,0.002,34,66,2,10,14,19,25,18,12
21,膀胱癌 初期症状,76500,1500,2.036,-0.007,38,62,1,3,6,14,25,24,27
22,尿路結石 尿管結石 違い,4700,1500,4.833,0,46,54,3,13,18,20,25,13,8
23,水腎症,59100,1400,2.217,0.38,28,72,1,12,18,21,21,16,11
24,尿管結石 痛みを和らげる方法,19000,1400,3.325,0.009,55,45,1,4,11,25,33,17,9
25,尿路結石 女性,6700,1400,4.384,0,15,85,6,24,22,21,16,6,5
26,血尿 原因,67200,1300,2.042,-0.579,49,51,2,8,10,19,24,19,18
27,結石,27400,1300,2.895,0.001,57,43,2,7,15,24,25,16,11
28,ウロカルン錠225mg,17700,1300,3.313,0.587,53,47,0,4,10,19,27,23,17
29,尿路結石 治療,4600,1300,4.711,0.002,41,59,2,12,15,19,22,17,13
30,血尿 原因 女性,79900,1200,1.729,-0.092,13,87,2,10,11,21,29,16,11
31,胆石 症状,71100,1200,1.913,-0.001,34,66,1,5,10,19,28,21,16
32,尿道炎 症状,47300,1200,2.281,0,53,47,2,9,13,19,21,18,18
33,尿管結石 食事,18900,1200,3.154,0.193,40,60,1,7,14,22,28,17,11
34,尿道結石 症状 痛み,16900,1200,3.331,0.001,52,48,1,4,8,16,28,24,19
35,シュウ酸,51400,1100,2.183,0.139,45,55,17,12,13,17,18,12,11
36,尿路結石 予防,5100,1100,4.468,0,65,35,8,29,20,17,12,9,5
