順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,精巣上体炎,23300,260,5.673,-0.001,66,34,3,15,21,24,17,11,9
2,精巣がん 症状,27700,120,4.708,-0.007,66,34,4,13,18,20,20,14,11
3,前立腺がん 症状,224000,110,2.591,-0.41,60,40,1,3,6,13,21,24,32
4,膀胱炎,436000,90,1.674,-1.137,23,77,2,8,11,20,24,17,18
5,精巣捻転,30500,90,4.322,-0.018,46,54,10,18,22,27,13,5,5
6,レボフロキサシン,288000,80,1.976,1.505,31,69,1,10,16,23,21,15,14
7,梅毒 症状,284000,80,1.925,-4.314,49,51,2,17,23,25,20,8,5
8,鼠径ヘルニア,221000,80,2.211,-4.89,41,59,2,7,13,19,21,18,20
9,泌尿器科,176000,80,2.485,-0.185,45,55,2,9,12,20,22,16,19
10,前立腺炎 症状,27400,80,4.299,-0.003,66,34,1,7,12,17,20,21,22
11,前立腺炎,25500,80,4.391,0.001,68,32,1,10,15,18,21,19,16
12,マイコプラズマ,407000,70,1.437,-2.925,34,66,5,8,20,30,17,10,10
13,精索静脈瘤,20100,70,4.482,-0.002,54,46,3,18,31,20,14,9,5
14,適応障害,427000,60,1.319,48.991,34,66,5,17,19,22,21,10,6
15,敗血症,395000,60,1.363,9.306,38,62,1,7,11,18,22,19,22
16,厚生労働省,381000,60,1.349,-56.828,47,53,2,6,9,19,26,22,16
17,腎盂腎炎,230000,60,1.846,0.046,26,74,1,10,15,23,25,15,11
18,睾丸,37500,60,3.777,-0.119,53,47,11,14,17,17,16,12,13
19,精巣,17800,60,4.563,-0.001,52,48,6,12,14,16,20,16,16
20,血精液症,4700,60,5.748,-1.604,81,19,2,10,17,24,22,14,11
21,ミヤbm錠,370000,50,1.353,27.004,32,68,1,8,13,21,21,17,19
22,脳梗塞,354000,50,1.318,-28.84,40,60,2,7,7,14,24,22,24
23,miss av,313000,50,1.35,-87.845,92,8,8,22,21,20,17,8,4
