順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,過活動膀胱炎,67100,3200,4.734,0,27,73,1,7,10,18,23,21,20
2,頻尿,164000,1300,2.959,-0.014,49,51,2,5,8,15,20,21,29
3,過活動膀胱炎 治し方,33100,1200,4.5,0,27,73,1,4,7,14,22,25,27
4,ベオーバ錠50mg,96300,950,3.222,0.006,38,62,0,4,6,12,18,21,39
5,過活動膀胱 薬,9000,860,5.463,0,32,68,0,4,8,16,22,25,25
6,頻尿の原因,106000,650,2.684,-0.006,44,56,1,6,9,17,22,19,26
7,過活動膀胱炎 原因,16200,580,4.492,0,23,77,1,4,7,15,23,24,26
8,ベオーバ,31000,540,3.746,0.013,41,59,0,9,12,19,20,17,23
9,過活動膀胱炎 薬一覧,11000,520,4.772,0,33,67,0,3,6,14,23,26,28
10,頻尿 治し方,68300,470,2.833,-0.87,57,43,2,5,7,13,18,21,34
11,前立腺肥大,59700,460,2.933,-0.001,62,38,1,5,6,11,20,24,33
12,間質性膀胱炎,27000,410,3.617,-0.025,21,79,1,6,9,17,22,22,23
13,夜間頻尿 原因,65500,380,2.664,-0.017,44,56,0,2,5,13,21,25,34
14,ベタニス,32300,380,3.345,0,38,62,0,11,13,21,19,14,22
15,夜間頻尿,26700,350,3.474,0,45,55,1,4,9,15,19,20,32
16,バップフォーレディ,29700,340,3.356,0.502,20,80,0,3,6,15,26,26,24
17,神経因性膀胱,7800,340,4.607,0,31,69,1,20,18,21,19,12,9
18,ベタニス錠50mg,34700,330,3.212,0.012,41,59,0,2,4,7,18,26,43
19,心因性頻尿,14800,310,3.887,0.001,26,74,7,12,23,26,15,10,7
20,トイレが近い 原因 女性,54600,290,2.543,-0.018,6,94,4,10,12,21,24,15,14
21,抗コリン薬,34300,290,2.988,0.031,32,68,1,18,12,18,21,15,15
22,頻尿 薬,31200,290,3.128,-0.002,51,49,1,5,8,15,21,21,29
23,尿意が止まらない原因,21300,280,3.423,-0.032,38,62,5,14,13,20,23,14,11
24,前立腺肥大症,18200,280,3.626,0,65,35,2,9,8,13,20,20,28
25,猪苓湯,42800,260,2.714,-0.15,25,75,0,5,9,17,23,23,23
26,過活動膀胱炎 症状,7300,260,4.521,0,22,78,1,3,6,13,22,26,29
27,過活動膀胱炎 市販薬,4500,260,4.942,0,27,73,0,3,8,18,29,22,20
28,尿崩症,42700,250,2.631,-0.005,28,72,1,18,18,22,21,12,8
29,ベシケア,14600,250,3.714,0.001,37,63,0,8,13,20,21,18,20
30,タムスロシン,38700,230,2.663,2.605,51,49,0,12,12,18,15,17,26
31,切迫性尿疾禁,12400,230,3.818,0.003,25,75,2,16,11,19,20,17,15
32,ベオーバ 効果が出るまで,9600,230,4.129,1.952,40,60,0,3,5,11,18,20,43
33,骨盤底筋,41500,220,2.557,0.002,30,70,2,8,15,20,20,14,21
34,神経因性膀胱炎,13200,220,3.67,-0.001,26,74,1,19,16,20,20,14,10
35,エブランチルカプセル,28600,200,2.794,-0.001,26,74,0,12,14,21,23,17,13
36,ブリストルスケール,24400,190,2.898,-14.638,24,76,2,30,19,21,16,8,4
37,セフトリアキソン,28100,170,2.612,-16.675,39,61,0,23,18,22,19,11,7
38,膀胱,24300,170,2.817,-0.001,47,53,4,9,12,18,22,16,19
39,残尿感,18100,170,3.113,-0.675,40,60,4,15,16,21,20,13,11
40,co2ナルコーシス,29900,160,2.517,-8.67,30,70,1,32,18,21,16,8,4
41,褥瘡 ステージ,29300,160,2.51,7.958,21,79,0,13,12,22,27,17,9
42,トルバプタン,29200,160,2.526,-9.14,33,67,1,20,16,22,21,13,7
43,前立腺炎,25500,160,2.654,0.05,68,32,1,10,15,18,21,19,16
44,尿道炎,23800,160,2.74,0.505,57,43,3,12,16,19,19,15,16
45,排尿障害,10800,160,3.603,0.005,38,62,2,10,9,15,20,20,24
46,膀胱炎 繰り返す,25100,150,2.676,-0.025,8,92,1,9,9,16,27,24,14
47,ダーブロック,24500,150,2.639,1.053,36,64,1,13,18,25,23,13,7
48,腎仙散,23100,150,2.742,0.014,18,82,1,9,12,17,22,20,19
49,シロドシン,21700,150,2.839,-4.777,47,53,0,22,19,13,13,12,21
50,頻尿 漢方薬,14700,150,3.218,-0.012,48,52,0,2,6,15,21,23,33
51,ベタニス錠25mg,10400,150,3.66,0.061,44,56,1,3,3,7,14,23,49
52,頻尿とは,19900,140,2.841,-0.09,47,53,3,9,7,14,19,17,31
53,ソリフェナシンコハク酸塩,15900,140,3.051,1.457,31,69,0,9,12,21,24,18,16
54,尿漏れ,12900,140,3.259,-0.001,33,67,2,6,12,18,19,15,28
55,骨盤底筋体操,10600,140,3.479,0.031,31,69,1,6,10,16,19,21,27
56,ユリナール,10300,140,3.504,0.004,52,48,1,4,6,13,19,23,34
57,切迫性尿失禁,3600,140,4.549,-0.002,25,75,2,14,13,21,21,14,15
58,牛車腎気丸,24800,130,2.555,0.004,40,60,0,5,6,14,23,23,29
59,チアプリド,23400,130,2.56,5.509,28,72,0,10,15,25,26,17,7
60,クレアチニンクリアランス,22300,130,2.598,-4.591,45,55,1,24,19,19,15,11,11
61,グーフィス,21800,130,2.659,-15.992,33,67,1,13,17,23,20,12,14
62,清心蓮子飲,8000,130,3.673,0.013,28,72,1,4,8,16,22,23,26
63,サムスカ,22700,120,2.526,7.108,34,66,1,20,16,22,22,12,7
64,骨盤底筋 鍛え方,22700,120,2.522,4.292,24,76,1,6,13,20,24,16,20
65,mmse,21700,120,2.542,-17.203,36,64,1,24,15,19,19,12,10
66,八味地黄丸 ツムラ,20900,120,2.712,0.001,49,51,0,1,2,6,14,25,52
67,ナフトピジル,19900,120,2.651,14.007,51,49,0,11,11,16,20,19,23
68,ウブレチド,14900,120,2.926,0.013,32,68,1,17,17,23,21,11,10
69,尿失禁,7500,120,3.693,-0.002,29,71,3,16,9,15,18,17,22
70,リンゼス,18600,110,2.604,-0.111,34,66,0,13,17,22,22,13,13
71,膀胱留置カテーテル,17600,110,2.725,0.239,17,83,2,32,16,18,15,8,9
72,トイレ近い 原因 女性,16700,110,2.706,-0.009,7,93,7,19,17,22,21,10,4
73,膀胱がん,16500,110,2.781,0.002,44,56,2,6,8,16,23,19,26
74,頻尿に効く薬,16100,110,2.854,6.608,69,31,0,1,1,4,15,30,49
75,トイレが近い,12100,110,3.117,-0.025,25,75,6,11,13,20,20,15,15
76,バップフォー,8500,110,3.439,0.901,35,65,0,7,14,21,22,18,18
77,慢性膀胱炎,6700,110,3.708,2.301,16,84,1,7,11,20,24,21,16
78,ソリフェナシン,4400,110,4.081,0.017,42,58,0,9,11,16,19,18,27
79,バソプレシン,19600,100,2.561,27.971,34,66,16,36,12,15,11,6,4
80,ジルチアゼム,19500,100,2.539,-8.119,37,63,0,20,17,22,16,12,13
81,膣炎,17600,100,2.563,-0.785,11,89,2,16,19,20,19,14,10
82,ノルクスk錠,17500,100,2.688,27.727,74,26,0,0,1,2,5,25,67
83,寝たきり度,17400,100,2.538,-28.143,41,59,1,13,19,26,20,13,8
84,ミネブロ,17100,100,2.585,-3.254,41,59,0,11,17,23,23,15,11
85,バレー徴候,17000,100,2.651,-25.471,37,63,1,42,21,18,12,4,2
86,腎性貧血,15300,100,2.677,-29.251,30,70,0,18,14,21,22,15,10
87,トビエース錠4mg,12500,100,3.027,8.399,37,63,0,5,8,13,18,22,34
88,前立腺肥大 薬,10700,100,3.054,-0.014,76,24,1,5,6,12,21,29,26
89,自己導尿,10100,100,3.115,-4.022,31,69,1,13,13,20,23,16,14
90,膀胱鏡検査,10000,100,3.249,7.351,35,65,1,8,7,15,21,22,26
91,ハルナール,9900,100,3.204,0.001,53,47,0,10,11,15,17,18,29
92,尿閉とは,9600,100,3.213,-0.003,30,70,2,18,10,17,22,17,14
93,頻尿 原因,9500,100,3.207,-0.004,45,55,5,23,22,20,14,8,8
94,尿閉,8100,100,3.343,0.048,33,67,2,20,16,20,19,12,11
95,パキロビッド,17700,90,2.529,-22.019,48,52,0,9,14,21,22,19,15
96,シロドシンod錠 4mg,16800,90,2.628,7.955,63,37,0,5,5,7,12,21,50
97,ビスホスホネート製剤,16800,90,2.608,1.89,29,71,0,21,12,14,16,17,20
98,グラクティブ,15900,90,2.636,-6.589,39,61,0,18,20,17,16,15,14
99,大腿骨転子部骨折,15900,90,2.571,-24.111,33,67,1,20,13,16,19,19,12
100,ipmn,15700,90,2.565,-0.168,37,63,1,12,15,20,23,17,12
101,ビカルタミド,15500,90,2.668,-12.972,42,58,1,11,14,19,19,14,22
102,ボーコレン 効果,15100,90,2.605,-0.965,18,82,1,11,15,20,24,17,12
103,竜胆瀉肝湯,14000,90,2.706,-1.831,33,67,0,6,11,19,24,19,21
104,ニュープロパッチ,14000,90,2.663,-48.076,29,71,0,13,17,25,23,13,9
105,残尿感 解消法,11900,90,2.938,-1.114,13,87,7,17,12,16,19,17,12
106,廃用症候群,11900,90,2.849,-16.028,31,69,3,18,12,18,23,16,10
107,頻尿 治療,11700,90,2.974,-2.842,50,50,0,2,6,12,20,23,37
108,ユリーフ,10500,90,2.987,0.098,50,50,0,10,12,17,20,16,25
109,頻尿の原因は足,10400,90,3.103,-0.005,41,59,0,1,4,11,18,24,42
110,頻尿 女性,9600,90,3.126,-0.002,5,95,1,18,19,25,22,6,9
111,突然の尿意,9200,90,3.149,-0.304,24,76,1,2,5,16,28,27,21
112,セルニルトン,8800,90,3.179,-1.344,69,31,1,9,14,19,21,17,19
113,プロピベリン,8600,90,3.217,3.194,37,63,0,13,14,19,21,17,16
114,夜間頻尿 薬,7500,90,3.339,-0.006,56,44,0,3,6,13,19,26,33
115,トビエース,6900,90,3.465,2.229,40,60,0,11,13,19,22,16,19
116,腹圧性尿失禁,6700,90,3.481,-0.001,18,82,6,15,15,27,19,10,8
117,エブランチル,5900,90,3.578,-0.068,39,61,1,14,17,22,20,13,13
118,ベオーバ錠,5200,90,3.847,6.217,40,60,0,5,6,10,16,19,44
119,尿意切迫感 原因,4500,90,3.885,-0.002,36,64,2,8,9,18,22,22,19
120,ベオーバ 副作用,3300,90,4.271,13.197,39,61,0,4,8,14,20,21,33
121,メマリー,15400,80,2.516,13.04,30,70,0,8,13,23,29,18,9
122,ロセフィン,15300,80,2.538,-42.885,35,65,0,16,20,26,20,12,6
123,doac 医療,15000,80,2.514,-7.147,31,69,1,23,17,22,19,11,7
124,糖尿病性ケトアシドーシス,14600,80,2.513,-15.081,36,64,1,23,18,21,19,12,6
125,ホーマンズ徴候,14400,80,2.523,41.426,22,78,2,48,19,17,10,3,1
126,rs3pe症候群,14300,80,2.535,-8.407,39,61,0,11,15,20,22,18,14
127,頭蓋内圧亢進症状,11700,80,2.823,-29.735,22,78,2,43,17,18,12,5,3
128,レボドパ,11400,80,2.888,5.971,32,68,1,25,11,17,19,13,14
129,不感蒸泄,10700,80,2.886,-6.308,31,69,5,31,15,17,16,9,7
130,picc,10600,80,2.847,6.123,33,67,1,27,20,21,18,9,4
131,ロケルマ,10000,80,2.894,-10.028,45,55,0,19,22,21,18,11,9
132,膀胱結石,9700,80,2.937,-0.197,44,56,1,6,9,16,23,21,24
133,頻尿 回数,9700,80,2.935,0.001,39,61,3,18,16,20,15,9,19
134,イミダフェナシン錠,9600,80,3.031,1.988,36,64,0,8,10,17,20,21,24
135,ブレーデンスケール,9300,80,3.053,0.098,16,84,3,46,14,19,12,4,2
136,ハルンケア,8100,80,3.139,-0.003,45,55,1,4,13,24,26,17,15
137,慢性前立腺炎,7900,80,3.13,-2.861,82,18,3,11,19,21,19,15,12
138,ソリフェナシンコハク酸塩錠5mg,5000,80,3.698,1.117,39,61,0,3,4,9,16,24,44
139,多尿,4200,80,3.791,0.002,33,67,3,19,15,19,18,14,12
140,hds-r,13400,70,2.566,-48.67,38,62,1,28,15,19,18,11,8
141,八味地黄丸 副作用,13200,70,2.661,3.732,52,48,0,1,2,4,12,26,55
142,プロトロンビン時間,12900,70,2.56,-17.188,26,74,1,30,11,17,17,12,12
143,残尿感 原因,12700,70,2.564,-0.626,75,25,5,13,16,21,21,14,10
144,dダイマー,12500,70,2.605,-22.083,32,68,1,22,18,19,17,11,12
145,アメナリーフ,12500,70,2.601,-2.052,42,58,0,7,16,22,24,16,15
146,グラルギン,12400,70,2.559,38.079,31,69,1,20,18,23,20,12,6
147,ダイアート,12200,70,2.539,-24.193,30,70,1,16,16,23,22,13,9
148,ハイドロサイト,11900,70,2.637,-35.714,23,77,0,12,20,28,22,12,6
149,低酸素血症,11900,70,2.574,13.442,30,70,3,30,17,18,17,9,6
150,ライゾデグ,11000,70,2.66,-5.997,33,67,0,16,20,26,22,10,6
151,尿量 基準値,10300,70,2.735,0.085,29,71,2,34,13,14,13,11,13
152,ジャパンコーマスケール,10000,70,2.798,4.516,21,79,5,36,16,21,16,4,2
153,ケルニッヒ徴候,9400,70,2.856,3.309,41,59,1,51,18,15,9,4,2
154,大球性貧血,9400,70,2.797,-32.183,40,60,0,16,16,22,21,15,10
155,尿意がある 出ない,9300,70,2.924,-0.332,37,63,4,8,10,17,24,19,18
156,尿もれ 薬,9000,70,2.914,-0.002,33,67,1,2,4,16,25,21,31
157,腸蠕動音,8800,70,2.883,3.213,17,83,4,43,15,18,13,5,2
158,ハルナールd錠0.2mg,8300,70,3.083,-3.979,69,31,1,3,3,6,13,21,53
159,デスモプレシン,8100,70,2.974,-0.072,49,51,0,21,14,17,15,15,18
160,頻尿 ツボ,7900,70,3.091,0.515,54,46,1,2,5,14,20,24,34
161,膀胱鏡,6900,70,3.113,-0.684,38,62,1,8,10,19,23,18,21
162,ソリフェナシン5mg,6400,70,3.265,2.95,37,63,0,5,9,13,19,22,32
163,五淋散,4400,70,3.704,2.723,47,53,0,5,8,13,17,25,32
164,ベタニス 効果が出るまで,3500,70,4.011,0.006,42,58,0,1,4,10,16,21,48
165,頻尿改善,12700,60,2.524,-32.785,51,49,1,2,6,13,20,24,34
166,インフュージョンリアクション,11600,60,2.56,0.747,25,75,1,36,20,20,14,6,3
167,ハルトマン手術,11200,60,2.512,0.612,29,71,1,26,23,23,15,8,4
168,スピリーバ,11200,60,2.51,27.883,37,63,1,14,18,21,20,13,13
169,グラマリール,11100,60,2.58,-14.234,30,70,1,9,14,23,26,17,10
170,慢性腎臓病 ステージ,11000,60,2.544,16.036,38,62,0,8,9,14,23,22,24
171,igg4関連疾患,10900,60,2.519,28.159,46,54,0,9,10,16,23,21,21
172,フィジカルアセスメント,10900,60,2.517,0.353,17,83,6,31,13,23,18,6,3
173,ナトリウム 基準値,10600,60,2.664,9.257,21,79,2,35,11,15,14,11,12
174,副甲状腺ホルモン,10600,60,2.548,-8.196,31,69,6,34,8,11,15,13,13
175,アマンタジン,10600,60,2.512,4.175,34,66,0,18,17,22,22,13,8
176,膀胱 痛い,10500,60,2.575,-0.001,39,61,7,13,15,20,19,13,13
177,フェインジェクト,10400,60,2.572,-6.949,34,66,1,12,19,30,22,10,6
178,ノバミン,10300,60,2.582,-0.089,32,68,0,20,19,20,19,10,12
179,セマグルチド,10200,60,2.555,-54.228,49,51,0,12,14,20,21,19,14
180,看護観とは,9900,60,2.62,10.003,10,90,4,39,15,21,16,4,1
181,猪苓湯 ツムラ,9800,60,2.771,3.092,22,78,0,3,7,13,22,24,31
182,アダムスストークス症候群,9700,60,2.676,-11.742,38,62,1,34,19,18,12,8,8
183,アテレック,9500,60,2.707,-43.622,36,64,0,11,13,18,24,17,17
184,ハルロピテープ,9300,60,2.672,12.625,29,71,0,12,16,26,22,14,10
185,サラセミア,8800,60,2.688,0.928,40,60,1,15,17,23,20,15,9
186,ブリンクマン指数,8500,60,2.859,-15.264,27,73,3,49,14,14,11,6,3
187,長谷川式,8100,60,2.896,5.845,35,65,1,12,17,26,25,12,7
188,ナフトピジルod錠50mg,7600,60,3.019,4.177,66,34,0,3,4,8,14,25,46
189,フィンクの危機モデル,7600,60,2.911,11.652,14,86,4,43,16,20,12,4,1
190,看護師国家試験 ボーダー,7500,60,2.963,58.671,15,85,1,52,7,15,20,3,2
191,尿意を抑える方法 ツボ,7300,60,2.944,2.622,42,58,12,14,13,15,18,13,15
192,アボルブ,7000,60,2.948,-7.827,60,40,0,8,14,19,19,19,21
193,多尿の原因 女性,6900,60,3.069,-0.019,7,93,1,6,10,19,25,20,19
194,抗利尿ホルモン,6900,60,2.971,0.002,32,68,4,29,12,19,16,10,10
195,おしっこ我慢できない,6300,60,3.11,-0.007,38,62,6,10,10,20,22,20,12
196,膀胱タンポナーデ,6000,60,3.184,-1.544,30,70,1,24,18,20,17,12,8
197,悪性腫瘍特異物質治療管理料,5800,60,3.201,-27.749,19,81,0,7,12,28,33,14,6
