順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,間質性肺炎,422000,4000,3.034,0,31,69,1,4,7,15,22,23,28
2,膀胱炎,436000,3000,2.682,-2.538,23,77,2,8,11,20,24,17,18
3,膀胱炎 症状,199000,1500,2.807,-0.965,20,80,4,15,13,17,21,16,14
4,膀胱癌,171000,1500,2.926,-1.693,39,61,1,3,6,14,22,23,31
5,過活動膀胱炎,67100,1300,3.728,-0.005,27,73,1,7,10,18,23,21,20
6,腎盂腎炎,230000,1200,2.354,-1.763,26,74,1,10,15,23,25,15,11
7,シェーグレン症候群,271000,1100,2.132,0.047,20,80,1,7,9,17,26,23,17
8,膀胱癌 初期症状,76500,1000,3.341,-0.374,38,62,1,3,6,14,25,24,27
9,ベオーバ錠50mg,96300,970,3.12,2.906,38,62,0,4,6,12,18,21,39
10,猪苓湯,42800,950,3.873,0.175,25,75,0,5,9,17,23,23,23
11,泌尿器科,176000,810,2.258,-0.427,45,55,2,9,12,20,22,16,19
12,膀胱炎 市販薬,114000,800,2.686,-3.685,14,86,1,12,14,21,24,16,12
13,頻尿,164000,790,2.324,-2.794,49,51,2,5,8,15,20,21,29
14,膀胱炎 繰り返す,25100,750,4.157,-2.189,8,92,1,9,9,16,27,24,14
15,線維筋痛症,154000,680,2.218,0.023,26,74,2,8,13,19,26,18,14
16,レボフロキサシン500mg,131000,680,2.391,-0.023,33,67,1,6,12,19,22,20,20
17,尿道炎 症状,47300,670,3.378,-0.016,53,47,2,9,13,19,21,18,18
18,膀胱炎 自然治癒,58500,660,3.16,-2.812,11,89,2,14,17,22,22,13,10
19,機能性ディスペプシア,141000,610,2.19,-3.983,27,73,2,11,16,21,22,16,12
20,過活動膀胱炎 治し方,33100,610,3.699,-0.017,27,73,1,4,7,14,22,25,27
21,八味地黄丸,128000,600,2.344,0.033,49,51,0,2,5,11,18,25,39
22,下腹部の痛み 女性,105000,580,2.406,-1.939,7,93,3,12,19,28,23,9,6
