順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,陰のう水腫とは,18200,770,5.532,-0.003,46,54,2,9,19,19,18,18,15
2,鼠径ヘルニア,221000,560,2.727,-0.001,41,59,2,7,13,19,21,18,20
3,陰嚢水腫 手術方法,2400,350,6.757,0,54,46,3,9,15,20,20,16,17
4,陰嚢,26000,240,4.014,0,58,42,6,16,19,18,16,12,13
5,精巣上体炎,23300,230,4.03,0.01,66,34,3,15,21,24,17,11,9
6,睾丸,37500,200,3.482,-0.181,53,47,11,14,17,17,16,12,13
7,精巣がん 症状,27700,200,3.739,-0.087,66,34,4,13,18,20,20,14,11
8,精索静脈瘤,20100,190,4.014,-0.002,54,46,3,18,31,20,14,9,5
9,精巣腫瘍,5700,180,5.238,0,56,44,3,13,19,23,21,12,9
10,陰嚢水腫 子供,2000,180,6.229,0,14,86,0,8,44,29,7,7,5
11,停留精巣,19100,170,3.92,-0.001,25,75,1,15,33,25,13,9,4
12,カウプ指数,77300,150,2.406,11.576,12,88,1,15,47,25,5,4,3
13,rsウイルス,75900,130,2.3,-3.038,28,72,1,13,36,17,11,12,10
14,乳児湿疹,67900,130,2.448,-4.297,15,85,0,17,50,14,7,9,3
15,水腎症,59100,120,2.455,-7.902,28,72,1,12,18,21,21,16,11
16,精巣捻転,30500,120,3.166,-0.002,46,54,10,18,22,27,13,5,5
17,予防接種 スケジュール,64700,110,2.318,5.602,6,94,0,9,48,30,6,3,4
18,リクシアナ,59800,100,2.321,31.23,39,61,0,13,12,19,21,17,18
19,pubmed,53100,100,2.39,-69.034,68,32,1,18,22,27,17,9,6
20,エリキュース,51800,100,2.482,-14.606,36,64,0,14,14,21,22,15,14
21,臍ヘルニア,45800,100,2.581,0,28,72,1,11,25,24,20,11,8
22,精索水腫,2100,100,5.626,0.002,48,52,3,9,24,22,18,14,10
23,伝染性単核球症,46600,90,2.443,-50.255,34,66,3,22,17,21,21,10,6
24,セフトリアキソン,28100,90,2.89,19.97,39,61,0,23,18,22,19,11,7
25,jcs,48200,80,2.339,9.013,40,60,2,32,23,19,14,6,4
26,レベチラセタム,46500,80,2.339,45.79,32,68,1,15,16,24,23,13,8
27,新生児 しゃっくり,44000,80,2.374,-26.041,22,78,0,23,54,10,4,6,3
28,5種混合ワクチン,35100,80,2.614,19.517,17,83,0,14,41,20,11,10,4
29,精巣,17800,80,3.342,0.007,52,48,6,12,14,16,20,16,16
30,睾丸肥大,2100,80,5.389,-1.609,71,29,1,3,8,17,27,22,22
31,腸重積,43600,70,2.303,21.892,25,75,1,14,35,22,12,9,7
32,タミータイムとは,42900,70,2.349,23.498,13,87,1,17,44,13,10,12,3
33,ラスビック,41900,70,2.345,1.146,33,67,1,10,22,28,20,12,7
34,ウエスト症候群,41600,70,2.34,18.305,14,86,1,12,29,22,18,13,5
35,オゼックス,40500,70,2.297,-15.42,27,73,1,6,21,38,18,9,7
36,アゾセミド,40200,70,2.334,52.574,30,70,0,15,15,22,23,14,11
