順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,膀胱炎,436000,9700,2.02,-0.001,23,77,2,8,11,20,24,17,18
2,頻尿の原因,106000,8900,3.361,0,44,56,1,6,9,17,22,19,26
3,頻尿 治し方,68300,7600,3.665,0.001,57,43,2,5,7,13,18,21,34
4,腎臓病の症状,287000,5200,1.841,0.004,40,60,0,2,5,13,23,24,33
5,前立腺肥大 症状,155000,5100,2.431,1.164,65,35,1,3,5,12,21,25,33
6,前立腺がん 症状,224000,4600,1.96,8.709,60,40,1,3,6,13,21,24,32
7,泌尿器科,176000,4600,2.176,0.003,45,55,2,9,12,20,22,16,19
8,膀胱癌,171000,4400,2.189,0.001,39,61,1,3,6,14,22,23,31
9,八味地黄丸,128000,4400,2.522,0.118,49,51,0,2,5,11,18,25,39
10,頻尿 薬,31200,4400,3.892,0,51,49,1,5,8,15,21,21,29
11,頻尿とは,19900,3900,4.203,0,47,53,3,9,7,14,19,17,31
12,膀胱炎 症状,199000,3600,1.838,0.001,20,80,4,15,13,17,21,16,14
13,過活動膀胱炎,67100,3500,2.888,0.036,27,73,1,7,10,18,23,21,20
14,夜間頻尿 原因,65500,3500,2.931,0.007,44,56,0,2,5,13,21,25,34
15,便秘,175000,3200,1.829,3.238,35,65,3,7,12,16,19,17,26
16,ベオーバ錠50mg,96300,3100,2.45,8.397,38,62,0,4,6,12,18,21,39
17,尿もれ 原因,81100,2200,2.257,0.111,28,72,1,4,7,17,23,20,28
18,頻尿に効く薬,16100,2200,3.921,0.002,69,31,0,1,1,4,15,30,49
19,頻尿 漢方薬,14700,2100,3.94,0,48,52,0,2,6,15,21,23,33
20,前立腺,103000,2000,1.889,0.739,63,37,4,9,10,13,17,20,27
21,膀胱癌 初期症状,76500,2000,2.203,0.163,38,62,1,3,6,14,25,24,27
22,前立腺肥大,59700,1800,2.365,0.853,62,38,1,5,6,11,20,24,33
23,過活動膀胱炎 治し方,33100,1800,2.944,0.512,27,73,1,4,7,14,22,25,27
24,夜間頻尿,26700,1800,3.155,0.001,45,55,1,4,9,15,19,20,32
25,頻尿 治療,11700,1700,3.933,0,50,50,0,2,6,12,20,23,37
26,前立腺肥大 治療法,50500,1600,2.413,6.961,66,34,0,2,3,8,18,27,42
27,おシッコが近い 原因,38600,1600,2.594,-0.007,39,61,2,5,8,19,27,21,18
28,頻尿改善,12700,1600,3.784,0,51,49,1,2,6,13,20,24,34
29,頻尿の原因は足,10400,1600,4.035,0.001,41,59,0,1,4,11,18,24,42
30,トイレが近い 原因 女性,54600,1500,2.245,-0.008,6,94,4,10,12,21,24,15,14
31,タムスロシン塩酸塩0.2mg,47800,1500,2.419,6.113,63,37,0,3,3,6,18,26,44
32,前律線がん 症状,64900,1400,1.976,-56.36,62,38,1,3,6,13,22,24,31
33,前律線肥大 症状,40300,1400,2.478,-2.926,64,36,1,3,5,12,21,24,34
34,頻尿 ツボ,7900,1400,4.122,0,54,46,1,2,5,14,20,24,34
35,残尿感 女性,45700,1300,2.25,0.001,2,98,4,17,15,21,23,12,8
36,八味地黄丸 効果,40000,1300,2.451,14.053,43,57,0,1,3,8,18,27,43
37,ベタニス錠50mg,34700,1300,2.595,3.62,41,59,0,2,4,7,18,26,43
38,過活動膀胱,23100,1300,2.959,0.014,33,67,2,10,13,20,21,17,17
39,psa 腫瘍マーカー,69900,1200,1.787,2.088,62,38,0,3,4,10,19,27,37
40,頻脈,67700,1200,1.794,0,32,68,2,9,11,18,22,19,19
41,尿道炎 症状,47300,1200,2.141,0.545,53,47,2,9,13,19,21,18,18
42,尿検査,62600,1100,1.823,3.316,37,63,6,8,9,18,21,17,21
43,膀胱炎 自然治癒,58500,1100,1.803,0,11,89,2,14,17,22,22,13,10
44,泌尿器科 現在地周辺,43300,1100,2.166,0.788,44,56,1,4,6,15,24,24,26
45,体重が減る病気,53700,1000,1.895,15.59,34,66,1,3,7,14,26,25,24
46,ノコギリヤシの効果,34700,1000,2.315,0.9,64,36,1,3,10,16,20,21,29
47,尿意が止まらない原因,21300,1000,2.773,0.004,38,62,5,14,13,20,23,14,11
48,夜中にトイレ 原因,39600,980,2.126,-0.007,30,70,1,5,11,20,24,22,17
