順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,膀胱炎,430000,13600,2.256,-0.008,23,77,2,8,11,20,24,17,18
2,泌尿器科 現在地周辺,38300,7000,4.036,0,44,56,1,4,6,15,24,24,26
3,血尿,212000,6600,2.226,-0.009,35,65,1,6,11,20,26,18,18
4,膀胱炎 症状,207000,5100,2.01,-0.009,20,80,4,14,13,17,21,16,15
5,頻尿,170000,4900,2.172,-0.002,49,51,2,6,8,15,21,20,28
6,膀胱癌,167000,4800,2.169,0.135,39,61,1,3,6,14,22,23,31
7,前立腺がん 症状,197000,4500,1.932,1.051,60,40,1,3,6,13,21,24,32
8,前立腺肥大 症状,140000,4000,2.163,1.034,65,35,1,3,5,11,21,25,34
9,膀胱炎 市販薬,117000,3200,2.122,-0.029,13,87,1,12,13,22,24,16,12
10,泌尿器科 女性医師,18200,3000,3.913,0,23,77,1,4,7,18,28,21,21
11,泌尿器科 現在地,17400,3000,3.977,0,46,54,1,4,7,16,24,22,26
12,膀胱炎 何科,48200,2600,2.754,-0.001,9,91,1,15,17,24,25,11,7
13,泌尿器科 読み方,5900,2600,4.893,0,48,52,7,27,25,16,10,4,11
14,性病の症状,88400,2500,2.123,-0.15,56,44,9,29,18,18,15,7,4
15,クラミジア 症状 男,67600,2400,2.342,-0.001,78,22,2,24,26,22,16,7,3
16,泌尿器科 男性,11800,2400,4.138,0,66,34,1,9,11,15,19,18,27
17,頻尿の原因,98200,2200,1.929,0.003,44,56,2,6,9,17,21,19,26
18,膀胱炎 原因 女性,87800,2100,1.997,0.001,19,81,3,16,14,19,25,12,11
19,血尿 原因 女性,77900,2100,2.088,-0.006,12,88,2,10,11,21,29,16,11
20,膀胱癌 初期症状,77800,2100,2.138,0.02,38,62,1,3,6,14,25,24,27
21,ベオーバ錠50mg,94400,2000,1.908,11.394,38,62,0,4,6,12,18,21,39
22,前律線がん 症状,81000,2000,2.021,-4.893,62,38,1,3,6,13,22,24,31
23,尿道炎 症状,42600,2000,2.653,0.003,53,47,2,9,13,19,21,18,18
24,肛門科,68300,1800,2.075,0.002,40,60,2,7,10,17,20,18,26
25,過活動膀胱炎,66700,1800,2.103,0.252,27,73,1,7,10,18,23,21,20
26,膀胱炎 自然治癒,62300,1800,2.145,-0.015,11,89,2,14,17,22,22,13,10
27,膀胱炎 血尿,51400,1800,2.365,-0.001,14,86,2,16,16,21,23,13,9
28,泌尿器科とは,6200,1800,4.442,0,45,55,4,13,12,15,21,14,21
29,血尿 原因,69400,1700,1.958,-0.011,49,51,1,8,11,19,24,19,18
30,頻尿 治し方,66500,1700,2.051,0.005,56,44,2,5,8,13,18,21,33
31,性病検査,50000,1700,2.322,-0.005,61,39,3,32,25,19,13,5,3
32,泌尿器科 女性,10700,1700,3.882,0,13,87,2,13,16,20,22,12,15
33,前律線肥大 症状,48300,1500,2.221,-1.457,64,36,1,3,5,12,21,24,34
34,尿検査,64500,1400,1.917,0.618,38,62,7,8,9,18,21,16,21
35,前立腺肥大,58700,1400,1.971,0.483,62,38,1,5,6,11,20,24,33
36,性病,52500,1400,2.07,0.002,54,46,10,25,19,18,16,7,5
37,前立腺肥大 治療法,45400,1400,2.275,8.431,66,34,0,1,3,8,18,27,43
38,婦人科,53700,1300,1.979,0.002,15,85,3,14,15,25,21,10,12
39,残尿感 女性,45600,1300,2.165,-0.058,2,98,3,17,15,21,24,12,8
40,亀頭包皮炎,31800,1300,2.474,0.003,76,24,5,18,27,23,14,8,5
41,尿道炎,25700,1300,2.7,-0.002,56,44,3,12,16,19,19,15,16
42,泌尿器科 名医,6700,1300,4.118,0,42,58,1,1,2,8,22,30,36
43,タムスロシン塩酸塩0.2mg,47600,1200,2.038,9.707,63,37,0,3,3,6,18,26,44
44,尿管結石 石が出る前兆,43400,1200,2.089,0.032,49,51,1,7,14,23,28,17,10
45,おシッコする時痛い,28900,1200,2.504,-0.071,39,61,6,15,13,21,23,12,10
46,淋病,46800,1100,1.956,0.035,54,46,5,21,25,23,16,7,3
47,尿検査 潜血,46600,1100,1.977,-0.003,19,81,2,5,12,23,27,18,13
48,膀胱炎 治し方,42000,1100,2.063,0.002,15,85,5,20,15,18,19,12,11
49,ボーコレン,40100,1100,2.07,-0.006,21,79,2,12,15,21,25,15,10
50,尿潜血,44200,1000,1.91,-0.003,32,68,1,7,13,22,25,17,15
51,猪苓湯,42800,1000,1.999,2.863,25,75,0,5,9,18,23,22,23
52,前立腺炎 症状,24600,1000,2.522,2.998,67,33,1,7,12,17,20,21,22
53,前立腺炎,25900,980,2.404,1.007,68,32,1,10,15,18,20,19,17
54,セルニルトン錠,24700,980,2.458,7.256,68,32,0,6,11,17,21,22,23
55,前立腺がん 検査,37000,960,2.081,4.086,64,36,0,1,4,9,20,28,38
56,精巣上体炎,23400,940,2.45,0.595,65,35,3,15,21,24,17,11,9
57,過活動膀胱炎 治し方,33200,920,2.158,2.035,27,73,1,3,7,14,22,25,28
58,膀胱炎 薬,31000,920,2.2,0.013,16,84,1,13,16,20,23,14,13
59,性器ヘルペス 男性 症状,26400,920,2.32,0.009,75,25,3,19,23,20,18,10,7
60,間質性膀胱炎,27300,900,2.322,0.841,21,79,1,5,9,17,23,22,23
61,膀胱炎 繰り返す,25800,900,2.371,0.101,9,91,1,10,9,16,27,23,14
62,頻尿 薬,31500,890,2.164,0.04,51,49,1,4,8,16,21,21,29
63,泌尿器科 性病検査,4200,880,4.136,0,71,29,2,36,26,21,8,4,3
64,きとうほうひ炎症状,20800,860,2.495,-0.002,80,20,5,20,26,23,13,7,6
65,尿管結石 痛み 場所,36600,850,1.901,-0.007,49,51,1,7,15,22,27,17,11
66,膀胱炎 薬 抗生物質,26600,810,2.225,0.067,14,86,1,4,9,23,26,22,15
67,クラミジア 潜伏期間,26400,810,2.208,0.019,53,47,2,31,26,21,13,5,2
68,psa 基準値,35000,770,1.939,2.311,71,29,0,3,4,6,15,27,45
69,おしっ子が出ない 危険度,28200,770,2.114,-0.026,31,69,1,2,4,16,28,26,23
70,排尿痛,19300,760,2.466,-0.008,32,68,2,14,18,21,20,13,12
71,精巣がん 症状,26600,750,2.111,0.005,68,32,4,13,18,20,19,14,12
72,包茎手術,28000,740,2.04,0.002,78,22,6,19,21,22,18,8,6
73,淋病 症状,28100,730,2.022,0.942,56,44,2,22,23,22,18,9,4
74,カンジダ 男性,29300,720,1.975,-0.005,56,44,2,26,25,23,14,5,5
