順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,潰瘍性大腸炎,279000,16500,2.561,-0.001,35,65,2,11,16,22,24,15,10
2,ベーチェット病,155000,5100,1.981,0,27,73,2,13,17,21,22,15,10
3,クローン病 初期症状,16200,3700,3.933,0.003,20,80,3,12,14,22,24,13,12
4,クローンとは,15800,3700,4.002,0,29,71,11,15,10,15,18,15,16
5,クローン病 食事,7400,3400,4.62,0.139,26,74,3,16,12,21,24,15,9
6,クローン病 寿命,7600,3200,4.549,0.004,34,66,6,12,13,18,23,17,11
7,介護福祉士国家試験 2025,74000,2600,2.02,-29.004,29,71,1,9,11,23,31,17,8
8,クッシング症候群,70700,2400,2.011,-0.002,25,75,2,21,14,20,23,13,7
9,クローン病 潰瘍性大腸炎 違い,6600,2400,4.401,0.002,24,76,2,17,13,20,24,14,10
10,潰瘍性大腸炎 症状,36900,2300,2.664,-0.001,28,72,2,10,11,17,26,20,14
11,クローン病 症状,9300,2100,3.926,0.034,33,67,5,17,15,19,19,15,10
12,クローン病とは,11700,2000,3.69,0,26,74,8,23,14,14,19,11,11
13,エレンタール,21900,1900,2.949,3.531,32,68,1,19,19,23,19,11,8
14,潰瘍性大腸炎 食事,25700,1700,2.729,0.332,27,73,1,9,11,20,26,19,14
15,難病医療費助成制度,52700,1600,1.944,5.889,26,74,0,4,8,21,31,20,16
16,過敏性腸症候群 薬,42300,1500,2.042,0.009,27,73,4,11,15,25,22,13,10
17,炎症性腸疾患,15600,1500,3.056,0.003,30,70,3,12,13,21,23,15,13
18,小腸,37900,1400,2.107,0.002,34,66,3,9,10,21,23,17,17
19,ダンピング症候群,40800,1300,1.942,0.005,23,77,1,21,14,20,21,14,9
20,アジソン病,32800,1300,2.218,0.019,28,72,2,21,12,18,22,14,11
21,ファロー四徴症,34000,1200,2.047,-6.085,28,72,2,29,21,20,15,9,4
22,肛門周囲膿瘍,28700,1200,2.191,-0.408,41,59,2,11,22,22,20,13,10
23,褐色細胞腫,27500,1100,2.158,3.278,32,68,1,19,12,20,22,16,10
24,ヌーナン症候群,24200,1100,2.298,-20.238,13,87,1,12,31,29,15,8,4
25,潰瘍性大腸炎 難病 外れる,19400,1100,2.51,2.323,38,62,1,6,11,20,27,21,14
26,ペンタサ,11900,1100,3.028,5.077,37,63,1,13,17,24,24,13,8
27,イリボー錠,31500,1000,1.987,8.834,33,67,1,7,10,22,26,20,14
28,アルドステロン,27800,1000,2.1,-10,31,69,3,25,10,17,20,14,11
29,過敏性腸症候群 症状,27000,990,2.113,-2.837,21,79,9,16,13,20,20,12,10
30,インフリキシマブ,16700,990,2.637,-0.001,26,74,0,10,10,15,23,22,20
31,co2ナルコーシス,29700,970,1.991,0.319,30,70,1,32,18,21,16,8,4
32,糖新生とは,27200,930,2.061,-0.863,29,71,3,17,8,14,22,21,15
33,レミケード,10300,900,2.952,5.504,34,66,1,15,19,24,22,12,7
34,介護福祉士 合格発表,13900,890,2.631,54.059,32,68,1,11,15,25,29,13,6
35,ercp,28800,880,1.929,0.015,28,72,1,27,18,21,17,9,7
36,テタニー症状,23000,870,2.132,0.057,29,71,1,29,19,21,17,8,5
37,pci 医療用語,27100,840,1.935,-3.562,30,70,1,25,16,21,19,11,7
38,アルブミン 基準値,26700,840,1.983,-1.505,25,75,2,30,9,14,15,13,17
39,アシドーシスとは,26500,830,1.951,-6.953,31,69,3,20,12,18,21,15,11
40,潰瘍性大腸炎 薬,13700,830,2.595,3.363,36,64,1,9,12,21,27,19,11
41,バンコマイシン,24900,810,1.995,2.683,36,64,1,30,16,18,17,11,7
42,エリスロポエチン,21200,810,2.153,-4.024,32,68,4,31,12,16,17,11,9
43,小腸がん,22300,790,2.079,0.992,36,64,1,5,9,19,24,21,21
44,潰瘍性大腸炎 難病申請,9900,790,2.858,1.126,33,67,0,7,12,22,31,17,11
45,アプガースコア,22100,770,2.043,-6.652,25,75,1,32,29,19,11,6,2
46,結節性紅斑,21900,770,2.062,0.987,24,76,1,10,16,23,22,16,12
47,介護福祉士 過去問,13000,770,2.542,-83.217,28,72,2,10,14,22,31,15,6
48,溶血性貧血,23800,760,1.961,4.004,29,71,2,18,13,22,21,13,11
49,代謝性アシドーシス,20600,750,2.101,3.626,27,73,2,34,18,19,15,8,4
50,悪性症候群,23600,740,1.937,-4.718,35,65,1,23,20,23,18,10,5
51,バソプレシン,19600,740,2.179,-5.453,34,66,16,36,12,15,11,6,4
52,リンヴォック,17100,740,2.241,13.457,40,60,1,10,17,25,25,14,8
53,大腸炎 症状,23400,720,1.941,-0.002,33,67,1,7,9,17,26,22,18
54,大腸炎,21500,720,1.996,0,37,63,2,11,18,24,22,11,12
55,潰瘍性大腸炎 芸能人,9800,710,2.765,0.004,36,64,2,9,14,22,27,16,10
56,エリクソン 発達段階,20800,700,2.026,-18.097,22,78,7,37,11,17,15,9,4
57,痔瘻,16500,700,2.217,0,51,49,3,15,25,23,18,10,6
58,血ガス,20000,690,2.016,7.86,22,78,1,27,22,25,17,6,2
59,ベーチェット病 初期症状,18100,690,2.14,0.005,19,81,0,5,11,21,28,20,15
60,gcs 意識レベル,21400,680,1.943,-0.766,44,56,1,31,24,22,14,6,2
61,粘液便,19800,670,2.018,0.001,22,78,2,10,20,22,21,15,10
62,食道静脈瘤,18300,670,2.11,0.01,38,62,1,18,13,18,21,16,13
63,ヒュミラ,9700,670,2.725,3.994,39,61,1,12,20,24,23,12,8
64,好酸球性胃腸炎,12100,660,2.477,2.145,36,64,1,8,15,24,24,17,11
65,ステラーラ,8700,660,2.805,1.456,43,57,0,11,17,24,24,15,9
66,バージャー病,20400,650,1.97,-0.593,33,67,1,13,13,18,23,19,13
67,バレー徴候,17000,650,2.152,11.227,37,63,1,41,21,18,12,4,3
68,介護福祉士国家試験 2025 合格点,8900,650,2.746,4.634,25,75,1,9,10,25,34,16,5
69,潰瘍性大腸炎 完治,9200,640,2.754,0.083,37,63,3,10,12,20,25,18,12
70,小腸の病気,9100,630,2.777,-0.002,27,73,1,1,4,14,26,26,28
71,スキリージ,7300,630,2.929,10.161,48,52,0,9,19,26,24,14,8
72,ptpn11,6200,630,3.067,-27.456,5,95,1,9,43,32,10,3,2
73,家族性地中海熱,18600,620,1.991,1.427,29,71,2,12,17,24,22,14,9
74,食道アカラシア,18200,620,2.024,1.031,28,72,1,11,14,22,25,16,11
75,メサラジン,8800,620,2.749,12.007,41,59,1,17,16,22,21,15,8
