順位,キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,肺がん 症状,52500,590,1.577,-50.855,36,64,3,9,12,17,20,17,22
2,肝臓が悪いと症状は,44500,570,1.669,-56.623,37,63,1,4,11,21,27,19,17
3,ラクナ梗塞,45800,410,1.326,-21.404,32,68,1,11,10,17,23,20,18
4,腎臓がん 初期症状,25600,350,1.771,-49.981,33,67,1,3,8,17,26,20,25
5,ニューモシスチス肺炎,27400,320,1.595,-32.535,24,76,1,13,11,18,24,19,14
6,喉頭癌 初期症状,30600,310,1.478,-32.879,44,56,1,3,7,14,22,25,28
7,長谷川式簡易知能評価スケール,30000,270,1.321,-48.038,25,75,1,17,13,23,25,11,10
8,見当識障害,23000,250,1.52,-24.975,27,73,2,15,12,21,25,16,9
9,ガスが溜まる原因 女,21700,240,1.544,-34.953,3,97,2,11,17,24,23,12,11
10,クエチアピン 効果,26200,240,1.326,-43.658,26,74,1,9,11,21,28,20,10
11,パクリタキセル,24100,230,1.39,-21.075,29,71,1,11,9,18,25,20,16
12,浮腫の原因 4つ,19600,220,1.567,-20.041,28,72,1,9,9,18,25,19,19
13,インフルエンザ後遺症,21700,220,1.418,-55.47,29,71,3,5,9,24,31,18,10
14,シックハウス症候群,25000,220,1.329,-23.062,36,64,7,22,23,19,14,9,6
15,緊張性気胸,17100,200,1.599,-37.684,39,61,4,26,19,20,16,9,6
16,脂肪肝 数値,19900,200,1.438,-31.64,33,67,0,4,11,21,28,21,15
17,血行を良くする,22000,200,1.323,-25.582,40,60,2,7,13,21,25,17,15
18,交感神経とは,23000,200,1.322,-42.713,43,57,5,10,11,17,20,16,21
19,パニック発作 症状,18000,190,1.476,-79.206,20,80,4,16,19,27,20,9,5
20,ノルバスク,21200,190,1.347,-36.172,35,65,0,12,11,15,21,19,22
21,げっぷ 医療用語,14300,180,1.641,-26.062,21,79,1,20,22,28,18,7,4
22,jcs 意識レベル 表,17100,180,1.438,-31.93,36,64,1,17,19,27,22,10,4
23,2型糖尿病とは,20600,180,1.321,-55.797,38,62,3,9,8,16,23,21,20
24,バージャー病,15200,170,1.543,-28.186,36,64,2,16,15,20,21,16,10
25,冷え性 原因,16700,170,1.454,-44.197,38,62,6,14,15,20,18,12,15
26,タケルダ配合錠,17500,170,1.45,-21.952,39,61,0,10,13,18,22,18,19
27,肥大型心筋症,17000,170,1.448,-23.439,37,63,2,15,15,20,22,15,11
28,spo2とは,17700,170,1.385,-19.007,33,67,5,18,12,18,20,15,12
29,抗リン脂質抗体症候群,17600,170,1.353,-22.798,28,72,1,13,24,22,18,13,9
30,子宮頸がん 症状,18700,170,1.35,-22.067,10,90,4,25,23,21,16,7,4
31,口腔がん 初期,15300,160,1.447,-54.642,30,70,3,13,22,18,18,16,10
