順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,ノロウイルス,696000,18500,1.865,-0.004,37,63,2,8,16,21,23,17,13
2,胃腸炎 症状,513000,13700,1.865,-0.427,31,69,5,14,20,24,19,11,7
3,胃腸炎 何日で治る,296000,9300,2.025,-0.003,29,71,5,15,27,27,15,7,4
4,胃腸炎,265000,9000,2.107,0,30,70,4,16,27,26,14,7,6
5,感染性胃腸炎 何日で治る,34100,8900,4.159,0.001,28,72,2,15,21,21,18,14,9
6,突発性発疹,305000,8200,1.869,-68.01,17,83,0,9,44,19,9,14,5
7,ノロウイルス 潜伏期間,272000,7900,1.966,-0.022,30,70,2,10,16,21,22,18,11
8,ウイルス性胃腸炎,173000,7200,2.312,-0.001,32,68,2,15,26,21,17,12,7
9,急性胃腸炎,168000,6000,2.153,-0.002,35,65,3,14,21,24,19,11,8
10,感染性胃腸炎 うつる,18700,5200,4.228,0.001,29,71,3,20,20,19,19,12,7
11,感染性胃腸炎 出席停止,14200,5200,4.455,0.002,23,77,4,12,24,29,19,8,4
12,アデノウイルス 子供,170000,5000,1.943,-35.38,17,83,0,6,39,28,8,13,6
13,胃腸炎 食事,135000,4900,2.157,0.4,25,75,2,12,25,27,18,10,6
14,ロタウイルス 症状,121000,4800,2.26,0.003,24,76,1,9,29,24,15,14,8
15,ノロウイルス 症状,145000,4400,2.018,-0.067,34,66,4,16,19,18,18,14,11
16,胃腸炎 うつる,153000,4300,1.926,-0.001,29,71,5,18,25,23,15,9,5
17,ノロウイルス 出勤停止,109000,4200,2.218,0.001,33,67,2,11,18,24,24,14,7
18,感染性胃腸炎 うつる期間,12200,3800,4.336,0.006,19,81,2,12,20,19,20,19,8
19,ヘルパンギーナ 症状 子供,133000,3500,1.846,-179.385,16,84,0,6,41,29,6,11,7
20,胃腸炎 潜伏期間,93800,3400,2.143,-0.001,14,86,2,11,36,32,10,6,3
