順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,過敏性腸症候群,411000,16800,2.04,-0.001,26,74,7,15,19,24,19,10,6
2,クローン病,240000,16500,2.561,0.001,31,69,3,12,15,21,22,15,12
3,潰瘍性大腸炎 食事,25700,11000,4.4,0.142,27,73,1,9,11,20,26,19,14
4,潰瘍性大腸炎 症状,36900,8200,3.751,0.002,28,72,2,10,11,17,26,20,14
5,潰瘍性大腸炎 難病 外れる,19400,7500,4.294,0.612,38,62,1,6,11,20,27,21,14
6,潰瘍性大腸炎 薬,13700,6200,4.435,0.066,36,64,1,9,12,21,27,19,11
7,虚血性腸炎,108000,5100,2.193,0.011,26,74,1,7,12,19,24,20,17
8,潰瘍性大腸炎 難病申請,9900,4700,4.478,0.022,33,67,0,7,12,22,31,17,11
9,潰瘍性大腸炎 芸能人,9800,4600,4.476,0.06,36,64,2,9,14,22,27,16,10
10,過敏性腸症候群 治し方,105000,4200,2.023,0.003,26,74,5,12,15,23,22,13,10
11,潰瘍性大腸炎 完治,9200,4200,4.471,0.164,37,63,3,10,12,20,25,18,12
12,難病医療費助成制度,52700,2900,2.337,12.984,26,74,0,4,8,21,31,20,16
13,潰瘍性大腸炎 重症度分類,6300,2900,4.456,1.146,37,63,1,7,12,21,27,19,13
14,リアルダ錠,9800,2600,3.895,6.884,37,63,0,10,13,25,27,16,9
15,指定難病,60800,2500,2.031,0.651,35,65,3,10,13,21,24,17,12
16,虚血性大腸炎,46700,2400,2.296,0.003,25,75,1,6,11,19,25,21,17
17,ペンタサ,11900,2200,3.534,10.911,37,63,1,13,17,24,24,13,8
18,潰瘍性大腸炎 原因,6300,2200,4.187,0.002,32,68,3,18,18,22,22,11,6
19,大腸炎,21500,2100,2.903,0,37,63,2,11,18,24,22,11,12
20,モビプレップ,43500,2000,2.137,7.649,35,65,0,8,12,25,26,16,13
21,過敏性腸症候群 薬,42300,2000,2.18,0.012,27,73,4,11,15,25,22,13,10
22,炎症性腸疾患,15600,2000,3.204,0.005,30,70,3,12,13,21,23,15,13
23,大腸カメラ,45100,1900,2.04,0.003,38,62,2,8,18,28,22,12,10
24,潰瘍性大腸炎 治療,4600,1900,4.379,0.324,35,65,2,13,17,21,24,13,10
25,潰瘍,44700,1800,2.034,0,40,60,4,12,15,19,21,15,14
26,クローン病 初期症状,16200,1800,3.04,0.001,20,80,3,12,14,22,24,13,12
27,大腸炎 症状,23400,1700,2.651,-0.001,33,67,1,7,9,17,26,22,18
28,メサラジン,8800,1700,3.598,8.525,41,59,1,17,16,22,21,15,8
29,大腸,40000,1600,2.069,1.424,41,59,2,8,10,17,22,19,22
30,イリボー錠,31500,1500,2.183,6.446,33,67,1,7,10,22,26,20,14
31,粘液便,19800,1500,2.644,0.124,22,78,2,10,20,22,21,15,10
32,タクロリムス,35400,1400,1.985,14.754,32,68,1,15,15,21,21,15,12
33,過敏性腸症候群 症状,27000,1400,2.302,-0.002,21,79,9,16,13,20,20,12,10
34,エレンタール,21900,1400,2.517,11.01,32,68,1,19,19,23,19,11,8
35,リンヴォック,17100,1400,2.717,18.275,40,60,1,10,17,25,25,14,8
36,レクタブル注腸,4200,1400,4.101,22.224,38,62,1,12,17,24,24,13,9
37,ペンタサ坐剤,4100,1400,4.136,16.107,34,66,0,8,18,24,25,16,9
38,リアルダ錠1200mg,3700,1400,4.263,19.087,44,56,1,6,14,19,23,21,16
39,s状結腸,32600,1300,1.998,0.972,36,64,2,10,11,19,23,18,17
