順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,肝硬変 症状,146000,7500,3.692,-0.001,38,62,1,7,13,22,26,17,14
2,肝硬変 寿命,34700,3900,4.481,0,39,61,1,5,12,20,27,21,14
3,脂肪肝,145000,2200,2.466,0.001,37,63,1,7,15,22,26,16,13
4,肝性脳症,43400,1700,3.446,0.547,31,69,1,18,16,21,22,13,9
5,腹水がたまる原因,97000,1600,2.562,-0.182,31,69,0,6,11,22,27,18,16
6,肝臓,93400,1500,2.578,0.002,43,57,3,8,12,19,21,17,20
7,肝硬変 末期,12400,1500,4.557,0.007,29,71,1,4,11,24,30,18,12
8,アルコール依存症,131000,1400,2.143,-0.28,37,63,1,6,11,24,28,18,12
9,肝硬変 治療,9700,1400,4.696,0.002,45,55,1,7,11,19,26,22,14
10,腹水,45400,1300,3.139,0,43,57,2,13,19,23,20,12,11
11,肝硬変 腹水,10300,1300,4.614,0.001,32,68,1,10,14,21,26,16,12
12,肝硬変 食事,7600,1300,4.896,0.01,26,74,1,10,10,18,26,21,14
13,肝臓癌 初期症状,88100,1200,2.421,-0.014,35,65,1,4,9,18,26,21,21
14,肝臓がん,61100,1200,2.758,0.001,39,61,1,5,8,16,24,21,25
15,黄疸,95400,1100,2.186,0.002,44,56,3,17,26,23,16,8,7
16,肝硬変 治るのか,9100,1100,4.557,0.003,49,51,1,7,13,21,26,18,14
17,肝硬変 症状 初期 臭い,8400,980,4.508,0.002,39,61,0,3,9,23,31,20,14
18,食道静脈瘤,18300,970,3.754,0.002,38,62,1,18,13,18,21,16,13
19,血小板数値が低い,99000,960,2.086,-0.001,29,71,1,4,8,17,24,22,24
20,肝硬変 原因,13800,880,3.916,0.001,38,62,2,15,15,22,24,12,10
21,肝臓が悪いと症状は,70000,840,2.259,-0.028,37,63,1,4,11,21,27,19,17
22,アルブミンとは,83700,830,2.14,2.787,35,65,2,8,5,11,19,23,32
23,腎不全,69700,820,2.233,0.001,39,61,1,9,12,20,25,18,15
24,肝炎 症状,47100,780,2.565,0,37,63,1,8,14,23,26,16,12
25,アルコール性肝硬変,12400,770,3.893,0.467,33,67,2,14,17,20,23,15,9
26,ウルソデオキシコール酸100,72700,760,2.146,6.382,36,64,0,9,10,17,24,21,19
27,c型肝炎,67600,760,2.191,0.003,36,64,1,11,14,20,23,17,14
28,肝炎,24900,750,3.171,0.001,40,60,1,10,15,23,22,15,14
29,腹水 症状 見分け方,34500,670,2.739,0.004,27,73,1,6,13,24,29,14,13
30,フロセミド,62300,660,2.137,7.045,29,71,1,19,13,19,22,15,11
31,肝不全とは,19000,640,3.282,3.093,37,63,1,7,13,23,25,18,13
32,ast,60800,610,2.111,-0.003,40,60,1,9,10,17,22,19,22
33,低カリウム血症,57900,610,2.125,2.781,29,71,1,17,15,21,22,15,9
34,肝硬変 血液検査 数値,5100,610,4.573,0.002,38,62,1,7,11,19,26,18,18
35,アルブミン,40200,580,2.481,1.005,35,65,2,12,9,16,21,17,23
36,自己免疫性肝炎,29000,570,2.766,0.005,27,73,1,6,11,18,27,21,16
37,腹水がたまる余命,24900,570,2.924,0.001,31,69,0,3,7,17,28,26,19
38,アミノレバン,15200,570,3.402,4.587,31,69,1,21,18,21,20,12,7
39,肝機能障害 症状,44200,550,2.286,-0.2,37,63,1,10,15,23,26,15,10
40,肝硬変 数値,4100,550,4.649,0.003,54,46,0,6,12,24,25,18,15
41,肝臓に良い食べ物 一覧表,45700,520,2.217,0.719,37,63,1,2,6,16,28,25,22
42,高カリウム血症,43500,520,2.273,5.958,35,65,1,19,15,19,19,14,13
43,膵炎,44700,510,2.197,0.035,38,62,2,10,16,23,24,14,11
44,急性肝炎,28500,510,2.647,0,34,66,1,11,15,23,25,15,10
45,胸水,44000,500,2.203,0.124,34,66,1,14,14,19,22,17,13
46,高血糖症状,46700,480,2.107,19.595,27,73,1,20,15,20,21,13,10
47,肝硬変とは,4900,480,4.34,0,37,63,5,28,19,20,16,6,6
48,ウェルニッケ脳症,40800,470,2.212,-4.538,35,65,1,21,17,21,20,13,7
49,ビリルビン,29500,450,2.516,1.211,39,61,3,15,13,18,19,16,16
50,非代償性肝硬変,6500,450,3.996,0.092,30,70,1,19,14,20,23,15,8
51,深部静脈血栓症,41100,440,2.154,10.672,27,73,2,23,13,18,20,14,10
52,co2ナルコーシス,29700,440,2.486,14.005,30,70,1,32,18,21,16,8,4
53,肝臓 位置,40200,420,2.11,0.01,47,53,1,7,15,23,25,16,13
54,ダンピング症候群,40800,410,2.091,15.064,23,77,1,21,14,20,21,14,9
55,原発性胆汁性胆管炎,22900,400,2.644,0.004,29,71,1,6,10,16,28,23,16
56,アジソン病,32800,390,2.28,14.964,28,72,2,21,12,18,22,14,11
57,慢性膵炎,26100,390,2.462,0.001,41,59,1,10,14,20,23,18,14
58,ファロー四徴症,34000,380,2.185,9.837,28,72,2,29,21,20,15,9,4
59,胸腔ドレーン,29700,380,2.331,17.253,23,77,3,38,19,18,13,5,4
60,肝機能障害,20300,380,2.676,0,41,59,1,12,16,22,25,14,10
61,羽ばたき振戦,13900,380,3.095,1.375,31,69,1,32,19,20,17,7,4
62,リーバクト配合顆粒,9800,380,3.421,12.179,34,66,0,11,13,20,24,18,14
63,肝細胞癌,16000,370,2.924,0.006,34,66,1,12,9,18,22,19,19
64,チェーンストークス呼吸,35700,360,2.088,16.787,28,72,2,24,19,22,20,9,4
65,ercp,28800,360,2.325,-0.051,28,72,1,27,18,21,17,9,7
66,アルドステロン,27800,360,2.346,0.978,31,69,3,25,10,17,20,14,11
67,ウルソ,35000,350,2.089,6.692,33,67,0,6,11,22,28,19,14
68,アルブミン 基準値,26700,350,2.405,3.355,25,75,2,30,9,14,15,13,17
69,トルバプタン,29500,340,2.216,3.33,32,68,1,20,16,22,20,14,7
70,肝不全,6500,340,3.709,0.974,42,58,2,12,18,25,21,13,9
71,利尿剤,32400,330,2.138,10.614,39,61,2,7,10,16,22,21,22
72,mmt 評価,27700,330,2.267,15.042,30,70,1,34,21,22,14,4,4
73,慢性肝炎とは,10000,330,3.264,0.001,34,66,1,9,12,21,26,18,13
74,門脈圧亢進症,7200,330,3.604,1.803,35,65,2,27,14,18,18,13,8
75,fib4 indexとは,24200,320,2.406,-0.001,42,58,0,5,7,13,21,26,28
76,慢性腎不全,21600,320,2.452,0,32,68,2,15,13,19,24,16,11
77,代謝性アシドーシス,20600,310,2.494,7.782,27,73,2,34,18,19,15,8,4
78,クモ状血管腫,13700,310,2.877,0.01,26,74,1,16,15,23,27,12,6
79,褐色細胞腫,27500,300,2.184,1.903,32,68,1,19,12,20,22,16,10
80,肝臓 数値,24700,300,2.283,0.001,41,59,0,7,15,22,24,15,17
81,溶血性貧血,23800,300,2.32,-0.001,29,71,2,18,13,22,21,13,11
82,エリスロポエチン,21200,300,2.453,3.445,32,68,4,31,12,16,17,11,9
83,肝臓がん 生存率,19400,300,2.535,0.003,40,60,2,6,10,18,23,19,22
84,スピロノラクトン25mg,25900,290,2.238,1.866,31,69,0,7,7,14,21,28,23
85,脂肪肝 数値,24600,290,2.237,0.005,33,67,0,4,12,20,27,21,16
86,看護ルー,27300,280,2.085,-4.975,20,80,7,28,16,20,18,7,4
87,総胆管結石,22600,280,2.294,1.108,34,66,1,14,13,17,23,18,14
88,サムスカ,22600,280,2.273,4.486,35,65,1,20,16,23,21,12,7
89,バンコマイシン,24900,270,2.169,2.132,36,64,1,30,16,18,17,11,7
90,バビンスキー反射,21700,270,2.302,1.941,37,63,3,34,23,16,13,8,3
