順位,出力キーワード,検索ボリューム(人),重複ボリューム(人),特徴度,検索時間差(日),男性割合(%),女性割合(%),10代（13歳〜）割合(%),20代割合(%),30代割合(%),40代割合(%),50代割合(%),60代割合(%),70代以上割合(%)
1,胃潰瘍 症状,194000,7000,3.515,-0.002,34,66,3,13,17,21,20,13,13
2,逆流性食道炎,617000,4100,1.817,-0.003,32,68,3,9,15,21,23,16,13
3,十二指腸潰瘍,134000,3200,3.084,0,36,64,2,10,15,21,24,15,13
4,胃がん 初期症状,291000,3000,2.258,-0.25,33,67,1,6,13,20,24,18,18
5,ピロリ菌,236000,2500,2.255,0.005,39,61,2,8,15,23,23,16,13
6,胃潰瘍 治療,32900,2400,4.206,0,37,63,2,9,16,22,23,15,13
7,胃腸炎,265000,2100,1.961,0.001,30,70,4,16,27,26,14,7,6
8,みぞおちが痛い,243000,1600,1.798,-0.825,30,70,3,9,14,22,26,15,11
9,胃が痛い,155000,1600,2.277,-0.258,26,74,5,11,15,21,22,14,12
10,胃がん,72000,1600,3.061,0.001,35,65,3,7,9,16,22,19,24
11,胃潰瘍 原因,26600,1600,4.029,0,34,66,3,17,17,20,21,11,11
12,胃潰瘍 食事,17700,1500,4.387,0.006,31,69,1,8,12,18,22,19,20
13,機能性ディスペプシア,141000,1300,2.184,1.658,27,73,2,11,16,21,22,16,12
14,胃カメラ,120000,1300,2.285,-0.001,38,62,1,6,14,22,23,18,16
15,急性胃腸炎,168000,1100,1.773,-0.019,35,65,3,14,21,24,19,11,8
16,ピロリ菌検査,151000,1000,1.821,0.426,32,68,1,4,12,22,26,20,15
17,胃炎,22600,990,3.706,0.001,34,66,4,14,20,21,17,11,13
18,タケキャブ錠20mg,94600,950,2.265,0.403,38,62,0,5,8,15,22,22,28
19,タケキャブ,82300,900,2.342,0.638,36,64,1,19,12,18,19,15,16
20,自律神経失調症,129000,890,1.869,-0.791,33,67,5,17,19,19,18,11,11
21,胃痛,69200,880,2.47,-0.222,23,77,1,9,17,23,22,16,12
22,胃潰瘍 自然治癒,10300,880,4.372,0.006,33,67,2,12,18,24,20,12,12
23,胃炎 症状,49800,860,2.777,0,31,69,3,14,18,21,18,12,14
24,胃潰瘍 薬,12000,860,4.192,0.001,38,62,1,7,13,22,25,18,14
25,虫垂炎,107000,820,1.968,0.004,49,51,5,18,20,21,16,11,9
26,逆流性食道炎 症状,109000,760,1.899,0.005,29,71,3,11,11,17,22,19,17
27,萎縮性胃炎,87100,740,2.088,0.06,29,71,0,4,9,19,26,22,20
28,慢性胃炎,43500,730,2.753,0.002,32,68,2,7,15,22,21,17,16
29,腸閉塞,78900,720,2.145,0.002,37,63,2,9,15,20,22,16,16
30,胃潰瘍 入院,6800,720,4.583,0.001,35,65,2,16,22,25,19,9,7
31,胃カメラ 前日食事,101000,710,1.865,-0.313,32,68,0,4,10,23,29,19,15
32,胃に優しい食べ物,106000,680,1.774,0.18,30,70,2,12,20,24,22,12,8
33,急性膵炎,84300,670,1.983,0.001,40,60,2,11,16,23,23,14,11
34,胃カメラ 費用,60500,670,2.32,-0.005,38,62,1,6,12,22,24,20,15
35,膵炎,44700,670,2.616,0,38,62,2,10,16,23,24,14,11
36,盲腸,95200,640,1.838,-0.001,39,61,6,13,16,20,19,14,12
37,潰瘍,44700,640,2.577,0,40,60,4,12,15,19,21,15,14
38,ピロリ菌 原因,68200,600,2.092,0.015,30,70,1,7,15,21,26,17,13
39,貧血,73400,590,1.996,-0.027,27,73,6,14,18,24,18,9,11
40,ストレス性胃腸炎,56100,580,2.285,-0.005,29,71,6,25,20,17,16,10,6
41,スキルス性胃がん,84900,560,1.804,1.195,33,67,2,8,15,23,22,16,14
42,急性胃炎,24900,560,3.037,0,27,73,4,20,24,24,17,6,5
43,ピロリ菌 症状,51500,540,2.28,0.101,30,70,2,11,18,22,22,13,12
44,ピロリ菌 除菌 薬,62800,530,2.049,9.044,36,64,0,3,11,23,27,21,15
45,ブスコパン,78700,520,1.814,0.853,27,73,1,11,16,23,23,15,11
46,黒い便,58500,510,2.09,-0.043,30,70,2,10,14,19,24,16,15
47,タール便,43400,510,2.367,0,30,70,2,18,23,23,19,9,6
48,十二指腸潰瘍 症状,28200,510,2.826,0.002,30,70,1,7,11,18,25,20,18
49,低血圧,66600,490,1.943,-0.506,27,73,5,19,19,19,16,10,12
50,肝硬変,65800,470,1.87,0.369,44,56,1,14,16,21,22,14,12
51,腹痛,69200,460,1.825,-0.025,33,67,5,11,16,22,21,13,12
52,空腹時の胃の痛み,54600,440,1.999,-0.049,27,73,1,7,12,23,27,18,12
53,胃がん 初期症状 チェック女性,34600,440,2.493,-0.188,4,96,1,5,13,22,25,17,17
54,十二指腸,44900,430,2.195,0.057,39,61,3,10,12,19,21,18,17
55,みぞおち 場所 図,57500,420,1.912,0.003,22,78,3,9,16,23,25,13,11
56,胃下垂,55800,410,1.953,-0.001,36,64,12,27,21,17,12,6,5
57,胃酸過多 症状,44000,410,2.173,0.004,32,68,2,6,9,18,23,19,23
58,吐血 原因,29500,400,2.525,-0.003,36,64,5,12,14,23,23,13,10
59,食後 胃痛,32000,390,2.4,-0.001,17,83,1,8,19,26,22,13,11
60,腸炎,40300,370,2.136,0.006,34,66,3,12,19,23,20,12,11
61,胃痛 みぞおち,37800,370,2.17,-0.819,21,79,1,6,17,28,25,14,9
62,みぞおち,31100,370,2.404,-0.001,33,67,6,14,21,20,17,10,12
63,胃潰瘍 症状 チェック,6300,370,4.008,0.001,22,78,2,9,14,21,22,14,18
64,動悸,51200,360,1.869,-1.471,37,63,6,15,19,23,19,10,8
65,アコファイド,48000,360,1.947,11.547,32,68,1,7,12,19,22,19,20
66,ピロリ菌 除菌,40100,360,2.116,5.68,38,62,0,4,11,21,26,22,16
67,びらん性胃炎,31500,360,2.328,0.184,36,64,0,4,12,25,28,18,13
68,胃に穴が開く 症状,13500,360,3.223,-0.004,35,65,6,27,24,18,14,7,4
69,胃痙攣 症状,50900,350,1.825,-0.059,24,76,2,7,16,26,24,15,10
70,胃カメラ 鎮静剤,50100,350,1.843,0.544,26,74,0,4,15,30,27,15,9
71,胃薬,34200,350,2.263,-0.001,33,67,3,15,20,23,18,11,10
72,胃がん ステージ4,30000,350,2.381,1.325,35,65,2,5,10,20,24,19,20
73,胃がん 生存率,21800,350,2.703,0.164,40,60,3,9,12,21,21,16,18
74,胃もたれ,40300,340,2.072,-0.804,34,66,7,19,22,20,16,9,7
75,胃,30900,340,2.325,-0.003,34,66,5,12,15,21,20,14,13
76,髄膜炎,49000,330,1.802,8.479,34,66,3,15,24,24,18,9,7
77,腹水,45400,330,1.893,-0.004,43,57,2,13,19,23,20,12,11
78,胃痛 原因,39000,330,2.053,-0.26,20,80,2,14,22,25,20,10,7
79,胃炎 治るまでの期間,16700,330,2.909,0.008,30,70,2,11,19,25,22,11,10
80,nsaids,35700,320,2.114,0.002,31,69,1,18,14,21,22,14,10
81,胃がん 症状,10400,320,3.329,-0.002,35,65,4,19,26,25,14,6,6
82,胃カメラ 麻酔,36200,310,2.05,0.02,31,69,1,6,15,24,24,19,11
83,胃がん 進行速度,16400,310,2.882,0.105,32,68,1,5,9,20,25,20,20
84,腹部膨満感,42400,300,1.866,-5.998,26,74,2,12,16,21,22,15,12
85,食べると胃が痛い,30600,300,2.205,-0.997,16,84,1,7,15,25,27,16,9
86,慢性膵炎,26100,300,2.359,-0.002,41,59,1,10,14,20,23,18,14
87,倦怠感,39000,290,1.901,-13.706,40,60,6,13,17,22,22,11,9
88,吐き気,37400,290,1.966,-11.922,25,75,6,16,21,22,17,9,9
89,大腸,40000,280,1.878,-0.001,41,59,2,8,10,17,22,19,22
90,ストレス 胃痛,24000,270,2.322,-0.001,28,72,2,14,22,28,20,8,6
91,心窩部痛,22200,270,2.428,0.003,28,72,2,21,19,22,19,11,6
92,ダンピング症候群,40800,260,1.794,13.423,23,77,1,21,14,20,21,14,9
93,透析,38300,260,1.831,-19.217,40,60,4,13,16,20,20,13,14
94,マロリーワイス症候群,33700,260,1.962,0.129,31,69,1,20,20,23,20,11,5
95,腹膜炎,21800,260,2.39,0.381,36,64,3,14,19,24,20,11,9
96,胃が痛い 原因,28100,250,2.104,-0.544,24,76,8,19,16,21,19,10,7
97,スキルス胃がん,20700,250,2.428,3.652,38,62,3,14,17,20,18,14,14
98,食道静脈瘤,18300,250,2.548,-0.013,38,62,1,18,13,18,21,16,13
99,胃ポリープ,17700,250,2.561,0.003,32,68,1,3,11,25,29,19,12
100,吐血,12100,250,2.978,-0.01,39,61,8,18,17,20,17,10,10
101,背中が痛い,32000,240,1.939,-1.268,30,70,4,12,18,19,20,12,15
102,ピロリ菌 再発するか,31700,240,1.948,1.734,30,70,0,2,7,19,29,25,18
103,胃痛 薬,30100,240,1.971,-0.012,25,75,1,9,18,25,23,14,10
104,胆石症,16200,240,2.613,0.015,38,62,2,17,19,23,20,10,9
105,食道炎 症状,35700,230,1.824,-0.004,39,61,1,6,11,18,24,19,21
106,胃痛 背中も痛い,21000,230,2.303,-1.044,18,82,1,6,19,32,24,11,7
107,胃食道逆流症,18400,230,2.478,0.002,29,71,6,23,18,19,16,10,8
108,胃痙攣,12900,230,2.776,0.001,27,73,4,15,24,24,19,8,6
109,オメプラゾール,34800,220,1.809,0,30,70,1,25,14,18,18,13,11
110,イレウス,33800,220,1.788,-0.009,31,69,1,14,14,21,24,16,10
111,エソメプラゾール,32500,220,1.865,2.635,36,64,1,11,11,17,21,18,21
112,みぞおちが痛い 真ん中 鈍痛,29800,220,1.929,-0.054,32,68,2,6,9,21,30,18,14
113,胸焼け,28300,220,2.016,-0.679,43,57,7,15,17,17,16,13,15
114,過敏性腸症候群 症状,27000,220,2.05,-4.153,21,79,9,16,13,20,20,12,10
115,胃の痛み,10900,220,2.941,-0.001,28,72,1,8,16,24,25,14,12
116,尿路感染症,31100,210,1.843,-1.797,34,66,1,13,14,17,23,18,14
117,水下痢,31100,210,1.828,-2.016,26,74,4,20,32,25,12,4,3
118,胃がキリキリ痛む原因,27800,210,1.936,-1.33,26,74,4,18,20,24,21,9,4
119,肝炎,24900,210,2.058,-0.131,40,60,1,10,15,23,22,15,14
120,急性虫垂炎,24900,210,2.025,0.323,38,62,6,18,20,25,18,8,5
121,みぞおち 押すと痛い,24400,200,1.998,-1.278,30,70,1,8,18,26,25,13,9
122,便が黒い,20200,200,2.242,-0.031,38,62,3,9,12,18,23,16,19
123,胃 ポリープ,20100,200,2.151,0.001,34,66,1,4,17,35,26,11,6
124,胃の位置,19900,200,2.202,-0.006,39,61,4,13,21,22,19,11,10
125,十二指腸炎,10500,200,2.859,0.003,36,64,1,8,20,25,24,13,9
126,ストレス性胃炎,9300,200,3.011,0.004,26,74,5,22,21,22,16,9,5
127,膵臓がん,29700,190,1.769,4.949,34,66,1,4,10,20,26,19,20
128,急性腸炎,25100,190,1.925,-0.141,32,68,3,15,19,23,20,11,9
129,スキルス胃がん 初期症状,24100,190,1.982,0.439,23,77,1,8,15,22,24,17,13
130,胃酸を抑える薬,19300,190,2.237,1.07,39,61,1,6,11,18,25,22,17
131,ピロリ菌とは,17400,190,2.293,-0.34,37,63,4,14,16,19,20,14,13
132,胃が痛い 胃がん,15600,190,2.398,-1.321,26,74,2,7,17,27,25,14,8
133,ercp,28800,180,1.76,2.228,28,72,1,27,18,21,17,9,7
134,mrsa,26700,180,1.806,4.62,30,70,2,21,18,22,19,12,6
135,悪心,25900,180,1.834,-0.098,41,59,3,14,20,21,18,12,12
136,チアノーゼ,25300,180,1.879,-1.131,33,67,4,26,23,18,14,9,6
137,脳卒中,25300,180,1.87,-8.812,45,55,4,13,15,21,21,13,13
138,胃カメラ 麻酔 寝る,24400,180,1.902,0.066,24,76,1,4,15,28,28,15,9
139,胃痛 下痢あり 嘔吐なし,22700,180,1.944,-0.8,17,83,1,9,23,31,22,9,5
140,ボノサップパック400,21200,180,2.07,19.334,36,64,1,7,15,23,23,17,14
141,食欲不振,20500,180,2.1,-0.001,27,73,7,16,17,17,18,13,12
142,非ステロイド性抗炎症薬,17400,180,2.295,0.013,29,71,1,16,11,19,21,17,15
143,下血,15700,180,2.343,0.001,36,64,2,15,21,24,18,11,9
144,胃カメラ 怖い,15600,180,2.35,0.014,28,72,4,13,18,27,22,8,8
145,みぞおち 痛い,11500,180,2.654,-0.002,24,76,5,20,25,23,17,7,3
146,ホスホス,27200,170,1.791,-17.078,20,80,4,45,25,13,9,3,1
147,胃の痛み 原因,24200,170,1.875,-0.73,26,74,1,5,13,23,27,18,13
148,胃痛 吐き気,15200,170,2.318,-0.207,16,84,2,17,27,26,17,7,4
149,胃酸過多,8600,170,2.948,0.048,34,66,4,10,15,19,20,15,17
150,胃の病気 一覧,8000,170,3.025,0,35,65,2,6,9,16,21,21,25
151,アルブミン 基準値,26700,160,1.768,18.307,25,75,2,30,9,14,15,13,17
152,心因性発熱,25500,160,1.793,-0.402,29,71,8,22,22,21,16,7,4
153,腸が痛い,24100,160,1.782,3.52,26,74,4,11,16,26,24,13,6
154,抑うつ,24000,160,1.806,17.279,39,61,7,20,20,20,20,8,5
155,gcs,23200,160,1.872,5.578,46,54,2,39,25,18,10,4,2
156,総胆管結石,22600,160,1.896,2.247,34,66,1,14,13,17,23,18,14
